world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,do,Happy Valley,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.725,104.032,Zhaojue Temple,asia/china/sichuanprovince/chengdu/zhaojue_temple,0.385,7.037,17.248,has_external_url,http://cd.happyvalley.cn/,https://en.wikivoyage.org/wiki/Chengdu
asia/india/tamilnadu/madurai,Madurai,Madurai,14,28,see,Kazimar Big Mosque and Maqbara,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,9.91275,78.1142,Famous Jigarthanda,asia/india/tamilnadu/madurai/famous_jigarthanda,0.375,1.218,1.486,has_external_url,http://www.maqbara.com,https://en.wikivoyage.org/wiki/Madurai
asia/japan/honshu/kaga,Kaga,Kaga,8,27,see,Kutaniyaki Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.30278,136.310283,Katayamazu Onsen,asia/japan/honshu/kaga/katayamazu_onsen,0.486,6.612,0.433,has_external_url,http://www.kutani-mus.jp/,https://en.wikivoyage.org/wiki/Kaga
asia/malaysia/bintulu,Bintulu,Bintulu,4,36,see,Pasar Utama & Pasar Tamu Bintulu,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,3.1706,113.0404,Pasar Tamu,asia/malaysia/bintulu/pasar_tamu,0.455,3.929,2.021,has_external_url,https://sarawaktourism.com/attraction/pasar-tamu-pasar-utama/,https://en.wikivoyage.org/wiki/Bintulu
asia/turkey/izmir,Izmir,Izmir,58,34,see,Izmir Bird Paradise,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5332,26.8981,İzmir Archaeological Museum,asia/turkey/izmir/izmirmuseum,0.511,24.018,23.721,has_external_url,https://izmirkuscenneti.gov.tr/,https://en.wikivoyage.org/wiki/Izmir
australiaandpacific/australia/queensland/rockhampton_1,Rockhampton,Rockhampton,4,19,see,Botanic Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.40143,150.49151,Capricorn Caves,australiaandpacific/australia/queensland/rockhampton_1/capricorn_caves,0.4,26.351,3.415,has_external_url,https://www.rockhamptonregion.qld.gov.au/FacilitiesRecreation/Parks-Gardens-and-Recreation/Rockhampton-Botanic-Gardens,https://en.wikivoyage.org/wiki/Rockhampton
europe/andorra/andorralavella,Andorra la Vella,Andorra la Vella,4,44,see,The Carmen Thyssen Andorra Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.508499,1.537526,Molí dels Fanals,europe/andorra/moli_dels_fanals,0.364,3.344,1.312,has_external_url,https://museucarmenthyssenandorra.ad,https://en.wikivoyage.org/wiki/Andorra_la_Vella
europe/belgium/ghent,Ghent,Ghent,18,77,see,SMAK,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.038169,3.722025,Korenmarkt,europe/belgium/ghent/korenmarkt,0.429,1.805,1.754,has_external_url,https://smak.be/en,https://en.wikivoyage.org/wiki/Ghent
europe/denmark/sonderborg,Sønderborg,Sønderborg,11,19,see,Augustenborg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.95201,9.87216,Støvlen — The Boot,europe/denmark/sonderborg/the_boot,0.5,5.954,7.117,has_external_url,http://augustenborg.dk/,https://en.wikivoyage.org/wiki/S%C3%B8nderborg
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Basilica of Saint-Martin d'Ainay,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.753711,4.827239,Cathédrale Saint-Jean-Baptiste,europe/france/alpes/lyon/cathedrale_saint_jean,0.484,0.769,0.588,has_external_url,http://abbayeainay.free.fr,https://en.wikivoyage.org/wiki/Lyon
europe/france/normandybrittany/saintmalo,Saint Malo,Saint-Malo,10,16,see,Musée Jacques Cartier,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.6736,-1.9665,Saint-Malo Cathedral,europe/france/normandybrittany/saintmalo/saintmalo_cathedral,0.39,5.107,5.128,has_external_url,http://www.musee-jacques-cartier.fr/,https://en.wikivoyage.org/wiki/Saint-Malo
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Klosterkirche Nordshausen,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.2803,9.43293,Karlskirche,europe/germany/hessen/kassel/karlskirche,0.444,5.535,5.995,has_external_url,http://www.klosterkirche-nordshausen.de/,https://en.wikivoyage.org/wiki/Kassel
europe/greece/aegina,Aegina,Aegina,6,10,see,Christos Kapralos Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.765,23.424,Waterfront Cafes and Tavernas,europe/greece/aegina/waterfront_cafes,0.264,7.107,7.622,has_external_url,https://www.nationalgallery.gr/en/annexes.html,https://en.wikivoyage.org/wiki/Aegina
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,Castle of Diósgyőr,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.098,20.6889,Diósgyőr Castle,europe/hungary/miskolc/diósgyőr_castle,0.485,2.66,7.529,has_external_url,http://www.diosgyorivar.hu,https://en.wikivoyage.org/wiki/Miskolc
europe/ireland/ennis,Ennis,Ennis,8,15,see,Knappogue Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.7941,-8.8318,Ennis Cathedral,europe/ireland/ennis/ennis_cathedral,0.387,11.469,11.595,has_external_url,https://www.knappoguecastle.ie/,https://en.wikivoyage.org/wiki/Ennis
europe/italy/abruzzo/opi,Opi,Opi,4,6,see,Old beech trees of the park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.8206,13.7249,Chiesa di Santa Maria Assunta,europe/italy/abruzzo/opi/chiesa_di_santa_maria_assunta,0.308,9.72,9.733,has_external_url,http://www.parcoabruzzo.it/pagina.php?id=506,https://en.wikivoyage.org/wiki/Opi
europe/italy/veneto/vicenza,Vicenza,Vicenza,9,14,see,Il Santuario di Monte Berico,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.5346,11.5457,Antonio Pigafetta Birthplace,europe/italy/veneto/vicenza/antonio_pigafetta,0.429,1.385,15.552,has_external_url,http://www.monteberico.it,https://en.wikivoyage.org/wiki/Vicenza
europe/norway/tromso,Tromsø,Tromsø,8,63,see,The Arctic Alpine Botanic Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,69.67682,18.97556,Arctic Cathedral (Ishavskatedralen),europe/norway/tromso/arctic_cathedral,0.409,3.644,2.902,has_external_url,http://www.uit.no/botanisk,https://en.wikivoyage.org/wiki/Troms%C3%B8
europe/portugal/leiria,Leiria,Leiria,10,9,see,Paper museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.740556,-8.800833,Praça Rodrigues Lobo,europe/portugal/leiria/praca_rodrigues_lobo,0.333,0.851,0.646,has_external_url,https://www.visiteleiria.pt/pontos-de-interesse/museus/moinho-do-papel/,https://en.wikivoyage.org/wiki/Leiria
europe/russia/ural/south_ural/chelyabinsk,Chelyabinsk,Chelyabinsk,8,13,do,Uralskaya Lightning Ice Palace,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.1682,61.372,Traktor Ice Arena,europe/russia/ural/south_ural/chelyabinsk/traktor_ice_arena,0.468,5.43,2.152,has_external_url,http://um74.ru/,https://en.wikivoyage.org/wiki/Chelyabinsk
europe/spain/aragon/zaragoza,Zaragoza,Zaragoza,12,57,see,River Aquarium,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.66918,-0.89865,Aljafería Palace,europe/spain/aragon/zaragoza/aljaferia_palace,0.357,1.384,2.399,has_external_url,http://www.acuariodezaragoza.com/,https://en.wikivoyage.org/wiki/Zaragoza
europe/spain/spanishcostas/loscristianos,Los Cristianos,Los Cristianos,4,11,do,Jungle Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.07946,-16.69555,Playa de Los Cristianos,europe/spain/spanishcostas/loscristianos/playa_de_los_cristianos,0.222,3.414,3.894,has_external_url,http://www.junglepark.es,https://en.wikivoyage.org/wiki/Los_Cristianos
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,see,Schloss Waldegg,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.22335,7.54842,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.353,1.807,1.992,has_external_url,https://schloss-waldegg.so.ch/de/startseite/,https://en.wikivoyage.org/wiki/Solothurn
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough,Scarborough,Scarborough,7,25,do,North Yorkshire Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.226,-0.485,Stephen Joseph Theatre,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough/stephen_joseph_theatre,0.25,7.953,8.272,has_external_url,https://www.northyorkshirewaterpark.co.uk/,https://en.wikivoyage.org/wiki/Scarborough
europe/unitedkingdom/england/manchester_liverpool_and_north_west/preston,Preston,Preston,19,19,see,British Commercial Vehicle Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.6947,-2.6926,Lancashire Infantry Museum,europe/unitedkingdom/england/manchester_liverpool_and_north_west/preston/lancashire_infantry_museum,0.407,8.211,7.201,has_external_url,https://www.britishcommercialvehiclemuseum.com/,https://en.wikivoyage.org/wiki/Preston
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,Tramway,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.841,-4.2674,The Barras Market,europe/unitedkingdom/scotland/glasgow/barras_market,0.4,2.431,2.486,has_external_url,https://www.tramway.org/,https://en.wikivoyage.org/wiki/Glasgow
northamerica/canada/britishcolumbia/vernon,Vernon,Vernon (British Columbia),10,21,do,Kal Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2311,-119.2659,Marten Brewing,northamerica/canada/britishcolumbia/vernon/marten_brew,0.348,4.088,4.015,has_external_url,https://www.kalamalkalake.org/kal-beach/,https://en.wikivoyage.org/wiki/Vernon_%28British_Columbia%29
northamerica/canada/ontario/niagara_on_the_lake,Niagara-on-the-Lake,Niagara-on-the-Lake,6,58,see,Mackenzie Printery and Newspaper Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.162334,-79.053614,Reif Estate Winery,northamerica/canada/ontario/niagara_on_the_lake/reif_estate_winery,0.316,6.18,10.482,has_external_url,https://www.niagaraparks.com/visit/heritage/mackenzie-printery/,https://en.wikivoyage.org/wiki/Niagara-on-the-Lake
northamerica/mexico/len,León,León (Mexico),5,35,see,Bullfighting Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.11807,-101.67017,Cathedral Basilica of Our Lady of the Light,northamerica/mexico/len/cathedral,0.241,1.395,1.397,has_external_url,http://www.panteontaurino.com.mx/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Mexico%29
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,do,Cave Creek Fiesta Days,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.821741,-112.021125,,,0.0,,7.051,has_external_url,http://www.cavecreekrodeo.com/,https://en.wikivoyage.org/wiki/Cave_Creek
northamerica/unitedstates/california/northcoast/fortbragg,Fort Bragg,Fort Bragg,5,30,do,Pomo Bluffs Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.42517,-123.81688,Noyo Harbor,northamerica/unitedstates/california/northcoast/fortbragg/noyo_harbor,0.37,1.14,2.49,has_external_url,https://www.city.fortbragg.com/Home/Components/FacilityDirectory/FacilityDirectory/10/72,https://en.wikivoyage.org/wiki/Fort_Bragg
northamerica/unitedstates/florida/fortlauderdale,Fort Lauderdale,Fort Lauderdale,17,67,see,Antique Car Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.10216,-80.14349,Jaxson's Ice Cream,northamerica/unitedstates/florida/fortlauderdale/jaxsons_ice_cream,0.5,5.155,2.24,has_external_url,https://www.antiquecarmuseum.net/,https://en.wikivoyage.org/wiki/Fort_Lauderdale
northamerica/unitedstates/illinois/peoria,Peoria,Peoria (Illinois),15,28,see,Peoria Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.7155,-89.5742,Peoria City Hall,northamerica/unitedstates/illinois/peoria/peoria_city_hall,0.538,3.018,2.71,has_external_url,http://www.peoriazoo.org/,https://en.wikivoyage.org/wiki/Peoria_%28Illinois%29
northamerica/unitedstates/massachusetts/newbedford,New Bedford,New Bedford,7,23,see,Buttonwood Park Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.63,-70.9527,New Bedford Art Museum,northamerica/unitedstates/massachusetts/newbedford/new_bedford_art_museum,0.39,2.213,1.685,has_external_url,http://www.bpzoo.org/,https://en.wikivoyage.org/wiki/New_Bedford
northamerica/unitedstates/newhampshire/hanover,Hanover,Hanover (New Hampshire),10,28,see,Montshire Museum of Science,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.700278,-72.305278,Hood Museum of Art,northamerica/unitedstates/newhampshire/hanover/hood_museum_of_art,0.533,1.397,1.312,has_external_url,http://www.montshire.org,https://en.wikivoyage.org/wiki/Hanover_%28New_Hampshire%29
northamerica/unitedstates/newyorkstate/troy,Troy,Troy (New York),7,34,do,Sanctuary for Independent Media,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.753358,-73.681425,Troy Savings Bank Music Hall,northamerica/unitedstates/newyorkstate/troy/troy_savings_bank_music_hall,0.373,2.69,2.902,has_external_url,http://www.mediasanctuary.org,https://en.wikivoyage.org/wiki/Troy_%28New_York%29
northamerica/unitedstates/pennsylvania/erie,Erie,Erie,12,36,do,Waldameer Park and Water World,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.1087,-80.1555,Warner Theatre,northamerica/unitedstates/pennsylvania/erie/warner_theatre,0.364,6.299,6.236,has_external_url,http://www.waldameer.com/,https://en.wikivoyage.org/wiki/Erie
northamerica/unitedstates/tennessee/clarksville,Clarksville,Clarksville (Tennessee),8,24,see,Don F. Pratt Memorial Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.6384,-87.4549,Downtown Historic District,northamerica/unitedstates/tennessee/clarksville/downtown_clarksville,0.377,14.991,14.991,has_external_url,http://www.fortcampbell.com/pratt.php,https://en.wikivoyage.org/wiki/Clarksville_%28Tennessee%29
northamerica/unitedstates/washington/auburn,Auburn,Auburn (Washington),7,16,do,Flaming Geyser State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.2722,-122.023,Green River Trail,northamerica/unitedstates/washington/auburn/green_river_trail,0.333,15.354,15.983,has_external_url,https://www.parks.wa.gov/504/Flaming-Geyser,https://en.wikivoyage.org/wiki/Auburn_%28Washington%29
southamerica/colombia/neiva,Neiva,Neiva,6,13,see,Jardín Botánico de Neiva 'Bertha Hernández de Ospina' Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,2.89748,-75.27114,San Agustín Archaeological Park,southamerica/colombia/neiva/parque_arqueologico_san_agustin,0.494,158.099,15.126,has_external_url,https://www.facebook.com/Reserva-Jard%C3%ACn-Bot%C3%A0nico-199991030816442/,https://en.wikivoyage.org/wiki/Neiva
