candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/algeria/constantine,Constantine,Constantine,see,Bois de la Légion d'Honneur,36.372222,6.633611,has coordinates; has description; high-value type,Old Medina,0.323,1.908,https://en.wikivoyage.org/wiki/Constantine
1.0,africa/nigeria/jos,Jos,Jos,see,Jos Museum and Zoo,9.94573,8.97615,has coordinates; has description; high-value type,Jos National Museum,0.541,10.306,https://en.wikivoyage.org/wiki/Jos
1.0,africa/nigeria/sokoto,Sokoto,Sokoto,see,IBB CENTER UDUS,13.12709,5.20373,has coordinates; has description; high-value type,Sokoto Central Mosque,0.444,7.44,https://en.wikivoyage.org/wiki/Sokoto
1.0,africa/nigeria/sokoto,Sokoto,Sokoto,see,Skyland Park and Wellness Center,13.0185,5.20933,has coordinates; has description; high-value type,Sultan's Palace,0.426,6.874,https://en.wikivoyage.org/wiki/Sokoto
1.0,africa/rwanda/kigali,Kigali,Kigali,see,Belgian Peacekeepers Memorial,-1.95804,30.06292,has coordinates; has description; high-value type,Gisimba Memorial Centre,0.462,2.265,https://en.wikivoyage.org/wiki/Kigali
1.0,africa/rwanda/kigali,Kigali,Kigali,see,Kandt House Museum,-1.94664,30.05324,has coordinates; has description; high-value type,Kigali Genocide Memorial,0.429,1.157,https://en.wikivoyage.org/wiki/Kigali
1.0,africa/southafrica/capetown,Cape Town,Cape Town,see,Galleria Gibello,-33.935623,18.408918,has coordinates; has description; high-value type,Signal Hill,0.519,2.255,https://en.wikivoyage.org/wiki/Cape_Town
1.0,africa/southafrica/capetown,Cape Town,Cape Town,see,Phoenix Dance Company,-33.88687,18.679415,has coordinates; has description; high-value type,Josephine Mill,0.4,21.8,https://en.wikivoyage.org/wiki/Cape_Town
1.0,africa/sudan/portsudan,Port Sudan,Port Sudan,see,Virgin Mary Church of Port Sudan,19.6175,37.2217,has coordinates; has description; high-value type,Suakin,0.211,58.101,https://en.wikivoyage.org/wiki/Port_Sudan
1.0,africa/tanzania/zanzibar/stonetown,Stone Town,Stone Town,see,Livingstone's House,-6.15836,39.20224,has coordinates; has description; high-value type,Tippu Tip's House,0.5,1.798,https://en.wikivoyage.org/wiki/Stone_Town
1.0,africa/tunisia/jerba,Jerba,Djerba,see,Fadhloun Mosque,33.824743,10.959217,has coordinates; has description; high-value type,Houmt Souk Medina,0.375,10.921,https://en.wikivoyage.org/wiki/Djerba
1.0,africa/tunisia/jerba,Jerba,Djerba,see,St. Nicholas Greek Orthodox Church,33.8845,10.8562,has coordinates; has description; high-value type,Houmt Souk Medina,0.24,1.024,https://en.wikivoyage.org/wiki/Djerba
1.0,africa/zambia/lusaka,Lusaka,Lusaka,see,Anglican Cathedral of the Holy Cross,-15.41882,28.30372,has coordinates; has description; high-value type,Munda Wanga Environmental Park,0.355,16.245,https://en.wikivoyage.org/wiki/Lusaka
1.0,africa/zambia/lusaka,Lusaka,Lusaka,see,Henry Tayali Gallery,-15.397,28.3128,has coordinates; has description; high-value type,Kabwata Cultural Village,0.364,4.081,https://en.wikivoyage.org/wiki/Lusaka
1.0,asia/afghanistan/ghazni,Ghazni,Ghazni,see,Ruins of Tapa Sardār,33.534457,68.450374,has coordinates; has description; high-value type,Tomb of Sultan Mahmud,0.439,7.32,https://en.wikivoyage.org/wiki/Ghazni
1.0,asia/bahrain/manama,Manama,Manama,see,Barbar Temple,26.22612,50.484154,has coordinates; has description; high-value type,Bahrain Fort (Qal'at al-Bahrain),0.48,3.729,https://en.wikivoyage.org/wiki/Manama
1.0,asia/bahrain/manama,Manama,Manama,see,Council of Representatives Building,26.226615,50.602759,has coordinates; has description; high-value type,Al Fateh Grand Mosque,0.286,0.979,https://en.wikivoyage.org/wiki/Manama
1.0,asia/brunei/kualabelait,Kuala Belait,Kuala Belait,see,Jalan Pretty,4.58284,114.1918,has coordinates; has description; high-value type,Belait District Museum,0.311,0.689,https://en.wikivoyage.org/wiki/Kuala_Belait
1.0,asia/brunei/kualabelait,Kuala Belait,Kuala Belait,see,Kampong Pandan Mosque,4.58632,114.23244,has coordinates; has description; high-value type,Belait District Museum,0.326,4.592,https://en.wikivoyage.org/wiki/Kuala_Belait
1.0,asia/china/anhui/hefei,Hefei,Hefei,see,Anhui Hall of Fame,31.85333,117.17957,has coordinates; has description; high-value type,Anhui Provincial Museum,0.537,9.909,https://en.wikivoyage.org/wiki/Hefei
1.0,asia/china/anhui/hefei,Hefei,Hefei,see,Dashu mountain,31.840674,117.170715,has coordinates; has description; high-value type,Chaohu Lake,0.4,41.064,https://en.wikivoyage.org/wiki/Hefei
1.0,asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,see,Fu Forest Trail,26.0918,119.2647,has coordinates; has description; high-value type,Fuzhou Confucian Temple,0.316,3.461,https://en.wikivoyage.org/wiki/Fuzhou
1.0,asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,see,Fujian Science and Technology Museum,26.078974,119.305507,has coordinates; has description; high-value type,Fujian Museum,0.531,3.087,https://en.wikivoyage.org/wiki/Fuzhou
