world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/hubei/jingmen,Jingmen,Jingmen,5,8,do,Jingmen Garden Expo Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.02,112.18,Jingmen Museum,asia/china/hubei/jingmen/jingmen_museum,0.474,3.082,2.929,needs_external_source,,https://en.wikivoyage.org/wiki/Jingmen
europe/norway/flm,Flåm,Flåm,5,23,see,Gallery Vinjum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.9057633,7.1882311,Ægir Brewery,europe/norway/flm/aegir_brewery,0.32,6.26,6.252,needs_external_source,,https://en.wikivoyage.org/wiki/Fl%C3%A5m
northamerica/unitedstates/massachusetts/pittsfield,Pittsfield,Pittsfield,11,32,do,Canoe Meadows Wildlife Sanctuary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.430527,-73.237482,Colonial Theatre,northamerica/unitedstates/massachusetts/pittsfield/colonial_theatre,0.292,2.203,2.397,needs_external_source,,https://en.wikivoyage.org/wiki/Pittsfield
asia/india/maharashtra/lonavala,Lonavala,Lonavla,9,17,see,Kune Falls,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.7625,73.381389,Chai Stalls,asia/india/maharashtra/lonavala/chai_stalls,0.476,3.029,3.01,needs_external_source,,https://en.wikivoyage.org/wiki/Lonavla
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,do,Kemujan Island,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-5.799938,110.466688,Karimunjawa Village,asia/indonesia/java/karimunjawa/karimunjawa_village,0.545,9.012,9.614,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
asia/iran/kishisland,Kish island,Kish Island,8,30,see,The Ancient Town of Harireh,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.567034,53.973942,Harireh Ancient City,asia/iran/kishisland/harireh_ancient_city,0.419,2.592,3.56,needs_external_source,,https://en.wikivoyage.org/wiki/Kish_Island
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Museum of Fine Arts,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.9353,58.3747,National Museum of Turkmenistan,asia/turkmenistan/ashgabat/national_museum,0.48,,12.172,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
asia/indonesia/maluku/ternate,Ternate,Ternate,5,27,see,Batu Angus,0.89,candidate,has coordinates; has description; high-value type; strong travel term,0.84641,127.36585,Fort Oranje,asia/indonesia/maluku/ternate/fort_oranje,0.381,6.398,7.075,needs_external_source,,https://en.wikivoyage.org/wiki/Ternate
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Museum of Life and Ethnography of the Western Region,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.9453,24.6998,Art Museum of Prykarpattia,europe/ukraine/ivanofrankivsk/art_museum,0.378,2.509,2.623,needs_external_source,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
northamerica/unitedstates/newjersey/toms_river,Toms River,Toms River,14,31,do,Toms River Skate Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.98876,-74.1844,Island Beach State Park,northamerica/unitedstates/newjersey/toms_river/island_beach_state_park,0.545,21.944,4.13,needs_external_source,,https://en.wikivoyage.org/wiki/Toms_River
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Neutrality Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.8821,58.3333,Earthquake Monument and Ruhy Mosque,asia/turkmenistan/ashgabat/earthquake_monument_ruhy_mosque,0.444,,10.552,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth,Plymouth,Plymouth (England),13,55,see,Plympton Castle,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.383825,-4.049781,Smeaton's Tower,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth/smeatons_tower,0.533,7.007,6.712,needs_external_source,,https://en.wikivoyage.org/wiki/Plymouth_%28England%29
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,see,La Creu Benidorm,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.53169,-0.09594,Levante Beach,europe/spain/spanishcostas/benidorm/levante_beach,0.308,2.527,3.05,needs_external_source,,https://en.wikivoyage.org/wiki/Benidorm
asia/pakistan/azad_kashmir/muzaffar_abad,Muzaffarabad,Muzaffarabad,4,11,see,Jalalabad Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.3604,73.4764,Neelum Valley,asia/pakistan/azad_kashmir/muzaffar_abad/neelum_valley,0.276,27.366,1.21,needs_external_source,,https://en.wikivoyage.org/wiki/Muzaffarabad
asia/palestinianauthority/jenin,Jenin,Jenin,7,12,see,Belameh tunnels,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.441906,35.288483,Fatima Khatun Mosque,asia/palestinianauthority/jenin/fatima_khatun_mosque,0.4,2.566,2.366,needs_external_source,,https://en.wikivoyage.org/wiki/Jenin
europe/ireland/sligo,Sligo,Sligo,17,38,see,Creevelea Abbey,0.89,candidate,has coordinates; has description; high-value type; strong travel term,54.2313,-8.3097,Sligo Abbey,europe/ireland/sligo/sligo_abbey,0.538,11.308,11.664,needs_external_source,,https://en.wikivoyage.org/wiki/Sligo
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,Alameda Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.4283,-119.7048,Santa Barbara County Courthouse,northamerica/unitedstates/california/santa_barbara/county_courthouse,0.511,0.489,0.716,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Barbara
asia/japan/honshu/hiroshima,Hiroshima,Hiroshima,8,99,see,Fudoin,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.427036,132.637783,A-Bomb Dome (Genbaku Dome),asia/japan/honshu/hiroshima/abomb_dome,0.267,17.254,17.511,needs_external_source,,https://en.wikivoyage.org/wiki/Hiroshima
europe/macedonia/bitola,Bitola,Bitola,6,65,see,Officer's Hall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.024167,21.337222,Širok Sokak,europe/macedonia/bitola/sirok_sokak,0.417,1.017,1.013,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Hågadalen-Nåsten,0.89,candidate,has coordinates; has description; high-value type; strong travel term,59.822667,17.5745,Linnaeus Garden and Museum,europe/sweden/uppsala/linnaeus_garden,0.524,5.545,5.369,needs_external_source,,https://en.wikivoyage.org/wiki/Uppsala
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,do,Senvagė,0.89,candidate,has coordinates; has description; high-value type; strong travel term,55.7313,24.3632,Laisvės Square and Christ the King Cathedral,europe/lithuania/panevezys/laisves_square_cathedral,0.542,0.458,0.49,needs_external_source,,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
asia/srilanka/trincomalee,Trincomalee,Trincomalee,8,26,do,Snorkelling,0.89,candidate,has coordinates; has description; high-value type; strong travel term,8.72183,81.20433,Fort Frederick,asia/srilanka/trincomalee/fort_frederick,0.32,16.797,16.505,needs_external_source,,https://en.wikivoyage.org/wiki/Trincomalee
asia/tajikistan/khojend,Khujand,Khujand,6,27,see,Somoni Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.29528,69.61567,Lenin Statue,asia/tajikistan/khojend/lenin_statue,0.348,2.361,1.88,needs_external_source,,https://en.wikivoyage.org/wiki/Khujand
asia/india/mizoram/aizawl,Aizawl,Aizawl,6,7,do,Lalsavunga Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.6725,92.7164,Durtlang Hills,asia/india/mizoram/aizawl/durtlang_hills,0.345,13.422,6.084,needs_external_source,,https://en.wikivoyage.org/wiki/Aizawl
asia/oman/musandampeninsula/khasab,Khasab,Khasab,4,38,do,Bassa Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.21188,56.2385,Khasab Fort,asia/oman/musandampeninsula/khasab/khasab_fort,0.364,3.145,3.2,needs_external_source,,https://en.wikivoyage.org/wiki/Khasab
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,see,Museum TNI AL Loka Jala Çrana,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.22626,112.718627,House of Sampoerna,asia/indonesia/java/surabaya/house_of_sampoerna,0.435,1.791,3.072,needs_external_source,,https://en.wikivoyage.org/wiki/Surabaya
africa/nigeria/zaria,Zaria,Zaria,7,19,see,Zaria City Wall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,11.07818,7.64147,Barewa College,africa/nigeria/zaria/barewa_college,0.483,6.317,6.041,needs_external_source,,https://en.wikivoyage.org/wiki/Zaria
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,do,Hetou Old Street,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.56,118.08,Nanhu Ecological Park,asia/china/hebei/tangshan/nanhu_park,0.378,9.56,8.66,needs_external_source,,https://en.wikivoyage.org/wiki/Tangshan
europe/germany/saxonyanhalt/wernigerode,Wernigerode,Wernigerode,9,54,see,Orangery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.834716,10.79554,Wernigerode Castle,europe/germany/saxonyanhalt/wernigerode/wernigerode_castle,0.508,0.492,0.639,needs_external_source,,https://en.wikivoyage.org/wiki/Wernigerode
northamerica/costarica/heredia,Heredia,Heredia,7,59,do,Sendero Tururu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.0238,-84.1208,Parque Central,northamerica/costarica/heredia/parque_central,0.286,2.882,2.426,needs_external_source,,https://en.wikivoyage.org/wiki/Heredia
australiaandpacific/newzealand/north_island/hawkes_bay/wairoa,Wairoa,Wairoa,5,13,do,Gaiety Theatre,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-39.0338,177.4248,Portland Island Lighthouse,australiaandpacific/newzealand/north_island/hawkes_bay/wairoa/portland_lighthouse,0.518,0.482,0.654,needs_external_source,,https://en.wikivoyage.org/wiki/Wairoa
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,see,Vsevolod Sysoyev Far Eastern Zoo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.49285,135.06695,Far Eastern Art Museum,europe/russia/khabarovsk/art_museum,0.444,1.671,1.689,needs_external_source,,https://en.wikivoyage.org/wiki/Khabarovsk
asia/japan/honshu/matsumoto,Matsumoto,Matsumoto,10,18,see,Uchibuse River French Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.161431,138.023428,Matsumoto City Museum of Art,asia/japan/honshu/matsumoto/matsumoto_city_museum_of_art,0.373,9.12,9.848,needs_external_source,,https://en.wikivoyage.org/wiki/Matsumoto
africa/ghana/accra,Accra,Accra,35,73,do,Densu Delta Protected Area,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.5299,-0.2994,Independence Square,africa/ghana/accra/independence_square,0.4,11.754,14.902,needs_external_source,,https://en.wikivoyage.org/wiki/Accra
europe/germany/saxony/chemnitz,Chemnitz,Chemnitz,15,31,see,Kulturpalast,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.820330950000056,12.828815045157256,Karl Marx Monument,europe/germany/saxony/chemnitz/karl_marx_monument,0.333,6.858,6.468,needs_external_source,,https://en.wikivoyage.org/wiki/Chemnitz
europe/macedonia/strumica,Strumica,Strumica,6,34,see,Church of the Assumption,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.475833,22.641667,Vodoča Monastery,europe/macedonia/strumica/vodoca_monastery,0.294,5.649,4.111,needs_external_source,,https://en.wikivoyage.org/wiki/Strumica
europe/germany/saxonyanhalt/wernigerode,Wernigerode,Wernigerode,9,54,see,Kleine Renne,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.8113,10.7044,Kleinstes Haus (Smallest House),europe/germany/saxonyanhalt/wernigerode/kleinste_haus,0.538,6.046,6.185,needs_external_source,,https://en.wikivoyage.org/wiki/Wernigerode
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,do,Golden Whip Stream,0.89,candidate,has coordinates; has description; high-value type; strong travel term,29.337094,110.439173,Tianmen Mountain Skywalk,asia/china/hunan/zhangjiajie/tianmen_skywalk,0.333,32.178,23.934,needs_external_source,,https://en.wikivoyage.org/wiki/Zhangjiajie
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Hagglers Corner,0.89,candidate,has coordinates; has description; high-value type; strong travel term,53.364679,-1.471311,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.345,1.243,1.783,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
northamerica/mexico/monterrey,Monterrey,Monterrey,13,31,do,Cerro de la Silla,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.6325623,-100.2350374,Barrio Antiguo,northamerica/mexico/monterrey/barrio_antiguo,0.4,8.044,9.632,needs_external_source,,https://en.wikivoyage.org/wiki/Monterrey
