world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/lappeenranta,Lappeenranta,Lappeenranta,7,21,see,Jewellery museum,0.79,candidate,has coordinates; has description; high-value type; strong travel term,60.7902,28.012,South Karelia Museum,europe/finland/lappeenranta/south_karelia_museum,0.5,32.044,31.346,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lappeenranta
asia/india/maharashtra/konkan/dapoli,Dapoli,Dapoli,4,22,see,Khem Padmavati,0.79,candidate,has coordinates; has description; high-value type; strong travel term,17.69066,73.50345,Karde Beach,asia/india/maharashtra/konkan/dapoli/karde_beach,0.32,35.457,34.168,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Dapoli
asia/china/guangdong/zhuhai,Zhuhai,Zhuhai,6,68,see,Jintai Buddhist Temple,0.79,candidate,has coordinates; has description; high-value type; strong travel term,22.22742,113.22396,Gongbei Border District,asia/china/guangdong/zhuhai/gongbei_border,0.444,32.498,33.865,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhuhai
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Hardy River,0.79,candidate,has coordinates; has description; high-value type; strong travel term,32.17067,-115.30394,Plaza de los Tres Poderes,northamerica/mexico/mexicali/plaza_tres_poderes,0.345,55.559,52.362,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mexicali
northamerica/mexico/tulum,Tulum,Tulum,27,59,do,Coba,0.79,candidate,has coordinates; has description; high-value type; strong travel term,20.4912827,-87.725294,El Tábano,northamerica/mexico/tulum/el_tabano,0.4,44.169,41.264,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Tulum
northamerica/unitedstates/arizona/yuma,Yuma,Yuma,6,33,do,Telegraph Pass Trail,0.79,candidate,has coordinates; has description; high-value type; strong travel term,32.663042,-114.362104,Lute's Casino,northamerica/unitedstates/arizona/yuma/lutes_casino,0.424,24.776,25.093,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yuma
asia/china/gansu/zhangye,Zhangye,Zhangye,3,22,see,Zhangye Danxia National Geological Park (Binggou Danxia),0.79,candidate,has coordinates; has description; high-value type; strong travel term,38.971607,99.898029,Zhangye City Museum,asia/china/gansu/zhangye/zhangye_museum,0.345,48.008,48.356,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangye
northamerica/unitedstates/montana/glaciernp,Glacier National Park,Glacier National Park (Montana),0,22,see,Looking Glass Hill Road,0.79,candidate,has coordinates; has description; high-value type; strong travel term,48.526,-113.305,,,0.0,,43.918,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Glacier_National_Park_%28Montana%29
europe/austria/graz,Graz,Graz,14,117,see,Riegersburg,0.79,candidate,has coordinates; has description; high-value type; strong travel term,47.0043234,15.9323747,Stainzerbauer,europe/austria/graz/stainzerbauer,0.5,38.058,38.166,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Graz
europe/finland/inari,Inari,Inari,9,26,see,Korkia-Maura Ice Cave,0.79,candidate,has coordinates; has description; high-value type; strong travel term,68.8387,27.6458,Aurora Borealis Viewing,europe/finland/inari/aurora_viewing,0.409,25.921,25.949,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Inari
africa/kenya/nairobi,Nairobi,Nairobi,30,113,see,Swara Plains Conservancy,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-1.478,37.083,Kenyatta International Conference Centre,africa/kenya/nairobi/kenyatta_international_conference_centre,0.406,36.038,34.33,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nairobi
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Zolochiv,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.8055,24.8991,Lychakiv Cemetery,europe/ukraine/lviv/lychakiv_cemetery,0.4,60.183,62.363,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lviv
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Toolakea Beach,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-19.144444,146.577778,Queensland Museum Tropics,australiaandpacific/australia/queensland/townsville/queensland_museum_tropics,0.256,28.566,28.721,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Townsville
europe/hungary/budapest,Budapest,Budapest,57,94,see,Gödöllő,0.79,candidate,has coordinates; has description; high-value type; strong travel term,47.606,19.354,Gundel,europe/hungary/budapest/gundel,0.5,23.082,26.44,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Budapest
asia/china/fujianprovince/ningde,Ningde,Ningde,4,17,do,Shouning Shibi Mountain,0.79,candidate,has coordinates; has description; high-value type; strong travel term,27.1,119.5,Taimu Mountain,asia/china/fujianprovince/ningde/taimu_mountain,0.541,70.974,47.855,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ningde
europe/russia/karelia/kizhi,Kizhi,Kizhi,0,5,see,Church of the Intercession,0.79,candidate,has coordinates; has description; high-value type; strong travel term,62.06736,35.22373,,,0.0,,55.577,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kizhi
asia/china/heilongjiang/mohe,Mohe,Mohe,4,31,see,May 6th Fire Memorial Hall (五六火灾纪念馆),0.79,candidate,has coordinates; has description; high-value type; strong travel term,52.972,122.538,Ice and Snow Festival,asia/china/heilongjiang/mohe/ice_and_snow_festival,0.298,56.183,56.183,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mohe
asia/china/shanxiprovince/linfen,Linfen,Linfen,6,36,do,Dingcun village,0.79,candidate,has coordinates; has description; high-value type; strong travel term,35.84088,111.41362,Feihong Pagoda,asia/china/shanxiprovince/linfen/feihong_pagoda,0.414,53.621,29.069,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Linfen
asia/china/hebei/baoding,Baoding,Baoding,5,23,see,Yesanpo National Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,39.1,115.03,Baiyang Lake,asia/china/hebei/baoding/baiyang_lake,0.424,82.05,47.812,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Baoding
asia/kyrgyzstan/osh,Osh,Osh,14,20,see,Abshyr-Ata Waterfall,0.79,candidate,has coordinates; has description; high-value type; strong travel term,40.1566,72.3669,Osh Bazaar (Jayma),asia/kyrgyzstan/osh/osh_bazaar,0.467,55.61,55.193,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Osh
australiaandpacific/newzealand/chathamislands,Chatham Islands,Chatham Islands,6,37,see,Museum,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-43.95208,-176.56098,Waitangi,australiaandpacific/newzealand/chathamislands/waitangi,0.26,0.74,30.167,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chatham_Islands
northamerica/unitedstates/louisiana/shreveport,Shreveport,Shreveport,21,43,see,Three Corners Marker,0.79,candidate,has coordinates; has description; high-value type; strong travel term,33.01922,-94.042963,Shreveport Water Works Museum,northamerica/unitedstates/louisiana/shreveport/water_works_museum,0.49,61.841,62.638,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Shreveport
asia/india/orissa/sambalpur,Sambalpur,Sambalpur,3,19,see,Debrigadh Willife Sanctury,0.79,candidate,has coordinates; has description; high-value type; strong travel term,21.557097,83.646108,Hirakud Dam,asia/india/orissa/sambalpur/hirakud_dam,0.162,,52.411,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Sambalpur
northamerica/unitedstates/oregon/bend,Bend,Bend,14,47,see,Elk Lake,0.79,candidate,has coordinates; has description; high-value type; strong travel term,43.9742,-121.802,Pine Tavern,northamerica/unitedstates/oregon/bend/pine_tavern,0.421,40.164,40.023,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Bend
africa/botswana/gaborone,Gaborone,Gaborone,6,46,do,Otse Village,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-25.03661,25.74885,Kgale Hill,africa/botswana/gaborone/kgale_hill,0.455,39.751,45.08,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Gaborone
europe/albania/elbasan,Elbasan,Elbasan,8,29,do,Gjinar,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.118,20.457,Church of Saint Mary,europe/albania/elbasan/church_of_saint_mary,0.308,31.371,31.404,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Elbasan
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Morse Reservoir,0.79,candidate,has coordinates; has description; high-value type; strong travel term,40.1103812,-86.0815742,Garfield Park and Conservatory,northamerica/unitedstates/indiana/indianapolis/garfield_park_conservatory,0.444,42.451,38.598,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Indianapolis
asia/china/hubei/yichang,Yichang,Yichang,3,40,see,Yuquan Temple,0.79,candidate,has coordinates; has description; high-value type; strong travel term,30.77271299,111.66955657,Yangtze River Cruise,asia/china/hubei/yichang/yangtze_river_cruise,0.364,37.662,37.676,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yichang
northamerica/mexico/chetumal,Chetumal,Chetumal,7,36,do,Balneario Obregon Viejo,0.79,candidate,has coordinates; has description; high-value type; strong travel term,18.3080841,-88.6085789,Maqueta Payo Obispo,northamerica/mexico/chetumal/maqueta_payo_obispo,0.429,40.234,39.447,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chetumal
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,see,Maoyanhejiutiandong,0.79,candidate,has coordinates; has description; high-value type; strong travel term,29.323941,110.120295,Tianmen Mountain,asia/china/hunan/zhangjiajie/tianmen_mountain,0.286,46.265,41.657,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangjiajie
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,see,Yuanshan National Forest Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,36.4872,117.8425,Zhoucun Ancient Commercial Street,asia/china/shandong_province/zibo/zhoucun_ancient_town,0.355,38.767,37.774,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zibo
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,see,Fort Patua,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-5.73053,123.928275,,,0.0,,59.759,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Wakatobi
europe/austria/salzburg,Salzburg,Salzburg,44,66,see,Lammer Gorge,0.79,candidate,has coordinates; has description; high-value type; strong travel term,47.585,13.2661,Museum der Moderne,europe/austria/salzburg/museum_der_moderne,0.467,28.993,28.842,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Salzburg
