world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,Werwolf (Wehrmacht headquarters),0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.30694,28.4949,Werwolf Bunker (Strizhavka),europe/ukraine/vinnista/werwolf_bunker,0.667,3.196,8.436,has_external_url,https://vinnytsia-museum.in.ua/branches/memorial-compex/wehrwolf,https://en.wikivoyage.org/wiki/Vinnytsia
asia/philippines/iloilo_city,Iloilo City,Iloilo City,6,86,see,Nelly Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.7187,122.5621,La Paz Market and Batchoy,asia/philippines/iloilo_city/la_paz_batchoy,0.658,0.342,0.167,has_external_url,https://www.facebook.com/nellygardeniloilo/,https://en.wikivoyage.org/wiki/Iloilo_City
northamerica/unitedstates/northdakota/fargo,Fargo,Fargo,5,66,do,Fargo-Moorhead Redhawks,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.898165,-96.804641,Fargo Theatre,northamerica/unitedstates/northdakota/fargo/fargo_theatre,0.611,2.47,2.59,has_external_url,http://www.fmredhawks.com,https://en.wikivoyage.org/wiki/Fargo
europe/croatia/zagreb,Zagreb,Zagreb,42,133,see,Maksimir Park & Zagreb Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.8292,16.0207,Maksimir Park,europe/croatia/zagreb/maksimir_park,0.634,0.617,3.396,has_external_url,https://zoo.hr/english/,https://en.wikivoyage.org/wiki/Zagreb
africa/angola/luanda,Luanda,Luanda,10,32,see,National Museum of Anthropology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-8.817053,13.23754,The Marginal,africa/angola/luanda/the_marginal,0.597,0.403,1.337,has_external_url,http://www.museuantropologia.angoladigital.net/,https://en.wikivoyage.org/wiki/Luanda
europe/austria/melk,Melk,Melk,5,24,see,Artstetten Castle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.242617,15.202577,Albrechtsberg Castle,europe/austria/melk/albrechtsberg_castle,0.649,14.085,10.102,has_external_url,http://www.schloss-artstetten.at/index.php/en/,https://en.wikivoyage.org/wiki/Melk
europe/hungary/sopron,Sopron,Sopron,9,234,see,Former Zichy-Meskó Palace,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68536,16.59036,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.646,0.354,0.821,has_external_url,http://turizmus.sopron.hu/hu/info/latnivalok/muemlekek/zichymesko-palota.html,https://en.wikivoyage.org/wiki/Sopron
southamerica/ecuador/quito,Quito,Quito,25,61,see,Museo Nacional -- MuNa (formerly Museo del Banco Central),0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-0.21008,-78.4954,Museo Camilo Egas,southamerica/ecuador/quito/museo_camilo_egas,0.556,1.737,2.191,has_external_url,http://muna.culturaypatrimonio.gob.ec/,https://en.wikivoyage.org/wiki/Quito
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,see,Idaho State Historical Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.610639,-116.205566,Idaho State Capitol,northamerica/unitedstates/idaho/boise/idaho_state_capitol,0.625,0.92,0.762,has_external_url,https://history.idaho.gov/location/museum/,https://en.wikivoyage.org/wiki/Boise
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,see,Casa-Museu Benlliure,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.48076,-0.37894,Torres de Serranos,europe/spain/spanishcostas/valencia/torres_de_serranos,0.693,0.307,1.251,has_external_url,http://www.visitvalencia.com/en/what-to-visit-valencia/museums/all-the-museums/museum/7465,https://en.wikivoyage.org/wiki/Valencia
northamerica/canada/britishcolumbia/burnaby,Burnaby,Burnaby,8,38,see,Barnet Marine Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.289581,-122.925465,Burnaby Mountain Park,northamerica/canada/britishcolumbia/burnaby/burnaby_mountain_park,0.667,0.645,6.169,has_external_url,https://www.burnaby.ca/explore-outdoors/parks/barnet-marine-park,https://en.wikivoyage.org/wiki/Burnaby
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Lapidarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.770135,9.167941,Musicland,europe/germany/badenwrttemberg/stuttgart/musicland,0.669,0.331,1.28,has_external_url,https://www.stadtpalais-stuttgart.de/museumsfamilie/staedtisches-lapidarium/,https://en.wikivoyage.org/wiki/Stuttgart
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Qianfo Mountain Scenic Spot,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.6452,117.0271,Qianfo Mountain,asia/china/shandong_province/jinan/qianfo_mountain,0.714,1.232,1.278,has_external_url,http://www.jnqianfoshan.com/,https://en.wikivoyage.org/wiki/Jinan
asia/japan/honshu/himeji,Himeji,Himeji,14,23,see,Historical Peace Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.821889,134.674139,Tegarayama Park,asia/japan/honshu/himeji/tegarayama_park,0.659,0.341,1.265,has_external_url,https://www.city.himeji.lg.jp/kanko/category/1-9-1-4-0-0-0-0-0-0.html,https://en.wikivoyage.org/wiki/Himeji
australiaandpacific/australia/victoria/midura,Mildura,Mildura,9,11,see,Mildura Holden Motor Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-34.174937,142.178349,Mildura Arts Centre,australiaandpacific/australia/victoria/midura/mildura_arts_centre,0.565,2.239,1.712,has_external_url,http://www.milduraholdenmuseum.com.au/,https://en.wikivoyage.org/wiki/Mildura
europe/denmark/fredrikshavn,Frederikshavn,Frederikshavn,7,44,see,Bangsbo Fort Bunker Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.406952999,10.515178999,Bangsbo Museum,europe/denmark/fredrikshavn/bangsbo_museum,0.7,1.26,3.965,has_external_url,http://www.visitfrederikshavn.dk/ln-int/kystmuseet-bangsbo-fort-gdk642440,https://en.wikivoyage.org/wiki/Frederikshavn
europe/slovenia/ljubljana,Ljubljana,Ljubljana,26,111,see,National Museum of Contemporary History,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.059109,14.495105,National Museum of Slovenia,europe/slovenia/ljubljana/national_museum,0.636,1.017,1.361,has_external_url,https://www.muzej-nz.si/en/,https://en.wikivoyage.org/wiki/Ljubljana
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,see,New Mexico Museum of Natural History and Science,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.0981,-106.665,American International Rattlesnake Museum,northamerica/unitedstates/newmexico/albuquerque/rattlesnake_museum,0.655,0.345,2.011,has_external_url,http://www.nmnaturalhistory.org/,https://en.wikivoyage.org/wiki/Albuquerque
northamerica/unitedstates/florida/titusville,Titusville,Titusville (Florida),10,20,see,American Police Hall of Fame and Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.5261,-80.7837,American Space Museum,northamerica/unitedstates/florida/titusville/american_space_museum,0.633,10.014,9.854,has_external_url,http://www.aphf.org/,https://en.wikivoyage.org/wiki/Titusville_%28Florida%29
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Hat Yai Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,7.042727,100.504054,Hat Yai Municipal Park,asia/thailand/hatyai/hat_yai_municipal_park,0.706,8.623,5.509,has_external_url,http://www.hatyaipark.com/,https://en.wikivoyage.org/wiki/Hat_Yai
europe/poland/zabrze,Zabrze,Zabrze,3,19,see,Coal Mining Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.3007,18.7854,Guido Mine and Coal Mining Museum,europe/poland/zabrze/guido_mine,0.706,1.24,0.883,has_external_url,https://www.muzeumgornictwa.pl/,https://en.wikivoyage.org/wiki/Zabrze
europe/netherlands/oss,Oss,Oss,4,10,see,The Water Tower,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.76565,5.51521,Jan Cunen Museum,europe/netherlands/oss/jan_cunen_museum,0.697,0.303,1.829,has_external_url,http://www.ossulumoskee.nl/,https://en.wikivoyage.org/wiki/Oss
europe/netherlands/delft,Delft,Delft,10,62,see,Synagoge Delft,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.008895,4.359976,Vermeer Centrum Delft,europe/netherlands/delft/vermeer_centrum,0.628,0.372,0.359,has_external_url,http://www.synagogedelft.nl/engels.htm,https://en.wikivoyage.org/wiki/Delft
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Helsingør Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.158889,10.190575,Aarhus Theatre,europe/denmark/aarhus/aarhus_theatre,0.581,1.299,1.751,has_external_url,http://www.dengamleby.dk/viden/der-var-engang-foer-1900/andet/helsingoer-theater/,https://en.wikivoyage.org/wiki/Aarhus
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,do,Sadovskyi Ukrainian Theatre of Music and Drama,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.23487,28.46369,Roshen Fountain,europe/ukraine/vinnista/roshen_fountain,0.618,0.382,0.382,has_external_url,http://www.theatre.vin.com.ua,https://en.wikivoyage.org/wiki/Vinnytsia
australiaandpacific/australia/newsouthwales/goulburn,Goulburn,Goulburn,7,28,see,Goulburn War Memorial,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-34.755507,149.736997,Rocky Hill War Memorial,australiaandpacific/australia/newsouthwales/goulburn/rocky_hill_war_memorial,0.636,2.019,1.609,has_external_url,http://www.goulburn.nsw.gov.au/Community/Museum2.aspx,https://en.wikivoyage.org/wiki/Goulburn
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Suwon Gwanggyo Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.296392,127.051402,Mr Toilet House,asia/southkorea/suwon/mr_toilet_house,0.653,0.347,3.364,has_external_url,http://ggmuseum.suwon.go.kr/index.do,https://en.wikivoyage.org/wiki/Suwon
asia/china/guizhou/guiyang,Guiyang,Guiyang,9,25,see,Guizhou Science and Technology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.57693,106.70173,Guizhou Provincial Museum,asia/china/guizhou/guiyang/guizhou_provincial_museum,0.645,1.967,0.672,has_external_url,http://gzstm.cn/,https://en.wikivoyage.org/wiki/Guiyang
asia/china/shaanxi/xianyang,Xianyang,Xianyang,3,11,see,Qingweilou Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.33600676718492,108.72887559523384,Xianyang Museum,asia/china/shaanxi/xianyang/xianyang_museum,0.556,3.482,1.938,has_external_url,http://www.qingweilou.org.cn/,https://en.wikivoyage.org/wiki/Xianyang
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Linden-Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.78266,9.17028,Mercedes-Benz Museum,europe/germany/badenwrttemberg/stuttgart/mercedes_benz_museum,0.606,4.584,0.853,has_external_url,https://www.lindenmuseum.de/en/,https://en.wikivoyage.org/wiki/Stuttgart
europe/poland/kielce,Kielce,Kielce,11,16,see,Historical Museum of Kielce,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.869769,20.634639,Kielce Boar Monument,europe/poland/kielce/kielce_boar,0.641,0.359,2.465,has_external_url,http://www.mhki.kielce.eu/,https://en.wikivoyage.org/wiki/Kielce
northamerica/unitedstates/southcarolina/charleston,Charleston,Charleston (South Carolina),9,61,see,St. John's Lutheran Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.7789,-79.9344,Charleston City Market,northamerica/unitedstates/southcarolina/charleston/city_market,0.611,0.389,1.18,has_external_url,http://www.stjohnscharleston.org,https://en.wikivoyage.org/wiki/Charleston_%28South_Carolina%29
europe/belgium/mons,Mons,Mons,5,29,see,Museum François Duesberg,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.453725,3.945151,Mons Memorial Museum,europe/belgium/mons/mons_memorial_museum,0.63,0.37,0.505,has_external_url,http://www.polemuseal.mons.be/en/duesberg?set_language=en,https://en.wikivoyage.org/wiki/Mons
europe/italy/campania/naples,Naples,Naples,50,160,see,Catacombe di San Gaudioso,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.8599,14.249,Catacombs of San Gennaro,europe/italy/campania/naples/catacombs_san_gennaro,0.694,0.321,2.67,has_external_url,http://www.catacombedinapoli.it/en/places/catacombs-of-san-gaudioso-naples,https://en.wikivoyage.org/wiki/Naples
