world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/sao_luis,São Luís,São Luís,72,24,do,Praia da Guia & Praia BomFim,0.85,candidate,has coordinates; has description; high-value type,-2.5287,-44.3272,Praia de Ponta d'Areia,southamerica/brazil/sao_luis/praia_de_ponta_dareia,0.531,5.504,3.423,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A3o_Lu%C3%ADs
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Tieniu Gate,0.85,candidate,has coordinates; has description; high-value type,29.5550037112,103.7627380059,Leshan Giant Buddha,asia/china/sichuanprovince/leshan/leshan_giant_buddha,0.4,1.535,1.132,needs_external_source,,https://en.wikivoyage.org/wiki/Leshan
europe/romania/turda,Turda,Turda,4,9,see,Castra Potaissa,0.85,candidate,has coordinates; has description; high-value type,46.5705,23.7724,Turda Main Square (Piața Republicii),europe/romania/turda/turda_main_square,0.5,0.977,1.015,needs_external_source,,https://en.wikivoyage.org/wiki/Turda
asia/china/innermongolia/wuhai,Wuhai,Wuhai,6,22,do,Wuhai International Wine and Food Festival,0.85,candidate,has coordinates; has description; high-value type,39.651182,106.797144,Wuhai Lake,asia/china/innermongolia/wuhai/wuhai_lake,0.497,0.503,2.5,needs_external_source,,https://en.wikivoyage.org/wiki/Wuhai
asia/china/shaanxi/yulin,Yulin,Yulin (Shaanxi),4,36,do,Zhen Taibei,0.85,candidate,has coordinates; has description; high-value type,38.33694,109.73154,Zhenbei Platform (Zhenbeitai),asia/china/shaanxi/yulin/zhenbei_platform,0.519,5.269,7.969,needs_external_source,,https://en.wikivoyage.org/wiki/Yulin_%28Shaanxi%29
europe/france/alpes/chamonix,Chamonix,Chamonix,19,38,do,Bellevue cable cars,0.85,candidate,has coordinates; has description; high-value type,45.8896,6.7889,Vallée Blanche,europe/france/alpes/chamonix/vallee_blanche,0.424,10.212,7.57,needs_external_source,,https://en.wikivoyage.org/wiki/Chamonix
asia/philippines/guimaras,Guimaras,Guimaras,11,29,do,Sunrise Valley Ocean View Resort,0.85,candidate,has coordinates; has description; high-value type,10.5692,122.6665,National Mango Research Center,asia/philippines/guimaras/guimaras_national_research_centre,0.419,6.835,4.677,needs_external_source,,https://en.wikivoyage.org/wiki/Guimaras
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,do,Crosby Festival of the Arts,0.85,candidate,has coordinates; has description; high-value type,41.6682,-83.6723,Toledo Museum of Art,northamerica/unitedstates/ohio/toledo/toledo_museum_of_art,0.419,9.508,11.301,needs_external_source,,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
asia/malaysia/bintulu,Bintulu,Bintulu,4,36,see,Kampung Jepak,0.85,candidate,has coordinates; has description; high-value type,3.1586,113.0425,Tua Pek Kong Temple,asia/malaysia/bintulu/tua_pek_kong_temple,0.375,4.697,3.249,needs_external_source,,https://en.wikivoyage.org/wiki/Bintulu
asia/china/anhui/maanshan,Ma'anshan,Ma'anshan,6,5,see,PUTANG,0.85,candidate,has coordinates; has description; high-value type,31.69913,118.6612,Lingjiatan Site,asia/china/anhui/maanshan/lingjiatan_site,0.286,63.295,15.501,needs_external_source,,https://en.wikivoyage.org/wiki/Ma%27anshan
asia/thailand/pai,Pai,Pai,11,33,do,Sor Wisarut Muay Thai,0.85,candidate,has coordinates; has description; high-value type,19.3572,98.4531,Wat Phra That Mae Yen,asia/thailand/pai/wat_phra_that_mae_yen,0.429,0.746,1.442,needs_external_source,,https://en.wikivoyage.org/wiki/Pai
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,see,Côte Saint-Amand,0.85,candidate,has coordinates; has description; high-value type,46.10321,3.454323,Église Saint-Louis,europe/france/centre/auvergne/vichy/eglise_saint_louis,0.485,3.22,3.493,needs_external_source,,https://en.wikivoyage.org/wiki/Vichy
europe/spain/catalonia/sant_feliu_de_guixols,Sant Feliu de Guíxols,Sant Feliu de Guíxols,10,40,do,Via Ferrada Cala del Molí,0.85,candidate,has coordinates; has description; high-value type,41.779357,3.043123,Camí de Ronda to Tossa de Mar,europe/spain/catalonia/sant_feliu_de_guixols/cami_de_ronda,0.429,0.839,1.327,needs_external_source,,https://en.wikivoyage.org/wiki/Sant_Feliu_de_Gu%C3%ADxols
asia/china/anhui/tongling,Tongling,Tongling,5,24,see,Tianmen Mountain,0.85,candidate,has coordinates; has description; high-value type,30.8785,117.696,Datong Ancient Town,asia/china/anhui/tongling/datong_ancient_town,0.4,11.059,13.664,needs_external_source,,https://en.wikivoyage.org/wiki/Tongling
asia/indonesia/bali/ubud,Ubud,Ubud,21,95,do,Taman Hati Yoga and Meditation Center,0.85,candidate,has coordinates; has description; high-value type,-8.525603,115.256799,Mandala Wisata Wenara Wana,asia/indonesia/bali/ubud/mandala_wisata_wen,0.413,0.802,2.119,needs_external_source,,https://en.wikivoyage.org/wiki/Ubud
asia/india/karnataka/mysore,Mysore,Mysore,14,82,see,Anjali Ashram,0.85,candidate,has coordinates; has description; high-value type,12.2908,76.68448,Karanji Lake,asia/india/karnataka/mysore/karanji_lake,0.48,2.191,4.929,needs_external_source,,https://en.wikivoyage.org/wiki/Mysore
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,do,Yueyang International Dragon Boat Festival,0.85,candidate,has coordinates; has description; high-value type,29.3802,113.1589,Yueyang Tower,asia/china/hunan/yueyang/yueyang_tower,0.4,6.859,3.214,needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang
europe/iceland/hveragerdi,Hveragerði,Hveragerði,6,8,see,Exhibition The Quake 2008,0.85,candidate,has coordinates; has description; high-value type,63.995421,-21.189574,NLFI Rehabilitation Centre,europe/iceland/hveragerdi/nlfi_rehabilitation_centre,0.383,0.894,0.277,needs_external_source,,https://en.wikivoyage.org/wiki/Hverager%C3%B0i
northamerica/mexico/colima,Colima,Colima,6,22,see,Jardín Hidalgo,0.85,candidate,has coordinates; has description; high-value type,19.23212382301982,-103.72907921014146,Jardin Libertad,northamerica/mexico/colima/jardin_libertad,0.483,1.364,1.325,needs_external_source,,https://en.wikivoyage.org/wiki/Colima
asia/india/jammuandkashmir/ladakh/leh,Leh,Leh,11,31,see,Karma Dupgyud Choeling,0.85,candidate,has coordinates; has description; high-value type,34.096447,77.601802,Khardung La,asia/india/jammuandkashmir/ladakh/leh/khardung_la,0.467,20.222,7.695,needs_external_source,,https://en.wikivoyage.org/wiki/Leh
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,The Arc,0.85,candidate,has coordinates; has description; high-value type,35.8385304,128.4661526,Seomun Market,asia/southkorea/dae_gu/seomun_market,0.25,11.144,12.725,needs_external_source,,https://en.wikivoyage.org/wiki/Daegu
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Wushan Square,0.85,candidate,has coordinates; has description; high-value type,30.24102,120.16022,Hefang Street (Qinghefang Old Street),asia/china/zhejiang/hangzhou/hefang_street,0.538,0.596,4.413,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/indonesia/java/semarang,Semarang,Semarang,8,164,do,Kampung Anggrek Sodong,0.85,candidate,has coordinates; has description; high-value type,-7.079688,110.329437,Tawang Railway Station,asia/indonesia/java/semarang/semarang_tawang_station,0.409,16.798,14.316,needs_external_source,,https://en.wikivoyage.org/wiki/Semarang
asia/china/shanxiprovince/taiyuan,Taiyuan,Taiyuan,45,70,see,Fenhe Scenic Area,0.85,candidate,has coordinates; has description; high-value type,37.8446,112.5324,Taiyuan Botanical Garden,asia/china/shanxiprovince/taiyuan/taiyuan_botanic_garden,0.439,13.406,3.246,needs_external_source,,https://en.wikivoyage.org/wiki/Taiyuan
asia/myanmar/mrauku,Mrauk-U,Mrauk U,11,21,see,Launggret and Parein,0.85,candidate,has coordinates; has description; high-value type,20.566911,93.242468,Mrauk-U Palace Site,asia/myanmar/mrauku/mrauku_palace,0.41,5.897,5.893,needs_external_source,,https://en.wikivoyage.org/wiki/Mrauk_U
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,City Gate,0.85,candidate,has coordinates; has description; high-value type,22.373741,91.7734593,Foy's Lake,asia/bangladesh/chittagong/foys_lake,0.421,1.891,7.686,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
northamerica/mexico/doloreshidalgo,Dolores Hidalgo,Dolores Hidalgo,5,17,see,Independence Statue,0.85,candidate,has coordinates; has description; high-value type,21.15823,-100.91675,Jardín Principal,northamerica/mexico/doloreshidalgo/jardin_principal,0.229,2.261,2.216,needs_external_source,,https://en.wikivoyage.org/wiki/Dolores_Hidalgo
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Pingqiang Little Three Gorges,0.85,candidate,has coordinates; has description; high-value type,29.6948877043,103.7524014129,Leshan Giant Buddha,asia/china/sichuanprovince/leshan/leshan_giant_buddha,0.333,16.822,16.696,needs_external_source,,https://en.wikivoyage.org/wiki/Leshan
asia/palestinianauthority/nablus,Nablus,Nablus,7,17,see,Monastery of Bir el-Hamam,0.85,candidate,has coordinates; has description; high-value type,32.210048,35.264938,Al-Shifa Hammam,asia/palestinianauthority/nablus/al_shifa_hammam,0.486,1.391,1.579,needs_external_source,,https://en.wikivoyage.org/wiki/Nablus
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Holy Gate,0.85,candidate,has coordinates; has description; high-value type,56.4269,40.44101,Pokrovsky Monastery,europe/russia/suzdal/pokrovsky_monastery,0.429,1.836,0.962,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
northamerica/mexico/doloreshidalgo,Dolores Hidalgo,Dolores Hidalgo,5,17,see,Casa de Visitas,0.85,candidate,has coordinates; has description; high-value type,21.15771,-100.93514,Museo Casa de Hidalgo,northamerica/mexico/doloreshidalgo/casa_de_hidalgo,0.467,0.574,0.703,needs_external_source,,https://en.wikivoyage.org/wiki/Dolores_Hidalgo
europe/albania/berat,Berat,Berat,10,40,see,MiG Cemetery,0.85,candidate,has coordinates; has description; high-value type,40.7738,19.9286,King Mosque (Xhamia e Mbretit),europe/albania/berat/king_mosque,0.435,7.838,8.376,needs_external_source,,https://en.wikivoyage.org/wiki/Berat
europe/slovenia/savinja_and_alek,Savinja and Šalek Valley,Savinja and Šalek Valley,7,16,do,Logar Valley,0.85,candidate,has coordinates; has description; high-value type,46.383619,14.621644,Logarska Dolina (Logar Valley),europe/slovenia/savinja_and_alek/logar_valley,0.519,0.531,17.584,needs_external_source,,https://en.wikivoyage.org/wiki/Savinja_and_%C5%A0alek_Valley
