world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/yunnanprovince/lijiang,Lijiang,Lijiang,8,36,see,Zhiyun Monastery,0.85,candidate,has coordinates; has description; high-value type,26.861637,100.100807,Mishi Naxi Restaurant,asia/china/yunnanprovince/lijiang/mishi_naxi_restaurant,0.432,13.108,12.32,needs_external_source,,https://en.wikivoyage.org/wiki/Lijiang
europe/albania/pogradec,Pogradec,Pogradec,3,32,see,Selca village,0.85,candidate,has coordinates; has description; high-value type,40.953,20.541,Pogradec Castle,europe/albania/pogradec/pogradec_castle,0.357,10.134,11.424,needs_external_source,,https://en.wikivoyage.org/wiki/Pogradec
northamerica/unitedstates/westvirginia/charleston,Charleston,Charleston (West Virginia),22,67,see,J.Q. Dickinson Salt-Works,0.85,candidate,has coordinates; has description; high-value type,38.290502,-81.563876,Coonskin Park,northamerica/unitedstates/westvirginia/charleston/coonskin_park,0.432,13.345,8.912,needs_external_source,,https://en.wikivoyage.org/wiki/Charleston_%28West_Virginia%29
europe/serbia/kosovoprovince/prizren,Prizren,Prizren,7,50,see,Main Bus Station,0.85,candidate,has coordinates; has description; high-value type,42.21288,20.72895,Arasta Mosque Minaret,europe/serbia/kosovoprovince/prizren/arasta_mosque_minaret,0.324,1.0,0.891,needs_external_source,,https://en.wikivoyage.org/wiki/Prizren
asia/china/shaanxi/tongchuan,Tongchuan,Tongchuan,3,29,do,Traditional Chinese Medicine Culture Experience,0.85,candidate,has coordinates; has description; high-value type,34.8167,109.045,Chenlu Ancient Town,asia/china/shaanxi/tongchuan/chenlu_ancient_town,0.303,3.731,13.635,needs_external_source,,https://en.wikivoyage.org/wiki/Tongchuan
asia/laos/luangprabang,Luang Prabang,Luang Prabang,15,64,see,Bear Rescue Centre,0.85,candidate,has coordinates; has description; high-value type,19.751,101.9959,Tamarind Restaurant,asia/laos/luangprabang/tamarind_restaurant,0.486,21.412,21.191,needs_external_source,,https://en.wikivoyage.org/wiki/Luang_Prabang
europe/belgium/aalst,Aalst,Aalst,11,33,see,Faluintjes,0.85,candidate,has coordinates; has description; high-value type,50.9326,4.1117,Aalst Beguinage,europe/belgium/aalst/aalst_beguinage,0.48,5.032,5.119,needs_external_source,,https://en.wikivoyage.org/wiki/Aalst
asia/myanmar/inlelake,Inle Lake,Inle Lake,1,42,see,Kaung Daing village,0.85,candidate,has coordinates; has description; high-value type,20.6029,96.8815,Shwe Inn Thein,asia/myanmar/inlelake/shwe_inn_thein,0.303,15.551,7.93,needs_external_source,,https://en.wikivoyage.org/wiki/Inle_Lake
southamerica/bolivia/tarija,Tarija,Tarija,5,18,see,Mirador de la Loma de San Juan,0.85,candidate,has coordinates; has description; high-value type,-21.52925,-64.73799,Mercado Campesino,southamerica/bolivia/tarija/mercado_campesino,0.474,1.128,1.112,needs_external_source,,https://en.wikivoyage.org/wiki/Tarija
asia/china/guangdong/shantou,Shantou,Shantou,15,23,see,Dahao Ancient Town,0.85,candidate,has coordinates; has description; high-value type,23.281766,116.72106,Laoma Gong,asia/china/guangdong/shantou/laoma_gong,0.429,9.735,8.969,needs_external_source,,https://en.wikivoyage.org/wiki/Shantou
asia/china/gansu/zhangye,Zhangye,Zhangye,3,22,see,Zhangye Minqin Hall,0.85,candidate,has coordinates; has description; high-value type,38.9323,100.4492,Zhangye City Museum,asia/china/gansu/zhangye/zhangye_museum,0.526,0.836,0.63,needs_external_source,,https://en.wikivoyage.org/wiki/Zhangye
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Mount Austin Lake,0.85,candidate,has coordinates; has description; high-value type,1.548194,103.785306,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.389,8.931,10.261,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/china/jiangxi/ruijin,Ruijin,Ruijin,4,24,do,万合影城,0.85,candidate,has coordinates; has description; high-value type,25.875,116.0232,Ruijin Revolutionary History Museum,asia/china/jiangxi/ruijin/ruijin_revolutionary_museum,0.307,0.693,0.693,needs_external_source,,https://en.wikivoyage.org/wiki/Ruijin
europe/greece/drama,Drama,Drama,6,25,see,Philippi,0.85,candidate,has coordinates; has description; high-value type,41.013,24.2866,Hagia Sophia,europe/greece/drama/hagia_sophia,0.3,19.566,19.212,needs_external_source,,https://en.wikivoyage.org/wiki/Drama
europe/russia/ural/ekaterinburg,Ekaterinburg,Yekaterinburg,11,72,see,House of the Merchant Pshenichnikova,0.85,candidate,has coordinates; has description; high-value type,56.8409,60.59993,1905 Square,europe/russia/ural/ekaterinburg/1905_square,0.433,0.567,0.304,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
asia/pakistan/taxila,Taxila,Taxila,10,22,see,Kalawan group of buildings,0.85,candidate,has coordinates; has description; high-value type,33.727195,72.853689,Kunala Stupa,asia/pakistan/taxila/kunala_stupa,0.368,3.355,2.478,needs_external_source,,https://en.wikivoyage.org/wiki/Taxila
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Bus station No.8,0.85,candidate,has coordinates; has description; high-value type,49.83982,23.99565,Lonsky Prison Museum,europe/ukraine/lviv/lonsky_prison_museum,0.333,3.072,2.589,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
asia/malaysia/sarawak/kuching,Kuching,Kuching,13,75,do,Santubong rainforest,0.85,candidate,has coordinates; has description; high-value type,1.7434,110.3177,Padungan,asia/malaysia/sarawak/kuching/padungan,0.429,20.78,20.645,needs_external_source,,https://en.wikivoyage.org/wiki/Kuching
asia/china/hubei/enshi,Enshi,Enshi,4,42,do,Nuer hui,0.85,candidate,has coordinates; has description; high-value type,30.297539,109.510174,Sidu River Bridge,asia/china/hubei/enshi/sidu_river_bridge,0.4,50.956,3.514,needs_external_source,,https://en.wikivoyage.org/wiki/Enshi
europe/norway/harstad,Harstad,Harstad,9,21,see,Selsbanes Seil,0.85,candidate,has coordinates; has description; high-value type,68.8051,16.554,Arctic Arts Festival,europe/norway/harstad/arctic_arts_festival,0.353,0.97,0.7,needs_external_source,,https://en.wikivoyage.org/wiki/Harstad
northamerica/unitedstates/california/paloalto,Palo Alto,Palo Alto,20,45,see,Shockley's Laboratory,0.85,candidate,has coordinates; has description; high-value type,37.41145,-122.10672,Hoover Tower,northamerica/unitedstates/california/paloalto/hoover_tower,0.424,5.61,4.661,needs_external_source,,https://en.wikivoyage.org/wiki/Palo_Alto
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Xiaoqinghe River Comprehensive Treatment Exhibition Hall,0.85,candidate,has coordinates; has description; high-value type,36.7021,117.0383,Xiaoqing River Greenway,asia/china/shandong_province/jinan/xiaoqinghe_park,0.506,1.853,6.65,needs_external_source,,https://en.wikivoyage.org/wiki/Jinan
southamerica/colombia/tayrona,Tayrona National Park,Tayrona National Park,8,8,see,El Pueblito,0.85,candidate,has coordinates; has description; high-value type,11.31639,-73.9788,Playa Nudista (Playa del Muerto),southamerica/colombia/tayrona/playa_nudista,0.381,14.407,7.761,needs_external_source,,https://en.wikivoyage.org/wiki/Tayrona_National_Park
europe/estonia/otep,Otepää,Otepää,5,21,see,Energy pillar,0.85,candidate,has coordinates; has description; high-value type,58.05215,26.49624,Otepää Parish Church,europe/estonia/otep/parish_church,0.338,0.662,0.705,needs_external_source,,https://en.wikivoyage.org/wiki/Otep%C3%A4%C3%A4
europe/germany/saxonyanhalt/halle,Halle,Halle,29,33,see,Neustadt,0.85,candidate,has coordinates; has description; high-value type,51.4789,11.9214,Händel-Haus,europe/germany/saxonyanhalt/halle/handel_haus,0.421,3.205,3.478,needs_external_source,,https://en.wikivoyage.org/wiki/Halle
europe/armenia/yerevan,Yerevan,Yerevan,53,133,see,Levon's Divine Underground,0.85,candidate,has coordinates; has description; high-value type,40.230505,44.570411,In Vino,europe/armenia/yerevan/in_vino,0.364,7.454,7.652,needs_external_source,,https://en.wikivoyage.org/wiki/Yerevan
asia/india/uttaranchal/pithoragarh,Pithoragarh,Pithoragarh,6,26,see,Didihat,0.85,candidate,has coordinates; has description; high-value type,29.8007,80.24607,Dhwaj Temple,asia/india/uttaranchal/pithoragarh/dhwaj_temple,0.421,21.354,24.074,needs_external_source,,https://en.wikivoyage.org/wiki/Pithoragarh
europe/sweden/sigtuna,Sigtuna,Sigtuna,6,33,see,Viby Village,0.85,candidate,has coordinates; has description; high-value type,59.633277,17.733019,Sigtuna Museum,europe/sweden/sigtuna/sigtuna_museum,0.231,1.939,1.939,needs_external_source,,https://en.wikivoyage.org/wiki/Sigtuna
europe/italy/trentinoaltoadige/trento,Trento,Trento,13,24,see,Mausoleo di Cesare Battisti,0.85,candidate,has coordinates; has description; high-value type,46.07325,11.11312,MUSE — Museo delle Scienze,europe/italy/trentinoaltoadige/trento/muse,0.471,1.19,1.236,needs_external_source,,https://en.wikivoyage.org/wiki/Trento
europe/austria/villach,Villach,Villach,15,37,do,Maibachl,0.85,candidate,has coordinates; has description; high-value type,46.591778,13.823778,Warmbad Villach,europe/austria/villach/warmbad_villach,0.435,2.256,3.423,needs_external_source,,https://en.wikivoyage.org/wiki/Villach
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Kikuna Shrine,0.85,candidate,has coordinates; has description; high-value type,35.511996,139.632614,Chinatown: Dim Sum and Chinese Cuisine,asia/japan/honshu/yokohama/chinatown_dining,0.36,,6.862,needs_external_source,,https://en.wikivoyage.org/wiki/Yokohama
