world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Simpang Lima,0.85,candidate,has coordinates; has description; high-value type,-6.9905,110.4228,Kota Lama,asia/indonesia/java/semarang/kota_lama,0.476,2.544,0.016,needs_external_source,,https://en.wikivoyage.org/wiki/Semarang
europe/hungary/hortobagy,Hortobágy,Hortobágy,4,18,do,Madárles,0.85,candidate,has coordinates; has description; high-value type,47.6133418,21.073848,Nine-Arched Bridge,europe/hungary/hortobagy/nine_arched_bridge,0.385,6.757,6.818,needs_external_source,,https://en.wikivoyage.org/wiki/Hortob%C3%A1gy
europe/finland/oulu,Oulu,Oulu,19,84,see,The Blue House,0.85,candidate,has coordinates; has description; high-value type,65.02518,25.48283,Cafe Bisketti,europe/finland/oulu/cafe_bisketti,0.348,1.562,1.603,needs_external_source,,https://en.wikivoyage.org/wiki/Oulu
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Traumschiff Tante Olga,0.85,candidate,has coordinates; has description; high-value type,51.3146,9.45109,Wilhelmshöhe Palace,europe/germany/hessen/kassel/wilhelmshohe_palace,0.341,3.304,3.252,needs_external_source,,https://en.wikivoyage.org/wiki/Kassel
northamerica/mexico/mazatlan,Mazatlan,Mazatlan,23,56,do,Playa Delfines,0.85,candidate,has coordinates; has description; high-value type,23.32893,-106.48214,Mazatlan Cliff Divers,northamerica/mexico/mazatlan/cliff_divers,0.4,16.15,15.281,needs_external_source,,https://en.wikivoyage.org/wiki/Mazatlan
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,do,Min River rafting (seasonal),0.85,candidate,has coordinates; has description; high-value type,31.0032,103.6215,Erwang Temple,asia/china/sichuanprovince/dujiangyan/erwang_temple,0.462,0.538,1.013,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
europe/hungary/gyor,Győr,Győr,13,201,do,Ice Skating field,0.85,candidate,has coordinates; has description; high-value type,47.6944,17.6674,Széchenyi Square,europe/hungary/gyor/szechenyi_square,0.364,2.699,2.758,needs_external_source,,https://en.wikivoyage.org/wiki/Gy%C5%91r
europe/netherlands/thehague,The Hague,The Hague,16,165,see,Centrum,0.85,candidate,has coordinates; has description; high-value type,52.07558,4.31585,Mauritshuis,europe/netherlands/thehague/mauritshuis,0.547,0.453,3.156,needs_external_source,,https://en.wikivoyage.org/wiki/The_Hague
northamerica/canada/britishcolumbia/sidney,Sidney,Sidney (British Columbia),3,63,see,Fisherman's Wharf,0.85,candidate,has coordinates; has description; high-value type,48.64911,-123.3934,Shaw Ocean Discovery Centre,northamerica/canada/britishcolumbia/sidney/shaw_ocean_discovery_centre,0.364,,0.396,needs_external_source,,https://en.wikivoyage.org/wiki/Sidney_%28British_Columbia%29
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Mongolian Art Center for Children's Creativity,0.85,candidate,has coordinates; has description; high-value type,47.926788,106.916114,Chinggis Khaan National Museum,asia/mongolia/ulaanbaatar/chinggis_khaan_museum,0.517,0.483,0.94,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,do,Camp Perry,0.85,candidate,has coordinates; has description; high-value type,41.541111,-83.021667,Camp Perry National Guard Base,northamerica/unitedstates/ohio/port_clinton/camp_perry,0.5,2.539,7.703,needs_external_source,,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29
asia/kazakhstan/shimkent,Shymkent,Shymkent,12,32,see,Block with dozens of murals,0.85,candidate,has coordinates; has description; high-value type,42.31126425,69.56411766,Cathedral of Our Lady of Kazan,asia/kazakhstan/shimkent/orthodox_cathedral,0.386,2.211,2.025,needs_external_source,,https://en.wikivoyage.org/wiki/Shymkent
asia/philippines/makati,Makati,Makati,9,59,see,G.C. Corporate Plaza,0.85,candidate,has coordinates; has description; high-value type,14.5566,121.0165,Greenbelt Complex,asia/philippines/makati/greenbelt_complex,0.333,,0.496,needs_external_source,,https://en.wikivoyage.org/wiki/Makati
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Cité Internationale,0.85,candidate,has coordinates; has description; high-value type,45.7849,4.85426,Traboules,europe/france/alpes/lyon/traboules,0.444,3.303,3.471,needs_external_source,,https://en.wikivoyage.org/wiki/Lyon
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,David Attenborough,0.85,candidate,has coordinates; has description; high-value type,53.37742,-1.46681,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.25,2.69,0.428,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
asia/india/orissa/bhubaneswar,Bhubaneswar,Bhubaneswar,4,59,see,Dhauli Giri,0.85,candidate,has coordinates; has description; high-value type,20.1923,85.8392,Similipal National Park,asia/india/orissa/bhubaneswar/karanjia__similip/similipal_national_park,0.294,180.646,11.643,needs_external_source,,https://en.wikivoyage.org/wiki/Bhubaneswar
asia/afghanistan/kabul,Kabul,Kabul,16,103,see,Lake Qargha,0.85,candidate,has coordinates; has description; high-value type,34.55294,69.03442,Bala Hissar,asia/afghanistan/kabul/bala_hissar,0.455,15.297,14.097,needs_external_source,,https://en.wikivoyage.org/wiki/Kabul
europe/armenia/shirak_marz/gyumri,Gyumri,Gyumri,12,30,do,Visit the studio of an award-winning blacksmith in Yerankyuni restaurant,0.85,candidate,has coordinates; has description; high-value type,40.772571966710046,43.849527000759,Gallery of Mariam and Yeranuhi Aslamazyan,europe/armenia/shirak_marz/gyumri/aslamazyan_gallery,0.434,1.687,1.555,needs_external_source,,https://en.wikivoyage.org/wiki/Gyumri
europe/finland/tampere,Tampere,Tampere,61,207,see,Mannerheim Statue,0.85,candidate,has coordinates; has description; high-value type,61.48704,23.91327,Tampere Railway Station,europe/finland/tampere/tampere_railway_stat,0.5,7.578,8.136,needs_external_source,,https://en.wikivoyage.org/wiki/Tampere
southamerica/venezuela/barquisimeto,Barquisimeto,Barquisimeto,10,15,see,Monumento Manto de María Divina Pastora,0.85,candidate,has coordinates; has description; high-value type,10.0785,-69.259,Museo de Barquisimeto,southamerica/venezuela/barquisimeto/museo_de_barquisimeto,0.423,6.546,6.923,needs_external_source,,https://en.wikivoyage.org/wiki/Barquisimeto
northamerica/canada/britishcolumbia/princegeorge,Prince George,Prince George,5,41,see,Nechako River Cutbanks,0.85,candidate,has coordinates; has description; high-value type,53.92856,-122.76008,Two Rivers Gallery,northamerica/canada/britishcolumbia/princegeorge/two_rivers_gallery,0.4,1.973,1.993,needs_external_source,,https://en.wikivoyage.org/wiki/Prince_George
asia/china/zhejiang/ningbo,Ningbo,Ningbo,50,112,see,Fufu Shi,0.85,candidate,has coordinates; has description; high-value type,29.8801,121.5399,Yuehu Mosque,asia/china/zhejiang/ningbo/yuehu_mosque,0.4,1.246,1.78,needs_external_source,,https://en.wikivoyage.org/wiki/Ningbo
europe/spain/canaryislands/elhierro,El Hierro,El Hierro,5,67,do,Charco Manso bathing area,0.85,candidate,has coordinates; has description; high-value type,27.8479,-17.92352,Faro de Orchilla,europe/spain/canaryislands/elhierro/faro_de_orchilla,0.421,26.964,16.185,needs_external_source,,https://en.wikivoyage.org/wiki/El_Hierro
europe/unitedkingdom/england/south_east/reading,Reading,Reading (England),5,52,do,Kennet and Avon Canal,0.85,candidate,has coordinates; has description; high-value type,51.4315645,-1.0623264,Reading Gaol,europe/unitedkingdom/england/south_east/reading/reading_gaol,0.424,6.923,5.887,needs_external_source,,https://en.wikivoyage.org/wiki/Reading_%28England%29
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Pivdennyi (Main) Bus station,0.85,candidate,has coordinates; has description; high-value type,47.99136,37.79692,Pivnaya Khata,europe/ukraine/donetsk/pivnaya_khata,0.471,1.711,2.765,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
europe/russia/pskov,Pskov,Pskov,13,11,see,Bus station,0.85,candidate,has coordinates; has description; high-value type,57.8024,28.35843,Church of the Resurrection at the Stairway,europe/russia/pskov/church_of_the_resurrection,0.311,2.506,2.197,needs_external_source,,https://en.wikivoyage.org/wiki/Pskov
asia/philippines/makati,Makati,Makati,9,59,see,BDO Equitable Tower,0.85,candidate,has coordinates; has description; high-value type,14.558,121.0238,Salcedo Weekend Market,asia/philippines/makati/salcedo_weekend_market,0.293,,0.32,needs_external_source,,https://en.wikivoyage.org/wiki/Makati
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,Basílica de Begoña,0.85,candidate,has coordinates; has description; high-value type,43.258686,-2.913847,Mercado de la Ribera,europe/spain/basque_country_euskadi/bilbao/mercado_de_la_ribera,0.37,0.749,1.779,needs_external_source,,https://en.wikivoyage.org/wiki/Bilbao
asia/india/uttaranchal/dehradun,Dehradun,Dehradun,13,50,see,RIMC,0.85,candidate,has coordinates; has description; high-value type,30.316494,78.032191,Orchard,asia/india/uttaranchal/dehradun/orchard_restaurant,0.364,3.048,0.001,needs_external_source,,https://en.wikivoyage.org/wiki/Dehradun
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,see,Ashok Shilalekh,0.85,candidate,has coordinates; has description; high-value type,21.525,70.479444,Ashoka Rock Edicts,asia/india/gujarat/junagadh/ashoka_edicts,0.424,2.283,2.01,needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Scala Ragoni,0.85,candidate,has coordinates; has description; high-value type,40.7804,24.6136,Local Honey and Wine,europe/greece/thassos_island/thassos_honey_wine,0.438,12.791,11.13,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
northamerica/unitedstates/california/palo_alto,Palo Alto,Palo Alto,8,45,see,Shockley's Laboratory,0.85,candidate,has coordinates; has description; high-value type,37.41145,-122.10672,Hoover Tower,northamerica/unitedstates/california/palo_alto/hoover_tower,0.424,5.592,5.948,needs_external_source,,https://en.wikivoyage.org/wiki/Palo_Alto
northamerica/mexico/chetumal,Chetumal,Chetumal,7,36,see,Taam Ja' Blue Hole,0.85,candidate,has coordinates; has description; high-value type,18.622123,-88.148672,Maqueta Payo Obispo,northamerica/mexico/chetumal/maqueta_payo_obispo,0.333,19.671,20.436,needs_external_source,,https://en.wikivoyage.org/wiki/Chetumal
asia/china/henan_province/sanmenxia,Sanmenxia,Sanmenxia,4,20,see,Sanmenxia Dam,0.85,candidate,has coordinates; has description; high-value type,34.829524,111.337594,Hangu Pass,asia/china/henan_province/sanmenxia/hangu_pass,0.348,45.84,14.429,needs_external_source,,https://en.wikivoyage.org/wiki/Sanmenxia
europe/denmark/billund,Billund,Billund,6,25,see,Anlægget,0.85,candidate,has coordinates; has description; high-value type,55.73782,9.11657,Lalandia Billund,europe/denmark/billund/lalandia_billund,0.25,1.094,1.471,needs_external_source,,https://en.wikivoyage.org/wiki/Billund
asia/indonesia/java/purwokerto,Purwokerto,Purwokerto,10,65,see,Polresta Banyumas,0.85,candidate,has coordinates; has description; high-value type,-7.4036916372679675,109.23177038133025,Kopi Strip Unsoed,asia/indonesia/java/purwokerto/kopi_unsoed_strip,0.353,3.469,2.073,needs_external_source,,https://en.wikivoyage.org/wiki/Purwokerto
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Shyrokyi Bus station,0.85,candidate,has coordinates; has description; high-value type,47.94429,37.76768,Donbass Palace Restaurant,europe/ukraine/donetsk/donbass_palace_restaurant,0.356,8.016,8.383,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
northamerica/unitedstates/mississippi/jackson,Jackson,Jackson (Mississippi),20,54,see,Mynelle Gardens,0.85,candidate,has coordinates; has description; high-value type,32.328931,-90.252271,Sneaky Beans,northamerica/unitedstates/mississippi/jackson/sneaky_beans,0.444,6.558,7.171,needs_external_source,,https://en.wikivoyage.org/wiki/Jackson_%28Mississippi%29
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Former Main Realschool,0.85,candidate,has coordinates; has description; high-value type,46.90112,19.68112,Leskowsky Musical Instrument Collection,europe/hungary/kecskemet/leskowsky_musical_museum,0.328,1.655,1.092,needs_external_source,,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
southamerica/brazil/fernando_de_noronha,Fernando de Noronha,Fernando de Noronha,7,14,see,Two Brothers,0.85,candidate,has coordinates; has description; high-value type,-3.8487519,-32.4422772,Forte dos Remédios,southamerica/brazil/fernando_de_noronha/forte_remedios,0.333,3.581,2.039,needs_external_source,,https://en.wikivoyage.org/wiki/Fernando_de_Noronha
