world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/romania/tirgujiu,Târgu Jiu,Târgu Jiu,5,9,see,God's Bridge,0.75,candidate,has coordinates; has description; high-value type,44.975,22.761111,Table of Silence,europe/romania/tirgujiu/table_of_silence,0.357,40.455,40.917,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/T%C3%A2rgu_Jiu
asia/india/kerala/kottayam,Kottayam,Kottayam,4,23,see,Wagamon,0.75,candidate,has coordinates; has description; high-value type,9.68618,76.90523,Pathiramanal Island,asia/india/kerala/kottayam/pathiramanal,0.308,53.066,29.176,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kottayam
southamerica/chile/sanpedrodeatacama,San Pedro de Atacama,San Pedro de Atacama,5,29,see,Valle del Arcoiris,0.75,candidate,has coordinates; has description; high-value type,-22.6409773,-68.241003,Tulor,southamerica/chile/sanpedrodeatacama/tulor,0.316,36.597,30.354,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/San_Pedro_de_Atacama
northamerica/unitedstates/colorado/winter_park,Winter Park,Winter Park (Colorado),5,8,do,Hot Sulphur Springs Resort,0.75,candidate,has coordinates; has description; high-value type,40.07491,-106.11166,Winter Park Resort,northamerica/unitedstates/colorado/winter_park/winter_park_resort,0.409,36.319,36.013,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Winter_Park_%28Colorado%29
asia/india/tamilnadu/rameshwaram,Rameshwaram,Rameswaram,11,21,see,Rama Setu,0.75,candidate,has coordinates; has description; high-value type,9.121,79.5217,Pamban Bridge,asia/india/tamilnadu/rameshwaram/pamban_bridge,0.455,38.512,29.281,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Rameswaram
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Valea lui Stan Canyon,0.75,candidate,has coordinates; has description; high-value type,45.362263,24.615689,Curtea de Arges Cathedral,europe/romania/curtea_de_arges/a_national_legend,0.326,24.526,25.098,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
asia/pakistan/azad_kashmir/muzaffar_abad,Muzaffarabad,Muzaffarabad,4,11,see,Chikar Highland Resort,0.75,candidate,has coordinates; has description; high-value type,34.1407,73.6752,Red Fort,asia/pakistan/azad_kashmir/muzaffar_abad/red_fort,0.333,33.109,31.67,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Muzaffarabad
europe/ukraine/poltava,Poltava,Poltava,7,54,see,Firestation Technical Exhibition,0.75,candidate,has coordinates; has description; high-value type,49.6002,34.5193,Assumption Cathedral,europe/ukraine/poltava/assumption_cathedral,0.346,1.96,62.432,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
northamerica/greenland/nuuk,Nuuk,Nuuk,13,24,see,Pingu,0.75,candidate,has coordinates; has description; high-value type,64.425212,-50.255653,Inatsisartut (Parliament of Greenland),northamerica/greenland/nuuk/inatsisartut,0.353,76.682,76.547,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nuuk
asia/indonesia/kalimantan/palangka_raya,Palangka Raya,Palangka Raya,14,20,see,Tahai Lake,0.75,candidate,has coordinates; has description; high-value type,-2.02809,113.77907,Kahayan River,asia/indonesia/kalimantan/palangka_raya/kahayan_river,0.435,25.034,25.099,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Palangka_Raya
asia/china/hubei/yichang,Yichang,Yichang,3,40,see,Changbanpo,0.75,candidate,has coordinates; has description; high-value type,30.82860668,111.78169383,Three Gorges Dam,asia/china/hubei/yichang/three_gorges_dam,0.231,74.262,49.657,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yichang
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Talad Kaset 2,0.75,candidate,has coordinates; has description; high-value type,9.143809,99.330491,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.293,,65.657,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
europe/norway/rros,Røros,Røros,6,7,see,Hessdalen Valley,0.75,candidate,has coordinates; has description; high-value type,62.793,11.191,Bergstadens Ziir — The Smelting Works,europe/norway/rros/bergstadens_ziir,0.298,26.451,34.517,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/R%C3%B8ros
europe/ukraine/kherson,Kherson,Kherson,5,9,do,Stanislav Mountains,0.75,candidate,has coordinates; has description; high-value type,46.6296,32.0223,Askania-Nova Biosphere Reserve,europe/ukraine/kherson/askania_nova,0.408,143.111,46.038,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kherson
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Namrad Forest Headwaters,0.75,candidate,has coordinates; has description; high-value type,8.838709,98.963997,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.385,,71.444,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/malaysia/ipoh,Ipoh,Ipoh,20,78,see,Little India,0.75,candidate,has coordinates; has description; high-value type,4.36,101.4,Kellie's Castle,asia/malaysia/ipoh/kellies_castle,0.37,39.205,43.419,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ipoh
southamerica/bolivia/salar_of_uyuni,Salar de Uyuni,Salar de Uyuni,0,24,see,Salt-Mining Area,0.75,candidate,has coordinates; has description; high-value type,-20.321,-66.994,,,0.0,,55.875,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Salar_de_Uyuni
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Dafo Lake,0.75,candidate,has coordinates; has description; high-value type,29.7450861359,104.0286658198,Wuyou Temple,asia/china/sichuanprovince/leshan/wuyou_temple,0.286,33.029,33.747,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Leshan
asia/indonesia/banten/pandeglang,Pandeglang,Pandeglang,6,5,do,Curug Putri Pandeglang,0.75,candidate,has coordinates; has description; high-value type,-6.283688,105.832313,Ujung Kulon National Park,asia/indonesia/banten/pandeglang/ujung_kulon,0.426,75.682,30.327,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Pandeglang
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,see,Geng Chuan Gong Ancestral Hall /former residence of Geng Biao,0.75,candidate,has coordinates; has description; high-value type,27.781801,113.469294,Xiangjiang River Scenic Belt,asia/china/hunan/zhuzhou/xiangjiang_scenic_belt,0.318,33.58,32.377,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhuzhou
northamerica/unitedstates/nevada/rachel,Rachel,Rachel,3,5,see,Black Mailbox,0.75,candidate,has coordinates; has description; high-value type,37.457139,-115.482675,Dark Sky Stargazing,northamerica/unitedstates/nevada/rachel/dark_sky_viewing,0.312,31.35,31.366,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Rachel
asia/vietnam/haiphong,Haiphong,Haiphong,15,19,see,Elephant Mountain An Lao,0.75,candidate,has coordinates; has description; high-value type,20.503,106.347,Hang Kenh Communal House,asia/vietnam/haiphong/hang_kenh_communal_house,0.444,50.76,52.877,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Haiphong
asia/china/heilongjiang/mohe,Mohe,Mohe,4,31,do,Santa Claus House (圣诞老人之家),0.75,candidate,has coordinates; has description; high-value type,53.482,122.99,Ice and Snow Festival,asia/china/heilongjiang/mohe/ice_and_snow_festival,0.316,30.795,30.795,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mohe
europe/austria/graz,Graz,Graz,14,117,see,Piber Federal Stud,0.75,candidate,has coordinates; has description; high-value type,47.0785284,15.100821,Graz Cathedral,europe/austria/graz/graz_cathedral,0.438,25.862,25.571,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Graz
asia/china/shandong_province/weifang,Weifang,Weifang,5,29,see,Qingzhou Ancient City,0.75,candidate,has coordinates; has description; high-value type,36.678794,118.477205,Weixian Internment Camp Museum,asia/china/shandong_province/weifang/weixian_internment_camp,0.353,57.944,55.686,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Weifang
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,see,Nyawutsi Hide,0.75,candidate,has coordinates; has description; high-value type,-23.2838,31.5321,Pafuri Region,africa/southafrica/krugernationalpark/pafuri_region,0.385,98.267,78.382,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kruger_National_Park
europe/greece/epirus,Epirus,Epirus,5,13,do,Sulfur baths of Kavasilas,0.75,candidate,has coordinates; has description; high-value type,40.10523,20.70692,Zagori Villages (Zagorochoria),europe/greece/epirus/zagori_villages,0.4,24.92,61.824,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Epirus
southamerica/chile/laserena,La Serena,La Serena,16,30,do,Valle de Elqui,0.75,candidate,has coordinates; has description; high-value type,-30.123611,-70.493333,Museo Arqueológico,southamerica/chile/laserena/museo_arqueologico,0.345,76.575,77.064,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/La_Serena
