world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/japan/honshu/okayama,Okayama,Okayama,9,83,do,Okayama Dome,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.653826,133.892421,Okayama Castle,asia/japan/honshu/okayama/okayama_castle,0.692,4.19,2.261,needs_external_source,,https://en.wikivoyage.org/wiki/Okayama
africa/tunisia/tunis,Tunis,Tunis,17,51,see,Al-Fateh Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.80796,10.18065,Great Mosque (Zitouna),africa/tunisia/tunis/greatmosque,0.667,1.425,0.179,needs_external_source,,https://en.wikivoyage.org/wiki/Tunis
australiaandpacific/newzealand/nelson,Nelson,Nelson (New Zealand),18,40,do,Fly a kite,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-41.265663,173.291556,Centre of New Zealand,australiaandpacific/newzealand/nelson/centre_of_new_zealand,0.633,0.367,0.893,needs_external_source,,https://en.wikivoyage.org/wiki/Nelson_%28New_Zealand%29
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,do,Cangzhou Peking Opera Troupe,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.31363,116.84707,Grand Canal Heritage Corridor,asia/china/hebei/cangzhou/grand_canal_heritage_corridor,0.666,0.334,2.122,needs_external_source,,https://en.wikivoyage.org/wiki/Cangzhou
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Yamashita Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.445778,139.64975,Yamashita Park and the Waterfront,asia/japan/honshu/yokohama/yamashita_park,0.651,,1.479,needs_external_source,,https://en.wikivoyage.org/wiki/Yokohama
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,see,The Couple's Garden Retreat,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.318306,120.634528,Couple's Retreat Garden,asia/china/jiangsu_province/suzhou/couples_garden,0.696,2.401,1.536,needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou
northamerica/unitedstates/arizona/kingman,Kingman,Kingman,13,39,do,Hualapai Mountain Park Craft Fair & Swap Meet,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.084904,-113.875616,Hualapai Mountain Park,northamerica/unitedstates/arizona/kingman/hualapai_mountains,0.638,4.17,19.879,needs_external_source,,https://en.wikivoyage.org/wiki/Kingman
northamerica/unitedstates/southcarolina/myrtlebeach,Myrtle Beach,Myrtle Beach,7,27,do,Myrtle Beach Pelicans,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.7121369,-78.8891875,Myrtle Beach Boardwalk,northamerica/unitedstates/southcarolina/myrtlebeach/myrtle_beach_boardwalk,0.651,2.348,1.863,needs_external_source,,https://en.wikivoyage.org/wiki/Myrtle_Beach
europe/russia/ural/ekaterinburg,Ekaterinburg,Yekaterinburg,11,72,see,Black Tulip War Memorial,0.74,candidate,has coordinates; has description; high-value type; strong travel term,56.84317,60.61712,Ural Geological Museum,europe/russia/ural/ekaterinburg/geological_museum,0.691,0.309,1.136,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,Wat Lok Moli,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.796239,98.982639,Wat Umong,asia/thailand/chiangmai/wat_umong,0.571,3.87,0.949,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai
asia/kazakhstan/shimkent,Shymkent,Shymkent,12,32,see,Old mosque in Old town,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.30882317,69.58844566,Cathedral of Our Lady of Kazan,asia/kazakhstan/shimkent/orthodox_cathedral,0.636,0.364,0.654,needs_external_source,,https://en.wikivoyage.org/wiki/Shymkent
northamerica/unitedstates/colorado/mesaverde,Mesa Verde National Park,Mesa Verde National Park,12,29,do,Spruce Canyon Trail,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.1823,-108.492,Spruce Tree House,northamerica/unitedstates/colorado/mesaverde/spruce_tree_house,0.686,0.314,6.03,needs_external_source,,https://en.wikivoyage.org/wiki/Mesa_Verde_National_Park
southamerica/ecuador/quito,Quito,Quito,25,61,see,Yaku Water Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-0.21755,-78.51895,City Museum (Museo de la Ciudad),southamerica/ecuador/quito/museo_ciudad,0.571,0.757,0.792,needs_external_source,,https://en.wikivoyage.org/wiki/Quito
asia/jordan/aqaba,Aqaba,Aqaba,17,22,see,Aqaba Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,29.5337,34.999,Aqaba Castle,asia/jordan/aqaba/aqaba_castle,0.583,1.355,1.132,needs_external_source,,https://en.wikivoyage.org/wiki/Aqaba
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Wat Chetuphon,0.74,candidate,has coordinates; has description; high-value type; strong travel term,16.997887,99.706709,Wat Si Chum,asia/thailand/sukhothai/wat_si_chum,0.583,3.54,2.415,needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai
asia/china/anhui/huaibei,Huaibei,Huaibei,5,33,see,Qinglong Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.95,116.8,Xiangshan Park and Temple,asia/china/anhui/huaibei/xiangshan_park,0.55,3.02,2.224,needs_external_source,,https://en.wikivoyage.org/wiki/Huaibei
europe/azerbaijan/baku,Baku,Baku,52,148,see,Former Church of the Saviour,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.377004,49.847784,Baku Railway Station,europe/azerbaijan/baku/baku_old_railway_station,0.65,0.35,1.279,needs_external_source,,https://en.wikivoyage.org/wiki/Baku
europe/romania/arad,Arad,Arad (Romania),4,24,see,Cathedral of the Nativity of John the Baptist,0.74,candidate,has coordinates; has description; high-value type; strong travel term,46.1705,21.3117,Ioan Slavici Classical Theatre,europe/romania/arad/slavici_theatre,0.683,0.317,0.817,needs_external_source,,https://en.wikivoyage.org/wiki/Arad_%28Romania%29
asia/japan/kyushu/kumamoto,Kumamoto,Kumamoto,23,49,see,Reigando (Miyamoto Musashi's cave),0.74,candidate,has coordinates; has description; high-value type; strong travel term,32.82,130.621389,Reigandō Cave,asia/japan/kyushu/kumamoto/reigando,0.7,3.993,8.286,needs_external_source,,https://en.wikivoyage.org/wiki/Kumamoto
asia/india/rajasthan/jaisalmer,Jaisalmer,Jaisalmer,18,22,see,Jaisalmer War Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,26.941431,71.024714,Jaisalmer Fort,asia/india/rajasthan/jaisalmer/jaisalmer_fort,0.647,11.812,11.606,needs_external_source,,https://en.wikivoyage.org/wiki/Jaisalmer
asia/philippines/samarisland/calbayog,Calbayog,Calbayog,19,26,see,Nijaga Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,12.06836102001105,124.59293726802491,Saints Peter and Paul Cathedral,asia/philippines/samarisland/calbayog/saints_peter_and_p,0.692,0.308,0.244,needs_external_source,,https://en.wikivoyage.org/wiki/Calbayog
asia/israel/beer_sheva,Be'er Sheva,Beer Sheva,11,19,do,Beer Sheva River Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.236807,34.821274,Beersheba Theater,asia/israel/beer_sheva/beersheba_theater,0.579,2.812,2.909,needs_external_source,,https://en.wikivoyage.org/wiki/Beer_Sheva
australiaandpacific/australia/tasmania/hobart,Hobart,Hobart,57,83,see,Mount Nelson,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-42.92425,147.34409,Mount Nelson Signal Station,australiaandpacific/australia/tasmania/hobart/mount_nelson_signal_station,0.615,1.753,4.885,needs_external_source,,https://en.wikivoyage.org/wiki/Hobart
asia/china/guizhou/xingyi,Xingyi,Xingyi,3,16,see,Wanfenglin Scenic Area,0.74,candidate,has coordinates; has description; high-value type; strong travel term,25.0036,104.922,Wanfenglin (Forest of Ten Thousand Peaks),asia/china/guizhou/xingyi/wanfenglin,0.625,7.058,9.944,needs_external_source,,https://en.wikivoyage.org/wiki/Xingyi
asia/china/guangxi/yangshuo,Yangshuo,Yangshuo,8,70,see,Yangshuo Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.779322,110.485392,Cormorant Fishing Demonstrations,asia/china/guangxi/yangshuo/cormorant_fishing,0.603,0.397,0.471,needs_external_source,,https://en.wikivoyage.org/wiki/Yangshuo
asia/iraq/mosul,Mosul,Mosul,11,34,see,Shamoun Al-Safa,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.338017,43.125994,Souq Bab al-Saray,asia/iraq/mosul/souq_bab_al_saray,0.625,1.012,2.437,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,see,Bois Saint-Anastasie,0.74,candidate,has coordinates; has description; high-value type; strong travel term,3.87089,11.51402,La Fourchette,africa/cameroon/yaound/la_fourchette,0.655,0.345,0.839,needs_external_source,,https://en.wikivoyage.org/wiki/Yaound%C3%A9
africa/ghana/accra,Accra,Accra,35,73,see,Accra Central Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,5.55818,-0.23015,Ghana National Mosque,africa/ghana/accra/ghana_national_mosque,0.683,5.764,6.959,needs_external_source,,https://en.wikivoyage.org/wiki/Accra
asia/india/gujarat/rajkot,Rajkot,Rajkot,5,34,see,Rashtriya Shala,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.289154,70.796029,Watson Museum,asia/india/gujarat/rajkot/watson_museum,0.566,0.434,1.93,needs_external_source,,https://en.wikivoyage.org/wiki/Rajkot
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,Chiang Mai Gate,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.781376,98.989049,Tha Phae Gate,asia/thailand/chiangmai/tha_phae_gate,0.643,0.843,0.837,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai
asia/china/innermongolia/hailar,Hailar,Hailar,6,11,see,Hailar Forest Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,49.2054,119.7157,Hailar River and Riverside Park,asia/china/innermongolia/hailar/hailar_river_park,0.612,0.633,1.15,needs_external_source,,https://en.wikivoyage.org/wiki/Hailar
europe/armenia/yerevan,Yerevan,Yerevan,53,133,see,Cascade Memorial to the Victims of Soviet Repression,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.195292,44.515372,Komitas Pantheon,europe/armenia/yerevan/komitas_pantheon,0.626,0.374,1.969,needs_external_source,,https://en.wikivoyage.org/wiki/Yerevan
southamerica/brazil/vilavelha,Vila Velha,Vila Velha (Espírito Santo),10,14,do,Praia do Bananal,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-20.32308,-40.27341,Praia da Costa,southamerica/brazil/vilavelha/praia_da_costa,0.6,2.962,2.073,needs_external_source,,https://en.wikivoyage.org/wiki/Vila_Velha_%28Esp%C3%ADrito_Santo%29
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Our Lady of Kazan Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,52.292236,104.316672,Church of Our Lady of Kazan,europe/russia/irkutsk/kazan_church,0.667,2.361,2.53,needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk
asia/china/guangdong/foshan,Foshan,Foshan,8,25,see,Leigang Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,23.04868,113.14223,Liang's Garden (Liang Yuan),asia/china/guangdong/foshan/liangs_garden,0.615,3.232,4.329,needs_external_source,,https://en.wikivoyage.org/wiki/Foshan
europe/albania/tirana,Tirana,Tirana,52,117,see,Natural Sciences Museum of Albania,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.327,19.8057,National Museum of Fine Arts,europe/albania/tirana/national_art_gallery,0.581,1.083,1.072,needs_external_source,,https://en.wikivoyage.org/wiki/Tirana
asia/indonesia/irianjaya/jaya_pura,Jayapura,Jayapura,6,22,see,Hamadi Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-2.5808,140.7101,Hamadi Beach and Memorial,asia/indonesia/irianjaya/jaya_pura/hamadi_beach,0.649,0.746,4.724,needs_external_source,,https://en.wikivoyage.org/wiki/Jayapura
asia/turkey/trabzon,Trabzon,Trabzon,5,75,do,Sekiz Direkli Hamam,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.0082,39.7187,Fatih Mosque (Chrysokephalos),asia/turkey/trabzon/fatih_mosque,0.583,0.417,0.884,needs_external_source,,https://en.wikivoyage.org/wiki/Trabzon
europe/italy/campania/naples,Naples,Naples,50,160,see,Castel Capuano,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.853269,14.264158,Castel Nuovo,europe/italy/campania/naples/castel_nuovo,0.692,1.853,2.326,needs_external_source,,https://en.wikivoyage.org/wiki/Naples
africa/guineeconakry/conakry,Conakry,Conakry,15,15,see,Grand Mosque of Conakry,0.74,candidate,has coordinates; has description; high-value type; strong travel term,9.533175,-13.684129,Conakry Botanical Garden,africa/guineeconakry/conakry/botanical_garden,0.683,0.317,2.486,needs_external_source,,https://en.wikivoyage.org/wiki/Conakry
