world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Sándor Earl palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,47.7897,18.73893,Royal Palace Ruins,europe/hungary/esztergom/royal_palace_ruins,0.556,1.086,0.456,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
europe/norway/bergen,Bergen,Bergen,26,125,see,Skuteviken neighbourhood,0.74,candidate,has coordinates; has description; high-value type; strong travel term,60.4016,5.3219,Bergenshus Fortress,europe/norway/bergen/bergenshus_fortress,0.697,0.303,0.841,needs_external_source,,https://en.wikivoyage.org/wiki/Bergen
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,see,West Lake Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,26.095,119.2843,Fujian Museum,asia/china/fujianprovince/fuzhou/fujian_museum,0.679,0.321,2.086,needs_external_source,,https://en.wikivoyage.org/wiki/Fuzhou
asia/china/gansu/tianshui,Tianshui,Tianshui,4,27,see,Taizi mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.58,105.7165,Houjie Mosque (Black Street Mosque),asia/china/gansu/tianshui/houjie_mosque,0.64,0.381,1.35,needs_external_source,,https://en.wikivoyage.org/wiki/Tianshui
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,see,Namazgah Grand Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.6373,66.9685,Hazrat Khizr Mosque,asia/uzbekistan/samarkand/hazrat_khizr_mosque,0.55,3.163,2.025,needs_external_source,,https://en.wikivoyage.org/wiki/Samarkand
europe/italy/sicily/pelagianislands/lampedusa,Lampedusa,Lampedusa,5,17,do,Cala Creta,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.51185,12.62254,Cala Guitgia,europe/italy/sicily/pelagianislands/lampedusa/cala_guitgia,0.636,2.035,2.377,needs_external_source,,https://en.wikivoyage.org/wiki/Lampedusa
europe/macedonia/bitola,Bitola,Bitola,6,65,see,Gazi Haydar Kadi Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.033637,21.337067,New Mosque (Yeni Dzhamija),europe/macedonia/bitola/new_mosque,0.64,0.36,0.615,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola
europe/switzerland/geneva,Geneva,Geneva,44,99,see,L'Ile,0.74,candidate,has coordinates; has description; high-value type; strong travel term,46.20493,6.14327,Musée Rath,europe/switzerland/geneva/muserath,0.646,0.354,0.432,needs_external_source,,https://en.wikivoyage.org/wiki/Geneva
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,see,Fulong Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.0041,103.6039,Erwang Temple,asia/china/sichuanprovince/dujiangyan/erwang_temple,0.692,1.164,1.299,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
asia/indonesia/maluku/tidore,Tidore,Tidore,14,11,see,Royal Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,0.6517,127.4449,Tidore Great Mosque,asia/indonesia/maluku/tidore/great_mosque,0.581,4.481,6.105,needs_external_source,,https://en.wikivoyage.org/wiki/Tidore
europe/greece/naxos,Naxos,Naxos,24,30,see,Apiranthos Archaeological Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.071475,25.520246,Archaeological Museum of Naxos,europe/greece/naxos/archaeological_museum,0.677,13.244,13.267,needs_external_source,,https://en.wikivoyage.org/wiki/Naxos
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,see,Gumbaz Synagogue,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.6584,66.9872,Shah-i-Zinda,asia/uzbekistan/samarkand/shah_i_zinda,0.573,0.427,2.4,needs_external_source,,https://en.wikivoyage.org/wiki/Samarkand
asia/jordan/aqaba,Aqaba,Aqaba,17,22,see,Sheik Zayed Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,29.518445,35.012319,Sharif Hussein Bin Ali Mosque,asia/jordan/aqaba/sharif_hussein_mosque,0.553,0.911,1.03,needs_external_source,,https://en.wikivoyage.org/wiki/Aqaba
northamerica/unitedstates/florida/keywest,Key West,Key West,10,59,see,Key West AIDS Memorial,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.5474,-81.7847,Key West Cemetery,northamerica/unitedstates/florida/keywest/key_west_cemetery,0.615,1.562,0.979,needs_external_source,,https://en.wikivoyage.org/wiki/Key_West
europe/ireland/clonmel,Clonmel,Clonmel,6,14,see,Old St Mary's Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,52.3541,-7.7063,Main Guard,europe/ireland/clonmel/main_guard,0.652,0.348,0.916,needs_external_source,,https://en.wikivoyage.org/wiki/Clonmel
africa/somalia/mogadishu,Mogadishu,Mogadishu,11,28,do,Jaziira Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,1.94396,45.16684,Lido Beach,africa/somalia/mogadishu/lido_beach,0.609,23.581,21.929,needs_external_source,,https://en.wikivoyage.org/wiki/Mogadishu
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,do,Park Shcherbakova,0.74,candidate,has coordinates; has description; high-value type; strong travel term,47.99506,37.79076,Central Scherbakov Park,europe/ukraine/donetsk/scherbakov_park,0.65,2.142,2.487,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
asia/kazakhstan/astana,Astana,Astana,26,82,see,The Military Historical Museum of the Armed Forces of the Republic of Kazakhstan,0.74,candidate,has coordinates; has description; high-value type; strong travel term,51.155913,71.431365,Right Bank,asia/kazakhstan/astana/right_bank,0.67,0.33,3.082,needs_external_source,,https://en.wikivoyage.org/wiki/Astana
asia/philippines/guimaras,Guimaras,Guimaras,11,29,do,Capitoguan Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,10.6021,122.5271,Raymen Beach,asia/philippines/guimaras/raymen_beach,0.571,11.293,11.061,needs_external_source,,https://en.wikivoyage.org/wiki/Guimaras
asia/pakistan/quetta,Quetta,Quetta,10,11,see,Geological Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.1675,66.9923,Quetta Archaeological Museum,asia/pakistan/quetta/archaeological_museum,0.711,2.542,2.153,needs_external_source,,https://en.wikivoyage.org/wiki/Quetta
africa/kenya/nairobi,Nairobi,Nairobi,30,113,do,Village Market,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-1.2614,36.8265,City Market,africa/kenya/nairobi/city_market,0.64,2.495,4.59,needs_external_source,,https://en.wikivoyage.org/wiki/Nairobi
asia/iran/tehran,Tehran,Tehran,44,119,see,History Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.7635,51.4147,Ebrat Museum (Former Qasr Prison),asia/iran/tehran/ebrat_museum,0.615,5.093,8.561,needs_external_source,,https://en.wikivoyage.org/wiki/Tehran
asia/indonesia/kalimantan/samarinda,Samarinda,Samarinda,16,15,see,Islamic Center Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-0.502312,117.120312,Islamic Centre of Samarinda,asia/indonesia/kalimantan/samarinda/islamic_centre_samarinda,0.583,7.738,2.112,needs_external_source,,https://en.wikivoyage.org/wiki/Samarinda
europe/portugal/theazores/so_miguel/ponta_delgada,Ponta Delgada,Ponta Delgada,13,28,see,Church of São Jose,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.7375,-25.674,Jardim José do Canto,europe/portugal/theazores/so_miguel/ponta_delgada/jardim_jose_do_c,0.646,0.354,0.489,needs_external_source,,https://en.wikivoyage.org/wiki/Ponta_Delgada
northamerica/mexico/palenque,Palenque,Palenque,4,20,see,Motiepa Waterfall,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.4869386,-92.0502822,Misol-Há Waterfall,northamerica/mexico/palenque/misolha,0.706,11.999,7.128,needs_external_source,,https://en.wikivoyage.org/wiki/Palenque
asia/china/xinjiangprovince/tashkorgan,Tashkorgan,Tashkurgan,5,7,see,Stone Fort and Grassland,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.78213,75.23256,Stone Fortress,asia/china/xinjiangprovince/tashkorgan/stone_fortress,0.684,0.635,1.318,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkurgan
asia/china/shandong_province/rizhao,Rizhao,Rizhao,6,52,do,Rizhao Botanical Garden,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.41036,119.55122,Rizhao Ocean Park,asia/china/shandong_province/rizhao/rizhao_ocean_park,0.65,1.799,2.268,needs_external_source,,https://en.wikivoyage.org/wiki/Rizhao
asia/palestinianauthority/bethlehem,Bethlehem,Bethlehem,8,48,see,Immanuel Benedictine Sisters Monastery,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.7225,35.2049,The Walled Off Hotel,asia/palestinianauthority/bethlehem/walled_off_hotel,0.613,0.387,1.916,needs_external_source,,https://en.wikivoyage.org/wiki/Bethlehem
europe/italy/sardinia/cagliari,Cagliari,Cagliari,14,49,see,Chiesa di San Michele,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.219038,9.111507,Torre dell'Elefante,europe/italy/sardinia/cagliari/torre_delelefante,0.682,0.318,0.257,needs_external_source,,https://en.wikivoyage.org/wiki/Cagliari
europe/italy/sicily/pelagianislands/linosa,Linosa,Linosa,3,10,see,Village of Linosa,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.85952,12.86289,Monte Vulcano,europe/italy/sicily/pelagianislands/linosa/monte_vulcano,0.605,0.395,0.756,needs_external_source,,https://en.wikivoyage.org/wiki/Linosa
europe/germany/saxonyanhalt/wernigerode,Wernigerode,Wernigerode,9,54,see,Half Tower,0.74,candidate,has coordinates; has description; high-value type; strong travel term,51.831629,10.791094,Wernigerode Castle,europe/germany/saxonyanhalt/wernigerode/wernigerode_castle,0.694,0.306,0.455,needs_external_source,,https://en.wikivoyage.org/wiki/Wernigerode
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,see,Qi River Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.5197369056,113.3580711279,Qijiang River walk,asia/china/guangdong/zhongshan/qijiang_river_walk,0.71,2.715,3.573,needs_external_source,,https://en.wikivoyage.org/wiki/Zhongshan
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Jinan Police Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.6478,117.1187,Jinan Natural History Museum,asia/china/shandong_province/jinan/jinan_natural_history_museum,0.638,10.005,9.45,needs_external_source,,https://en.wikivoyage.org/wiki/Jinan
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Mirzo-Yusuf Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.3399,69.2924,Minor Mosque,asia/uzbekistan/tashkent/minor_mosque,0.667,1.969,3.275,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Jiefang Gate,0.74,candidate,has coordinates; has description; high-value type; strong travel term,32.064304,118.791628,Zifeng Tower,asia/china/jiangsu_province/nanjing/zifeng_tower,0.583,1.295,2.575,needs_external_source,,https://en.wikivoyage.org/wiki/Nanjing
