world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/tennessee/johnson_city,Johnson City,Johnson City (Tennessee),7,25,do,Tannery Knobs Mountain Bike Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mountain Home National Cemetery,northamerica/unitedstates/tennessee/johnson_city/mountain_home_cemetery,0.413,,,missing_coordinates; has_external_url,https://visitjohnsoncitytn.com/place/tannery-knobs-mountain-bike-park/,https://en.wikivoyage.org/wiki/Johnson_City_%28Tennessee%29
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Pattaya Paintball and Airsoft Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Thepprasit Night Market,asia/thailand/pattaya/thepprasit_market,0.316,,,missing_coordinates; has_external_url,https://sanookpark.com/,https://en.wikivoyage.org/wiki/Pattaya
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,ARoS Triennial,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Aarhus Cathedral,europe/denmark/aarhus/aarhus_cathedral,0.533,,,missing_coordinates; has_external_url,https://www.aros.dk/en/about/press-releases-201920/the-aros-triennial-2020-is-canceled/,https://en.wikivoyage.org/wiki/Aarhus
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,Mathias Ham House Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dubuque Museum of Art,northamerica/unitedstates/iowa/dubuque/dubuque_museum_of_art,0.4,,,missing_coordinates; has_external_url,https://www.rivermuseum.com/hamsite,https://en.wikivoyage.org/wiki/Dubuque
europe/norway/kristiansand,Kristiansand,Kristiansand,20,80,see,DS Hestmanden,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sjøhuset,europe/norway/kristiansand/sjogata_restaurant,0.476,,,missing_coordinates; has_external_url,https://www.visitnorway.com/places-to-go/southern-norway/kristiansand/listings-kristiansand/d-s-hestmanden/88963/,https://en.wikivoyage.org/wiki/Kristiansand
asia/israel/jerusalem,Jerusalem,Jerusalem,39,15,do,Palm Sunday,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Siloam Tunnel,asia/israel/jerusalem/siloam_tunnel,0.417,,,missing_coordinates; has_external_url,https://www.itraveljerusalem.com/article/easter-in-jerusalem,https://en.wikivoyage.org/wiki/Jerusalem
asia/japan/honshu/takayama,Takayama,Takayama,15,31,see,Hikaru Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Takayama Shōwa-kan Museum,asia/japan/honshu/takayama/showa_kan,0.474,,,missing_coordinates; has_external_url,https://h-am.jp/index.html,https://en.wikivoyage.org/wiki/Takayama
northamerica/unitedstates/colorado/grandjunction,Grand Junction,Grand Junction,4,56,do,Dinosaur Digs,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Western Colorado Botanical Gardens,northamerica/unitedstates/colorado/grandjunction/western_colorado_botanical_gardens,0.298,,,missing_coordinates; has_external_url,https://www.museumofwesternco.com/things-to-do/dino-digs/,https://en.wikivoyage.org/wiki/Grand_Junction
northamerica/unitedstates/florida/naples,Naples,Naples (Florida),11,20,do,Clam Pass Park / Beach,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Naples Beach Hotel,northamerica/unitedstates/florida/naples/naples_beach_hotel,0.474,,,missing_coordinates; has_external_url,https://www.collierparks.com/collier_park/clam-pass-park/,https://en.wikivoyage.org/wiki/Naples_%28Florida%29
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,do,North Fork Quinault River Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Quinault Rain Forest,northamerica/unitedstates/washington/olympicnationalpark/quinault_rain_forest,0.471,,,missing_coordinates; has_external_url,https://www.nps.gov/olym/planyourvisit/north-for-quinault.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,World of Volvo,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Volvo Museum,europe/sweden/gothenburg/volvomuseum,0.385,,,missing_coordinates; has_external_url,https://www.worldofvolvo.com,https://en.wikivoyage.org/wiki/Gothenburg
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Electric Avenue,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Punting on the Avon,australiaandpacific/newzealand/canterbury/christchurch/punting_on_the_avon,0.4,,,missing_coordinates; has_external_url,https://electricavenuefestival.co.nz/,https://en.wikivoyage.org/wiki/Christchurch
europe/italy/trentinoaltoadige/merano,Merano,Merano,6,22,see,Women's Museum Evelyn Ortner,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Trauttmansdorff Castle Gardens,europe/italy/trentinoaltoadige/merano/trauttmansdorff_castle,0.276,,,missing_coordinates; has_external_url,http://www.museia.org,https://en.wikivoyage.org/wiki/Merano
northamerica/canada/britishcolumbia/vancouverisland,Vancouver Island,Vancouver Island,15,14,do,Coastal Bliss Adventures Ltd.,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,West Coast Trail,northamerica/canada/britishcolumbia/vancouverisland/west_coast_trail,0.409,,,missing_coordinates; has_external_url,https://coastalbliss.ca/,https://en.wikivoyage.org/wiki/Vancouver_Island
northamerica/unitedstates/california/julian,Julian,Julian,6,57,do,Smith Ranch & Julian Railroad,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Eagle and High Peak Mine,northamerica/unitedstates/california/julian/eagle_mine,0.364,,,missing_coordinates; has_external_url,https://juliantrain.com/,https://en.wikivoyage.org/wiki/Julian
australiaandpacific/australia/northernterritory/ulurukata_tjuta_n,Uluru-Kata Tjuta National Park,Uluṟu-Kata Tjuṯa National Park,10,18,see,AAT Kings,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Valley of the Winds,australiaandpacific/australia/northernterritory/ulurukata_tjuta_n/valley_of_the_winds,0.417,,,missing_coordinates; has_external_url,http://www.aatkings.com.au/,https://en.wikivoyage.org/wiki/Ulu%E1%B9%9Fu-Kata_Tju%E1%B9%AFa_National_Park
europe/france/alpes/grenoble,Grenoble,Grenoble,23,35,see,Museum of French Revolution,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Musée de Grenoble,europe/france/alpes/grenoble/museedegrenoble,0.488,,,missing_coordinates; has_external_url,http://www.musee-revolution-francaise.fr/,https://en.wikivoyage.org/wiki/Grenoble
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Märetfest,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museum Altes Zeughaus,europe/switzerland/solothurn/altes_zeughaus,0.333,,,missing_coordinates; has_external_url,https://www.stadtgewerbevereinigung.ch/veranstaltungen/sommer,https://en.wikivoyage.org/wiki/Solothurn
southamerica/brazil/olinda,“Olinda”,Olinda,12,21,see,Sacred Art Museum of Pernambuco,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museu do Mamulengo,southamerica/brazil/olinda/museu_do_mamulengo,0.49,,,missing_coordinates; has_external_url,http://www.cultura.pe.gov.br/pagina/espacosculturais/museu-de-arte-sacra-maspe/,https://en.wikivoyage.org/wiki/Olinda
africa/southafrica/portelizabeth,Port Elizabeth,Port Elizabeth,10,66,do,African Dawn Bird and Wildlife Sanctuary,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Nelson Mandela Bay Metropolitan Art Museum,africa/southafrica/portelizabeth/nelson_mandela_art_museum,0.293,,,missing_coordinates; has_external_url,http://www.africandawnwildlifesanctuary.com/,https://en.wikivoyage.org/wiki/Port_Elizabeth
northamerica/canada/alberta/medicinehat,Medicine Hat,Medicine Hat,8,27,see,Rider Express,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Medalta Potteries,northamerica/canada/alberta/medicinehat/medalta_potteries,0.333,,,missing_coordinates; has_external_url,https://riderexpress.ca/schedules/,https://en.wikivoyage.org/wiki/Medicine_Hat
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,do,Chinese New Year/Spring Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Linzi Ancient City Ruins,asia/china/shandong_province/zibo/linzi_ancient_city,0.321,,,missing_coordinates; has_external_url,http://www.wenming.cn/wmdjr_299/sf/chshuo/201806/t20180608_4716836.shtml,https://en.wikivoyage.org/wiki/Zibo
europe/iceland/borgarnes,Borgarnes,Borgarnes,5,12,do,Center for Puppet Arts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Borg á Mýrum,europe/iceland/borgarnes/borg_a_myrum,0.312,,,missing_coordinates; has_external_url,https://www.facebook.com/Br%C3%BA%C3%B0uheimar-%C3%AD-Borgarnesi-99810469657/,https://en.wikivoyage.org/wiki/Borgarnes
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,do,St. George Greek Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Heritage Station,northamerica/unitedstates/westvirginia/huntington/heritage_station,0.4,,,missing_coordinates; has_external_url,http://www.stgeorgehwv.org/festival/,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29
northamerica/unitedstates/california/pasadena,Pasadena,Pasadena,14,46,do,Craftsman Weekend,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Vroman's Bookstore,northamerica/unitedstates/california/pasadena/vromansbookstore,0.4,,,missing_coordinates; has_external_url,http://www.pasadenaheritage.org,https://en.wikivoyage.org/wiki/Pasadena
northamerica/unitedstates/georgia/savannah,Savannah,Savannah,12,86,see,Sidewalk Arts Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Chippewa Square,northamerica/unitedstates/georgia/savannah/chippewa_square,0.432,,,missing_coordinates; has_external_url,http://www.scad.edu,https://en.wikivoyage.org/wiki/Savannah
europe/spain/andalucia/sanlcar,Sanlúcar de Barrameda,Sanlúcar de Barrameda,7,15,do,Horse races on the beach,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Bajo de Guía Beach,europe/spain/andalucia/sanlcar/playa_bajo_de_guia,0.485,,,missing_coordinates; has_external_url,https://carrerassanlucar.es,https://en.wikivoyage.org/wiki/Sanl%C3%BAcar_de_Barrameda
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,see,Arrow Trailways of Texas,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Harry Ransom Center,northamerica/unitedstates/texas/austin/harry_ransom_center,0.512,,,missing_coordinates; has_external_url,http://arrowtrailways.com/,https://en.wikivoyage.org/wiki/Austin
northamerica/canada/saskatchewan/regina,Regina,Regina,26,81,see,Kramer IMAX Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Regina Farmers' Market,northamerica/canada/saskatchewan/regina/farmers_market,0.5,,,missing_coordinates; has_external_url,http://www.sasksciencecentre.com/imaxnowplaying/,https://en.wikivoyage.org/wiki/Regina
northamerica/unitedstates/california/highsierra/truckee,Truckee,Truckee,7,17,see,Tahoe National Forest,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Northstar California,northamerica/unitedstates/california/highsierra/truckee/northstar_california,0.39,,,missing_coordinates; has_external_url,http://www.fs.usda.gov/tahoe/,https://en.wikivoyage.org/wiki/Truckee
northamerica/unitedstates/newjersey/cape_may,Cape May,Cape May,15,20,do,Spirit of Cape May,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cape May Lighthouse,northamerica/unitedstates/newjersey/cape_may/cape_may_lighthouse,0.432,,,missing_coordinates; has_external_url,https://capemaywhalewatcher.com/spiritofcapemay/,https://en.wikivoyage.org/wiki/Cape_May
asia/turkey/ankara,Ankara,Ankara,13,116,see,Vakif Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ethnography Museum,asia/turkey/ankara/ethnography_museum,0.533,,,missing_coordinates; has_external_url,https://www.kulturportali.gov.tr/turkiye/ankara/gezilecekyer/ankara-vakif-eserler-muzes,https://en.wikivoyage.org/wiki/Ankara
europe/spain/centralspain/zamora,Zamora,Zamora (Spain),5,28,see,Ethnographic Museum of Castilla y León,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Semana Santa Museum,europe/spain/centralspain/zamora/semana_santa_museum,0.333,,,missing_coordinates; has_external_url,https://museo-etnografico.com/,https://en.wikivoyage.org/wiki/Zamora_%28Spain%29
europe/spain/santiago_de_compostela,Santiago de Compostela,Santiago de Compostela,8,32,see,Pilgrimage Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Pórtico de la Gloria,europe/spain/santiago_de_compostela/portico_de_la_gloria,0.387,,,missing_coordinates; has_external_url,https://museoperegrinacions.xunta.gal/,https://en.wikivoyage.org/wiki/Santiago_de_Compostela
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,do,National Garden Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Richardson Olmsted Campus,northamerica/unitedstates/newyorkstate/buffalo/richardson_olmsted,0.367,,,missing_coordinates; has_external_url,https://gardensbuffaloniagara.com,https://en.wikivoyage.org/wiki/Buffalo
asia/kyrgyzstan/karakol,Karakol,Karakol,13,27,do,Karakol Gorge – Ala-Kul – Altyn Arashan – Ak-Suu village ( green ),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Altyn-Arashan Hot Springs,asia/kyrgyzstan/karakol/altyn_arashan,0.48,,,missing_coordinates; has_external_url,https://www.openstreetmap.org/relation/12350207,https://en.wikivoyage.org/wiki/Karakol
europe/georgia/batumi,Batumi,Batumi,39,45,do,Mt. Chakvistavi,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Khachapuri Sakhli,europe/georgia/batumi/khachapuri_house,0.452,,,missing_coordinates; has_external_url,https://www.openstreetmap.org/relation/15663075,https://en.wikivoyage.org/wiki/Batumi
