world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/sicily/trapani,Trapani,Trapani,7,70,see,Church of Saint Mary of Itria,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.01787,12.512386,Palazzo Senatorio,europe/italy/sicily/trapani/palazzo_senatorio,0.633,0.367,0.325,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
europe/italy/sicily/caltabellotta,Caltabellotta,Caltabellotta,2,20,see,Civic Museum of Caltabellotta,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.57743,13.21561,Peace of Caltabellotta (1302),europe/italy/sicily/caltabellotta/peace_of_caltabellotta,0.706,0.509,0.08,needs_external_source,,https://en.wikivoyage.org/wiki/Caltabellotta
asia/malaysia/tamannegara,Taman Negara,Taman Negara,7,19,see,Lata Berkoh & Waterfall Cascades,0.74,candidate,has coordinates; has description; high-value type; strong travel term,4.4431,102.3848,Lata Berkoh Rapids,asia/malaysia/tamannegara/lata_berkoh,0.615,2.013,6.652,needs_external_source,,https://en.wikivoyage.org/wiki/Taman_Negara
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Yellow River Forest Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.7266,116.9883,Jinan Yellow River Wetlands Park,asia/china/shandong_province/jinan/huanhe_wetlands,0.714,5.094,9.236,needs_external_source,,https://en.wikivoyage.org/wiki/Jinan
europe/romania/pitesti,Pitești,Pitești,8,36,see,Trivale Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,44.8585912,24.8450713,Trivale Monastery,europe/romania/pitesti/trivale_monastery,0.69,0.678,2.137,needs_external_source,,https://en.wikivoyage.org/wiki/Pite%C8%99ti
europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester,Chester,Chester,5,39,do,The Groves,0.74,candidate,has coordinates; has description; high-value type; strong travel term,53.18849,-2.88324,The Rows,europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester/chester_rows,0.6,0.589,0.576,needs_external_source,,https://en.wikivoyage.org/wiki/Chester
europe/spain/blanes,Blanes,Blanes,4,57,see,Sant Francesc cove,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.678782,2.807398,Sant Joan Castle,europe/spain/blanes/sant_joan_castle,0.588,0.807,1.227,needs_external_source,,https://en.wikivoyage.org/wiki/Blanes
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,do,Henry Maier Festival Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.028056,-87.898889,Summerfest,northamerica/unitedstates/wisconsin/milwaukee/summerfest,0.66,0.34,1.44,needs_external_source,,https://en.wikivoyage.org/wiki/Milwaukee
northamerica/mexico/naucalpan,Naucalpan,Naucalpan,5,12,see,Plaza Revolucion,0.74,candidate,has coordinates; has description; high-value type; strong travel term,19.47331678155071,-99.2326458967462,El Conde Archaeological Site,northamerica/mexico/naucalpan/el_conde,0.641,0.359,0.614,needs_external_source,,https://en.wikivoyage.org/wiki/Naucalpan
northamerica/bermuda/hamilton_capital,Hamilton,Hamilton (Bermuda),5,19,see,Muhammad Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,32.297778,-64.785056,Cathedral of the Most Holy Trinity,northamerica/bermuda/hamilton_capital/cathedral_holy_trinity,0.59,0.41,0.482,needs_external_source,,https://en.wikivoyage.org/wiki/Hamilton_%28Bermuda%29
asia/china/shandong_province/weihai,Weihai,Weihai,4,37,do,Penglai Haiyuan Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.52,122.15,Weihai Swan Lake,asia/china/shandong_province/weihai/weihai_swan_lake,0.556,14.811,3.062,needs_external_source,,https://en.wikivoyage.org/wiki/Weihai
australiaandpacific/australia/newsouthwales/portmacquarie,Port Macquarie,Port Macquarie,12,22,see,Port Macquarie Historic Graveyard,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-31.4347,152.9088,Port Macquarie First Burying Ground,australiaandpacific/australia/newsouthwales/portmacquarie/port_macquarie_first_burying_ground,0.706,0.865,0.548,needs_external_source,,https://en.wikivoyage.org/wiki/Port_Macquarie
asia/india/kerala/thrissur,Thrissur,Thrissur,5,58,see,Valiyalukkal Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,10.49186,76.21414,Vadakkunnathan Temple,asia/india/kerala/thrissur/vadakkunnathan_temple,0.65,3.618,3.909,needs_external_source,,https://en.wikivoyage.org/wiki/Thrissur
northamerica/unitedstates/southdakota/aberdeen,Aberdeen,Aberdeen (South Dakota),14,12,do,Storybook Land Wylie Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,45.49137,-98.52134,Storybook Land,northamerica/unitedstates/southdakota/aberdeen/storybook_land,0.718,1.371,3.93,needs_external_source,,https://en.wikivoyage.org/wiki/Aberdeen_%28South_Dakota%29
northamerica/unitedstates/westvirginia/morgantown,Morgantown,Morgantown,10,63,see,Hazel Ruby McQuain Park and Caperton Trail,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.6296722,-79.9624666,Monongalia Arts Center,northamerica/unitedstates/westvirginia/morgantown/monongalia_arts_center,0.587,0.413,0.562,needs_external_source,,https://en.wikivoyage.org/wiki/Morgantown
europe/serbia/kosovoprovince/prizren,Prizren,Prizren,7,50,see,Bajrakli Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.211496,20.743071,Restaurant Oxha,europe/serbia/kosovoprovince/prizren/restaurant_oxha,0.697,0.303,0.516,needs_external_source,,https://en.wikivoyage.org/wiki/Prizren
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Theingottara Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,16.80051,96.14683,Shwedagon Pagoda,asia/myanmar/yangon/shwedagonpagoda,0.681,0.319,1.566,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
southamerica/brazil/fortaleza,Fortaleza,Fortaleza,10,87,see,Seminário da Prainha,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-3.72371,-38.51931,Dragão do Mar Centre of Art and Culture,southamerica/brazil/fortaleza/dragao_do_mar,0.7,0.3,0.799,needs_external_source,,https://en.wikivoyage.org/wiki/Fortaleza
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Huayang Palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.728,117.064,Wanshou Palace,asia/china/shandong_province/jinan/wanshou_palace,0.643,10.213,10.207,needs_external_source,,https://en.wikivoyage.org/wiki/Jinan
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Gu Byauk Gyi Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.18537,94.893762,Dhammayangyi Temple,asia/myanmar/bagan/dhammayangyi_temple,0.632,4.348,3.96,needs_external_source,,https://en.wikivoyage.org/wiki/Bagan
asia/iran/kishisland,Kish island,Kish Island,8,30,see,The Green Tree Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,26.564904,53.972536,Ocean Water Park,asia/iran/kishisland/ocean_water_park,0.645,7.558,3.318,needs_external_source,,https://en.wikivoyage.org/wiki/Kish_Island
europe/spain/catalonia/salou,Salou,Salou,5,16,see,Jaume I Monument,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.07445,1.13934,Villa Magda,europe/spain/catalonia/salou/villa_magda,0.682,0.318,0.474,needs_external_source,,https://en.wikivoyage.org/wiki/Salou
asia/iran/tehran,Tehran,Tehran,44,119,see,13 (Martyrs?) Aban Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.70632,51.44094,Abgineh Museum (Glass and Ceramics),asia/iran/tehran/abgineh_museum,0.714,2.74,5.01,needs_external_source,,https://en.wikivoyage.org/wiki/Tehran
asia/iraq/annasiriyah,An Nasiriyah,Nasiriyah,2,7,see,Museum of Nasiriyah,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.047004,46.237268,Nasiriyah Museum,asia/iraq/annasiriyah/nasiriyah_museum,0.657,0.343,0.42,needs_external_source,,https://en.wikivoyage.org/wiki/Nasiriyah
europe/greece/volos,Volos,Volos,8,51,see,Archaeological site of Ancient Dimini,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.36138,22.89299,Archaeological Museum of Volos,europe/greece/volos/archaeological_museum,0.627,5.955,4.061,needs_external_source,,https://en.wikivoyage.org/wiki/Volos
europe/italy/lombardia/lagodigarda/sirmione,Sirmione,Sirmione,5,10,see,Chiesa di San Pietro in Mavino,0.74,candidate,has coordinates; has description; high-value type; strong travel term,45.49817,10.6047,Grotte di Catullo,europe/italy/lombardia/lagodigarda/sirmione/grotte_di_catullo,0.697,0.303,3.275,needs_external_source,,https://en.wikivoyage.org/wiki/Sirmione
asia/japan/honshu/matsumoto,Matsumoto,Matsumoto,10,18,see,Matsumoto Folkcraft Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.24246,137.99484,Matsumoto City Museum of Art,asia/japan/honshu/matsumoto/matsumoto_city_museum_of_art,0.704,2.139,2.392,needs_external_source,,https://en.wikivoyage.org/wiki/Matsumoto
asia/india/tamilnadu/rameshwaram,Rameshwaram,Rameswaram,11,21,see,House of Dr A. P. J. Abdul Kalam,0.74,candidate,has coordinates; has description; high-value type; strong travel term,9.284749,79.312355,Five-Faced Hanuman Temple,asia/india/tamilnadu/rameshwaram/five_faced_hanuman_temple,0.556,0.444,0.038,needs_external_source,,https://en.wikivoyage.org/wiki/Rameswaram
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,see,Paterskerk,0.74,candidate,has coordinates; has description; high-value type; strong travel term,51.43829,5.48371,St. Catharina Church,europe/netherlands/eindhoven/st_catharina_church,0.621,0.379,1.038,needs_external_source,,https://en.wikivoyage.org/wiki/Eindhoven
australiaandpacific/newzealand/greymouth,Greymouth,Greymouth,6,51,do,Cobden Cave,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-42.445691,171.217332,West Coast Wilderness Trail,australiaandpacific/newzealand/greymouth/west_coast_wilderness_trail,0.68,0.32,0.938,needs_external_source,,https://en.wikivoyage.org/wiki/Greymouth
asia/india/maharashtra/konkan/dapoli,Dapoli,Dapoli,4,22,see,Karde,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.75209,73.12758,Karde Beach,asia/india/maharashtra/konkan/dapoli/karde_beach,0.625,5.175,6.507,needs_external_source,,https://en.wikivoyage.org/wiki/Dapoli
europe/macedonia/strumica,Strumica,Strumica,6,34,see,Strumin Tomb,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.445278,22.608056,Strumica Fortress (Carevi Kuli),europe/macedonia/strumica/strumica_fortress,0.552,2.317,2.544,needs_external_source,,https://en.wikivoyage.org/wiki/Strumica
asia/india/westbengal/darjeeling,Darjeeling,Darjeeling,15,45,see,Shrubbery Nightingale Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,27.05365,88.26009,Happy Valley Tea Estate,asia/india/westbengal/darjeeling/happy_valley_tea_estate,0.678,0.322,1.535,needs_external_source,,https://en.wikivoyage.org/wiki/Darjeeling
asia/china/henan_province/luoyang,Luoyang,Luoyang,11,25,see,Baima Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.721817,112.605334,Guanlin Temple,asia/china/henan_province/luoyang/guanlin_temple,0.692,19.678,18.351,needs_external_source,,https://en.wikivoyage.org/wiki/Luoyang
