world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arizona/kingman,Kingman,Kingman,13,39,see,Kingman Area Regional Transport,0.59,candidate,has description; high-value type; has external URL,,,Kingman Railroad Depot,northamerica/unitedstates/arizona/kingman/kingman_railroad_depot,0.491,,,missing_coordinates; has_external_url,https://www.cityofkingman.gov/government/departments/kart,https://en.wikivoyage.org/wiki/Kingman
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,Louder than Life Music Festival,0.59,candidate,has description; high-value type; has external URL,,,Louisville Slugger Museum & Factory,northamerica/unitedstates/kentucky/louisville/louisville_slugger_museum,0.353,,,missing_coordinates; has_external_url,https://louderthanlifefestival.com,https://en.wikivoyage.org/wiki/Louisville
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,Bowen’s Wharf Christmas Tree Lighting,0.59,candidate,has description; high-value type; has external URL,,,Bellevue Avenue Historic District,northamerica/unitedstates/rhodeisland/newport/bellevue_avenue,0.371,,,missing_coordinates; has_external_url,http://www.bowenswharf.com,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
europe/switzerland/zermatt,Zermatt,Zermatt,8,9,do,Breuil-Cervinia Valtournenche Zermatt ski area,0.59,candidate,has description; high-value type; has external URL,,,Gornergrat Railway,europe/switzerland/zermatt/gornergrat_railway,0.312,,,missing_coordinates; has_external_url,https://www.matterhornparadise.ch/,https://en.wikivoyage.org/wiki/Zermatt
northamerica/unitedstates/texas/port_aransas,Port Aransas,Port Aransas,5,7,do,Whooping Crane Festival,0.59,candidate,has description; high-value type; has external URL,,,Horace Caldwell Pier,northamerica/unitedstates/texas/port_aransas/horace_caldwell_pier,0.372,,,missing_coordinates; has_external_url,http://www.whoopingcranefestival.org,https://en.wikivoyage.org/wiki/Port_Aransas
europe/netherlands/rotterdam,Rotterdam,Rotterdam,42,24,see,RET travel cards,0.59,candidate,has description; high-value type; has external URL,,,Rotterdam Centraal Station,europe/netherlands/rotterdam/centraal_station,0.429,,,missing_coordinates; has_external_url,https://www.ret.nl/en/home/travel-products/products-and-fares.html,https://en.wikivoyage.org/wiki/Rotterdam
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,P.A. Systm Transit Lines,0.59,candidate,has description; high-value type; has external URL,,,Tim Hortons No. 1,northamerica/canada/ontario/hamilton/tim_hortons_no_1,0.432,,,missing_coordinates; has_external_url,https://www.pasystmtours.ca/transit,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
northamerica/unitedstates/westvirginia/fayetteville,Fayetteville,Fayetteville (West Virginia),13,18,do,River Expeditions,0.59,candidate,has description; high-value type; has external URL,,,Whitewater Rafting,northamerica/unitedstates/westvirginia/fayetteville/whitewater_rafting,0.4,,,missing_coordinates; has_external_url,http://www.goextreme.com/,https://en.wikivoyage.org/wiki/Fayetteville_%28West_Virginia%29
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Arkansas-Oklahoma State Fair,0.59,candidate,has description; high-value type; has external URL,,,Miss Laura's Social Club,northamerica/unitedstates/arkansas/fortsmith/miss_lauras,0.385,,,missing_coordinates; has_external_url,https://arkansasoklahomafair.com/,https://en.wikivoyage.org/wiki/Fort_Smith
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,do,National Black Arts Festival,0.59,candidate,has description; high-value type; has external URL,,,National Center for Civil and Human Rights,northamerica/unitedstates/georgia/atlanta/civil_rights_museum,0.457,,,missing_coordinates; has_external_url,http://www.nbaf.org/,https://en.wikivoyage.org/wiki/Atlanta
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Anson Rooms,0.59,candidate,has description; high-value type; has external URL,,,Llandoger Trow,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/llandoger_trow,0.48,,,missing_coordinates; has_external_url,http://www.ansonrooms.co.uk/,https://en.wikivoyage.org/wiki/Bristol
northamerica/unitedstates/virginia/charlottesville,Charlottesville,Charlottesville,11,94,do,Charlottesville Swing Dance Society,0.59,candidate,has description; high-value type; has external URL,,,Barboursville Vineyards,northamerica/unitedstates/virginia/charlottesville/barboursville_vineyards,0.483,,,missing_coordinates; has_external_url,http://www.cvilleswingdance.net/,https://en.wikivoyage.org/wiki/Charlottesville
europe/germany/rhinelandpalatinate/mosel/cochem,Cochem,Cochem,5,39,see,Senfmühle,0.59,candidate,has description; high-value type; has external URL,,,Mosel Boat Trips,europe/germany/rhinelandpalatinate/mosel/cochem/mosel_boat_trips,0.24,,,missing_coordinates; has_external_url,http://www.senfmuehle.net/,https://en.wikivoyage.org/wiki/Cochem
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,do,Wild Hawaii Ocean Adventures,0.59,candidate,has description; high-value type; has external URL,,,Old Kona Airport State Recreation Area,northamerica/unitedstates/hawaii/kailuakona/old_kona_airport_park,0.455,,,missing_coordinates; has_external_url,http://www.wild-hawaii.com,https://en.wikivoyage.org/wiki/Kailua-Kona
australiaandpacific/newzealand/south_island/west_coast/franzjosef,Franz Josef,Franz Josef,8,23,do,Waiho Hot Tubs,0.59,candidate,has description; high-value type; has external URL,,,Glacier Hot Pools,australiaandpacific/newzealand/south_island/west_coast/franzjosef/glacier_hot_pools,0.516,,,missing_coordinates; has_external_url,https://waihohottubs.co.nz,https://en.wikivoyage.org/wiki/Franz_Josef
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,see,VIA Rail Canada,0.59,candidate,has description; high-value type; has external URL,,,Ripley's Aquarium of Canada,northamerica/canada/ontario/toronto/ripleys_aquarium,0.476,,,missing_coordinates; has_external_url,https://www.viarail.ca/,https://en.wikivoyage.org/wiki/Toronto
northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh,Plattsburgh,Plattsburgh,11,30,see,Lake Champlain Ferries,0.59,candidate,has description; high-value type; has external URL,,,Kent-Delord House Museum,northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh/kent_delord_house_museum,0.304,,,missing_coordinates; has_external_url,http://www.ferries.com,https://en.wikivoyage.org/wiki/Plattsburgh
southamerica/ecuador/quito,Quito,Quito,25,61,do,Go Mountain Biking,0.59,candidate,has description; high-value type; has external URL,,,Cementerio de San Diego,southamerica/ecuador/quito/san_diego_cemetery,0.421,,,missing_coordinates; has_external_url,http://www.bikingdutchman.com,https://en.wikivoyage.org/wiki/Quito
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Austin Chocolate Festival,0.59,candidate,has description; high-value type; has external URL,,,Austin Nature and Science Center,northamerica/unitedstates/texas/austin/natural_science_center,0.421,,,missing_coordinates; has_external_url,http://austinchocolatefestival.com,https://en.wikivoyage.org/wiki/Austin
europe/switzerland/neuchatel,Neuchatel,Neuchatel,8,33,do,City Games,0.59,candidate,has description; high-value type; has external URL,,,Place des Halles,europe/switzerland/neuchatel/place_des_halles,0.273,,,missing_coordinates; has_external_url,http://www.citygames-target.ch,https://en.wikivoyage.org/wiki/Neuchatel
northamerica/unitedstates/massachusetts/woods_hole,Woods Hole,Woods Hole,5,16,see,Steamship Authority Ferries,0.59,candidate,has description; high-value type; has external URL,,,Woods Hole Science Aquarium,northamerica/unitedstates/massachusetts/woods_hole/woods_hole_science_aquarium,0.259,,,missing_coordinates; has_external_url,https://www.steamshipauthority.com/,https://en.wikivoyage.org/wiki/Woods_Hole
europe/spain/andalucia/marbella,Marbella,Marbella,13,42,see,Alquileres Masmotos,0.59,candidate,has description; high-value type; has external URL,,,Puerto Banús,europe/spain/andalucia/marbella/puertobanus,0.387,,,missing_coordinates; has_external_url,https://www.alquilermotosmarbella.es/,https://en.wikivoyage.org/wiki/Marbella
southamerica/brazil/petropolis,Petrópolis,Petrópolis,4,30,see,Centro da Informação Turística - Bus Station,0.59,candidate,has description; high-value type; has external URL,,,Catedral de São Pedro de Alcântara,southamerica/brazil/petropolis/catedral_sao_pedro,0.377,,,missing_coordinates; has_external_url,http://www.petropolis.rj.gov.br/fct,https://en.wikivoyage.org/wiki/Petr%C3%B3polis
northamerica/canada/britishcolumbia/tofino,Tofino,Tofino,6,46,see,Harbour Air,0.59,candidate,has description; high-value type; has external URL,,,Whale Watching,northamerica/canada/britishcolumbia/tofino/whale_watching,0.4,,,missing_coordinates; has_external_url,https://www.harbourair.com/,https://en.wikivoyage.org/wiki/Tofino
northamerica/unitedstates/tennessee/chattanooga,Chattanooga,Chattanooga,20,86,do,Take a ride on the Southern Belle Riverboat,0.59,candidate,has description; high-value type; has external URL,,,Tennessee Riverwalk,northamerica/unitedstates/tennessee/chattanooga/tennessee_riverwalk,0.464,,,missing_coordinates; has_external_url,https://chattanoogariverboat.com/,https://en.wikivoyage.org/wiki/Chattanooga
northamerica/unitedstates/massachusetts/marthasvineyard,Martha's Vineyard,Martha's Vineyard,16,7,see,New England Fast Ferry,0.59,candidate,has description; high-value type; has external URL,,,Vineyard Haven,northamerica/unitedstates/massachusetts/marthasvineyard/vineyard_haven,0.389,,,missing_coordinates; has_external_url,http://www.nefastferry.com/nmfastferry/,https://en.wikivoyage.org/wiki/Martha%27s_Vineyard
northamerica/unitedstates/pennsylvania/philadelphia,Philadelphia,Philadelphia,44,26,see,Megabus,0.59,candidate,has description; high-value type; has external URL,,,Mütter Museum,northamerica/unitedstates/pennsylvania/philadelphia/mutter_museum,0.4,,,missing_coordinates; has_external_url,http://www.megabus.com,https://en.wikivoyage.org/wiki/Philadelphia
europe/germany/berlin,Berlin,Berlin,161,123,do,Karneval,0.59,candidate,has description; high-value type; has external URL,,,Knopf Paul,europe/germany/berlin/knopfpaul,0.444,,,missing_coordinates; has_external_url,https://www.festkomitee-berliner-karneval.de/Startseite/,https://en.wikivoyage.org/wiki/Berlin
australiaandpacific/newzealand/milfordsound,Milford Sound,Milford Sound,0,8,do,Milford Deep Underwater Observatory,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,http://www.milforddeep.co.nz/,https://en.wikivoyage.org/wiki/Milford_Sound
northamerica/unitedstates/iowa/iowacity,Iowa City,Iowa City,16,48,do,Iowa Arts Festival,0.59,candidate,has description; high-value type; has external URL,,,Iowa Memorial Union,northamerica/unitedstates/iowa/iowacity/iowa_memorial_union,0.486,,,missing_coordinates; has_external_url,https://summerofthearts.org/sota-events/iowa-arts-festival/,https://en.wikivoyage.org/wiki/Iowa_City
europe/germany/badenwrttemberg/lakeconstance,Lake Constance,Lake Constance,0,11,do,Lake Constance cycle route,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,http://www.bodensee-radweg.com,https://en.wikivoyage.org/wiki/Lake_Constance
europe/belgium/brussels,Brussels,Brussels,14,68,see,Eurostar,0.59,candidate,has description; high-value type; has external URL,,,Royal District,europe/belgium/brussels/royaldistrict,0.455,,,missing_coordinates; has_external_url,http://www.eurostar.com/,https://en.wikivoyage.org/wiki/Brussels
asia/japan/honshu/hikone,Hikone,Hikone,7,13,see,Meguringo,0.59,candidate,has description; high-value type; has external URL,,,Sawayama Castle Ruins,asia/japan/honshu/hikone/sawayama_castle,0.333,,,missing_coordinates; has_external_url,https://megurinko-hikone.jimdo.com/,https://en.wikivoyage.org/wiki/Hikone
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,FlixBus,0.59,candidate,has description; high-value type; has external URL,,,Albion Falls,northamerica/canada/ontario/hamilton/albion_falls,0.316,,,missing_coordinates; has_external_url,https://www.flixbus.ca/,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
northamerica/unitedstates/michigan/marquette,Marquette,Marquette (Michigan),7,42,do,Paddling Michigan,0.59,candidate,has description; high-value type; has external URL,,,Lakenenland,northamerica/unitedstates/michigan/marquette/lakenenland,0.286,,,missing_coordinates; has_external_url,http://www.paddlingmichigan.com/,https://en.wikivoyage.org/wiki/Marquette_%28Michigan%29
asia/india/gujarat/ahmedabad,Ahmedabad,Ahmedabad,50,18,see,Bharti Sanchar Nigam Limited,0.59,candidate,has description; high-value type; has external URL,,,Sabarmati Ashram,asia/india/gujarat/ahmedabad/sabarmati_ashram,0.5,,,missing_coordinates; has_external_url,http://www.bsnl.co.in,https://en.wikivoyage.org/wiki/Ahmedabad
northamerica/canada/manitoba/brandon,Brandon,Brandon (Manitoba),4,26,see,Manitoba Summer Fair,0.59,candidate,has description; high-value type; has external URL,,,Assiniboine Riverwalk,northamerica/canada/manitoba/brandon/assiniboine_riverwalk,0.39,,,missing_coordinates; has_external_url,http://www.brandonfairs.com,https://en.wikivoyage.org/wiki/Brandon_%28Manitoba%29
europe/denmark/copenhagen,Copenhagen,Copenhagen,101,98,do,Stella Polaris,0.59,candidate,has description; high-value type; has external URL,,,Stereo Bar,europe/denmark/copenhagen/stereo_bar,0.5,,,missing_coordinates; has_external_url,http://www.stella-polaris.dk/,https://en.wikivoyage.org/wiki/Copenhagen
