world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Bila Tserkva,0.79,candidate,has coordinates; has description; high-value type; has external URL,49.795556,30.116667,Closer,europe/ukraine/kyiv/closer,0.444,79.363,78.354,has_external_url; day_trip_review,http://www.bilatserkva.info/,https://en.wikivoyage.org/wiki/Kyiv
asia/nepal/birgunj_birganj,Birgunj,Birgunj,0,5,see,Parsa Wildlife Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,27.388,84.683,,,0.0,,42.06,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Birgunj
asia/taiwan/taoyuan,Taoyuan,Taoyuan,9,50,see,Lala Shan Nature Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,24.709636,121.432441,Shihmen Reservoir,asia/taiwan/taoyuan/shihmen_reservoir,0.488,21.03,34.186,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Taoyuan
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,see,Fort Nata,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-5.75414,123.949199,,,0.0,,63.257,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Wakatobi
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,do,Tanxi Mountain Scenic Area.,0.79,candidate,has coordinates; has description; high-value type; strong travel term,36.5042,118.2124,Zhoucun Ancient Commercial Street,asia/china/shandong_province/zibo/zhoucun_ancient_town,0.373,37.78,34.25,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zibo
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Wat Tham Singkhorn,0.79,candidate,has coordinates; has description; high-value type; strong travel term,9.042676,99.039759,Night Markets and Southern Thai Food,asia/thailand/surat_thani/night_markets_and_local_food,0.259,,52.544,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/hubei/shiyan,Shiyan,Shiyan,3,10,see,Carefree Valley,0.79,candidate,has coordinates; has description; high-value type; strong travel term,32.4376736,111.05051137,Dongfeng Museum,asia/china/hubei/shiyan/dongfeng_museum,0.267,35.338,32.011,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Shiyan
northamerica/unitedstates/newyorkstate/ithaca_tompkins_c,Ithaca,Ithaca (New York),19,87,see,Cayuga Lake,0.79,candidate,has coordinates; has description; high-value type; strong travel term,42.683333,-76.696111,Sagan Planet Walk,northamerica/unitedstates/newyorkstate/ithaca_tompkins_c/sagan_planet_walk,0.5,31.54,31.336,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ithaca_%28New_York%29
asia/indonesia/irianjaya/jaya_pura,Jayapura,Jayapura,6,22,see,Harlem Beach,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-2.421563,140.367188,Hamadi Beach and Memorial,asia/indonesia/irianjaya/jaya_pura/hamadi_beach,0.486,41.435,39.591,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Jayapura
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,see,Sweni Hide and Viewpoint,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-24.4727,31.9735,Lower Sabie Camp,africa/southafrica/krugernationalpark/lower_sabie_camp,0.35,72.333,68.581,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kruger_National_Park
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Ton Nga Chang Waterfall,0.79,candidate,has coordinates; has description; high-value type; strong travel term,6.947797,100.235319,ASEAN Night Bazaar,asia/thailand/hatyai/asean_night_bazaar,0.341,26.853,26.63,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Hat_Yai
europe/greece/kavala,Kavala,Kavala,14,95,see,Aggitis Canyon,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.0244,24.0179,Thassos Island,europe/greece/kavala/thassos_ferry,0.357,64.72,34.508,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kavala
asia/china/shandong_province/weihai,Weihai,Weihai,4,37,see,Xixiakou zoo,0.79,candidate,has coordinates; has description; high-value type; strong travel term,37.42,122.63,Weihai Swan Lake,asia/china/shandong_province/weihai/weihai_swan_lake,0.286,58.355,46.512,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Weihai
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,see,Haixing Wetland and Bird Nature Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,38.25723,117.62816,Grand Canal Heritage Corridor,asia/china/hebei/cangzhou/grand_canal_heritage_corridor,0.353,68.189,66.537,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Cangzhou
europe/ukraine/poltava,Poltava,Poltava,7,54,do,City Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.61836,34.55291,Shevchenko Park,europe/ukraine/poltava/shevchenko_park,0.5,3.735,63.692,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
asia/china/tibet/nyingchi,Nyingchi,Nyingchi,7,20,see,Medog Nature Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,29.3,95.3,Ancient Cypress Grove,asia/china/tibet/nyingchi/ancient_cypress_grove,0.439,95.42,69.785,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nyingchi
asia/thailand/chiangrai,Chiang Rai,Chiang Rai,14,71,see,Art Bridge Chiang Rai (ABCR),0.79,candidate,has coordinates; has description; high-value type; strong travel term,19.95604,99.85095,Chiang Saen,asia/thailand/chiangrai/chiang_saen,0.5,42.649,28.72,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chiang_Rai
northamerica/canada/ontario/sudbury,Sudbury,Sudbury (Ontario),18,65,see,Centre franco-ontarien de folklore,0.79,candidate,has coordinates; has description; high-value type; strong travel term,46.1345,-80.4306,Tom Davies Square,northamerica/canada/ontario/sudbury/tom_davies_square,0.375,58.409,58.656,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Sudbury_%28Ontario%29
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Khao Nam Khang National Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,6.600537,100.588518,Khlong Hae Floating Market,asia/thailand/hatyai/khlong_hae_floating_market,0.519,51.237,47.134,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Hat_Yai
europe/albania/pogradec,Pogradec,Pogradec,3,32,see,Shebenik-Jabllanice National Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.222,20.449,Buchimas Archaeological Site,europe/albania/pogradec/buchimas_museum,0.295,41.545,39.853,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Pogradec
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Changqing Qi Dynasty's Great Wall Tourist Area,0.79,candidate,has coordinates; has description; high-value type; strong travel term,36.342959,116.632535,Jingsi Road Bar and Restaurant Area,asia/china/shandong_province/jinan/jingsi_road_bar_street,0.494,48.706,47.856,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Jinan
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,see,Zhengjue Temple,0.79,candidate,has coordinates; has description; high-value type; strong travel term,36.5317,117.9056,Zhoucun Ancient Commercial Street,asia/china/shandong_province/zibo/zhoucun_ancient_town,0.292,32.119,30.8,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zibo
asia/indonesia/rajaampat,Raja Ampat,Raja Ampat,5,15,see,Masjid Hidayatullah Saonek,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-0.467063,130.782188,Manta Sandy,asia/indonesia/rajaampat/manta_sandy,0.432,15.258,40.073,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Raja_Ampat
asia/india/tamilnadu/pudukkottai,Pudukkottai,Pudukkottai,3,5,see,Avudaiyarkoil,0.79,candidate,has coordinates; has description; high-value type; strong travel term,10.073056,79.04,Sittanavasal Cave Temple,asia/india/tamilnadu/pudukkottai/sittanavasal,0.27,58.884,34.312,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Pudukkottai
europe/greece/samos,Samos,Samos,17,56,do,Potami,0.79,candidate,has coordinates; has description; high-value type; strong travel term,37.789874,26.663551,Potami Waterfalls,europe/greece/samos/potami_waterfalls,0.522,0.586,27.831,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Samos
southamerica/paraguay/concepcion,Concepción,Concepción (Paraguay),4,28,see,Monumento al Indio,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-23.411462,-57.42779,Into the Pantanal,southamerica/paraguay/concepcion/pantanal_day_trips,0.387,101.619,37.195,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n_%28Paraguay%29
asia/china/gansu/lanzhou,Lanzhou,Lanzhou,11,26,see,Tianxu sand Palace Geopark,0.79,candidate,has coordinates; has description; high-value type; strong travel term,36.146768,103.708454,Binhe Park,asia/china/gansu/lanzhou/binhepark,0.444,38.324,36.498,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lanzhou
northamerica/mexico/chetumal,Chetumal,Chetumal,7,36,do,Dzibanché,0.79,candidate,has coordinates; has description; high-value type; strong travel term,18.640258,-88.760557,Bahía de Chetumal,northamerica/mexico/chetumal/bay_swimming,0.4,54.008,51.329,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chetumal
asia/jordan/deadsea,Dead Sea,Dead Sea (Israel and the West Bank),6,15,do,Hamei Zohar Public Beach,0.79,candidate,has coordinates; has description; high-value type; strong travel term,31.169444,35.367222,Wadi Mujib,asia/jordan/deadsea/wadi_mujib,0.353,39.888,55.971,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Dead_Sea_%28Israel_and_the_West_Bank%29
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Pelister National Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,40.981,21.191,Bistra Mountain,europe/macedonia/kicevo/bistra_mountain,0.378,76.797,61.835,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/pakistan/azad_kashmir/mirpur,Mirpur,Mirpur,3,9,see,Baghsar Lake and Fort,0.79,candidate,has coordinates; has description; high-value type; strong travel term,33.0377,74.2065,Ramkot Fort,asia/pakistan/azad_kashmir/mirpur/ramkot_fort,0.5,47.2,44.439,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mirpur
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,see,Nandagang Wetland Nature Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,38.50548,117.52703,Grand Canal Heritage Corridor,asia/china/hebei/cangzhou/grand_canal_heritage_corridor,0.361,62.803,60.847,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Cangzhou
asia/india/rajasthan/alwar,Alwar,Alwar,4,11,see,Bhartrihari Temple,0.79,candidate,has coordinates; has description; high-value type; strong travel term,27.39566,76.41206,Sariska Tiger Reserve,asia/india/rajasthan/alwar/sariska_tiger_reserve,0.359,7.682,28.073,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Alwar
europe/ukraine/poltava,Poltava,Poltava,7,54,see,'Light of Life' church,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.59944,34.49675,Spaska Church,europe/ukraine/poltava/spaska_church,0.424,3.415,61.042,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
