world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/veracruz,Veracruz,Veracruz,11,44,do,Take a jog in the sea air,0.7,candidate,has coordinates; has description; high-value type,19.1837,-96.1248,Acuario de Veracruz,northamerica/mexico/veracruz/acuario_veracruz,0.551,0.449,3.076,needs_external_source,,https://en.wikivoyage.org/wiki/Veracruz
northamerica/mexico/puebla,Puebla,Puebla,14,54,see,Barrio de murales,0.7,candidate,has coordinates; has description; high-value type,19.053109,-98.188418,Barrio de los Sapos,northamerica/mexico/puebla/barrio_de_los_sapos,0.615,1.605,2.286,needs_external_source,,https://en.wikivoyage.org/wiki/Puebla
asia/tajikistan/khojend,Khujand,Khujand,6,27,see,Mausoleum of Sheikh Muslihiddin,0.7,candidate,has coordinates; has description; high-value type,40.27896,69.63094,Sheikh Muslihiddin Mosque (Friday Mosque),asia/tajikistan/khojend/friday_mosque,0.643,1.06,0.929,needs_external_source,,https://en.wikivoyage.org/wiki/Khujand
asia/india/rajasthan/jaipur,Jaipur,Jaipur,39,85,see,Panna Meena Ka Kund Stepwell,0.7,candidate,has coordinates; has description; high-value type,26.991105,75.851229,Panna Mian ka Kund,asia/india/rajasthan/jaipur/panna_mian_ka_kund,0.696,0.794,9.004,needs_external_source,,https://en.wikivoyage.org/wiki/Jaipur
europe/slovenia/piran,Piran,Piran,14,26,see,Lighthouse,0.7,candidate,has coordinates; has description; high-value type,45.53021,13.5632,Cathedral of St George,europe/slovenia/piran/cathedral_of_st_george,0.676,0.324,0.447,needs_external_source,,https://en.wikivoyage.org/wiki/Piran
asia/china/shanxiprovince/pingyao,Pingyao,Pingyao,7,20,see,City Walls,0.7,candidate,has coordinates; has description; high-value type,37.204048,112.174992,Pingyao City Wall,asia/china/shanxiprovince/pingyao/city_wall,0.667,2.259,1.708,needs_external_source,,https://en.wikivoyage.org/wiki/Pingyao
asia/philippines/subic,Subic,Subic,11,39,see,Children of the Sun Returning,0.7,candidate,has coordinates; has description; high-value type,14.8161,120.2819,Zoobic Safari,asia/philippines/subic/zoobic_safari,0.677,0.323,8.519,needs_external_source,,https://en.wikivoyage.org/wiki/Subic
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Overstolzenhaus,0.7,candidate,has coordinates; has description; high-value type,50.93408,6.96045,Chocolate Museum (Schokoladenmuseum),europe/germany/northrhinewestphalia/cologne/schokoladenmuseum,0.601,0.399,0.477,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/colorado/mesaverde,Mesa Verde National Park,Mesa Verde National Park,12,29,see,Cedar Tree Tower,0.7,candidate,has coordinates; has description; high-value type,37.1985,-108.4825,Spruce Tree House,northamerica/unitedstates/colorado/mesaverde/spruce_tree_house,0.606,1.796,4.042,needs_external_source,,https://en.wikivoyage.org/wiki/Mesa_Verde_National_Park
asia/india/rajasthan/kota,Kota,Kota,5,13,see,Kota Barrage,0.7,candidate,has coordinates; has description; high-value type,25.17575,75.82734,Kota Fort and City Palace,asia/india/rajasthan/kota/kota_fort,0.671,0.329,5.666,needs_external_source,,https://en.wikivoyage.org/wiki/Kota
asia/uzbekistan/bukhara,Bukhara,Bukhara,13,30,see,Qosh Madrassah,0.7,candidate,has coordinates; has description; high-value type,39.7745,64.4059,Bolo Haouz Mosque,asia/uzbekistan/bukhara/bolo_haouz_mosque,0.61,0.39,0.808,needs_external_source,,https://en.wikivoyage.org/wiki/Bukhara
europe/bulgaria/sofia,Sofia,Sofia,32,113,see,Snail House,0.7,candidate,has coordinates; has description; high-value type,42.6173,23.3348,National History Museum,europe/bulgaria/sofia/national_history_museum,0.588,6.012,9.004,needs_external_source,,https://en.wikivoyage.org/wiki/Sofia
asia/srilanka/anuradapura,Anuradhapura,Anuradhapura,17,6,see,Jetavana or Jetavanaramaya,0.7,candidate,has coordinates; has description; high-value type,8.352016,80.404923,Jetavanarama Stupa,asia/srilanka/anuradapura/jetavanarama,0.591,0.692,1.73,needs_external_source,,https://en.wikivoyage.org/wiki/Anuradhapura
asia/india/westbengal/darjeeling,Darjeeling,Darjeeling,15,45,see,Dali Monastery,0.7,candidate,has coordinates; has description; high-value type,27.02374,88.254772,Ghoom Monastery,asia/india/westbengal/darjeeling/ghoom_monastery,0.69,3.235,2.233,needs_external_source,,https://en.wikivoyage.org/wiki/Darjeeling
northamerica/britishvirginislands/virgingorda,Virgin Gorda,Virgin Gorda,11,56,see,Trintek,0.7,candidate,has coordinates; has description; high-value type,18.45017,-64.43564,St. Ursula's Church,northamerica/britishvirginislands/virgingorda/st_ursulas_church,0.56,0.44,4.358,needs_external_source,,https://en.wikivoyage.org/wiki/Virgin_Gorda
europe/switzerland/fribourg,Fribourg,Fribourg,12,22,see,Berne Gate,0.7,candidate,has coordinates; has description; high-value type,46.80553,7.16859,Fribourg Cathedral (Cathédrale Saint-Nicolas),europe/switzerland/fribourg/fribourg_cathedral,0.577,0.423,0.513,needs_external_source,,https://en.wikivoyage.org/wiki/Fribourg
northamerica/mexico/monterrey,Monterrey,Monterrey,13,31,see,Cerveceria Cuahtemoc,0.7,candidate,has coordinates; has description; high-value type,25.693539,-100.316992,Cervecería Cuauhtémoc Moctezuma,northamerica/mexico/monterrey/cerveceria_cuauhtemoc_moctezuma,0.694,1.041,1.493,needs_external_source,,https://en.wikivoyage.org/wiki/Monterrey
europe/portugal/theazores/so_miguel/ponta_delgada,Ponta Delgada,Ponta Delgada,13,28,do,Ponta Delgada Marina,0.7,candidate,has coordinates; has description; high-value type,37.739448,-25.665396,Centro Comercial Solmar,europe/portugal/theazores/so_miguel/ponta_delgada/centro_comercial_s,0.698,0.302,0.313,needs_external_source,,https://en.wikivoyage.org/wiki/Ponta_Delgada
northamerica/nicaragua/len,León,León (Nicaragua),12,79,see,Iglesia el Laborio,0.7,candidate,has coordinates; has description; high-value type,12.43202,-86.88331,Iglesia La Recolección,northamerica/nicaragua/len/iglesia_la_recoleccion,0.588,0.895,0.644,needs_external_source,,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
asia/oman/muscat,Muscat,Muscat,24,152,see,Corniche,0.7,candidate,has coordinates; has description; high-value type,23.621711,58.562867,Mutrah Corniche,asia/oman/muscat/mutrah_corniche,0.696,0.419,3.32,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
europe/bosniaandherzegovina/trebinje,Trebinje,Trebinje,10,8,see,Arslanagića most,0.7,candidate,has coordinates; has description; high-value type,42.7147,18.3541,Arslanagić (Perović) Bridge,europe/bosniaandherzegovina/trebinje/arslanagic_bridge,0.667,2.702,0.928,needs_external_source,,https://en.wikivoyage.org/wiki/Trebinje
southamerica/bolivia/tarija,Tarija,Tarija,5,18,see,Mirador de los Suenos,0.7,candidate,has coordinates; has description; high-value type,-21.53432,-64.7438,Mercado Campesino,southamerica/bolivia/tarija/mercado_campesino,0.581,1.318,1.475,needs_external_source,,https://en.wikivoyage.org/wiki/Tarija
europe/russia/ural/ekaterinburg,Ekaterinburg,Yekaterinburg,11,72,see,Dam on the River Iset,0.7,candidate,has coordinates; has description; high-value type,56.83795,60.60361,Yekaterinburg Museum of Fine Arts,europe/russia/ural/ekaterinburg/museum_of_fine_arts,0.682,0.318,0.174,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
europe/macedonia/bitola,Bitola,Bitola,6,65,see,French Military Cemetery,0.7,candidate,has coordinates; has description; high-value type,41.040408,21.359297,Jewish Cemetery,europe/macedonia/bitola/jewish_cemetery,0.564,2.472,2.626,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola
africa/liberia/harper,Harper,Harper,3,5,see,William Tubman Mansion,0.7,candidate,has coordinates; has description; high-value type,4.373,-7.7186,Cape Palmas,africa/liberia/harper/cape_palmas,0.607,0.393,1.535,needs_external_source,,https://en.wikivoyage.org/wiki/Harper
asia/india/karnataka/mysore,Mysore,Mysore,14,82,do,Hebbal Lake,0.7,candidate,has coordinates; has description; high-value type,12.358389,76.610472,Kukkarahalli Lake,asia/india/karnataka/mysore/kukkarahalli_lake,0.571,6.83,7.636,needs_external_source,,https://en.wikivoyage.org/wiki/Mysore
europe/switzerland/lugano,Lugano,Lugano,7,47,see,Chiesa di Santa Maria degli Angioli,0.7,candidate,has coordinates; has description; high-value type,46.0000025,8.9490294,Lakeside Dining,europe/switzerland/lugano/lakeside_dining,0.658,0.342,0.601,needs_external_source,,https://en.wikivoyage.org/wiki/Lugano
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Yangshan Quarry,0.7,candidate,has coordinates; has description; high-value type,32.0675,119.0,Qingliangshan Park,asia/china/jiangsu_province/nanjing/qingliangshan_park,0.606,22.996,21.006,needs_external_source,,https://en.wikivoyage.org/wiki/Nanjing
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,see,11i Uhr,0.7,candidate,has coordinates; has description; high-value type,47.20762,7.53419,Museum Altes Zeughaus,europe/switzerland/solothurn/altes_zeughaus,0.631,0.369,0.193,needs_external_source,,https://en.wikivoyage.org/wiki/Solothurn
asia/china/guangxi/longsheng,Longsheng,Longsheng,3,10,see,The Rice Terraces,0.7,candidate,has coordinates; has description; high-value type,25.755,110.133333,Dragon's Backbone Rice Terraces,asia/china/guangxi/longsheng/dragon_backbone_terraces,0.591,13.72,6.333,needs_external_source,,https://en.wikivoyage.org/wiki/Longsheng
southamerica/chile/puntaarenas,Punta Arenas,Punta Arenas,28,58,see,Costanera del Estrecho,0.7,candidate,has coordinates; has description; high-value type,-53.165,-70.9029,Costanera and the Strait,southamerica/chile/puntaarenas/costanera,0.684,0.466,0.425,needs_external_source,,https://en.wikivoyage.org/wiki/Punta_Arenas
africa/southafrica/stellenbosch,Stellenbosch,Stellenbosch,6,23,see,The Powder House,0.7,candidate,has coordinates; has description; high-value type,-33.936833,18.857893,Dorp Street,africa/southafrica/stellenbosch/dorp_street,0.612,0.388,1.073,needs_external_source,,https://en.wikivoyage.org/wiki/Stellenbosch
asia/india/westbengal/digha,Digha,Digha,4,20,do,Kajal Dighi,0.7,candidate,has coordinates; has description; high-value type,21.62734,87.50275,Marine Aquarium and Research Centre,asia/india/westbengal/digha/marine_aquarium,0.581,0.419,0.74,needs_external_source,,https://en.wikivoyage.org/wiki/Digha
northamerica/unitedstates/virginia/norfolk,Norfolk,Norfolk (Virginia),10,39,see,Mile Marker 0 of the Intracoastal Waterway,0.7,candidate,has coordinates; has description; high-value type,36.848333,-76.298333,USS Wisconsin (BB-64),northamerica/unitedstates/virginia/norfolk/uss_wisconsin,0.571,0.429,0.754,needs_external_source,,https://en.wikivoyage.org/wiki/Norfolk_%28Virginia%29
asia/india/westbengal/durgapur,Durgapur,Durgapur,5,13,see,Durgapur Steel Plant,0.7,candidate,has coordinates; has description; high-value type,23.5573,87.2513,Durgapur Barrage,asia/india/westbengal/durgapur/durgapur_barrage,0.556,6.94,5.861,needs_external_source,,https://en.wikivoyage.org/wiki/Durgapur
