world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,Sacred Heart of Jesus Cathedral,0.81,candidate,has coordinates; high-value type; strong travel term,41.7883,123.4467,Shenyang Imperial Palace (Mukden Palace),asia/china/liaoning/shenyang/shenyang_imperial_palace,0.327,1.224,2.227,needs_external_source,,https://en.wikivoyage.org/wiki/Shenyang
asia/china/fujianprovince/taining,Taining,Taining,4,5,see,Temple of Ganlu,0.81,candidate,has coordinates; high-value type; strong travel term,26.8657,117.0872,Ganlu Cliff Temple,asia/china/fujianprovince/taining/ganlu_cliff_temple,0.364,7.873,9.443,needs_external_source,,https://en.wikivoyage.org/wiki/Taining
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Crescent Moon Beach,0.81,candidate,has coordinates; high-value type; strong travel term,12.9711,100.8866,Jomtien Beach,asia/thailand/pattaya/jomtien_beach,0.5,8.5,3.825,needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,Bethune Point Park,0.81,candidate,has coordinates; high-value type; strong travel term,29.1986,-81.0108,Mary McLeod Bethune Home,northamerica/unitedstates/florida/daytona_beach/mary_mcleod_bethune_home,0.429,2.575,1.788,needs_external_source,,https://en.wikivoyage.org/wiki/Daytona_Beach
europe/armenia/ani,Ani,Ani,8,14,see,Mosque of Minuchir,0.81,candidate,has coordinates; high-value type; strong travel term,40.5052,43.5701,Lori Province,europe/armenia/lori_province,0.387,113.243,0.343,needs_external_source,,https://en.wikivoyage.org/wiki/Ani
europe/unitedkingdom/scotland/peterhead,Peterhead,Peterhead,1,30,see,Slains Castle,0.81,candidate,has coordinates; high-value type; strong travel term,57.415,-1.832,Things to do in Peterhead,europe/unitedkingdom/scotland/peterhead/things_to_do,0.316,,10.401,needs_external_source,,https://en.wikivoyage.org/wiki/Peterhead
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,City Island Park,0.81,candidate,has coordinates; high-value type; strong travel term,29.2114,-81.0159,Brownie the Town Dog's Grave,northamerica/unitedstates/florida/daytona_beach/brownie_the_town_dog_grave,0.474,0.526,0.673,needs_external_source,,https://en.wikivoyage.org/wiki/Daytona_Beach
northamerica/unitedstates/louisiana/monroe,Monroe,Monroe (Louisiana),8,16,do,Kiroli Park,0.81,candidate,has coordinates; high-value type; strong travel term,32.5482,-92.1654,Delta Air Lines Heritage,northamerica/unitedstates/louisiana/monroe/delta_airlines_heritage,0.343,12.64,6.013,needs_external_source,,https://en.wikivoyage.org/wiki/Monroe_%28Louisiana%29
northamerica/thecaribbean/grenada/carriacou,Carriacou,Carriacou,3,12,see,White Island,0.81,candidate,has coordinates; high-value type; strong travel term,12.4353,-61.4811,View Over Petite Martinique,northamerica/thecaribbean/grenada/carriacou/windward/petite_martinique_view,0.359,7.237,5.558,needs_external_source,,https://en.wikivoyage.org/wiki/Carriacou
australiaandpacific/northernmarianaislands/saipan,Saipan,Saipan,10,35,do,The Forbidden Island,0.81,candidate,has coordinates; high-value type; strong travel term,15.150656,145.790489,Managaha Island,australiaandpacific/northernmarianaislands/saipan/managaha_island,0.516,12.681,5.785,needs_external_source,,https://en.wikivoyage.org/wiki/Saipan
asia/india/himachalpradesh/manali,Manali,Manali,10,47,see,Gauri Shankar Temple,0.81,candidate,has coordinates; high-value type; strong travel term,32.11312,77.16416,Manu Maharishi Temple,asia/india/himachalpradesh/manali/manu_maharishi_temple,0.537,15.755,14.88,needs_external_source,,https://en.wikivoyage.org/wiki/Manali
europe/russia/samara,Samara,Samara,7,48,do,Sport Palace,0.81,candidate,has coordinates; high-value type; strong travel term,53.2139,50.2576,Stalin's Bunker,europe/russia/samara/stalins_bunker,0.37,10.794,10.594,needs_external_source,,https://en.wikivoyage.org/wiki/Samara
europe/spain/northernspain/aviles,Avilés,Avilés,4,13,see,Philippe Cousteau Anchor Museum,0.81,candidate,has coordinates; high-value type; strong travel term,43.5801,-5.9674,Palacio Valdés Theatre,europe/spain/northernspain/aviles/palacio_valdes_theatre,0.377,4.71,4.515,needs_external_source,,https://en.wikivoyage.org/wiki/Avil%C3%A9s
europe/poland/bielsko,Bielsko-Biała,Bielsko-Biała,10,15,see,Church of Divine Providence,0.81,candidate,has coordinates; high-value type; strong travel term,49.8213,19.0564,Frog House,europe/poland/bielsko/frog_house,0.55,0.45,0.2,needs_external_source,,https://en.wikivoyage.org/wiki/Bielsko-Bia%C5%82a
europe/poland/sosnowiec,Sosnowiec,Sosnowiec,5,51,see,Środula Park (Park Środula),0.81,candidate,has coordinates; high-value type; strong travel term,50.289917,19.16325,Zagłębie Sports Park,europe/poland/sosnowiec/zaglebie_sports_park,0.444,0.556,4.262,needs_external_source,,https://en.wikivoyage.org/wiki/Sosnowiec
europe/ireland/sligo,Sligo,Sligo,17,38,see,Streedagh Beach,0.81,candidate,has coordinates; high-value type; strong travel term,54.404,-8.56,St John the Baptist Cathedral,europe/ireland/sligo/st_john_cathedral,0.4,15.808,15.668,needs_external_source,,https://en.wikivoyage.org/wiki/Sligo
northamerica/unitedstates/indiana/bedford,Bedford,Bedford (Indiana),9,27,see,Premiere Theatre,0.81,candidate,has coordinates; high-value type; strong travel term,38.8451,-86.5142,Spring Mill State Park,northamerica/unitedstates/indiana/bedford/spring_mill_state_park,0.474,15.397,2.924,needs_external_source,,https://en.wikivoyage.org/wiki/Bedford_%28Indiana%29
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Saints Peter and Paul church,0.81,candidate,has coordinates; high-value type; strong travel term,56.42797,40.43619,Monastery of Saint Euthymius,europe/russia/suzdal/monastery_of_saint_euthymius,0.357,0.644,1.229,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
europe/italy/sicily/caltabellotta,Caltabellotta,Caltabellotta,2,20,see,Collegio Church,0.81,candidate,has coordinates; high-value type; strong travel term,37.57624,13.21603,Peace of Caltabellotta (1302),europe/italy/sicily/caltabellotta/peace_of_caltabellotta,0.363,0.637,0.125,needs_external_source,,https://en.wikivoyage.org/wiki/Caltabellotta
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,St. Johannes church,0.81,candidate,has coordinates; high-value type; strong travel term,50.93547,6.97369,Cologne Cathedral (Kölner Dom),europe/germany/northrhinewestphalia/cologne/cologne_cathedral,0.4,1.258,1.013,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
europe/poland/sosnowiec,Sosnowiec,Sosnowiec,5,51,do,Stawiki Beach,0.81,candidate,has coordinates; high-value type; strong travel term,50.2734,19.1115,Sielecki Castle,europe/poland/sosnowiec/sielecki_castle,0.429,1.532,7.402,needs_external_source,,https://en.wikivoyage.org/wiki/Sosnowiec
europe/georgia/tbilisi,Tbilisi,Tbilisi,60,147,see,Alex. Nevskiy Orthodox Church,0.81,candidate,has coordinates; high-value type; strong travel term,41.71133,44.80106,Metekhi Church,europe/georgia/tbilisi/metekhichurch,0.476,2.502,1.987,needs_external_source,,https://en.wikivoyage.org/wiki/Tbilisi
