world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/iraq/mosul,Mosul,Mosul,11,34,see,Mosque of the Prophet Yunus,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.348281,43.159872,Great Mosque of al-Nuri,asia/iraq/mosul/great_mosque_al_nuri,0.565,3.03,5.412,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
southamerica/brazil/florianopolis,Florianópolis,Florianopolis,7,57,do,Trilha da Boa Vista,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-27.577009,-48.42155,Praia da Joaquina,southamerica/brazil/florianopolis/praia_da_joaquina,0.611,7.783,12.821,needs_external_source,,https://en.wikivoyage.org/wiki/Florianopolis
asia/palestinianauthority/ramallah,Ramallah,Ramallah,5,44,do,Ramallah Cultural Palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.8917,35.1909,Khalil Sakakini Cultural Center,asia/palestinianauthority/ramallah/khalil_sakakini_cultural_center,0.582,1.284,1.79,needs_external_source,,https://en.wikivoyage.org/wiki/Ramallah
europe/germany/schleswigholstein/flensburg,Flensburg,Flensburg,13,43,see,Lutheran Church St. Jürgen,0.74,candidate,has coordinates; has description; high-value type; strong travel term,54.791036,9.441542,Flensburg Firth,europe/germany/schleswigholstein/flensburg/flensburg_firth,0.565,0.435,1.008,needs_external_source,,https://en.wikivoyage.org/wiki/Flensburg
europe/spain/balearicislands/formentera,Formentera,Formentera,11,19,do,Espalmador,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.78648,1.42603,Pas des Trucadors,europe/spain/balearicislands/formentera/pas_des_trucadors,0.614,0.386,8.95,needs_external_source,,https://en.wikivoyage.org/wiki/Formentera
europe/spain/galicia/baiona,Baiona,Baiona,5,11,see,Caravel La Pinta,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.1214,-8.8471,Replica of La Pinta,europe/spain/galicia/baiona/pinta_replica,0.608,0.392,0.327,needs_external_source,,https://en.wikivoyage.org/wiki/Baiona
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Caloundra Lighthouses,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-26.8014,153.1376,Caloundra,australiaandpacific/australia/queensland/sunshinecoast/caloundra,0.6,0.526,16.922,needs_external_source,,https://en.wikivoyage.org/wiki/Sunshine_Coast
europe/romania/ploiesti,Ploiești,Ploiești,4,57,see,Cathedral of St. John the Baptist,0.74,candidate,has coordinates; has description; high-value type; strong travel term,44.94325,26.01931,Halele Centrale,europe/romania/ploiesti/halele_centrale,0.653,0.347,0.38,needs_external_source,,https://en.wikivoyage.org/wiki/Ploie%C8%99ti
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,see,Samarkand Presbyterian Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.646,66.9237,Samarkand Plov Center,asia/uzbekistan/samarkand/samarkand_plov_center,0.6,4.508,3.214,needs_external_source,,https://en.wikivoyage.org/wiki/Samarkand
asia/india/karnataka/hampi,Hampi,Hampi,10,26,see,Lakshmi Narasimha temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,15.329087,76.459,Achyutaraya Temple,asia/india/karnataka/hampi/achyutaraya_temple,0.619,1.874,0.777,needs_external_source,,https://en.wikivoyage.org/wiki/Hampi
africa/egypt/hurghada,Hurghada,Hurghada,44,26,do,El Sakia Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,27.221206,33.842636,Makadi Bay,africa/egypt/hurghada/makadi_bay,0.571,26.14,1.185,needs_external_source,,https://en.wikivoyage.org/wiki/Hurghada
asia/india/uttarpradesh/agra,Agra,Agra,28,60,see,St John's Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,27.21528,77.94412,Akbar's Church,asia/india/uttarpradesh/agra/akbars_church,0.6,6.853,7.876,needs_external_source,,https://en.wikivoyage.org/wiki/Agra
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,Wat Suan Dok,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.78812,98.967346,Wat Phan Tao,asia/thailand/chiangmai/wat_phan_tao,0.667,2.153,1.951,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai
southamerica/colombia/barranquilla,Barranquilla,Barranquilla,9,8,see,Museo Mapuka,0.74,candidate,has coordinates; has description; high-value type; strong travel term,11.02022,-74.85578,Museo del Caribe,southamerica/colombia/barranquilla/museo_del_caribe,0.583,5.697,3.729,needs_external_source,,https://en.wikivoyage.org/wiki/Barranquilla
asia/india/maharashtra/konkan/dapoli,Dapoli,Dapoli,4,22,see,Harnai Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.81049,73.0955,Karde Beach,asia/india/maharashtra/konkan/dapoli/karde_beach,0.696,11.896,11.463,needs_external_source,,https://en.wikivoyage.org/wiki/Dapoli
europe/romania/bucharest,Bucharest,Bucharest,11,139,do,Tineretului Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,44.4075,26.1056,Herăstrău Park,europe/romania/bucharest/herastrau_park,0.6,7.766,3.189,needs_external_source,,https://en.wikivoyage.org/wiki/Bucharest
asia/oman/sohar,Sohar,Sohar,3,14,see,Sallan Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.407021,56.716465,Sallan Beach,asia/oman/sohar/sallan_beach,0.696,4.132,7.357,needs_external_source,,https://en.wikivoyage.org/wiki/Sohar
asia/qatar/doha,Doha,Doha,50,160,see,Clock Tower,0.74,candidate,has coordinates; has description; high-value type; strong travel term,25.290016,51.528968,Msheireb Museums,asia/qatar/doha/msheireb_museums,0.579,0.421,3.122,needs_external_source,,https://en.wikivoyage.org/wiki/Doha
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Someshwar,0.74,candidate,has coordinates; has description; high-value type; strong travel term,20.023516,73.727931,Trimbakeshwar,asia/india/maharashtra/nashik/trimbakeshwar_tri,0.636,22.976,6.651,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
europe/germany/mecklenburgwesternpomerania/rostock,Rostock,Rostock,10,36,do,Watch the sunset in the harbour,0.74,candidate,has coordinates; has description; high-value type; strong travel term,54.0927,12.1348,St Mary's Church (Marienkirche),europe/germany/mecklenburgwesternpomerania/rostock/marienkirche,0.594,0.406,0.563,needs_external_source,,https://en.wikivoyage.org/wiki/Rostock
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Church of the Intercession,0.74,candidate,has coordinates; has description; high-value type; strong travel term,52.30682,104.29763,Church of the Epiphany,europe/russia/irkutsk/epiphany_church,0.65,2.61,2.31,needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk
asia/turkey/trabzon,Trabzon,Trabzon,5,75,see,Pazarkapı Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.0078,39.7207,Fatih Mosque (Chrysokephalos),asia/turkey/trabzon/fatih_mosque,0.619,0.381,0.718,needs_external_source,,https://en.wikivoyage.org/wiki/Trabzon
europe/georgia/kutaisi,Kutaisi,Kutaisi,8,48,see,Small Local History museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.2716,42.70607,Kutaisi State Historical Museum,europe/georgia/kutaisi/kutaisi_historical_museum,0.643,0.357,0.051,needs_external_source,,https://en.wikivoyage.org/wiki/Kutaisi
europe/portugal/odemira,Odemira,Odemira,8,12,do,Nossa Senhora Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.53008,-8.78643,Zambujeira do Mar,europe/portugal/odemira/zambujeira_do_mar,0.558,0.442,14.764,needs_external_source,,https://en.wikivoyage.org/wiki/Odemira
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,Gemmis-Pellicciari Palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.8209098,16.4172988,Ponte Madonna della Stella,europe/italy/puglia/gravina_in_puglia/ponte_madonna_della_stella,0.619,0.381,0.48,needs_external_source,,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
africa/somaliland/hargeisa,Hargeisa,Hargeisa,7,10,see,Jama Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,9.56088,44.071706,Waheen Market,africa/somaliland/hargeisa/waheen_market,0.681,0.319,1.09,needs_external_source,,https://en.wikivoyage.org/wiki/Hargeisa
asia/india/karnataka/hubli,Hubli,Hubli,4,18,see,Unkal Lake and Bund Garden,0.74,candidate,has coordinates; has description; high-value type; strong travel term,15.378043,75.106366,Unkal Lake,asia/india/karnataka/hubli/unkal_lake,0.556,1.323,4.47,needs_external_source,,https://en.wikivoyage.org/wiki/Hubli
asia/india/jammuandkashmir/srinagar,Srinagar,Srinagar,67,19,see,SPS Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.06678,74.81312,Sri Pratap Singh Museum,asia/india/jammuandkashmir/srinagar/sri_pratap_singh_museum,0.606,2.917,2.38,needs_external_source,,https://en.wikivoyage.org/wiki/Srinagar
europe/france/nord/arras,Arras,Arras,9,19,see,Place Victor Hugo,0.74,candidate,has coordinates; has description; high-value type; strong travel term,50.28808,2.76824,Place des Héros,europe/france/nord/arras/place_des_heros,0.571,0.739,0.715,needs_external_source,,https://en.wikivoyage.org/wiki/Arras
europe/spain/galicia/lacoruna,La Coruña,A Coruña,14,37,see,Military Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.3691,-8.3901,Church of Santiago,europe/spain/galicia/lacoruna/church_of_santiago,0.691,0.309,0.516,needs_external_source,,https://en.wikivoyage.org/wiki/A_Coru%C3%B1a
asia/kazakhstan/shimkent,Shymkent,Shymkent,12,32,see,Shymkent hillfort Shym-Qala,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.30625889,69.59511017,Shymkent Citadel,asia/kazakhstan/shimkent/shymkent_citadel,0.605,1.445,1.093,needs_external_source,,https://en.wikivoyage.org/wiki/Shymkent
europe/albania/pogradec,Pogradec,Pogradec,3,32,do,Pogradec Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.9033,20.6581,Pogradec Castle,europe/albania/pogradec/pogradec_castle,0.69,1.15,0.386,needs_external_source,,https://en.wikivoyage.org/wiki/Pogradec
europe/germany/bavaria/burghausen,Burghausen,Burghausen,6,15,see,Viewpoint across the Austrian border,0.74,candidate,has coordinates; has description; high-value type; strong travel term,48.157164,12.836755,Stadtplatz,europe/germany/bavaria/burghausen/stadtplatz,0.667,0.333,1.091,needs_external_source,,https://en.wikivoyage.org/wiki/Burghausen
africa/kenya/thecoast/malindi,Malindi,Malindi,5,38,do,Malindi Marine Park Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-3.252,40.13,Malindi Marine National Park,africa/kenya/thecoast/malindi/malindi_marine_national_park,0.717,1.132,17.377,needs_external_source,,https://en.wikivoyage.org/wiki/Malindi
asia/indonesia/java/borobudur,Borobudur,Borobudur,5,10,see,Candi Pawon,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-7.606161,110.219522,Kedu Plain Cycling,asia/indonesia/java/borobudur/kedu_plain_viewpoint,0.608,0.392,1.745,needs_external_source,,https://en.wikivoyage.org/wiki/Borobudur
europe/spain/melilla,Melilla,Melilla,5,121,see,San Lorenzo Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.28699895823691,-2.937345349619521,Parque Hernández,europe/spain/melilla/parque_hernandez,0.57,0.43,0.631,needs_external_source,,https://en.wikivoyage.org/wiki/Melilla
asia/india/maharashtra/nagpur,Nagpur,Nagpur,8,31,do,Kasturchand Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.15386,79.08251,Tarri Poha,asia/india/maharashtra/nagpur/tarri_poha,0.557,0.443,0.452,needs_external_source,,https://en.wikivoyage.org/wiki/Nagpur
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Maharaja Ranjith Singh Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.6383,74.8796,Partition Museum,asia/india/punjab/amritsar/partition_museum,0.578,2.085,0.84,needs_external_source,,https://en.wikivoyage.org/wiki/Amritsar
