world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/portugal/castro_marim,Castro Marim,Castro Marim,4,13,see,Ermida de Santo António,0.7,candidate,has coordinates; has description; high-value type,37.2161,-7.4391,Forte de São Sebastião,europe/portugal/castro_marim/forte_de_sao_sebastiao,0.552,0.448,0.618,needs_external_source,,https://en.wikivoyage.org/wiki/Castro_Marim
europe/armenia/yerevan,Yerevan,Yerevan,53,133,do,Yerevan reservoir,0.7,candidate,has coordinates; has description; high-value type,40.1606,44.4799,Yerevan Opera Theatre,europe/armenia/yerevan/opera_house,0.579,4.231,3.369,needs_external_source,,https://en.wikivoyage.org/wiki/Yerevan
africa/angola/luanda,Luanda,Luanda,10,32,see,Agostinho Neto Mausoleum,0.7,candidate,has coordinates; has description; high-value type,-8.823789,13.218918,National Slavery Museum,africa/angola/luanda/slavery_museum,0.553,8.946,2.778,needs_external_source,,https://en.wikivoyage.org/wiki/Luanda
asia/nepal/kathmandu,Kathmandu,Kathmandu,48,43,see,Bagamati Tripureswor Bridge,0.7,candidate,has coordinates; has description; high-value type,27.69213,85.31051,Bagmati Riverside Walk,asia/nepal/kathmandu/bagmati_riverside,0.612,0.996,2.055,needs_external_source,,https://en.wikivoyage.org/wiki/Kathmandu
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Quetzalcoatl statue,0.7,candidate,has coordinates; has description; high-value type,37.331176,-121.88863,La Victoria Taqueria,northamerica/unitedstates/california/sanjose/la_victoria_taquer,0.594,0.406,0.581,needs_external_source,,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
africa/nigeria/benincity,Benin City,Benin City,10,37,do,Okomu National Park,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.243,5.2817,Ramat Park,africa/nigeria/benincity/ramat_park,0.552,38.588,39.512,has_external_url; day_trip_review,http://nigeriaparkservice.org/?p=152,https://en.wikivoyage.org/wiki/Benin_City
northamerica/unitedstates/florida/st_augustine,St. Augustine,St. Augustine,15,75,do,Faver-Dykes State Park,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.676111,-81.248056,Anastasia State Park,northamerica/unitedstates/florida/st_augustine/anastasia_state_park,0.619,22.168,25.138,has_external_url; day_trip_review,https://www.floridastateparks.org/parks-and-trails/faver-dykes-state-park,https://en.wikivoyage.org/wiki/St._Augustine
europe/ukraine/poltava,Poltava,Poltava,7,54,see,Poltava Battle History Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.6304,34.5533,Poltava Regional Museum,europe/ukraine/poltava/poltava_local_history_museum,0.615,4.335,63.156,has_external_url; day_trip_review,http://www.battle-poltava.org/eng/tours/,https://en.wikivoyage.org/wiki/Poltava
asia/china/ningxia/yinchuan,Yinchuan,Yinchuan,8,29,see,Helan Mountain National Forest Park (Suyukou),0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.7149,105.9879,Helan Mountain Rock Carvings,asia/china/ningxia/yinchuan/helan_mountain_rock_carvings,0.603,1.862,32.737,has_external_url; day_trip_review,http://www.hlsly.com,https://en.wikivoyage.org/wiki/Yinchuan
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,see,Kalaloch and Ruby Beach,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.7157,-124.417,Ruby Beach,northamerica/unitedstates/washington/olympicnationalpark/ruby_beach,0.606,0.71,74.119,has_external_url; day_trip_review,https://www.nps.gov/olym/planyourvisit/visiting-kalaloch-and-ruby-beach.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park
africa/kenya/nairobi,Nairobi,Nairobi,30,113,see,Ol Donyo Sabuk National Park,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-1.138769,37.263694,Nairobi National Park,africa/kenya/nairobi/nairobi_national_park,0.694,53.751,51.662,has_external_url; day_trip_review,https://www.kws.go.ke/ol-donyo-sabuk-national-park,https://en.wikivoyage.org/wiki/Nairobi
asia/china/hainanisland/sanya,Sanya,Sanya,22,19,see,Nanshan Temple,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.304336,109.206161,Nanshan Temple and Guanyin Statue,asia/china/hainanisland/sanya/nanshan_temple,0.596,1.052,31.891,has_external_url; day_trip_review,http://www.synss.com/,https://en.wikivoyage.org/wiki/Sanya
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Baimai Springs,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.72,117.531,Baotu Spring,asia/china/shandong_province/jinan/baotu_spring,0.692,48.377,46.938,has_external_url; day_trip_review,http://www.baimaiquan.net.cn/,https://en.wikivoyage.org/wiki/Jinan
asia/turkey/izmir,Izmir,Izmir,58,34,see,Key Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.2016,27.3496,Atatürk Museum,asia/turkey/izmir/the_atatrk_museu,0.667,31.355,30.951,has_external_url; day_trip_review,https://keymuseum.com/tr/,https://en.wikivoyage.org/wiki/Izmir
europe/italy/piemonte/turin,Turin,Turin,55,105,see,Zoom Torino,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.9335,7.418,Caffè Torino,europe/italy/piemonte/turin/caffe_torino,0.636,25.596,25.603,has_external_url; day_trip_review,https://www.zoomtorino.it/,https://en.wikivoyage.org/wiki/Turin
northamerica/unitedstates/nevada/lasvegas,Las Vegas,Las Vegas,110,27,see,Lee Canyon,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.32,-115.6726,Red Rock Canyon,northamerica/unitedstates/nevada/lasvegas/red_rock_canyon,0.64,30.062,49.977,has_external_url; day_trip_review,https://www.leecanyonlv.com/,https://en.wikivoyage.org/wiki/Las_Vegas
asia/china/zhejiang/shaoxing,Shaoxing,Shaoxing,11,48,do,Shaoxing Downtown Theatre,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.03,120.86,Shaoxing Stinky Tofu,asia/china/zhejiang/shaoxing/stinky_tofu,0.578,27.049,25.255,has_external_url; day_trip_review,https://www.sx.gov.cn/art/2005/6/8/art_1462389_17001371.html,https://en.wikivoyage.org/wiki/Shaoxing
northamerica/canada/ontario/thunder_bay,Thunder Bay,Thunder Bay,18,39,see,Ouimet Canyon,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.7942,-88.6669,Mount McKay,northamerica/canada/ontario/thunder_bay/mount_mckay,0.583,67.5,62.781,has_external_url; day_trip_review,http://www.ontarioparks.com/park/ouimetcanyon,https://en.wikivoyage.org/wiki/Thunder_Bay
asia/china/gansu/lanzhou,Lanzhou,Lanzhou,11,26,see,Gansu Sanmu Bicycle Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.079095,103.86745,Gansu Provincial Museum,asia/china/gansu/lanzhou/gansu_provincial_museum,0.653,4.85,45.574,has_external_url; day_trip_review,http://www.zxcbwg.cn/,https://en.wikivoyage.org/wiki/Lanzhou
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,see,Museum of Sichuan Cuisine,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.89768,103.92838,Sichuan Museum,asia/china/sichuanprovince/chengdu/sichuan_museum,0.564,27.994,38.471,has_external_url; day_trip_review,http://www.cdccbwg.com/,https://en.wikivoyage.org/wiki/Chengdu
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,see,Museu de l'Arròs,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.463193,0.331897,Museu de Belles Arts de València,europe/spain/spanishcostas/valencia/museu_belles_arts,0.564,60.36,60.797,has_external_url; day_trip_review,https://museodelarrozdevalencia.com/index.php?id=1&idioma=castellano,https://en.wikivoyage.org/wiki/Valencia
europe/spain/galicia/ourense,Ourense,Ourense,7,17,see,Cathedral of San Martin,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.3364,-7.8632,Cathedral of Ourense,europe/spain/galicia/ourense/cathedral,0.698,,31.158,has_external_url; day_trip_review,https://catedralourense.com/,https://en.wikivoyage.org/wiki/Ourense
asia/china/shanxiprovince/pingyao,Pingyao,Pingyao,7,20,see,Zhangbi Castle,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.962087,111.966812,Shuanglin Temple,asia/china/shanxiprovince/pingyao/shuanglin_temple,0.6,27.122,31.016,has_external_url; day_trip_review,http://en.zgzbgb.com/,https://en.wikivoyage.org/wiki/Pingyao
africa/kenya/nairobi,Nairobi,Nairobi,30,113,see,Hells Gate National Park,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-0.915833,36.313333,Nairobi National Park,africa/kenya/nairobi/nairobi_national_park,0.667,76.097,71.654,has_external_url; day_trip_review,https://hellsgatepark.org/,https://en.wikivoyage.org/wiki/Nairobi
northamerica/unitedstates/montana/deer_lodge_1,Deer Lodge,Deer Lodge,2,17,see,Frontier Montana Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.391527,-112.73566,Old Montana Prison Museum,northamerica/unitedstates/montana/deer_lodge_1/old_montana_prison,0.667,0.642,44.447,has_external_url; day_trip_review,https://www.pcmaf.org/,https://en.wikivoyage.org/wiki/Deer_Lodge
asia/thailand/chiangrai,Chiang Rai,Chiang Rai,14,71,see,Wat Huay Pla Kang,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.9485,99.8056,Wat Phra Kaeo,asia/thailand/chiangrai/wat_phra_kaeo,0.6,5.626,25.204,has_external_url; day_trip_review,https://www.facebook.com/wathuayplakang/,https://en.wikivoyage.org/wiki/Chiang_Rai
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Zi Peng mountain,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.7159086,117.0028704,Dashu Mountain,asia/china/anhui/hefei/dashu_mountain,0.6,21.076,31.363,has_external_url; day_trip_review,http://www.zps.gov.cn,https://en.wikivoyage.org/wiki/Hefei
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,see,Henan · Drama Fantasy City,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.799468,114.002787,Shang Dynasty City Ruins,asia/china/henan_province/zhengzhou/shang_city_ruins,0.583,31.339,35.504,has_external_url; day_trip_review,https://www.zhongmu.gov.cn/jqjd/5895435.jhtml,https://en.wikivoyage.org/wiki/Zhengzhou
asia/china/gansu/lanzhou,Lanzhou,Lanzhou,11,26,see,Yantan Park,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.063258,103.851309,Wuquan Mountain Park,asia/china/gansu/lanzhou/wuquan_mountain,0.645,4.118,46.927,has_external_url; day_trip_review,http://www.chinahotel.net.cn/scenic/lanzhou/lanzhou-yantan-park-lanzhou/,https://en.wikivoyage.org/wiki/Lanzhou
northamerica/unitedstates/indiana/bloomington,Bloomington,Bloomington (Indiana),13,70,see,Brown County Playhouse,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.206476,-86.247286,Monroe County Courthouse Square,northamerica/unitedstates/indiana/bloomington/courthouse_square,0.566,25.113,25.121,has_external_url; day_trip_review,https://www.browncountyplayhouse.org,https://en.wikivoyage.org/wiki/Bloomington_%28Indiana%29
northamerica/unitedstates/oregon/bend,Bend,Bend,14,47,see,Smith Rock,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.3693,-121.138,Smith Rock State Park,northamerica/unitedstates/oregon/bend/smith_rock,0.645,0.455,37.371,has_external_url; day_trip_review,http://oregonstateparks.org/index.cfm?do=parkPage.dsp_parkPage&parkId=36,https://en.wikivoyage.org/wiki/Bend
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,see,Quinault Valley,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.505,-123.8209,Quinault Rain Forest,northamerica/unitedstates/washington/olympicnationalpark/quinault_rain_forest,0.629,4.757,56.987,has_external_url; day_trip_review,https://www.nps.gov/olym/planyourvisit/visiting-quinault.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park
asia/iraq/basra,Basra,Basra,6,29,see,Basra Memorial,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.4113,47.546,Basra Museum,asia/iraq/basra/basra_museum,0.692,27.807,26.891,has_external_url; day_trip_review,https://www.cwgc.org/visit-us/find-cemeteries-memorials/cemetery-details/88400/basra%20memorial/,https://en.wikivoyage.org/wiki/Basra
europe/france/midi/cevennes/lepuyenvelay,Le Puy en Velay,Le Puy-en-Velay,9,9,see,Château de Chavaniac,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.157602,3.57695,Château de Polignac,europe/france/midi/cevennes/lepuyenvelay/polignac_castle,0.667,24.248,27.217,has_external_url; day_trip_review,http://www.chateau-lafayette.com/,https://en.wikivoyage.org/wiki/Le_Puy-en-Velay
asia/india/orissa/sambalpur,Sambalpur,Sambalpur,3,19,see,Huma Leaning Temple,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.16,83.54,Samaleswari Temple,asia/india/orissa/sambalpur/samaleswari_temple,0.703,,77.319,has_external_url; day_trip_review,https://sambalpur.nic.in/tourist-place/dhauli/,https://en.wikivoyage.org/wiki/Sambalpur
northamerica/unitedstates/montana/deer_lodge_1,Deer Lodge,Deer Lodge,2,17,see,Powell County Museum,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.390721,-112.735472,Old Montana Prison Museum,northamerica/unitedstates/montana/deer_lodge_1/old_montana_prison,0.578,0.723,44.385,has_external_url; day_trip_review,https://www.pcmaf.org/,https://en.wikivoyage.org/wiki/Deer_Lodge
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Hindu Temple of Greater Chicago,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.6891,-88.0045,House of Blues Chicago,northamerica/unitedstates/illinois/chicago/river_north_house_of_blues,0.604,38.095,37.727,has_external_url; day_trip_review,http://htgc.org/,https://en.wikivoyage.org/wiki/Chicago
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,see,Writing Rock State Historic Site,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.7808,-103.859,Fort Buford State Historic Site,northamerica/unitedstates/northdakota/williston/fort_buford_state_historic_site,0.667,,72.662,has_external_url; day_trip_review,https://history.nd.gov/historicsites/writingrock/index.html,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
europe/romania/iasi,Iași,Iași,7,29,see,Sturdza Palace,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.096577,26.923247,Roznovanu Palace,europe/romania/iasi/roznovanu_palace,0.667,50.516,50.49,has_external_url; day_trip_review,https://www.miclauseni.ro/,https://en.wikivoyage.org/wiki/Ia%C8%99i
asia/china/fujianprovince/ningde,Ningde,Ningde,4,17,see,Baishuiyang Scenic Area,0.68,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.0683,119.0466,Baishuiyang,asia/china/fujianprovince/ningde/baishuiyang,0.647,30.683,64.548,has_external_url; day_trip_review,http://www.yyx.com.cn,https://en.wikivoyage.org/wiki/Ningde
