world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/shanxiprovince/datong,Datong,Datong,5,31,see,City Walls,0.85,candidate,has coordinates; has description; high-value type,40.092168,113.305887,Nine Dragon Screen,asia/china/shanxiprovince/datong/nine_dragon_screen,0.286,0.936,0.904,needs_external_source,,https://en.wikivoyage.org/wiki/Datong
europe/germany/schleswigholstein/north_frisian_islands,North Frisian Islands,North Frisian Islands,6,5,see,Gröde,0.85,candidate,has coordinates; has description; high-value type,54.636111,8.723611,Föhr,europe/germany/schleswigholstein/north_frisian_islands/fohr,0.333,16.941,17.211,needs_external_source,,https://en.wikivoyage.org/wiki/North_Frisian_Islands
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,The Guildhall,0.85,candidate,has coordinates; has description; high-value type,51.614167,-3.960278,Uplands,europe/unitedkingdom/wales/swansea/uplands,0.375,0.819,1.16,needs_external_source,,https://en.wikivoyage.org/wiki/Swansea
europe/switzerland/davos,Davos,Davos,7,33,see,Sertigtal,0.85,candidate,has coordinates; has description; high-value type,46.7262,9.8478,Berghotel Schatzalp,europe/switzerland/davos/berghotel_schatzalp,0.429,8.736,7.997,needs_external_source,,https://en.wikivoyage.org/wiki/Davos
europe/italy/sicily/erice,Erice,Erice,6,102,see,Spanish Quarter,0.85,candidate,has coordinates; has description; high-value type,38.04148,12.59005,Chiesa Madre,europe/italy/sicily/erice/chiesa_madre,0.548,0.452,0.442,needs_external_source,,https://en.wikivoyage.org/wiki/Erice
asia/china/shaanxi/tongchuan,Tongchuan,Tongchuan,3,29,do,Yaoyao Kiln Ceramic Culture Festival,0.85,candidate,has coordinates; has description; high-value type,34.837,109.034,Yaozhou Kiln Museum,asia/china/shaanxi/tongchuan/yaozhou_kiln_museum,0.473,19.511,11.335,needs_external_source,,https://en.wikivoyage.org/wiki/Tongchuan
asia/china/henan_province/yuzhou,Yuzhou,Yuzhou,4,48,see,Horse Stepping on Flying Swallow Scenic Area,0.85,candidate,has coordinates; has description; high-value type,34.1027,113.4765,Jun Royal Kiln Site Museum,asia/china/henan_province/yuzhou/jun_royal_kiln_museum,0.286,4.519,5.39,needs_external_source,,https://en.wikivoyage.org/wiki/Yuzhou
europe/serbia/kosovoprovince/gjakova,Gjakova,Gjakova,5,58,see,Çabrati Hill,0.85,candidate,has coordinates; has description; high-value type,42.38374,20.41731,Çarshia e Gjatë (The Long Bazaar),europe/serbia/kosovoprovince/gjakova/carshe_e_gjate,0.333,1.026,1.026,needs_external_source,,https://en.wikivoyage.org/wiki/Gjakova
europe/hungary/debrecen,Debrecen,Debrecen,17,130,do,Cemetery of heroes,0.85,candidate,has coordinates; has description; high-value type,47.5385,21.6062,Reformed College of Debrecen,europe/hungary/debrecen/reformed_college,0.478,1.59,1.683,needs_external_source,,https://en.wikivoyage.org/wiki/Debrecen
northamerica/mexico/juarez,Juarez,Juarez,4,23,do,Paseo del Norte cultural center,0.85,candidate,has coordinates; has description; high-value type,31.74361,-106.44492,Museo de la Revolución en la Frontera,northamerica/mexico/juarez/museo_revolucion,0.509,3.897,6.158,needs_external_source,,https://en.wikivoyage.org/wiki/Juarez
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,urban blue Wasser- und Freizeitwelt Langendreer,0.85,candidate,has coordinates; has description; high-value type,51.46501,7.31399,Haus Weitmar,europe/germany/northrhinewestphalia/bochum/haus_weitmar,0.31,8.282,6.792,needs_external_source,,https://en.wikivoyage.org/wiki/Bochum
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,do,Biking along Dongting Lake,0.85,candidate,has coordinates; has description; high-value type,29.35,113.09,Junshan Island,asia/china/hunan/yueyang/junshan_island,0.35,8.732,4.288,needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang
