world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/budapest,Budapest,Budapest,57,94,see,Vácrátót,0.79,candidate,has coordinates; has description; high-value type; strong travel term,47.710833,19.235278,Vörösmarty tér,europe/hungary/budapest/vorosmarty_ter,0.545,27.549,27.83,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Budapest
asia/china/shandong_province/zaozhuang,Zaozhuang,Zaozhuang,2,29,do,Lianqingshan Scenic Area,0.79,candidate,has coordinates; has description; high-value type; strong travel term,35.187211,117.261527,Weishan Lake,asia/china/shandong_province/zaozhuang/weishan_lake,0.444,33.998,41.306,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zaozhuang
asia/indonesia/irianjaya/jaya_pura,Jayapura,Jayapura,6,22,see,Border Post Skouw,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-2.608313,140.999687,Pantai Base G,asia/indonesia/irianjaya/jaya_pura/pantai_base_g,0.267,35.748,33.775,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Jayapura
asia/china/zhejiang/ningbo,Ningbo,Ningbo,50,112,do,Nanxi Hot Spring,0.79,candidate,has coordinates; has description; high-value type; strong travel term,29.3806,121.3215,TianYi Pavilion (Tianyi Ge),asia/china/zhejiang/ningbo/tianyi_ge,0.452,58.488,58.39,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ningbo
europe/azerbaijan/qax,Qax,Qax,5,10,do,Sarubash,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.5229,47.0743,St George's Church,europe/azerbaijan/qax/st_georges_church,0.308,15.368,37.409,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Qax
southamerica/paraguay/concepcion,Concepción,Concepción (Paraguay),4,28,see,Museo Municipal del Cuartel de la Villa Real,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-23.408743,-57.450964,Mercado Municipal,southamerica/paraguay/concepcion/mercado_municipal,0.51,38.648,38.721,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n_%28Paraguay%29
northamerica/unitedstates/montana/glaciernp,Glacier National Park,Glacier National Park (Montana),0,22,see,Inside North Fork Road,0.79,candidate,has coordinates; has description; high-value type; strong travel term,48.7119,-114.2082,,,0.0,,31.341,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Glacier_National_Park_%28Montana%29
asia/india/kerala/thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,9,139,see,Ponmudi,0.79,candidate,has coordinates; has description; high-value type; strong travel term,8.75994,77.11688,Napier Museum,asia/india/kerala/thiruvananthapuram/napier_museum,0.3,33.099,33.885,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Thiruvananthapuram
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Sambir,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.515,23.203,Gasova Lampa,europe/ukraine/lviv/gasova_lampa,0.333,69.967,69.832,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lviv
asia/china/shandong_province/dezhou,Dezhou,Dezhou,3,33,do,Water Conservancy Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,37.197198,116.779143,Haidao Jinshan Temple,asia/china/shandong_province/dezhou/haidao_jinshan_temple,0.372,61.575,50.173,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Dezhou
asia/china/fujianprovince/zhangzhou,Zhangzhou,Zhangzhou,4,13,see,Zhangjiangkou Mangrove National Nature Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,23.94,117.33,Dongshan Peninsula,asia/china/fujianprovince/zhangzhou/dongshan_peninsula,0.281,28.462,71.868,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangzhou
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Qianwei County Confucian Temple,0.79,candidate,has coordinates; has description; high-value type; strong travel term,29.2069539916,103.9504145961,Wuyou Temple,asia/china/sichuanprovince/leshan/wuyou_temple,0.465,40.937,41.645,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Leshan
africa/kenya/thecoast/kilifi,Kilifi,Kilifi,8,15,do,Summer Beach,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-3.62658,39.83938,Bofa Beach,africa/kenya/thecoast/kilifi/bofa_beach,0.545,4.067,55.966,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kilifi
southamerica/brazil/mariana,Mariana,Mariana,3,33,do,Caraça Natural Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-20.089,-43.504,Cathedral da Sé (Nossa Senhora da Assunção),southamerica/brazil/mariana/cathedral_da_se,0.471,33.42,33.395,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mariana
southamerica/paraguay/concepcion,Concepción,Concepción (Paraguay),4,28,see,Museo Diocesano de Arte Sacro,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-23.409018,-57.448804,Into the Pantanal,southamerica/paraguay/concepcion/pantanal_day_trips,0.308,101.214,38.577,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n_%28Paraguay%29
europe/russia/karelia/petrozavodsk,Petrozavodsk,Petrozavodsk,4,13,do,Kivach Waterfalls,0.79,candidate,has coordinates; has description; high-value type; strong travel term,62.275278,33.979722,Waterfront Promenade,europe/russia/karelia/petrozavodsk/waterfront_promenade,0.378,57.652,57.73,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Petrozavodsk
australiaandpacific/newzealand/chathamislands,Chatham Islands,Chatham Islands,6,37,see,Nunuku's Cave,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-43.86055,-176.5242,Pitt Island,australiaandpacific/newzealand/chathamislands/pitt_island,0.25,53.671,27.733,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chatham_Islands
asia/china/jilin/yanji,Yanji,Yanji,5,8,do,Ma'ershan National Forest Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,42.858076,129.48043,Naengmyeon Restaurants,asia/china/jilin/yanji/naengmyeon_restaurants,0.423,30.456,30.456,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yanji
australiaandpacific/newzealand/chathamislands,Chatham Islands,Chatham Islands,6,37,see,Art Gallery,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-43.9517,-176.5609,Hapupu Dendroglyphs,australiaandpacific/newzealand/chathamislands/hapupu_dendroglyphs,0.333,30.63,30.155,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Chatham_Islands
asia/indonesia/maluku/kei_islands,Kei Islands,Kei Islands,3,10,do,Bair Island,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-5.442187,132.706062,Kei Besar (Big Kei Island),asia/indonesia/maluku/kei_islands/kei_besar,0.4,39.911,36.786,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kei_Islands
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Former Residence of Feng Baiju,0.79,candidate,has coordinates; has description; high-value type; strong travel term,19.835174880338368,110.47294191547938,Five Officials Temple (Wugong Temple),asia/china/hainanisland/haikou/wugong_temple,0.314,25.989,37.295,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Haikou
europe/macedonia/bitola,Bitola,Bitola,6,65,see,Church of Saint Peter,0.79,candidate,has coordinates; has description; high-value type; strong travel term,40.930556,21.786111,Clock Tower (Saat Kula),europe/macedonia/bitola/clock_tower,0.375,39.563,39.882,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Bitola
northamerica/unitedstates/california/big_sur,Big Sur,Big Sur,0,22,see,Bixby Bridge,0.79,candidate,has coordinates; has description; high-value type; strong travel term,36.3714,-121.9019,,,0.0,,39.443,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Big_Sur
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Svirzh,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.65224,24.43265,Svit Kavy,europe/ukraine/lviv/cafe_svit_kavy,0.4,35.802,35.715,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lviv
africa/kenya/thecoast/kilifi,Kilifi,Kilifi,8,15,do,Kuruwitu Marine Sanctuary,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-3.807259,39.83198,Kilifi Creek,africa/kenya/thecoast/kilifi/kilifi_creek,0.324,19.811,75.05,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kilifi
europe/albania/fier,Fier,Fier,4,10,see,Bylis Archeological Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,40.54621,19.74024,Ruins of Apolonia,europe/albania/fier/apolonia_ruins,0.439,29.621,25.133,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Fier
asia/china/guangdong/meizhou,Meizhou,Meizhou,5,11,see,Longguizhai Waterfall,0.79,candidate,has coordinates; has description; high-value type; strong travel term,23.807,116.275,Lingguang Temple,asia/china/guangdong/meizhou/lingguang_temple,0.541,57.301,57.038,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Meizhou
europe/ukraine/kamianetstpodilskyi,Kamianets-Podilskyi,Kamianets-Podilskyi,6,32,see,Sutkivtsi village church-fortress,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.1766,26.9327,Kamianets-Podilskyi Castle,europe/ukraine/kamianetstpodilskyi/kamianetstpodilskyi_castle,0.339,62.157,61.207,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kamianets-Podilskyi
europe/russia/karelia/kizhi,Kizhi,Kizhi,0,5,see,Ticket booth,0.79,candidate,has coordinates; has description; high-value type; strong travel term,62.0732,35.2237,,,0.0,,55.961,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kizhi
asia/china/guizhou/anshun,Anshun,Anshun,4,23,see,Guanling Fossil Group National Geopark,0.79,candidate,has coordinates; has description; high-value type; strong travel term,25.887467,105.425111,Longgong Dragon Palace Caves,asia/china/guizhou/anshun/longgong_caves,0.333,42.56,64.572,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Anshun
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,do,Hondue Beach,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-5.73872,123.893133,,,0.0,,58.1,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Wakatobi
asia/cambodia/battambang,Battambang,Battambang,6,34,see,Wat Ek Phnom,0.79,candidate,has coordinates; has description; high-value type; strong travel term,13.162745,103.188218,Wat Banan,asia/cambodia/battambang/wat_banan,0.476,48.742,26.778,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Battambang
asia/india/madhyapradesh/datia,Datia,Datia,2,5,see,Datia Palace,0.79,candidate,has coordinates; has description; high-value type; strong travel term,25.673781,78.454182,Bir Singh Deo Palace,asia/india/madhyapradesh/datia/bir_singh_deo_palace,0.5,34.023,34.388,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Datia
europe/greece/epirus,Epirus,Epirus,5,13,see,Riniasa castle,0.79,candidate,has coordinates; has description; high-value type; strong travel term,39.13344,20.591995,Ioannina,europe/greece/epirus/ioannina,0.364,63.175,48.255,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Epirus
asia/thailand/huahin,Hua Hin,Hua Hin,41,98,see,Sam Roi Yot National Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,12.216926,99.973825,Hua Hin Railway Station,asia/thailand/huahin/hua_hin_railway_station,0.458,38.792,39.293,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Hua_Hin
asia/taiwan/tainan,Tainan,Tainan,18,56,see,Yongcheng Theater,0.79,candidate,has coordinates; has description; high-value type; strong travel term,23.319012,120.26836,Chihkan Tower (Fort Provintia),asia/taiwan/tainan/chihkan_tower,0.467,36.373,37.431,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Tainan
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Piper's Lookout,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-19.3557,146.4641,Reef HQ Aquarium,australiaandpacific/australia/queensland/townsville/reef_hq_aquarium,0.258,39.289,39.334,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Townsville
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Belz,0.79,candidate,has coordinates; has description; high-value type; strong travel term,50.36667,24.0,Armenian Cathedral,europe/ukraine/lviv/armenian_cathedral,0.182,58.234,58.384,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lviv
asia/iraq/karbala,Karbala,Karbala,6,13,see,Al-Ukhaidir Fortress,0.79,candidate,has coordinates; has description; high-value type; strong travel term,32.44053,43.602493,Al-Abbas Shrine,asia/iraq/karbala/al_abbas_shrine,0.343,45.157,42.542,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Karbala
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,do,Hoga Island,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-5.475675924556227,123.76112959258701,,,0.0,,26.392,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Wakatobi
