world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,State Gallery in the New Palace,0.59,candidate,has description; high-value type; strong travel term,,,Stadtkirche (City Church),europe/germany/bavaria/bayreuth/stadtkirche,0.368,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bayreuth
europe/italy/sicily/selinunte,Selinunte,Selinunte,4,22,see,Source of Gaggera / Antiquarium,0.59,candidate,has description; high-value type; strong travel term,,,Eastern Temples,europe/italy/sicily/selinunte/eastern_temples,0.318,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Selinunte
europe/france/midi/pyrenees/vernet_les_bains,Vernet les Bains,Vernet-les-Bains,5,7,see,Church of Corneilla,0.59,candidate,has description; high-value type; strong travel term,,,Thermes de Vernet-les-Bains,europe/france/midi/pyrenees/vernet_les_bains/thermes,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vernet-les-Bains
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,Gelersen-Gorsesen Fortress,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.111,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki
europe/germany/thuringia/gera,Gera,Gera,4,25,see,St. Elizabeth's Church,0.59,candidate,has description; high-value type; strong travel term,,,Otto-Dix-Haus,europe/germany/thuringia/gera/otto_dix_haus,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera
europe/france/east/franchecomte/besancon,Besançon,Besançon,5,10,see,Granvelle Palace,0.59,candidate,has description; high-value type; strong travel term,,,Battant Quarter,europe/france/east/franchecomte/besancon/battant,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Besan%C3%A7on
asia/china/gansu/xiahe,Xiahe,Xiahe,5,13,see,Man Jus'ri Temple,0.59,candidate,has description; high-value type; strong travel term,,,Momo Dumplings,asia/china/gansu/xiahe/momo_dumplings,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xiahe
asia/india/maharashtra/ahmednagar,Ahmednagar,Ahmednagar,4,16,see,Shani Shinganapur,0.59,candidate,has description; high-value type; strong travel term,,,Ahmednagar Fort,asia/india/maharashtra/ahmednagar/ahmednagar_fort,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ahmednagar
europe/germany/thuringia/gera,Gera,Gera,4,25,see,Fourteen Holy Helpers Church,0.59,candidate,has description; high-value type; strong travel term,,,Botanischer Garten Gera,europe/germany/thuringia/gera/botanischer_garten,0.314,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,do,Jewish Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Barabashovo Market,europe/ukraine/kharkiv/barabashovo_market,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
asia/thailand/nakhon_pathom,Nakhon Pathom,Nakhon Pathom,6,15,do,Songkran Festival,0.59,candidate,has description; high-value type; strong travel term,,,Nakhon Pathom Market and Food Stalls,asia/thailand/nakhon_pathom/nakhon_pathom_market,0.415,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nakhon_Pathom
northamerica/unitedstates/northdakota/williston,Williston,Williston (North Dakota),8,27,do,78th Annual Band Day,0.59,candidate,has description; high-value type; strong travel term,,,Williston Brewing Company,northamerica/unitedstates/northdakota/williston/the_williston_brewing_company,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29
europe/unitedkingdom/england/south_east/winchester,Winchester,Winchester (England),10,36,do,Cathedral Grounds,0.59,candidate,has description; high-value type; strong travel term,,,The Great Hall and the Round Table,europe/unitedkingdom/england/south_east/winchester/great_hall_round_table,0.512,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Winchester_%28England%29
europe/spain/canaryislands/lapalma,La Palma,La Palma,6,14,do,GR130 walking route,0.59,candidate,has description; high-value type; strong travel term,,,Fuencaliente Saltworks,europe/spain/canaryislands/lapalma/fuencaliente_saltworks,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/La_Palma
northamerica/unitedstates/california/santaclara,Santa Clara,Santa Clara (California),6,30,do,San Tomas Aquino/Saratoga Creek Trail,0.59,candidate,has description; high-value type; strong travel term,,,Mission Santa Clara de Asís,northamerica/unitedstates/california/santaclara/mission_santa_clara,0.393,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Clara_%28California%29
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Hunhe River Source Forest Park,0.59,candidate,has description; high-value type; strong travel term,,,Dahuofang Reservoir,asia/china/liaoning/fushun/dahuofang_reservoir,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fushun
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Qiandao Lake,0.59,candidate,has description; high-value type; strong travel term,,,West Lake (Xihu),asia/china/zhejiang/hangzhou/west_lake,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/china/guizhou/anshun,Anshun,Anshun,4,23,see,Hongshan Reservoir,0.59,candidate,has description; high-value type; strong travel term,,,Longgong Dragon Palace Caves,asia/china/guizhou/anshun/longgong_caves,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshun
europe/germany/northrhinewestphalia/hagen,Hagen,Hagen,6,16,see,Saint Johannis,0.59,candidate,has description; high-value type; strong travel term,,,Schloss Hohenlimburg,europe/germany/northrhinewestphalia/hagen/hohenlimburg_castle,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hagen
asia/japan/kyushu/kumamoto,Kumamoto,Kumamoto,23,49,see,Hanaokayama,0.59,candidate,has description; high-value type; strong travel term,,,Sakuranobaba Josaien,asia/japan/kyushu/kumamoto/sakuranobaba_josaien,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kumamoto
africa/tunisia/kairouan,Kairouan,Kairouan,10,10,see,Mosque Al Bey,0.59,candidate,has description; high-value type; strong travel term,,,Mosque of the Three Doors,africa/tunisia/kairouan/mosque_three_doors,0.529,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kairouan
asia/thailand/lampang,Lampang,Lampang,0,26,see,Wat Chedi Sao Lang,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lampang
australiaandpacific/australia/newsouthwales/portmacquarie,Port Macquarie,Port Macquarie,12,22,do,Kooloonbung Nature Park,0.59,candidate,has description; high-value type; strong travel term,,,Lighthouse Beach,australiaandpacific/australia/newsouthwales/portmacquarie/lighthouse_beach,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Macquarie
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,do,Memorial Park and Family Aquatic Center,0.59,candidate,has description; high-value type; strong travel term,,,Jefferson Landing State Historic Site,northamerica/unitedstates/missouri/jeffersoncity/jefferson_landing,0.395,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jefferson_City
europe/bulgaria/varna,Varna,Varna,14,24,see,Aladzha Monastery,0.59,candidate,has description; high-value type; strong travel term,,,Roman Thermae,europe/bulgaria/varna/roman_thermae,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Varna
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,do,Pilgrimage of Our Lady of Zapopan,0.59,candidate,has description; high-value type; strong travel term,,,Basilica de Zapopan,northamerica/mexico/guadalajara/zapopan_basilica,0.49,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guadalajara
asia/india/kerala/silent_valley_national_park,Silent Valley National Park,Silent Valley National Park,0,9,see,Ayyappa Vishnu Temple,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Silent_Valley_National_Park
europe/croatia/pula,Pula,Pula,13,19,see,Naval cemetery,0.59,candidate,has description; high-value type; strong travel term,,,Pula Castle (Kaštel),europe/croatia/pula/castle_kastel,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pula
asia/iraq/karbala,Karbala,Karbala,6,13,see,White bridge,0.59,candidate,has description; high-value type; strong travel term,,,Old City Bazaar,asia/iraq/karbala/old_city_bazaar,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karbala
europe/germany/thuringia/gera,Gera,Gera,4,25,see,St. Martin's Church,0.59,candidate,has description; high-value type; strong travel term,,,Botanischer Garten Gera,europe/germany/thuringia/gera/botanischer_garten,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera
northamerica/unitedstates/westvirginia/fairmont,Fairmont,Fairmont (West Virginia),5,24,see,Downtown Fairmont,0.59,candidate,has description; high-value type; strong travel term,,,Prickett's Fort State Park,northamerica/unitedstates/westvirginia/fairmont/pricketts_fort,0.233,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fairmont_%28West_Virginia%29
southamerica/brazil/recife,Recife,Recife,34,154,see,Nossa Senhora da Conceição dos Militares,0.59,candidate,has description; high-value type; strong travel term,,,Basilica Nossa Senhora de Penha,southamerica/brazil/recife/basilica_nossa_senhora_de_penha,0.478,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife
europe/sweden/vnersborg,Vänersborg,Vänersborg,10,8,do,Halleberg and Hunneberg mountains,0.59,candidate,has description; high-value type; strong travel term,,,Birger Sjöberg Park and Memorial,europe/sweden/vnersborg/birger_sjoberg_park,0.431,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/V%C3%A4nersborg
asia/china/innermongolia/hohhot,Hohhot,Hohhot,49,25,do,People's Park,0.59,candidate,has description; high-value type; strong travel term,,,Shuishang Park,asia/china/innermongolia/hohhot/shui_shang_park,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hohhot
asia/india/karnataka/tumkur,Tumkur,Tumkur,2,11,see,KaidaaLa,0.59,candidate,has description; high-value type; strong travel term,,,Siddhaganga Matha,asia/india/karnataka/tumkur/siddhaganga_matha,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tumkur
asia/china/xinjiangprovince/yining,Yining,Yining,8,12,do,Sayram Lake National Park,0.59,candidate,has description; high-value type; strong travel term,,,Yili Normal University Area,asia/china/xinjiangprovince/yining/yili_normal_university,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yining
