world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/nigeria/kaduna,Kaduna,Kaduna,6,16,see,Splash Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.52443,7.48868,Kaduna Central Market,africa/nigeria/kaduna/kaduna_central_market,0.312,5.889,5.799,needs_external_source,,https://en.wikivoyage.org/wiki/Kaduna
europe/montenegro/hercegnovi,Herceg Novi,Herceg Novi,14,33,see,Ivo Andrić's House,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.4545,18.528,Igalo Beach and Mud Baths,europe/montenegro/hercegnovi/igalo_beach,0.429,2.388,0.78,needs_external_source,,https://en.wikivoyage.org/wiki/Herceg_Novi
asia/india/kerala/kollam,Kollam,Kollam,7,40,do,Thangassery Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,8.881575,76.574905,Thangassery Lighthouse and Fort,asia/india/kerala/kollam/thangassery,0.542,2.214,1.836,needs_external_source,,https://en.wikivoyage.org/wiki/Kollam
asia/pakistan/rawalpindi,Rawalpindi,Rawalpindi,10,20,see,Jinnah Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.5844,73.0735,Ayub National Park,asia/pakistan/rawalpindi/ayub_national_park,0.483,1.067,1.997,needs_external_source,,https://en.wikivoyage.org/wiki/Rawalpindi
asia/palestinianauthority/gazastrip,Gaza Strip,Gaza Strip,11,21,see,Al-Qarara Cultural Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.3685,34.3418,Palestine Square,asia/palestinianauthority/gazastrip/palestine_square,0.341,19.066,3.489,needs_external_source,,https://en.wikivoyage.org/wiki/Gaza_Strip
europe/czechrepublic/karlovyvary,Karlovy Vary,Karlovy Vary,13,32,do,Svatý Linhart,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.208556,12.845088,Café Elefant,europe/czechrepublic/karlovyvary/cafe_elefant,0.435,3.12,3.033,needs_external_source,,https://en.wikivoyage.org/wiki/Karlovy_Vary
europe/greece/philippi,Philippi,Philippi,9,18,see,Ancient cemetery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.008595,24.291701,Basilica B,europe/greece/philippi/basilica_b,0.413,0.587,0.832,needs_external_source,,https://en.wikivoyage.org/wiki/Philippi
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Karlshöhe,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.76825,9.16547,Ackermann's Kneipe,europe/germany/badenwrttemberg/stuttgart/ackermanns_kniepe,0.545,0.455,1.556,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
asia/china/shaanxi/tongchuan,Tongchuan,Tongchuan,3,29,see,Yuhua Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.902,109.116,Yaozhou Kiln Museum,asia/china/shaanxi/tongchuan/yaozhou_kiln_museum,0.323,20.683,15.855,needs_external_source,,https://en.wikivoyage.org/wiki/Tongchuan
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Bahnhof Köln-Deutz,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.94049,6.97424,Chocolate Museum (Schokoladenmuseum),europe/germany/northrhinewestphalia/cologne/schokoladenmuseum,0.353,1.452,1.027,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
europe/spain/andalucia/torredelmar,Torre del Mar,Torre del Mar,13,20,do,Playa de Almayate,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.7253,-4.1109,Paseo Marítimo,europe/spain/andalucia/torredelmar/paseo_maritimo,0.429,2.172,2.305,needs_external_source,,https://en.wikivoyage.org/wiki/Torre_del_Mar
southamerica/paraguay/filadelfia,Filadelfia,Filadelfia,4,30,see,Ruedas Pioneras,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-22.351715,-60.014442,Avenida Hindenburg,southamerica/paraguay/filadelfia/avenida_hindenburg,0.485,2.056,2.134,needs_external_source,,https://en.wikivoyage.org/wiki/Filadelfia
australiaandpacific/australia/newsouthwales/goulburn,Goulburn,Goulburn,7,28,see,Victoria Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-34.75,149.710772,St Saviour's Cathedral,australiaandpacific/australia/newsouthwales/goulburn/st_saviours_cathedral,0.426,0.574,0.867,needs_external_source,,https://en.wikivoyage.org/wiki/Goulburn
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Wolgwang Waterside Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.799463,128.548821,Gyeongsang-gamyeong Park,asia/southkorea/dae_gu/gyeongsang_gamyeong_park,0.511,8.992,9.298,needs_external_source,,https://en.wikivoyage.org/wiki/Daegu
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,do,Skaistakalnis Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,55.7331,24.3772,City Cafes and Bars,europe/lithuania/panevezys/city_cafes,0.378,,1.224,needs_external_source,,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
asia/india/tamilnadu/ooty,Ooty,Ooty,7,28,see,Wax World,0.89,candidate,has coordinates; has description; high-value type; strong travel term,11.417361,76.715591,Government Botanical Garden,asia/india/tamilnadu/ooty/government_botanical_garden,0.48,0.52,1.463,needs_external_source,,https://en.wikivoyage.org/wiki/Ooty
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,see,Jōruriji,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.753568,132.8191,Taiho-ji,asia/japan/shikoku/matsuyama/taiho_ji,0.375,12.105,10.767,needs_external_source,,https://en.wikivoyage.org/wiki/Matsuyama
asia/saudiarabia/mecca,Mecca,Mecca,4,30,do,The Two Holy Mosques Architecture Exhibition,0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.434587,39.754652,Masjid al-Haram (Grand Mosque),asia/saudiarabia/mecca/masjid_al_haram,0.218,7.517,7.63,needs_external_source,,https://en.wikivoyage.org/wiki/Mecca
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,see,Punta Calfani,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.5332,-0.13147,Terra Mitica,europe/spain/spanishcostas/benidorm/terra_mitica,0.4,4.056,0.851,needs_external_source,,https://en.wikivoyage.org/wiki/Benidorm
europe/hungary/budapest,Budapest,Budapest,57,94,see,Zsámbék,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.55,18.716667,Erzsébetváros (District VII),europe/hungary/budapest/erzsebetvaros,0.5,26.737,24.975,needs_external_source,,https://en.wikivoyage.org/wiki/Budapest
asia/india/uttarpradesh/jhansi,Jhansi,Jhansi,9,8,see,St Jude's Shrine,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.44232,78.56673,Hotel Veerangana Restaurant,asia/india/uttarpradesh/jhansi/hotel_veerangana_restaurant,0.509,0.491,13.018,needs_external_source,,https://en.wikivoyage.org/wiki/Jhansi
europe/switzerland/chur,Chur,Chur,5,12,see,Cadonau Pärkli,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.87041,9.53869,Chur Cathedral,europe/switzerland/chur/chur_cathedral,0.357,2.527,1.993,needs_external_source,,https://en.wikivoyage.org/wiki/Chur
europe/estonia/tartu,Tartu,Tartu,16,89,see,Roman Catholic Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,58.382624,26.709971,Estonian National Museum,europe/estonia/tartu/estonian_national_museum,0.4,1.916,1.225,needs_external_source,,https://en.wikivoyage.org/wiki/Tartu
asia/china/jiangsu_province/suqian,Suqian,Suqian,5,23,do,Zaohe Longyun City,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.032857,118.091614,Xiang Yu's Ancestral Home,asia/china/jiangsu_province/suqian/xiang_yu_hometown,0.372,20.48,18.689,needs_external_source,,https://en.wikivoyage.org/wiki/Suqian
europe/italy/sicily/erice,Erice,Erice,6,102,see,San Nicola Sports Field,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.03837578,12.57889016,Maria Grammatico Pasticceria,europe/italy/sicily/erice/maria_grammatico,0.392,0.711,0.728,needs_external_source,,https://en.wikivoyage.org/wiki/Erice
europe/netherlands/apeldoorn,Apeldoorn,Apeldoorn,18,26,see,De Wenumse Molen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.25777,5.96519,Het Oude Loo,europe/netherlands/apeldoorn/het_oude_loo,0.4,2.938,5.188,needs_external_source,,https://en.wikivoyage.org/wiki/Apeldoorn
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,do,Gray's Lake,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.57213,-93.64378,East Village,northamerica/unitedstates/iowa/desmoines/east_village,0.522,3.007,2.267,needs_external_source,,https://en.wikivoyage.org/wiki/Des_Moines
africa/senegal/dakar,Dakar,Dakar,26,53,do,Madeline Islands National Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,14.654,-17.4712,Soumbédioune Fish Market,africa/senegal/dakar/soumbedioune,0.444,3.637,5.048,needs_external_source,,https://en.wikivoyage.org/wiki/Dakar
europe/spain/catalonia/salou,Salou,Salou,5,16,see,Landmark Salou,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.07437,1.13634,Villa Magda,europe/spain/catalonia/salou/villa_magda,0.49,0.51,0.701,needs_external_source,,https://en.wikivoyage.org/wiki/Salou
europe/greece/kavala,Kavala,Kavala,14,95,see,Waterfall Palea Kavala,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.9993,24.3912,Archaeological Museum of Kavala,europe/greece/kavala/archaeological_museum,0.491,6.947,7.161,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
europe/slovenia/maribor,Maribor,Maribor,11,36,do,Mestni Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.56624,15.64797,SNG Maribor (Slovene National Theatre),europe/slovenia/maribor/sng_maribor,0.455,0.782,0.973,needs_external_source,,https://en.wikivoyage.org/wiki/Maribor
europe/portugal/coimbra,Coimbra,Coimbra,9,40,see,Penedo da Saudade,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.205167,-8.414833,Jardim Botânico da Universidade,europe/portugal/coimbra/botanical_garden,0.458,0.562,1.415,needs_external_source,,https://en.wikivoyage.org/wiki/Coimbra
europe/greece/drama,Drama,Drama,6,25,see,Ancient ruins of Pyrgi castle,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.2222,24.0313,Folklore Museum of Drama,europe/greece/drama/folklore_museum,0.34,12.937,12.571,needs_external_source,,https://en.wikivoyage.org/wiki/Drama
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Church of the Peter and Paul,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.00129,36.26248,Kharkiv National Opera and Ballet Theatre,europe/ukraine/kharkiv/opera_ballet_theatre,0.431,2.171,2.46,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
europe/finland/turku,Turku,Turku,5,262,see,St Mary's Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.47341,22.29327,Forum Marinum,europe/finland/turku/forum_marinum,0.345,5.33,2.821,needs_external_source,,https://en.wikivoyage.org/wiki/Turku
asia/india/tamilnadu/salem,Salem,Salem (India),8,40,see,Kari Perumal Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,11.64417,78.1312,Sugavaneswarar Temple,asia/india/tamilnadu/salem/sugavaneswarar_temple,0.5,3.634,8.663,needs_external_source,,https://en.wikivoyage.org/wiki/Salem_%28India%29
asia/northkorea/pyongyang,Pyongyang,Pyongyang,6,67,see,Kaeson Funfair,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.04602,125.75487,Moranbong Park,asia/northkorea/pyongyang/moranbong_park,0.429,2.246,3.295,needs_external_source,,https://en.wikivoyage.org/wiki/Pyongyang
africa/kenya/westernkenya/kisii,Kisii,Kisii,6,6,do,Keera Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-0.6404,34.8696,St Joseph's Cathedral,africa/kenya/westernkenya/kisii/kisii_cathedral,0.389,11.663,12.493,needs_external_source,,https://en.wikivoyage.org/wiki/Kisii
asia/india/maharashtra/aurangabad,Aurangabad,Aurangabad,11,10,see,Shrimant Chatrapati Shivaji Raje Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.8945,75.3352,Salim Ali Lake,asia/india/maharashtra/aurangabad/salim_ali_lake,0.34,0.908,2.204,needs_external_source,,https://en.wikivoyage.org/wiki/Aurangabad
europe/armenia/vayots_dzor_marz/yeghegnadzor,Yeghegnadzor,Yeghegnadzor,5,23,see,Spitakavor Monastery and Boloraberd Fortress,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.829747,45.364514,Noravank Monastery,europe/armenia/vayots_dzor_marz/yeghegnadzor/noravank_monastery,0.387,19.851,8.28,needs_external_source,,https://en.wikivoyage.org/wiki/Yeghegnadzor
