world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/jiangsu_province/yangzhou,Yangzhou,Yangzhou,11,19,see,Shi Kefa Memorial,0.74,candidate,has coordinates; has description; high-value type; strong travel term,32.403112,119.434372,Ge Yuan Garden,asia/china/jiangsu_province/yangzhou/ge_yuan,0.629,0.371,2.274,needs_external_source,,https://en.wikivoyage.org/wiki/Yangzhou
asia/india/uttaranchal/nainital,Nainital,Nainital,5,22,see,Sariyatal Lake,0.74,candidate,has coordinates; has description; high-value type; strong travel term,29.3795,79.43095,Naini Lake,asia/india/uttaranchal/nainital/naini_lake,0.583,2.443,9.504,needs_external_source,,https://en.wikivoyage.org/wiki/Nainital
northamerica/unitedstates/northcarolina/raleigh,Raleigh,Raleigh,14,77,see,Cameron Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.7853,-78.6581,Trophy Brewing Company,northamerica/unitedstates/northcarolina/raleigh/trophy_brewing,0.578,0.422,1.799,needs_external_source,,https://en.wikivoyage.org/wiki/Raleigh
asia/philippines/calamba,Calamba,Calamba,6,20,see,Calamba Baywalk,0.74,candidate,has coordinates; has description; high-value type; strong travel term,14.21235,121.18704,Calamba Claypot,asia/philippines/calamba/calamba_claypot,0.667,2.159,3.456,needs_external_source,,https://en.wikivoyage.org/wiki/Calamba
asia/vietnam/hanoi,Hanoi,Hanoi,46,144,see,Hanoi Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.011,105.786,Hanoi Zoological Museum,asia/vietnam/hanoi/hanoi_zoological_museum,0.686,5.159,7.321,needs_external_source,,https://en.wikivoyage.org/wiki/Hanoi
europe/spain/andalucia/granada,Granada,Granada,37,60,see,Carmen de los Mártires,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.17254,-3.58727,Alhambra,europe/spain/andalucia/granada/alhambra,0.597,0.403,1.092,needs_external_source,,https://en.wikivoyage.org/wiki/Granada
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Curtea de Argeș City Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,45.141298,24.675567,Curtea de Arges Cathedral,europe/romania/curtea_de_arges/a_national_legend,0.667,0.746,0.171,needs_external_source,,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Ivan Franko Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,49.838333,24.019167,Lvivska Brewery,europe/ukraine/lviv/lvivska_brewery,0.555,0.445,0.98,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
asia/india/jammuandkashmir/srinagar,Srinagar,Srinagar,67,19,see,Rupa Lank,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.103169,74.866704,Wular Lake,asia/india/jammuandkashmir/srinagar/wular_lake,0.632,38.911,6.748,needs_external_source,,https://en.wikivoyage.org/wiki/Srinagar
asia/japan/honshu/sendai,Sendai,Sendai,10,51,see,Rinno-ji,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.283114,140.858653,Aoba Shrine,asia/japan/honshu/sendai/aoba_shrine,0.628,0.372,1.938,needs_external_source,,https://en.wikivoyage.org/wiki/Sendai
asia/china/guangdong/kaiping,Kaiping,Kaiping,4,17,see,Chikan,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.3249,112.586,Chikan Town,asia/china/guangdong/kaiping/chikan_town,0.706,15.081,11.919,needs_external_source,,https://en.wikivoyage.org/wiki/Kaiping
europe/italy/campania/naples,Naples,Naples,50,160,see,Palazzo dello Spagnolo,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.8568,14.2544,Palazzo Reale,europe/italy/campania/naples/palazzo_reale_the,0.629,2.38,2.373,needs_external_source,,https://en.wikivoyage.org/wiki/Naples
europe/romania/suceava,Suceava,Suceava,4,11,see,Church Of The Cocoons,0.74,candidate,has coordinates; has description; high-value type; strong travel term,47.64527,26.26385,Saint John the New Monastery,europe/romania/suceava/saint_john_monastery,0.615,0.385,0.889,needs_external_source,,https://en.wikivoyage.org/wiki/Suceava
asia/indonesia/maluku/ambon,Ambon,Ambon,5,38,see,Pintu Kota Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-3.770563,128.152438,Natsepa Beach,asia/indonesia/maluku/ambon/natsepa_beach,0.621,20.892,8.797,needs_external_source,,https://en.wikivoyage.org/wiki/Ambon
asia/thailand/ayutthaya,Ayutthaya,Ayutthaya,15,60,see,Phet Fortress,0.74,candidate,has coordinates; has description; high-value type; strong travel term,14.34631,100.57628,Pom Phet Fort,asia/thailand/ayutthaya/thefort,0.692,1.451,1.354,needs_external_source,,https://en.wikivoyage.org/wiki/Ayutthaya
europe/albania/tirana,Tirana,Tirana,52,117,see,Dajti Castle ruins,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.353611,19.922222,Dajti Express Cable Car,europe/albania/tirana/dajti_express,0.585,2.781,9.115,needs_external_source,,https://en.wikivoyage.org/wiki/Tirana
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,see,Tirupati Balaji Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,26.11641,91.72499,Umananda Temple,asia/india/assam/guwahati/umananda_temple,0.595,9.123,7.7,needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati
australiaandpacific/newzealand/south_island/otago/invercargill,Invercargill,Invercargill,7,13,see,Bank Corner,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-46.413176,168.347499,Classic Motorcycle Mecca,australiaandpacific/newzealand/south_island/otago/invercargill/classic_motorcycle_mecca,0.612,0.388,0.483,needs_external_source,,https://en.wikivoyage.org/wiki/Invercargill
southamerica/argentina/parana,Paraná,Paraná (Argentina),12,18,do,Centro Cultural Vieja Usina,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-31.72262,-60.52399,Costanera de Paraná,southamerica/argentina/parana/costanera,0.656,0.344,1.282,needs_external_source,,https://en.wikivoyage.org/wiki/Paran%C3%A1_%28Argentina%29
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Law Ka Ou Shaung Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.162208,94.863199,Gawdawpalin Temple,asia/myanmar/bagan/gawdawpalin_temple,0.585,0.766,1.163,needs_external_source,,https://en.wikivoyage.org/wiki/Bagan
europe/spain/balearicislands/formentera,Formentera,Formentera,11,19,do,Platja des Canyers,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.73253,1.44687,Platja de Migjorn,europe/spain/balearicislands/formentera/platja_de_migjorn,0.571,4.654,3.152,needs_external_source,,https://en.wikivoyage.org/wiki/Formentera
europe/slovakia/bojnice,Bojnice,Bojnice,3,9,see,Zoo,0.74,candidate,has coordinates; has description; high-value type; strong travel term,48.78367,18.5743,Bojnice Zoo,europe/slovakia/bojnice/bojnice_zoo,0.609,0.391,0.711,needs_external_source,,https://en.wikivoyage.org/wiki/Bojnice
northamerica/unitedstates/florida/tarpon_springs,Tarpon Springs,Tarpon Springs,5,8,see,Tarpon Ave,0.74,candidate,has coordinates; has description; high-value type; strong travel term,28.1462,-82.7566,Spring Bayou,northamerica/unitedstates/florida/tarpon_springs/spring_bayou,0.689,0.311,0.102,needs_external_source,,https://en.wikivoyage.org/wiki/Tarpon_Springs
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,see,Parc de la Pépinière,0.74,candidate,has coordinates; has description; high-value type; strong travel term,48.6981,6.185,Place de la Carrière,europe/france/east/lorraine/nancy/place_de_la_carriere,0.649,0.351,0.501,needs_external_source,,https://en.wikivoyage.org/wiki/Nancy
europe/spain/northernspain/lacorua,La Coruña,A Coruña,8,37,see,Military Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.3691,-8.3901,Ciudad Vieja,europe/spain/northernspain/lacorua/ciudad_vieja,0.691,0.309,0.516,needs_external_source,,https://en.wikivoyage.org/wiki/A_Coru%C3%B1a
africa/gabon/libreville,Libreville,Libreville,46,20,see,Memorial Leon Mba,0.74,candidate,has coordinates; has description; high-value type; strong travel term,0.40014,9.45025,Mont-Bouet,africa/gabon/libreville/mont_bouet_neighbourhood,0.685,0.315,1.33,needs_external_source,,https://en.wikivoyage.org/wiki/Libreville
asia/srilanka/anuradapura,Anuradhapura,Anuradhapura,17,6,see,Bodhi Tree Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,8.3447961,80.3950504,Anuradhapura Archaeological Museum,asia/srilanka/anuradapura/anuradhapura_museum,0.679,0.321,1.698,needs_external_source,,https://en.wikivoyage.org/wiki/Anuradhapura
asia/china/fujianprovince/quanzhou,Quanzhou,Quanzhou,13,35,see,Zhenwu Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.88239,118.617015,Chengtian Temple,asia/china/fujianprovince/quanzhou/chengtian_temple,0.69,4.229,4.153,needs_external_source,,https://en.wikivoyage.org/wiki/Quanzhou
