world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/guangdong/foshan,Foshan,Foshan,8,25,see,Zhongshan Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.04803,113.10968,Foshan Ancestral Temple (Zumiao),asia/china/guangdong/foshan/foshan_ancestral_temple,0.432,1.579,2.135,needs_external_source,,https://en.wikivoyage.org/wiki/Foshan
europe/netherlands/lochem,Lochem,Lochem,7,9,do,Hiking,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.1912,6.36428,Huis Ampsen,europe/netherlands/lochem/ampsen_castle,0.353,4.494,2.602,needs_external_source,,https://en.wikivoyage.org/wiki/Lochem
asia/indonesia/java/depok,Depok,Depok,3,9,see,Golden Dome Mosque,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-6.384098,106.772003,GPIB Immanuel Depok,asia/indonesia/java/depok/depok_lama_church,0.324,6.431,5.479,needs_external_source,,https://en.wikivoyage.org/wiki/Depok
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,The Princely Church Saint Nicholas,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.142035,24.675679,Royal Tombs at Curtea de Argeș Monastery,europe/romania/curtea_de_arges/kings_and_queens,0.512,0.488,0.238,needs_external_source,,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Gyivka,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.92796,35.95533,Gorky Park (Maxim Gorky Central Park),europe/ukraine/kharkiv/gorky_park,0.375,22.524,20.979,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
europe/spain/melilla,Melilla,Melilla,5,121,see,Carabos Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.284,-2.9381,Parque Hernández,europe/spain/melilla/parque_hernandez,0.276,0.756,0.911,needs_external_source,,https://en.wikivoyage.org/wiki/Melilla
europe/hungary/szombathely,Szombathely,Szombathely,8,42,see,Rábatöttös,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.133,16.808,Béla Bartók Concert Hall,europe/hungary/szombathely/bartok_concert_hall,0.452,17.742,17.854,needs_external_source,,https://en.wikivoyage.org/wiki/Szombathely
europe/belgium/bouillon,Bouillon,Bouillon,3,10,see,Tombeau du Géant Viewpoint,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.820815,5.043256,Bouillon Castle,europe/belgium/bouillon/bouillon_castle,0.263,3.497,3.349,needs_external_source,,https://en.wikivoyage.org/wiki/Bouillon
northamerica/unitedstates/michigan/lansing,Lansing,Lansing,30,52,see,Turner-Dodge House & Heritage Center,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.750984,-84.552066,Eastwood Towne Center,northamerica/unitedstates/michigan/lansing/eastwood_towne_center,0.441,5.323,2.074,needs_external_source,,https://en.wikivoyage.org/wiki/Lansing
asia/philippines/vigan,Vigan,Vigan,7,42,see,St. Paul's Metropolitan Cathedral,0.89,candidate,has coordinates; has description; high-value type; strong travel term,17.574887,120.388672,Vigan Heritage Village,asia/philippines/vigan/vigan_heritage_village,0.333,,0.161,needs_external_source,,https://en.wikivoyage.org/wiki/Vigan
europe/italy/lombardia/como,Como,Como,10,35,see,War Memorial,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.8148923,9.0735483,Como Cathedral,europe/italy/lombardia/como/theduomo,0.385,12.278,12.278,needs_external_source,,https://en.wikivoyage.org/wiki/Como
northamerica/unitedstates/northcarolina/boone,Boone,Boone (North Carolina),13,35,see,Moses Cone Memorial Park and Flat Top Manor,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.152896,-81.703636,Daniel Boone Native Gardens,northamerica/unitedstates/northcarolina/boone/daniel_boone_native_gardens,0.343,6.869,7.531,needs_external_source,,https://en.wikivoyage.org/wiki/Boone_%28North_Carolina%29
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Church of the Nativity,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.4925,30.525556,Vydubychi Monastery,europe/ukraine/kyiv/vydubychi_monastery,0.432,9.503,4.727,needs_external_source,,https://en.wikivoyage.org/wiki/Kyiv
europe/greece/kavala,Kavala,Kavala,14,95,do,Rapsani,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.9346,24.3964,Tavernas in Panagia,europe/greece/kavala/taverna_panagia,0.385,1.79,1.36,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Uhlandshöhe,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.780906,9.194413,Musicland,europe/germany/badenwrttemberg/stuttgart/musicland,0.5,1.951,1.09,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
asia/kazakhstan/astana,Astana,Astana,26,82,see,Grand Mosque of Astana,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.07287873961622,71.41048820625983,National Museum of Kazakhstan,asia/kazakhstan/astana/national_museum,0.549,6.436,6.311,needs_external_source,,https://en.wikivoyage.org/wiki/Astana
europe/italy/sicily/caltabellotta,Caltabellotta,Caltabellotta,2,20,see,Capuchin Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.57349,13.21437,Santuario di San Pellegrino,europe/italy/sicily/caltabellotta/santuario_san_pellegrino,0.286,1.001,0.463,needs_external_source,,https://en.wikivoyage.org/wiki/Caltabellotta
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,Arroyo Burro Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.4042,-119.7431,Butterfly Beach,northamerica/unitedstates/california/santa_barbara/butterfly_beach,0.545,10.21,4.207,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Barbara
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,El Caracol,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.6792,-88.5707,,,0.0,,0.455,needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza
northamerica/mexico/saltillo,Saltillo,Saltillo,5,23,see,Parque Alameda Zaragoza,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.424953,-101.008612,Plaza de Armas,northamerica/mexico/saltillo/plaza_de_armas,0.412,0.836,1.607,needs_external_source,,https://en.wikivoyage.org/wiki/Saltillo
asia/china/shandong_province/weifang,Weifang,Weifang,5,29,see,World Kite Capital Memorial Square,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.707246,119.110649,Weifang World Kite Museum,asia/china/shandong_province/weifang/world_kite_museum,0.475,0.545,1.416,needs_external_source,,https://en.wikivoyage.org/wiki/Weifang
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,do,Sayid Hammam,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.645,66.9235,Siob Bazaar,asia/uzbekistan/samarkand/siob_bazaar,0.435,5.223,3.264,needs_external_source,,https://en.wikivoyage.org/wiki/Samarkand
europe/unitedkingdom/scotland/elgin,Elgin,Elgin,8,17,see,Duffus Castle,0.89,candidate,has coordinates; has description; high-value type; strong travel term,57.6878,-3.36139,Elgin Cathedral,europe/unitedkingdom/scotland/elgin/elgin_cathedral,0.357,5.082,5.146,needs_external_source,,https://en.wikivoyage.org/wiki/Elgin
europe/italy/lombardia/lagodigarda/lazise,Lazise,Lazise,3,5,see,Villa Pergolana,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.513959,10.731508,Castello Scaligero,europe/italy/lombardia/lagodigarda/lazise/castello_scaligero,0.364,1.018,0.981,needs_external_source,,https://en.wikivoyage.org/wiki/Lazise
northamerica/unitedstates/hawaii/hilo,Hilo,Hilo,13,59,see,Mokuola,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.729444,-155.068611,Kaumana Lava Tubes,northamerica/unitedstates/hawaii/hilo/kaumana_lava_tubes,0.32,7.827,2.347,needs_external_source,,https://en.wikivoyage.org/wiki/Hilo
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,Bird Island Pier,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.896812,-78.905274,Leonardi's Pizza,northamerica/unitedstates/newyorkstate/buffalo/leonardis_pizza,0.438,11.431,2.494,needs_external_source,,https://en.wikivoyage.org/wiki/Buffalo
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,see,Victory Monument and Square,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.50047,11.34496,Rosengarten and Schlern Massif (Day Trip),europe/italy/trentinoaltoadige/bolzano/rosengarten,0.421,17.081,19.386,needs_external_source,,https://en.wikivoyage.org/wiki/Bolzano
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,see,Datang Xingguo temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.64,118.2,Tangshan Earthquake Memorial Museum,asia/china/hebei/tangshan/earthquake_memorial,0.393,5.196,5.284,needs_external_source,,https://en.wikivoyage.org/wiki/Tangshan
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,see,Butt Memorial Bridge,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.4785,-81.984,Augusta Museum of History,northamerica/unitedstates/georgia/augusta/augusta_museum_of_history,0.356,1.717,1.193,needs_external_source,,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29
asia/myanmar/hpa_an,Hpa-an,Hpa-an,10,29,see,Lumbini Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.807144,97.671512,Linno Cave (Bat Cave),asia/myanmar/hpa_an/linno_cave,0.333,7.97,9.384,needs_external_source,,https://en.wikivoyage.org/wiki/Hpa-an
northamerica/unitedstates/ohio/cuyahoga_falls,Cuyahoga Falls,Cuyahoga Falls,5,32,see,Cathedral of Tomorrow,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.1469,-81.5097,Waterworks Park,northamerica/unitedstates/ohio/cuyahoga_falls/waterworks_park,0.389,2.543,2.543,needs_external_source,,https://en.wikivoyage.org/wiki/Cuyahoga_Falls
asia/philippines/samarisland/catarman__samar_is,Catarman,Catarman,4,5,see,Sacred Heart Plaza,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.498853618325693,124.63731182504851,Pinipisakan Falls,asia/philippines/samarisland/catarman__samar_is/pinipisakan_falls,0.286,3.736,4.63,needs_external_source,,https://en.wikivoyage.org/wiki/Catarman
asia/srilanka/colombo,Colombo,Colombo,25,116,do,Attidiya Bird Sanctuary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,6.8344,79.8927,Pettah Bazaar,asia/srilanka/colombo/pettah_market,0.444,12.05,10.879,needs_external_source,,https://en.wikivoyage.org/wiki/Colombo
asia/northkorea/pyongyang,Pyongyang,Pyongyang,6,67,see,Munsu Water Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.04239,125.77977,Moranbong Park,asia/northkorea/pyongyang/moranbong_park,0.467,3.718,4.415,needs_external_source,,https://en.wikivoyage.org/wiki/Pyongyang
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Zhang Yanghao's Tomb Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.6967,117.0144,Yanzishan (Swallow Hill) Park,asia/china/shandong_province/jinan/yanzishan_park,0.513,2.29,5.651,needs_external_source,,https://en.wikivoyage.org/wiki/Jinan
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,AVEK Gallery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.0052,36.2366,Kharkiv Art Museum,europe/ukraine/kharkiv/kharkiv_art_museum,0.308,0.692,1.487,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
asia/china/henan_province/yuzhou,Yuzhou,Yuzhou,4,48,see,Zhangliang Cave,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.194,113.3307,Yuwang Temple,asia/china/henan_province/yuzhou/yuwang_temple,0.357,13.959,13.959,needs_external_source,,https://en.wikivoyage.org/wiki/Yuzhou
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,Bhubing Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.80592,98.8977,Huen Phen,asia/thailand/chiangmai/huen_phen,0.522,9.48,9.487,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai
asia/china/jiangxi/pingxiang,Pingxiang,Pingxiang (Jiangxi),7,9,do,Ehu Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,27.6399,113.8578,Pingxiang Cultural Park,asia/china/jiangxi/pingxiang/pingxiang_city_park,0.387,1.122,1.342,needs_external_source,,https://en.wikivoyage.org/wiki/Pingxiang_%28Jiangxi%29
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Gratte-Ciel,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.769091,4.881421,Fourvière Hill,europe/france/alpes/lyon/fourviere_hill,0.4,4.753,4.033,needs_external_source,,https://en.wikivoyage.org/wiki/Lyon
