world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/pakistan/gilgit,Gilgit,Gilgit,10,7,see,Naltar Valley,0.75,candidate,has coordinates; has description; high-value type,36.1638,74.1798,Kargah Nala Buddha,asia/pakistan/gilgit/kargah_buddha,0.387,29.563,29.593,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Gilgit
asia/india/maharashtra/ratnagiri,Ratnagiri,Ratnagiri,5,9,see,Tilak's birthplace,0.75,candidate,has coordinates; has description; high-value type,17.65794,73.17245,Tilak Ali Museum,asia/india/maharashtra/ratnagiri/tilak_ali_museum,0.471,73.989,75.713,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ratnagiri
asia/pakistan/gilgit,Gilgit,Gilgit,10,7,see,Sher Qilla,0.75,candidate,has coordinates; has description; high-value type,36.0839,74.0538,Kargah Nala Buddha,asia/pakistan/gilgit/kargah_buddha,0.286,27.759,29.613,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Gilgit
asia/qatar/doha,Doha,Doha,50,160,do,Singing Sand Dunes,0.75,candidate,has coordinates; has description; high-value type,25.037802,51.406227,Fire Station — Artist in Residence,asia/qatar/doha/fire_station_doha,0.36,31.158,32.052,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Doha
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Morelos Dam,0.75,candidate,has coordinates; has description; high-value type,32.70604,-114.72955,Plaza de los Tres Poderes,northamerica/mexico/mexicali/plaza_tres_poderes,0.345,69.483,68.288,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mexicali
asia/china/shandong_province/weihai,Weihai,Weihai,4,37,see,The Dream Sea,0.75,candidate,has coordinates; has description; high-value type,37.4,122.42,Korean District,asia/china/shandong_province/weihai/korean_district,0.417,29.325,29.625,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Weihai
asia/china/shandong_province/weifang,Weifang,Weifang,5,29,see,Shouguang,0.75,candidate,has coordinates; has description; high-value type,36.53,118.42,Fangtze Eurotown,asia/china/shandong_province/weifang/fangtze_eurotown,0.24,60.417,64.137,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Weifang
africa/malawi/nkhata_bay,Nkhata Bay,Nkhata Bay,10,18,see,Ruware,0.75,candidate,has coordinates; has description; high-value type,-11.11151,34.23403,Dugout Canoe Trip,africa/malawi/nkhata_bay/usisya_dhow_trip,0.261,55.271,55.271,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nkhata_Bay
asia/china/hainanisland/lingshui,Lingshui,Lingshui,4,11,see,Clearwater Bay,0.75,candidate,has coordinates; has description; high-value type,18.390400050662176,109.86007858802887,Perfume Bay (Xiangshuiwan),asia/china/hainanisland/lingshui/perfume_bay,0.48,22.742,25.568,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lingshui
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Si Surat Bridge,0.75,candidate,has coordinates; has description; high-value type,9.17418,99.358,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.279,,66.48,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
europe/ukraine/poltava,Poltava,Poltava,7,54,see,Tokarev Trade house,0.75,candidate,has coordinates; has description; high-value type,49.58574,34.55519,Kotlyarevsky Literary Memorial Museum,europe/ukraine/poltava/kotlyarevsky_museum,0.5,1.424,65.472,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
europe/greece/epirus,Epirus,Epirus,5,13,see,Nikopolis Roman Aqueduct,0.75,candidate,has coordinates; has description; high-value type,39.271085,20.848827,Vikos Gorge,europe/greece/epirus/vikos_gorge,0.4,78.264,32.203,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Epirus
africa/kenya/thecoast/kilifi,Kilifi,Kilifi,8,15,see,Vuma Cliffs,0.75,candidate,has coordinates; has description; high-value type,-3.69195,39.86965,Chasimba Caves,africa/kenya/thecoast/kilifi/chasimba_caves,0.4,20.068,63.938,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kilifi
asia/china/xinjiangprovince/yining,Yining,Yining,8,12,do,天山草药识别徒步,0.75,candidate,has coordinates; has description; high-value type,44.4167,80.8333,,,0.0,,67.508,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yining
asia/china/gansu/zhangye,Zhangye,Zhangye,3,22,see,Pingshanhu Grand Canyon,0.75,candidate,has coordinates; has description; high-value type,39.16574,100.82874,Zhangye City Museum,asia/china/gansu/zhangye/zhangye_museum,0.333,42.286,41.181,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangye
northamerica/unitedstates/nevada/elko,Elko,Elko,6,19,see,Lamoille Canyon Scenic Byway,0.75,candidate,has coordinates; has description; high-value type,40.6279,-115.3674,Western Folklife Center,northamerica/unitedstates/nevada/elko/western_folklife_center,0.314,63.188,63.239,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Elko
asia/india/uttaranchal/pithoragarh,Pithoragarh,Pithoragarh,6,26,see,Dharchula,0.75,candidate,has coordinates; has description; high-value type,29.84734,80.53691,Thal Kedar,asia/india/uttaranchal/pithoragarh/thal_kedar,0.421,45.536,42.553,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Pithoragarh
africa/malawi/nkhata_bay,Nkhata Bay,Nkhata Bay,10,18,see,Usisya,0.75,candidate,has coordinates; has description; high-value type,-11.24138,34.22722,Butterfly Space,africa/malawi/nkhata_bay/butterfly_space,0.286,40.902,41.113,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nkhata_Bay
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Howells Knob Lookout,0.75,candidate,has coordinates; has description; high-value type,-26.760355,152.810118,Mooloolaba,australiaandpacific/australia/queensland/sunshinecoast/mooloolaba,0.333,31.77,30.501,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Sunshine_Coast
africa/southafrica/krugernationalpark,Kruger National Park,Kruger National Park,7,74,see,Kumana Baobab,0.75,candidate,has coordinates; has description; high-value type,-24.6185,31.787,Skukuza Rest Camp,africa/southafrica/krugernationalpark/skukuza_camp,0.333,46.526,73.913,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kruger_National_Park
asia/china/tibet/nyingchi,Nyingchi,Nyingchi,7,20,do,Peach Blossom Valley,0.75,candidate,has coordinates; has description; high-value type,29.673,94.294,Niyang River Valley,asia/china/tibet/nyingchi/niyang_river_valley,0.462,6.187,36.054,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Nyingchi
australiaandpacific/australia/westernaustralia/kalbarri,Kalbarri,Kalbarri,5,13,see,Hutt River Principality,0.75,candidate,has coordinates; has description; high-value type,-28.073,114.471,Grey's Spring,australiaandpacific/australia/westernaustralia/kalbarri/greys_spring,0.389,49.985,50.316,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kalbarri
