world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/newjersey/atlanticcity,Atlantic City,Atlantic City,5,36,see,Atlantic City Shows,0.55,candidate,has description; high-value type,,,Hard Rock Hotel & Casino,northamerica/unitedstates/newjersey/atlanticcity/hard_rock_hotel,0.311,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atlantic_City,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/badenwrttemberg/esslingen,Esslingen,Esslingen,13,7,see,Wolfstor,0.55,candidate,has description; high-value type,,,Altes Rathaus,europe/germany/badenwrttemberg/esslingen/altes_rathaus,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Esslingen,candidate score 0.55 is below the 6.0 POI threshold
europe/macedonia/skopje,Skopje,Skopje,11,58,see,Tumba archaeological site,0.55,candidate,has description; high-value type,,,Porta Macedonia,europe/macedonia/skopje/porta_macedonia,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skopje,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Downtown Neighbourhoods,0.55,candidate,has description; high-value type,,,Whitehern Historic House,northamerica/canada/ontario/hamilton/whitehern,0.426,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,do,Rainbow Charters,0.55,candidate,has description; high-value type,,,Alaska SeaLife Center,northamerica/unitedstates/alaska/seward/alaska_sealife_center,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Seward,candidate score 0.55 is below the 6.0 POI threshold
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Old Quarter,0.55,candidate,has description; high-value type,,,Daoli District,asia/china/heilongjiang/harbin/daoli_district,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harbin,candidate score 0.55 is below the 6.0 POI threshold
europe/france/midi/pyrenees/lourdes,Lourdes,Lourdes,6,29,do,Torchlight Procession,0.55,candidate,has description; high-value type,,,Grotte de Massabielle,europe/france/midi/pyrenees/lourdes/grotte_de_massabielle,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lourdes,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/pattaya,Pattaya,Pattaya,9,124,see,Thailand Post,0.55,candidate,has description; high-value type,,,Walking Street,asia/thailand/pattaya/walking_street,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/campania/calitri,Calitri,Calitri,4,21,do,Palazzo Zampaglione,0.55,candidate,has description; high-value type,,,Calitrian Ceramics,europe/italy/campania/calitri/ceramics,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Calitri,candidate score 0.55 is below the 6.0 POI threshold
europe/netherlands/deefteling,De Efteling,Efteling,0,7,do,Carousselpaleis,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Efteling,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/westernaustralia/perth,Perth,Perth,34,18,do,Visit Weekend Markets,0.55,candidate,has description; high-value type,,,Fremantle Markets,australiaandpacific/australia/westernaustralia/perth/fremantle_markets,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Perth,candidate score 0.55 is below the 6.0 POI threshold
asia/india/karnataka/udupi,Udupi,Udupi,0,41,do,Paryaya,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Udupi,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/yucatan/campeche_campeche,Campeche,Campeche,10,22,see,La Casa de las Artesanías Tukulná,0.55,candidate,has description; high-value type,,,Baluarte de San Carlos,northamerica/mexico/yucatan/campeche_campeche/baluarte_de_san_carlos,0.537,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campeche,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/kampot,Kampot,Kampot,14,32,do,Petanque,0.55,candidate,has description; high-value type,,,Kampot Mangroves,asia/cambodia/kampot/mangroves,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kampot,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Disabled visitors,0.55,candidate,has description; high-value type,,,Sule Pagoda,asia/myanmar/yangon/sule_pagoda,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guizhou/anshun,Anshun,Anshun,4,23,see,Anshun city walls,0.55,candidate,has description; high-value type,,,Anshun Old Town Market,asia/china/guizhou/anshun/anshun_old_town,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshun,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Pattaya City Golf,0.55,candidate,has description; high-value type,,,Sanctuary of Truth,asia/thailand/pattaya/sanctuary_of_truth,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.55 is below the 6.0 POI threshold
asia/iran/tabriz,Tabriz,Tabriz,25,46,do,Watch Nimeh Shabann,0.55,candidate,has description; high-value type,,,Maqbarat-ol-Shoara (Mausoleum of Poets),asia/iran/tabriz/poets_mausoleum,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tabriz,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/tulum,Tulum,Tulum,27,59,see,Street art,0.55,candidate,has description; high-value type,,,Burrito Amor,northamerica/mexico/tulum/burrito_amor,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tulum,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/vungtau,Vung Tau,Vung Tau,11,45,see,Pagodas,0.55,candidate,has description; high-value type,,,Linh Sơn Pagoda,asia/vietnam/vungtau/linh_son_pagoda,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vung_Tau,candidate score 0.55 is below the 6.0 POI threshold
asia/india/karnataka/mysore,Mysore,Mysore,14,82,do,Ride the Toy Train,0.55,candidate,has description; high-value type,,,Guru Sweet Mart,asia/india/karnataka/mysore/guru_sweet_mart,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mysore,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,do,Eagle Knoll,0.55,candidate,has description; high-value type,,,Missouri State Capitol,northamerica/unitedstates/missouri/jeffersoncity/missouri_state_capitol,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jefferson_City,candidate score 0.55 is below the 6.0 POI threshold
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,see,City walls,0.55,candidate,has description; high-value type,,,Shenhe Old City District,asia/china/liaoning/shenyang/shenhe_old_city,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shenyang,candidate score 0.55 is below the 6.0 POI threshold
europe/bulgaria/vratza,Vratsa,Vratsa,2,20,do,Different sport activities,0.55,candidate,has description; high-value type,,,Eating Out,europe/bulgaria/vratza/eating_out,0.278,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vratsa,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/utah/zion,Zion National Park,Zion National Park,12,36,do,Junior Explorer Program,0.55,candidate,has description; high-value type,,,Canyon Overlook Trail,northamerica/unitedstates/utah/zion/canyon_overlook_trail,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zion_National_Park,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,Black Tie,0.55,candidate,has description; high-value type,,,Gore Creek Trail,northamerica/unitedstates/colorado/vail/gore_creek_trail,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vail,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/lampang,Lampang,Lampang,0,26,do,Luang Wiang Lakhon Fair,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lampang,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/campania/calitri,Calitri,Calitri,4,21,see,Town Hall,0.55,candidate,has description; high-value type,,,Contursi Terme,europe/italy/campania/calitri/contursi_terme,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Calitri,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/diamantina,Diamantina,Diamantina,9,12,see,Casarão do Fórum,0.55,candidate,has description; high-value type,,,Igreja Nossa Senhora do Carmo,southamerica/brazil/diamantina/igreja_nosso_senhor_bonfim,0.489,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Diamantina,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/vigan,Vigan,Vigan,7,42,see,Vigan City Fiesta,0.55,candidate,has description; high-value type,,,Vigan Heritage Village,asia/philippines/vigan/vigan_heritage_village,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vigan,candidate score 0.55 is below the 6.0 POI threshold
asia/laos/phonesavanh,Phonsavan,Phonsavan,7,31,see,Old Cemetery and Lake Jao Supanouvong,0.55,candidate,has description; high-value type,,,Muang Khoun,asia/laos/phonesavanh/muang_khoun,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phonsavan,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,see,Our Bountiful Valley,0.55,candidate,has description; high-value type,,,Downtown Murals,northamerica/unitedstates/california/centralvalley/manteca/manteca_murals,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manteca,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,see,Ram Point Marina,0.55,candidate,has description; high-value type,,,Black Point,northamerica/unitedstates/rhodeisland/narragansett/black_point,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Narragansett,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/surin_province/surin,Surin,Surin,6,21,do,Surin Elephant Roundup and Surin Red Cross Fair,0.55,candidate,has description; high-value type,,,Surin Night Market,asia/thailand/surin_province/surin/surin_night_market,0.369,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Surin,candidate score 0.55 is below the 6.0 POI threshold
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,see,Pharmacie 24 SA,0.55,candidate,has description; high-value type,,,Place de la Palud,europe/switzerland/lausanne/palud,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lausanne,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/shawnee,Shawnee,Shawnee,3,39,see,Burial Plot of Brewster Higley,0.55,candidate,has description; high-value type,,,Mabee-Gerrer Museum of Art,northamerica/unitedstates/oklahoma/shawnee/mabee_gerrer_museum,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shawnee,candidate score 0.55 is below the 6.0 POI threshold
europe/sweden/skara,Skara,Skara,5,5,do,Axevalla,0.55,candidate,has description; high-value type,,,Katedralskolan,europe/sweden/skara/katedralskolan,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skara,candidate score 0.55 is below the 6.0 POI threshold
europe/armenia/vayots_dzor_marz/jermuk,Jermuk,Jermuk,3,5,do,Soak in the waters!,0.55,candidate,has description; high-value type,,,Jermuk Waterfall,europe/armenia/vayots_dzor_marz/jermuk/jermuk_waterfall,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jermuk,candidate score 0.55 is below the 6.0 POI threshold
asia/indonesia/java/tangerang,Tangerang,Tangerang,5,19,see,RS Awal Bros,0.55,candidate,has description; high-value type,,,Kali Pasir Mosque,asia/indonesia/java/tangerang/kali_pasir_mosque,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tangerang,candidate score 0.55 is below the 6.0 POI threshold
