world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
africa/southafrica/oudtshoorn,Oudtshoorn,Oudtshoorn,7,12,do,Rock climbing,0.55,candidate,has description; high-value type,,,Meiringspoort,africa/southafrica/oudtshoorn/meiringspoort,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oudtshoorn,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/alicante,Alicante,Alicante,8,74,do,Setmana Santa,0.55,candidate,has description; high-value type,,,Explanada de España,europe/spain/spanishcostas/alicante/explanada_de_espana,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Alicante,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/tula,Tula,Tula,6,28,see,Naugolnaya tower,0.55,candidate,has description; high-value type,,,Yasnaya Polyana,europe/russia/tula/yasnaya_polyana,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tula,candidate score 0.55 is below the 6.0 POI threshold
africa/tunisia/tozeur,Tozeur,Tozeur,5,13,see,Star Wars,0.55,candidate,has description; high-value type,,,Dar Chariet Museum,africa/tunisia/tozeur/dar_chariet,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tozeur,candidate score 0.55 is below the 6.0 POI threshold
europe/slovakia/b_a_n_s_k,Banská Stiavnica,Banská Štiavnica,6,35,do,Spectaculum Ignis,0.55,candidate,has description; high-value type,,,Tajchy — The Mining Reservoirs,europe/slovakia/b_a_n_s_k/tajchy_reservoirs,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bansk%C3%A1_%C5%A0tiavnica,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,do,MRU Cougars,0.55,candidate,has description; high-value type,,,Entre Nous .,northamerica/canada/alberta/calgary/entrenous,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Calgary,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/kollam,Kollam,Kollam,7,40,see,Kundara,0.55,candidate,has description; high-value type,,,Munroe Island,asia/india/kerala/kollam/munroe_island,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kollam,candidate score 0.55 is below the 6.0 POI threshold
europe/austria/bludenz,Bludenz,Bludenz,4,34,do,Wiesbadener hutte,0.55,candidate,has description; high-value type,,,Milka Lädele,europe/austria/bludenz/milka_factory,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bludenz,candidate score 0.55 is below the 6.0 POI threshold
europe/france/midi/pyrenees/lourdes,Lourdes,Lourdes,6,29,do,Holy Water,0.55,candidate,has description; high-value type,,,Pic du Jer,europe/france/midi/pyrenees/lourdes/pic_du_jer,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lourdes,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/ciudad_obregn,Ciudad Obregón,Ciudad Obregón,3,19,do,Hunting,0.55,candidate,has description; high-value type,,,Nainari Lagoon,northamerica/mexico/ciudad_obregn/nainari_lagoon,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ciudad_Obreg%C3%B3n,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/caloocan,Caloocan,Caloocan,4,33,see,Internet cafes,0.55,candidate,has description; high-value type,,,Caloocan Cathedral (San Roque Cathedral),asia/philippines/caloocan/caloocan_cathedral,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Caloocan,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/schleswigholstein/neumuenster,Neumünster,Neumünster,3,11,do,parks,0.55,candidate,has description; high-value type,,,Tierpark Neumünster,europe/germany/schleswigholstein/neumuenster/tierpark_neumuenster,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Neum%C3%BCnster,candidate score 0.55 is below the 6.0 POI threshold
europe/norway/molde,Molde,Molde,5,48,see,Molde Cruise Ship Harbour,0.55,candidate,has description; high-value type,,,Hjertøya Island Fishing Museum,europe/norway/molde/hjertoya_island,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Molde,candidate score 0.55 is below the 6.0 POI threshold
asia/india/goa/panaji,Panaji,Panaji,18,49,see,Centro de Língua Portuguesa/Instituto Camões,0.55,candidate,has description; high-value type,,,Dona Paula Viewpoint,asia/india/goa/panaji/dona_paula,0.361,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Panaji,candidate score 0.55 is below the 6.0 POI threshold
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,do,Play Weiqi (the game of Go),0.55,candidate,has description; high-value type,,,Jinli and Wuhou Area,asia/china/sichuanprovince/chengdu/wuhou_neighbourhood,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chengdu,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/yucatan/campeche_campeche,Campeche,Campeche,10,22,see,Municipal Files,0.55,candidate,has description; high-value type,,,Mercado Principal,northamerica/mexico/yucatan/campeche_campeche/mercado_principal,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campeche,candidate score 0.55 is below the 6.0 POI threshold
asia/uzbekistan/bukhara,Bukhara,Bukhara,13,30,do,Hammom Kunjak,0.55,candidate,has description; high-value type,,,Sitorai Mokhi-Khosa,asia/uzbekistan/bukhara/sitorai_mokhi_khosa,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bukhara,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/passau,Passau,Passau,7,37,see,Linz,0.55,candidate,has description; high-value type,,,Neue Residenz (Episcopal Palace),europe/germany/bavaria/passau/neue_residenz,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Passau,candidate score 0.55 is below the 6.0 POI threshold
asia/china/yunnanprovince/lijiang,Lijiang,Lijiang,8,36,do,Dry Sea Meadow,0.55,candidate,has description; high-value type,,,Black Dragon Pool (Jade Spring Park),asia/china/yunnanprovince/lijiang/black_dragon_pool,0.258,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lijiang,candidate score 0.55 is below the 6.0 POI threshold
asia/china/yunnanprovince/lijiang,Lijiang,Lijiang,8,36,do,Float styrofoam boats,0.55,candidate,has description; high-value type,,,Old Town Morning Market,asia/china/yunnanprovince/lijiang/market_breakfast,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lijiang,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,see,Crossroads,0.55,candidate,has description; high-value type,,,Dell'Osso Farms Corn Maze,northamerica/unitedstates/california/centralvalley/manteca/dellosso_farms_co,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manteca,candidate score 0.55 is below the 6.0 POI threshold
asia/india/bihar/bodhgaya,Bodh Gaya,Bodh Gaya,9,26,see,Bihar State Tourist Development Corporation,0.55,candidate,has description; high-value type,,,Great Buddha Statue,asia/india/bihar/bodhgaya/great_buddha_statue,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bodh_Gaya,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/villadeleyva,Villa de Leyva,Villa de Leyva,14,26,do,La Candelaria desert,0.55,candidate,has description; high-value type,,,Casa Terracota,southamerica/colombia/villadeleyva/casa_terracota,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Villa_de_Leyva,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/bartlesville,Bartlesville,Bartlesville,5,8,do,Red Apple Sports Center,0.55,candidate,has description; high-value type,,,Price Tower,northamerica/unitedstates/oklahoma/bartlesville/price_tower,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bartlesville,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/newzealand/north_island/greater_wellington/wellington,Wellington,Wellington,16,21,see,Bangladesh,0.55,candidate,has description; high-value type,,,Zealandia Ecosanctuary,australiaandpacific/newzealand/north_island/greater_wellington/wellington/zealandia,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wellington,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/corumb,Corumbá,Corumbá,4,27,see,Primeira Igreja Batista de Corumbá,0.55,candidate,has description; high-value type,,,Museu de História do Pantanal,southamerica/brazil/corumb/museu_historia_pantanal,0.321,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Corumb%C3%A1,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/westernaustralia/bussleton,Busselton,Busselton,8,9,see,Weld Hall,0.55,candidate,has description; high-value type,,,Wonnerup House,australiaandpacific/australia/westernaustralia/bussleton/wonnerup_house,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Busselton,candidate score 0.55 is below the 6.0 POI threshold
asia/india/punjab/kapurthala,Kapurthala,Kapurthala,3,6,do,Kanjli Wetlands,0.55,candidate,has description; high-value type,,,Panch Mandir,asia/india/punjab/kapurthala/panch_mandir,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kapurthala,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,Independence Day Fireworks,0.55,candidate,has description; high-value type,,,Switchback Brewing Co.,northamerica/unitedstates/vermont/burlington/switchback_brewing,0.34,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/nongkhai,Nong Khai,Nong Khai,6,42,do,Loi Krathong,0.55,candidate,has description; high-value type,,,Sala Kaew Ku (Wat Khaek),asia/thailand/nongkhai/watkhaek,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nong_Khai,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/raleigh,Raleigh,Raleigh,14,77,see,Five Points,0.55,candidate,has description; high-value type,,,Neuse River Greenway,northamerica/unitedstates/northcarolina/raleigh/neuse_river_greenway,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Raleigh,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/inlandempire/riverside,Riverside,Riverside,7,24,do,Rubidoux Drive-In,0.55,candidate,has description; high-value type,,,Mission Inn,northamerica/unitedstates/california/inlandempire/riverside/mission_inn,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Riverside,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/huddersfield,Huddersfield,Huddersfield,12,23,see,M1 Motorway,0.55,candidate,has description; high-value type,,,Beaumont Park,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/huddersfield/beaumont_park,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huddersfield,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/arizona/organ_pipe_cactus_national_monument,Organ Pipe Cactus National Monument,Organ Pipe Cactus National Monument,9,11,do,Puerto Blanco Drive,0.55,candidate,has description; high-value type,,,Glen Canyon National Recreation Area,northamerica/unitedstates/arizona/glen_canyon,0.255,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Organ_Pipe_Cactus_National_Monument,candidate score 0.55 is below the 6.0 POI threshold
