world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,do,A Tiny Cruise Line,0.55,candidate,has description; high-value type,,,Aunt Catfish's on the River,northamerica/unitedstates/florida/daytona_beach/aunt_catfish,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Daytona_Beach,candidate score 0.55 is below the 6.0 POI threshold
europe/france/midi/cotedazur/cannes,Cannes,Cannes,10,19,do,Molinard,0.55,candidate,has description; high-value type,,,Île Sainte-Marguerite,europe/france/midi/cotedazur/cannes/ile_sainte_marguerite,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cannes,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Cyber Cafe II,0.55,candidate,has description; high-value type,,,The Secretariat,asia/myanmar/yangon/secretariat,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Old Settlers Day and Classic Car Show,0.55,candidate,has description; high-value type,,,Soldiers' and Sailors' Monument,northamerica/unitedstates/indiana/indianapolis/soldiers_sailors_monument,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Indianapolis,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Mercury Bank,0.55,candidate,has description; high-value type,,,Gorky Park (Maxim Gorky Central Park),europe/ukraine/kharkiv/gorky_park,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/chapelhill,Chapel Hill,Chapel Hill,11,65,do,Halloween on Franklin Street,0.55,candidate,has description; high-value type,,,North Carolina Botanical Garden,northamerica/unitedstates/northcarolina/chapelhill/north_carolina_botanical_garden,0.373,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chapel_Hill,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/waynesville,Waynesville,Waynesville (North Carolina),6,14,see,Masonic Hall,0.55,candidate,has description; high-value type,,,Museum of North Carolina Handicrafts,northamerica/unitedstates/northcarolina/waynesville/museum_of_north_carolina_handicrafts,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Waynesville_%28North_Carolina%29,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/shikoku/kotohira,Kotohira,Kotohira,4,12,see,Great Gate,0.55,candidate,has description; high-value type,,,Konpira-san (Kotohira-gū),asia/japan/shikoku/kotohira/konpira_san,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kotohira,candidate score 0.55 is below the 6.0 POI threshold
europe/bosniaandherzegovina/trebinje,Trebinje,Trebinje,10,8,do,Paragliding,0.55,candidate,has description; high-value type,,,Arslanagić (Perović) Bridge,europe/bosniaandherzegovina/trebinje/arslanagic_bridge,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Trebinje,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/shastacascade/oroville,Oroville,Oroville (California),5,21,do,Bald Rock,0.55,candidate,has description; high-value type,,,Table Mountain wildflower hikes,northamerica/unitedstates/california/shastacascade/oroville/table_mountain,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oroville_%28California%29,candidate score 0.55 is below the 6.0 POI threshold
asia/pakistan/jhelum,Jhelum,Jhelum,6,17,see,Hazrat Meeran Ali shrine,0.55,candidate,has description; high-value type,,,Gurdwara Chowa Sahib,asia/pakistan/jhelum/gurdwara_chowa_sahib,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jhelum,candidate score 0.55 is below the 6.0 POI threshold
europe/norway/bergen,Bergen,Bergen,26,125,do,Constitution Day,0.55,candidate,has description; high-value type,,,Witch Stone (Heksestein),europe/norway/bergen/heksestein,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bergen,candidate score 0.55 is below the 6.0 POI threshold
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Saône banks,0.55,candidate,has description; high-value type,,,Musée des Beaux-Arts,europe/france/alpes/lyon/musee_beaux_arts,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lyon,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/maine/boothbay_harbor,Boothbay Harbor,Boothbay Harbor,5,14,see,Ocean Point,0.55,candidate,has description; high-value type,,,Coastal Maine Botanical Gardens,northamerica/unitedstates/maine/boothbay_harbor/coastal_maine_botanical_gardens,0.238,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boothbay_Harbor,candidate score 0.55 is below the 6.0 POI threshold
europe/albania/pogradec,Pogradec,Pogradec,3,32,see,Mitrush Kuteli Statue,0.55,candidate,has description; high-value type,,,Pogradec Castle,europe/albania/pogradec/pogradec_castle,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pogradec,candidate score 0.55 is below the 6.0 POI threshold
europe/belgium/dinant,Dinant,Dinant,1,18,see,Le triomphe de la lumière,0.55,candidate,has description; high-value type,,,La Merveilleuse,europe/belgium/dinant/la_merveilleuse,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dinant,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/oxford,Oxford,Oxford (Ohio),6,70,see,Elliott and Stoddard Halls,0.55,candidate,has description; high-value type,,,William Holmes McGuffey House,northamerica/unitedstates/ohio/oxford/william_holmes_mcguffey_house,0.291,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Oxford_%28Ohio%29,candidate score 0.55 is below the 6.0 POI threshold
africa/benin/portonovo,Porto-Novo,Porto-Novo,6,8,see,Lycée Behanzin,0.55,candidate,has description; high-value type,,,Place Jean Bayol,africa/benin/portonovo/jardin_place_jean_bayol,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Porto-Novo,candidate score 0.55 is below the 6.0 POI threshold
europe/netherlands/rotterdam,Rotterdam,Rotterdam,42,24,see,Bus 300,0.55,candidate,has description; high-value type,,,Cube Houses,europe/netherlands/rotterdam/cube_houses,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rotterdam,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Mexico,0.55,candidate,has description; high-value type,,,Moscow Metro,europe/russia/moscow/moscow_metro,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/talkeetna,Talkeetna,Talkeetna,8,13,do,Wings and Paws,0.55,candidate,has description; high-value type,,,Nagley's General Store,northamerica/unitedstates/alaska/talkeetna/nagleys_store,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Talkeetna,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/kashgar,Kashgar,Kashgar,20,20,see,Davakul Lake,0.55,candidate,has description; high-value type,,,Sunday Livestock Market,asia/china/xinjiangprovince/kashgar/sunday_livestock_market,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kashgar,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/marche/urbino,Urbino,Urbino,14,50,see,Casa Viviano,0.55,candidate,has description; high-value type,,,Casa Natale di Raffaello,europe/italy/marche/urbino/casa_natale_di_raffaello,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Urbino,candidate score 0.55 is below the 6.0 POI threshold
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,do,Qingdao International Jewelry Festival,0.55,candidate,has description; high-value type,,,Tsingtao Brewery,asia/china/shandong_province/qingdao/tsingtao_brewery,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/guaruja,Guarujá,Guarujá,4,22,see,Tortugas,0.55,candidate,has description; high-value type,,,Forte dos Andradas,southamerica/brazil/guaruja/forte_dos_andradas,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guaruj%C3%A1,candidate score 0.55 is below the 6.0 POI threshold
asia/india/madhyapradesh/jabalpur,Jabalpur,Jabalpur,7,17,see,"Bade Mahaveer Ji Ka Mandir, Jain Mandir, Kamaniya Gate, and markets of Jabalpur",0.55,candidate,has description; high-value type,,,Bargi Dam and Lake,asia/india/madhyapradesh/jabalpur/bargi_dam,0.34,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jabalpur,candidate score 0.55 is below the 6.0 POI threshold
africa/mauritania/atar,Atar,Atar,7,7,see,Elmejd Info,0.55,candidate,has description; high-value type,,,Terjit Oasis (Day Trip),africa/mauritania/atar/terjit_oasis,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atar,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Fairy Doors,0.55,candidate,has description; high-value type,,,Blimpy Burger,northamerica/unitedstates/michigan/annarbor/blimpy_burger,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ann_Arbor,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,do,Breachway,0.55,candidate,has description; high-value type,,,The Seawall,northamerica/unitedstates/rhodeisland/narragansett/seawall,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Narragansett,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangxi/yangshuo,Yangshuo,Yangshuo,8,70,do,Sunny Sky,0.55,candidate,has description; high-value type,,,Green Lotus Peak (Bilian Peak),asia/china/guangxi/yangshuo/green_lotus_peak,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangshuo,candidate score 0.55 is below the 6.0 POI threshold
asia/china/sichuanprovince/kangding,Kangding,Kangding,4,16,see,Yak Bridge,0.55,candidate,has description; high-value type,,,Nanwu Si Monastery,asia/china/sichuanprovince/kangding/nanwu_monastery,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kangding,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/thuringia/gera,Gera,Gera,4,25,see,Höhler,0.55,candidate,has description; high-value type,,,Kunstmuseum Gera,europe/germany/thuringia/gera/kunstmuseum_gera,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/joinville,Joinville,Joinville,11,27,see,Rua das Palmeiras,0.55,candidate,has description; high-value type,,,Cemitério dos Imigrantes,southamerica/brazil/joinville/cemiterio_dos_imigrantes,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joinville,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/andalucia/jaen,Jaén,"Jaén (city, Spain)",14,8,see,Real Monasterio de Santo Domingo,0.55,candidate,has description; high-value type,,,Castillo de Santa Catalina,europe/spain/andalucia/jaen/castillo_santa_catalina,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ja%C3%A9n_%28city%2C_Spain%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,see,Guinea,0.55,candidate,has description; high-value type,,,Spadina (old Chinatown),northamerica/canada/ontario/toronto/spadina_old_china,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Toronto,candidate score 0.55 is below the 6.0 POI threshold
asia/india/sikkim/gangtok,Gangtok,Gangtok,8,29,see,Lake Tsomgo,0.55,candidate,has description; high-value type,,,Taste of Sikkim,asia/india/sikkim/gangtok/taste_of_sikkim,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gangtok,candidate score 0.55 is below the 6.0 POI threshold
