batch,row,world66_path,world66_title,wv_type,wv_name,reject_reason,source_url,external_url
batch_0056,25,europe/finland/turku,Turku,do,Varissuon jäähalli,Local ice hall/recreation facility below the travel threshold.,https://en.wikivoyage.org/wiki/Turku,https://www.turku.fi/en/culture-and-sports/sports/sports-facilities/ice-halls/varissuo-ice-hall
batch_0056,27,europe/hungary/sopron,Sopron,see,Rococo building,Vague building listing with insufficient distinct travel value.,https://en.wikivoyage.org/wiki/Sopron,http://muemlekem.hu/muemlek?id=5035
batch_0056,29,northamerica/unitedstates/arizona/mesa,Mesa,see,Asian American Times,"Newspaper/business office, not a travel POI.",https://en.wikivoyage.org/wiki/Mesa,http://www.asiantimes.com
batch_0056,30,northamerica/unitedstates/arizona/scottsdale,Scottsdale,do,Rock and Roll Car and Bike Show,Recurring car meet in a commercial parking lot; too local and event-led.,https://en.wikivoyage.org/wiki/Scottsdale_%28Arizona%29,https://www.facebook.com/Rock-and-Roll-Car-and-Bike-Show-at-McDonalds-in-Scottsdale-Pavilions-198858890130332/
batch_0056,35,europe/spain/canaryislands/elhierro,El Hierro,see,Touri-Info Valverde,"Tourist information office, not a destination POI.",https://en.wikivoyage.org/wiki/El_Hierro,https://elhierro.travel/en
batch_0056,36,europe/germany/rhinelandpalatinate/mainz,Mainz,see,St. Hildegardis-Krankenhaus,"Hospital listing, not a travel POI.",https://en.wikivoyage.org/wiki/Mainz,http://www.kkm-mainz.de/kontakt/anfahrt-st.-hildegardis-krankenhaus.html
batch_0056,37,northamerica/unitedstates/newyorkstate/rochester,Rochester,do,Radio Social,"Bowling/bar venue belongs, if anywhere, in nightlife rather than things_to_do and is below threshold.",https://en.wikivoyage.org/wiki/Rochester_%28New_York%29,https://radio-social.com/
batch_0056,38,asia/india/karnataka/udupi,Udupi,do,Stay at a Houseboat,"Accommodation/houseboat lodging lead, explicitly excluded.",https://en.wikivoyage.org/wiki/Udupi,http://www.theparadiseisle.com
batch_0056,40,northamerica/canada/ontario/sudbury,Sudbury,do,True North Airways,Commercial flightseeing operator rather than a durable POI.,https://en.wikivoyage.org/wiki/Sudbury_%28Ontario%29,https://truenorthairways.ca/
batch_0056,41,northamerica/unitedstates/arizona/flagstaff,Flagstaff,do,Coconino County Fair,County fair is seasonal and too local for a Flagstaff POI.,https://en.wikivoyage.org/wiki/Flagstaff,http://www.coconino.az.gov/index.aspx?nid=275
batch_0056,43,northamerica/unitedstates/wisconsin/madison,Madison,do,Madison Mallards,Minor-league sports team is too niche and event-led for a Madison POI.,https://en.wikivoyage.org/wiki/Madison,http://www.mallardsbaseball.com
batch_0056,45,northamerica/unitedstates/kansas/topeka,Topeka,do,YMCA,"YMCA/recreation facility, not a travel-worthy POI.",https://en.wikivoyage.org/wiki/Topeka,http://www.ymcatopeka.org/
batch_0056,48,europe/switzerland/zurich,Zurich,do,Caliente Festival,Seasonal festival listing without durable POI value for Zurich.,https://en.wikivoyage.org/wiki/Zurich,http://www.caliente.ch
batch_0056,49,asia/malaysia/johorbahru,Johor Bahru,do,Rockworld,Climbing gym/recreation business below the travel threshold.,https://en.wikivoyage.org/wiki/Johor_Bahru,https://www.facebook.com/Rockworldjb/
