world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,High Priest's Grave,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/illinois/vandalia,Vandalia,Vandalia (Illinois),4,6,do,Cemetery Walk,0.55,candidate,has description; high-value type,,,Madonna of the Trail,northamerica/unitedstates/illinois/vandalia/madonna_of_the_trail,0.207,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vandalia_%28Illinois%29,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,do,Teatro da Ribalta,0.55,candidate,has description; high-value type,,,Casa da Cultura,southamerica/brazil/recife/casa_da_cultura,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.55 is below the 6.0 POI threshold
southamerica/chile/antofagasta,Antofagasta,Antofagasta,5,8,see,Mano del Desierto,0.55,candidate,has description; high-value type,,,Juan López Beach,southamerica/chile/antofagasta/juan_lopez,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Antofagasta,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/bonn,Bonn,Bonn,19,96,see,ICE 1159 Bonn to Berlin-Ostkreuz,0.55,candidate,has description; high-value type,,,Bonn Minster,europe/germany/northrhinewestphalia/bonn/bonn_minster,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bonn,candidate score 0.55 is below the 6.0 POI threshold
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,see,Auspicious Light Pagoda,0.55,candidate,has description; high-value type,,,Twin Pagodas,asia/china/jiangsu_province/suzhou/twin_pagodas,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou,candidate score 0.55 is below the 6.0 POI threshold
asia/pakistan/bahawalpur,Bahawalpur,Bahawalpur,8,21,see,Mai Jindaan Da Mazaar,0.55,candidate,has description; high-value type,,,Lal Suhanra National Park,asia/pakistan/bahawalpur/lal_suhanra_national_park,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bahawalpur,candidate score 0.55 is below the 6.0 POI threshold
africa/southafrica/portelizabeth,Port Elizabeth,Port Elizabeth,10,66,see,Alexandria Dune Fields,0.55,candidate,has description; high-value type,,,South End Museum,africa/southafrica/portelizabeth/south_end_museum,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Elizabeth,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,do,Sassy Sal Charters,0.55,candidate,has description; high-value type,,,Camp Perry National Guard Base,northamerica/unitedstates/ohio/port_clinton/camp_perry,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/teresopolis,Teresópolis,Teresópolis,5,14,see,Nariz do Frade,0.55,candidate,has description; high-value type,,,Dedo de Deus,southamerica/brazil/teresopolis/dedo_de_deus,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Teres%C3%B3polis,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/thuringia/gera,Gera,Gera,4,25,see,Town hall,0.55,candidate,has description; high-value type,,,Otto-Dix-Haus,europe/germany/thuringia/gera/otto_dix_haus,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/maine/kennebunkport,Kennebunkport,Kennebunkport,13,28,do,Nott House,0.55,candidate,has description; high-value type,,,Nunan's Lobster Hut,northamerica/unitedstates/maine/kennebunkport/nunans_lobster_hut,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kennebunkport,candidate score 0.55 is below the 6.0 POI threshold
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Russian Buildings,0.55,candidate,has description; high-value type,,,Daoli District,asia/china/heilongjiang/harbin/daoli_district,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harbin,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/chaam,Cha-am,Cha-am,9,8,see,Eurasia Cha-am Lagoon,0.55,candidate,has description; high-value type,,,Cha-am Beach,asia/thailand/chaam/chaam_beach,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cha-am,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,see,Eleftherias Square,0.55,candidate,has description; high-value type,,,Aristotelous Square,europe/greece/thessaloniki/aristotelous_square,0.541,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thessaloniki,candidate score 0.55 is below the 6.0 POI threshold
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Mountain villages,0.55,candidate,has description; high-value type,,,Tahir Bey's Palace,europe/serbia/kosovoprovince/peja/tahir_bey_palace,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Peja,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/south_east/ramsgate,Ramsgate,Ramsgate,6,29,do,Government Acre,0.55,candidate,has description; high-value type,,,The Grange and St Augustine's Church,europe/unitedkingdom/england/south_east/ramsgate/the_grange_pugin,0.383,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ramsgate,candidate score 0.55 is below the 6.0 POI threshold
asia/palestinianauthority/gazastrip,Gaza Strip,Gaza Strip,11,21,see,Gaza War Cemetery,0.55,candidate,has description; high-value type,,,Gaza Beach,asia/palestinianauthority/gazastrip/gaza_beach,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gaza_Strip,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/newfoundland/cornerbrook,Corner Brook,Corner Brook,7,44,see,Stew's Bus Lines,0.55,candidate,has description; high-value type,,,Blow-Me-Down Provincial Park,northamerica/canada/newfoundland/cornerbrook/blow_me_down_park,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Corner_Brook,candidate score 0.55 is below the 6.0 POI threshold
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Anjaneri Parvat,0.55,candidate,has description; high-value type,,,Sula Vineyards,asia/india/maharashtra/nashik/sula_vineyards,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nashik,candidate score 0.55 is below the 6.0 POI threshold
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,do,"Likas Bay, Taman Awam Teluk Likas",0.55,candidate,has description; high-value type,,,Sabah State Mosque,asia/malaysia/kotakinabalu/sabah_state_mosque,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Herbst Volkfest,0.55,candidate,has description; high-value type,,,Henkerhaus,europe/germany/bavaria/nuremberg/henkerhaus,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nuremberg,candidate score 0.55 is below the 6.0 POI threshold
northamerica/turksandcaicosislands/providenciales,Providenciales,Providenciales,7,49,do,Maskanoo Festival,0.55,candidate,has description; high-value type,,,Cheshire Hall Plantation,northamerica/turksandcaicosislands/providenciales/cheshire_hall,0.244,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Providenciales,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/manitoba/thompson,Thompson,Thompson,5,12,do,Howling Wolves Rockface,0.55,candidate,has description; high-value type,,,Paint Lake Provincial Park,northamerica/canada/manitoba/thompson/paint_lake,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thompson,candidate score 0.55 is below the 6.0 POI threshold
asia/china/yunnanprovince/kunming,Kunming,Kunming,50,81,see,PSB - visa extensions,0.55,candidate,has description; high-value type,,,Western Hills (Xishan),asia/china/yunnanprovince/kunming/western_hills,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kunming,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,see,Thailand,0.55,candidate,has description; high-value type,,,Toronto Islands,northamerica/canada/ontario/toronto/toronto_islands,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Toronto,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Maleny Community Centre,0.55,candidate,has description; high-value type,,,Caloundra,australiaandpacific/australia/queensland/sunshinecoast/caloundra,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sunshine_Coast,candidate score 0.55 is below the 6.0 POI threshold
asia/bahrain/manama,Manama,Manama,15,63,do,Horse racing,0.55,candidate,has description; high-value type,,,Bahrain Fort (Qal'at al-Bahrain),asia/bahrain/manama/bahrainfort,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manama,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,do,Fishing,0.55,candidate,has description; high-value type,,,Living Arts Centre,northamerica/canada/ontario/mississauga/living_arts_centre,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mississauga,candidate score 0.55 is below the 6.0 POI threshold
europe/finland/turku,Turku,Turku,5,262,do,Midsummer,0.55,candidate,has description; high-value type,,,Forum Marinum,europe/finland/turku/forum_marinum,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Turku,candidate score 0.55 is below the 6.0 POI threshold
