world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/ohio/chillicothe,Chillicothe,Chillicothe (Ohio),5,37,do,Charity Bed Race,0.47,candidate,high-value type,,,Tecumseh! Outdoor Drama,northamerica/unitedstates/ohio/chillicothe/tecumseh_drama,0.263,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chillicothe_%28Ohio%29,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/yogyakarta,Yogyakarta,Yogyakarta,16,99,see,RSUD Panembahan Senopati,0.47,candidate,high-value type,,,Taman Sari,asia/indonesia/java/yogyakarta/taman_sari,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yogyakarta,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Slovakia,0.47,candidate,high-value type,,,Sparks Street Mall,northamerica/canada/ontario/ottawa/sparks_street,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/texas/houston,Houston,Houston,7,75,see,Nicaragua,0.47,candidate,high-value type,,,Hermann Park,northamerica/unitedstates/texas/houston/hermann_park,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Houston,candidate score 0.47 is below the 6.0 POI threshold
europe/portugal/aveiro,Aveiro,Aveiro,5,35,see,Igreja da Misericórdia,0.47,candidate,high-value type,,,Barra Lighthouse,europe/portugal/aveiro/barra_lighthouse,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aveiro,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Ambulance,0.47,candidate,high-value type,,,Lawang Sewu,asia/indonesia/java/semarang/lawang_sewu,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Semarang,candidate score 0.47 is below the 6.0 POI threshold
australiaandpacific/frenchpolynesia/borabora,Bora Bora,Bora Bora,15,13,do,Nemo World Scuba,0.47,candidate,high-value type,,,Motu Tapu,australiaandpacific/frenchpolynesia/borabora/motu_tapu,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bora_Bora,candidate score 0.47 is below the 6.0 POI threshold
southamerica/brazil/fortaleza,Fortaleza,Fortaleza,10,87,see,Cooperativa,0.47,candidate,high-value type,,,Coco Park,southamerica/brazil/fortaleza/coco_park,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fortaleza,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,see,New Zealand (Honorary),0.47,candidate,high-value type,,,Zoo Atlanta,northamerica/unitedstates/georgia/atlanta/zoo_atlanta,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atlanta,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/bali/sanur,Sanur,Sanur,12,38,do,Puri Esthetic,0.47,candidate,high-value type,,,Sanur Beach,asia/indonesia/bali/sanur/sanur_beach,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sanur,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Haiti,0.47,candidate,high-value type,,,Thalia Hall,northamerica/unitedstates/illinois/chicago/thalia_hall,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chicago,candidate score 0.47 is below the 6.0 POI threshold
europe/sweden/ume,Umeå,Umeå,9,52,do,Umeå Europeiska Filmfestival,0.47,candidate,high-value type,,,Umeå Town Hall,europe/sweden/ume/umea_town_hall,0.35,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ume%C3%A5,candidate score 0.47 is below the 6.0 POI threshold
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,see,Consumer Protection,0.47,candidate,high-value type,,,Tujia Folk Customs Park,asia/china/hunan/zhangjiajie/tujia_folk_customs_park,0.238,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zhangjiajie,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,Breeze Rentals,0.47,candidate,high-value type,,,Gore Creek Trail,northamerica/unitedstates/colorado/vail/gore_creek_trail,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vail,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/new_paltz,New Paltz,New Paltz,17,19,do,Climb rocks,0.47,candidate,high-value type,,,Jean Hasbrouck House,northamerica/unitedstates/newyorkstate/new_paltz/jean_hasbrouck_house,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/New_Paltz,candidate score 0.47 is below the 6.0 POI threshold
europe/poland/gniezno,Gniezno,Gniezno,6,42,see,"Polish Country-Lovers’ Society, the Gniezno department",0.47,candidate,high-value type,,,Gniezno Cathedral,europe/poland/gniezno/gniezno_cathedral,0.338,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gniezno,candidate score 0.47 is below the 6.0 POI threshold
africa/namibia/sossusvlei,Sossusvlei,Sossusvlei,0,7,see,Sossusvlei,0.47,candidate,high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sossusvlei,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,Nepal (Honorary),0.47,candidate,high-value type,,,Elephant Walk,northamerica/unitedstates/massachusetts/boston/elephant_walk,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boston,candidate score 0.47 is below the 6.0 POI threshold
asia/india/andhrapradesh/hyderabad,Hyderabad,Hyderabad,10,55,see,Railway Enquiry,0.47,candidate,high-value type,,,Hyderabadi Biryani,asia/india/andhrapradesh/hyderabad/biryani,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hyderabad,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/newfoundland/grosmornenationa,Gros Morne National Park,Gros Morne National Park,10,18,see,Emergency telephone,0.47,candidate,high-value type,,,Green Gardens,northamerica/canada/newfoundland/grosmornenationa/green_gardens,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gros_Morne_National_Park,candidate score 0.47 is below the 6.0 POI threshold
asia/china/innermongolia/hohhot,Hohhot,Hohhot,49,25,see,The Great Wall,0.47,candidate,high-value type,,,Street Yogurt Stalls,asia/china/innermongolia/hohhot/yogurt_stalls,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hohhot,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,North Macedonia (Honorary),0.47,candidate,high-value type,,,North Halsted and Clark (Old Town South),northamerica/unitedstates/illinois/chicago/old_town_orchard_street,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chicago,candidate score 0.47 is below the 6.0 POI threshold
africa/congokinshasa/kinshasa,Kinshasa,Kinshasa,17,46,see,Nigeria,0.47,candidate,high-value type,,,Matonge,africa/congokinshasa/kinshasa/matonge,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kinshasa,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Togo,0.47,candidate,high-value type,,,Gogol Museum,europe/russia/moscow/gogol_museum,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
