world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/belgium/zottegem,Zottegem,Zottegem,9,14,see,Art nouveau and Art deco buildings,0.55,candidate,has description; high-value type,,,Onze-Lieve-Vrouw-Hemelvaart Church and Egmont Crypt,europe/belgium/zottegem/onze_lieve_vrouw_church,0.306,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zottegem,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,see,药王庙,0.55,candidate,has coordinates; high-value type,38.72737,116.08307,,,0.0,,82.087,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Cangzhou,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/corumb,Corumbá,Corumbá,4,27,see,Ireja Batista De Corumbá,0.55,candidate,has description; high-value type,,,Museu de História do Pantanal,southamerica/brazil/corumb/museu_historia_pantanal,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Corumb%C3%A1,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/florida/st_augustine,St. Augustine,St. Augustine,15,75,do,Easter Parade,0.55,candidate,has description; high-value type,,,Anastasia State Park,northamerica/unitedstates/florida/st_augustine/anastasia_state_park,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/St._Augustine,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/dalat,Dalat,Da Lat,13,41,see,An Phu Travel,0.55,candidate,has description; high-value type,,,Bánh Mì & Xíu Mại Stalls,asia/vietnam/dalat/banh_mi_xiu_mai,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Da_Lat,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/salou,Salou,Salou,5,16,see,Torre Vella,0.55,candidate,has description; high-value type,,,Villa Magda,europe/spain/catalonia/salou/villa_magda,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salou,candidate score 0.55 is below the 6.0 POI threshold
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,do,Mr. K.K. Law,0.55,candidate,has description; high-value type,,,Mari Mari Cultural Village,asia/malaysia/kotakinabalu/mari_mari_cultural_village,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/julian,Julian,Julian,6,57,do,Apple Lane Orchard Apples,0.55,candidate,has description; high-value type,,,Apple Pie on Main Street,northamerica/unitedstates/california/julian/apple_pie,0.49,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Julian,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/pasto,Pasto,Pasto,16,16,do,Ciclovía,0.55,candidate,has description; high-value type,,,Café de la Catedral,southamerica/colombia/pasto/cafe_la_catedral,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pasto,candidate score 0.55 is below the 6.0 POI threshold
asia/vietnam/dalat,Dalat,Da Lat,13,41,see,Pongour Falls,0.55,candidate,has description; high-value type,,,Datanla Falls,asia/vietnam/dalat/datanla_falls,0.538,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Da_Lat,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/kollam,Kollam,Kollam,7,40,see,Mayyanad,0.55,candidate,has description; high-value type,,,Munroe Island,asia/india/kerala/kollam/munroe_island,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kollam,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/lowersaxony/hannover,Hannover,Hanover,50,74,see,Waschweiber Salon & Bar,0.55,candidate,has description; high-value type,,,Central Park,europe/germany/lowersaxony/hannover/centralpark,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hanover,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/fairbanks,Fairbanks,Fairbanks,17,56,do,The Trans-Alaska Pipeline,0.55,candidate,has description; high-value type,,,University of Alaska Museum of the North,northamerica/unitedstates/alaska/fairbanks/university_of_alaska_museum_of_the_north,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fairbanks,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,do,Teatro SESC Santo Amaro,0.55,candidate,has description; high-value type,,,Mercado de São José,southamerica/brazil/recife/mercado_sao_jose,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/mindanaoisland/cagayandeoro,Cagayan de Oro,Cagayan de Oro,7,63,see,Kagay-an Resort,0.55,candidate,has description; high-value type,,,The Site Bar and Restaurant,asia/philippines/mindanaoisland/cagayandeoro/the_site_bar_and_r,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cagayan_de_Oro,candidate score 0.55 is below the 6.0 POI threshold
europe/sweden/helsingborg,Helsingborg,Helsingborg,9,27,see,Gantoftadösen,0.55,candidate,has description; high-value type,,,Conditori Central,europe/sweden/helsingborg/conditori_central,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Helsingborg,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,Vermont Air Show,0.55,candidate,has description; high-value type,,,Vermont Pub and Brewery,northamerica/unitedstates/vermont/burlington/vermont_pub_brewery,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/london,London,London,76,205,see,Victoria Station,0.55,candidate,has description; high-value type,,,Victoria and Albert Museum,europe/unitedkingdom/england/london/victoria_and_albert_museum,0.524,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/London,candidate score 0.55 is below the 6.0 POI threshold
europe/norway/flor,Florø,Florø,5,5,do,Fyrsafari,0.55,candidate,has description; high-value type,,,Sea Fishing and Boat Trips,europe/norway/flor/coastal_fishing,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Flor%C3%B8,candidate score 0.55 is below the 6.0 POI threshold
africa/eritrea/keren,Keren,Keren,8,5,see,Nakfa Mountains,0.55,candidate,has description; high-value type,,,Debre Sina Monastery,africa/eritrea/keren/debre_sina_monastery,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Keren,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/udonthani,Udon Thani,Udon Thani,10,41,see,Udon Sunshine Orchid Farm,0.55,candidate,has description; high-value type,,,Udon Thani Central Market,asia/thailand/udonthani/sanjao_pu_ya_market,0.44,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Udon_Thani,candidate score 0.55 is below the 6.0 POI threshold
europe/serbia/kosovoprovince/prizren,Prizren,Prizren,7,50,do,NgomFest,0.55,candidate,has description; high-value type,,,Kalaja Fortress,europe/serbia/kosovoprovince/prizren/kalaja_fortress,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Prizren,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Cemitério da Saudade,0.55,candidate,has description; high-value type,,,Estádio Brinco de Ouro da Princesa,southamerica/brazil/campinas/estadio_brinco_de_ouro,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campinas,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/liguria/laspezia,La Spezia,La Spezia,10,10,see,Nostra Signora della Salute,0.55,candidate,has description; high-value type,,,Osteria dei Mille,europe/italy/liguria/laspezia/osteria_delle_mura,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/La_Spezia,candidate score 0.55 is below the 6.0 POI threshold
europe/albania/elbasan,Elbasan,Elbasan,8,29,do,Hike the Via Egnatia,0.55,candidate,has description; high-value type,,,Shkumbin River Valley,europe/albania/elbasan/shkumbin_river,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Elbasan,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,do,Crystal Caves Family Entertainment Center,0.55,candidate,has description; high-value type,,,Cathedral of Saint Paul,northamerica/unitedstates/massachusetts/worcester/cathedral_of_st_paul,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,do,Darwin Cup Carnival,0.55,candidate,has description; high-value type,,,Darwin WWII Oil Storage Tunnels,australiaandpacific/australia/northernterritory/darwin/darwin_wwii_oil_tunnels,0.36,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Darwin,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/salinas,Salinas,Salinas,5,25,do,Salinas Fairways,0.55,candidate,has description; high-value type,,,John Steinbeck Library,northamerica/unitedstates/california/salinas/john_steinbeck_library,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salinas,candidate score 0.55 is below the 6.0 POI threshold
asia/kyrgyzstan/bishkek,Bishkek,Bishkek,52,50,see,From Kashgar (China),0.55,candidate,has description; high-value type,,,Old Square,asia/kyrgyzstan/bishkek/old_square,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bishkek,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/maehongson,Mae Hong Son,Mae Hong Son,9,16,see,Pang Ung,0.55,candidate,has description; high-value type,,,Wat Jong Klang,asia/thailand/maehongson/watjongklang,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mae_Hong_Son,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/platjadaro,Platja d'Aro,Platja d'Aro,5,21,do,Cala del Pi,0.55,candidate,has description; high-value type,,,Castell d'Aro,europe/spain/catalonia/platjadaro/castell_daro,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Platja_d%27Aro,candidate score 0.55 is below the 6.0 POI threshold
europe/belgium/ypres,Ypres,Ypres,12,15,see,Casemates (Kazematten),0.55,candidate,has description; high-value type,,,Ramparts Cemetery,europe/belgium/ypres/ramparts_cemetery,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ypres,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/andalucia/sanlcar,Sanlúcar de Barrameda,Sanlúcar de Barrameda,7,15,do,Día de la Caridad,0.55,candidate,has description; high-value type,,,Doñana Boat Trips,europe/spain/andalucia/sanlcar/donana_boat_trip,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sanl%C3%BAcar_de_Barrameda,candidate score 0.55 is below the 6.0 POI threshold
asia/india/karnataka/hampi,Hampi,Hampi,10,26,see,Anegundi,0.55,candidate,has description; high-value type,,,Matanga Hill,asia/india/karnataka/hampi/matanga_hill,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hampi,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangdong/qingyuan,Qingyuan,Qingyuan,5,20,do,Indigenous Tribes,0.55,candidate,has description; high-value type,,,Qingyuan Chicken Restaurants,asia/china/guangdong/qingyuan/qingyuan_chicken,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingyuan,candidate score 0.55 is below the 6.0 POI threshold
africa/kenya/westernkenya/kisumu,Kisumu,Kisumu,7,28,see,The Equator,0.55,candidate,has description; high-value type,,,Lake Victoria,africa/kenya/westernkenya/kisumu/lake_victoria,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kisumu,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,Albert Hall,0.55,candidate,has description; high-value type,,,Attic Gallery,europe/unitedkingdom/wales/swansea/atticgallery,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Swansea,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/kavala,Kavala,Kavala,14,95,do,"Jet skiing, water ski",0.55,candidate,has description; high-value type,,,Ancient Philippi,europe/greece/kavala/philippi,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kavala,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/canaryislands/elhierro,El Hierro,El Hierro,5,67,see,Frontera,0.55,candidate,has description; high-value type,,,Faro de Orchilla,europe/spain/canaryislands/elhierro/faro_de_orchilla,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/El_Hierro,candidate score 0.55 is below the 6.0 POI threshold
asia/indonesia/java/purwokerto,Purwokerto,Purwokerto,10,65,see,Kebumen,0.55,candidate,has description; high-value type,,,Baturraden,asia/indonesia/java/purwokerto/baturraden,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Purwokerto,candidate score 0.55 is below the 6.0 POI threshold
