world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
africa/ethiopia/bahardar,Bahir Dar,Bahir Dar,9,17,see,Hornbill trees,0.55,candidate,has description; high-value type,,,Blue Nile Falls,africa/ethiopia/bahardar/blue_nile_falls,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bahir_Dar,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/vladimir,Vladimir,Vladimir,4,75,do,Razgulyai Folklore Theater,0.55,candidate,has description; high-value type,,,Golden Gate (Zolotye Vorota),europe/russia/vladimir/golden_gate,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladimir,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,do,Arshan Resort,0.55,candidate,has description; high-value type,,,Angara Embankment,europe/russia/irkutsk/angara_embankment,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/virginia/charlottesville,Charlottesville,Charlottesville,11,94,do,Banff Mountain Film Festival,0.55,candidate,has description; high-value type,,,Paramount Theater,northamerica/unitedstates/virginia/charlottesville/paramount_theater,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Charlottesville,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/sabadell,Sabadell,Sabadell,10,29,do,Industrial route,0.55,candidate,has description; high-value type,,,Central Market,europe/spain/catalonia/sabadell/central_market,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sabadell,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Centre for Study and Preservation of Sangkhalok Kilns,0.55,candidate,has description; high-value type,,,Ramkhamhaeng National Museum,asia/thailand/sukhothai/ramkhamhaeng_national_museum,0.321,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai,candidate score 0.55 is below the 6.0 POI threshold
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Baghdad Clock,0.55,candidate,has description; high-value type,,,Abbasid Palace,asia/iraq/baghdad/abbasid_palace,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Antigo Colégio Sagrado Coração de Jesus,0.55,candidate,has description; high-value type,,,Basílica Nossa Senhora do Carmo,southamerica/brazil/campinas/basilica_nossa_senhora_do_carmo,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campinas,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/mindanaoisland/cagayandeoro,Cagayan de Oro,Cagayan de Oro,7,63,see,Cagayan de Oro Tourism Showhouse,0.55,candidate,has description; high-value type,,,Whitewater Rafting on the Cagayan River,asia/philippines/mindanaoisland/cagayandeoro/whitewater_rafting,0.344,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cagayan_de_Oro,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Figurentheaterfestival,0.55,candidate,has description; high-value type,,,Ehekarussell,europe/germany/bavaria/nuremberg/ehekarussell,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nuremberg,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Estonia,0.55,candidate,has description; high-value type,,,Stanislavsky,europe/russia/moscow/stanislavsky,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hubei/huanggang,Huanggang,Huanggang,4,29,see,Qichun County,0.55,candidate,has description; high-value type,,,Huangzhou Ancient City,asia/china/hubei/huanggang/huangzhou_ancient_city,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huanggang,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,see,Akron,0.55,candidate,has description; high-value type,,,Kent Co-op,northamerica/unitedstates/ohio/kent/kent_co_op,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/quebec/hull,Gatineau (Hull),Gatineau,4,33,do,Wonders of Sand,0.55,candidate,has description; high-value type,,,Canadian Museum of History,northamerica/canada/quebec/hull/canadian_museum_of_history,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gatineau,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,do,Teatro SESC Casa Amarela,0.55,candidate,has description; high-value type,,,Casa da Cultura,southamerica/brazil/recife/casa_da_cultura,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,BCA Center,0.55,candidate,has description; high-value type,,,"ECHO, Leahy Center for Lake Champlain",northamerica/unitedstates/vermont/burlington/echo_museum,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/thuringia/gera,Gera,Gera,4,25,see,Stadtapotheke,0.55,candidate,has description; high-value type,,,Botanischer Garten Gera,europe/germany/thuringia/gera/botanischer_garten,0.278,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gera,candidate score 0.55 is below the 6.0 POI threshold
africa/kenya/westernkenya/kisumu,Kisumu,Kisumu,7,28,do,Fishing,0.55,candidate,has description; high-value type,,,Hippo Point,africa/kenya/westernkenya/kisumu/hippo_point,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kisumu,candidate score 0.55 is below the 6.0 POI threshold
asia/malaysia/kuala_terengganu,Kuala Terengganu,Kuala Terengganu,14,13,see,Pulau Duyung,0.55,candidate,has description; high-value type,,,Duyong Island,asia/malaysia/kuala_terengganu/duyong_island,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Terengganu,candidate score 0.55 is below the 6.0 POI threshold
asia/indonesia/java/bandung,Bandung,Bandung,54,29,see,Putra,0.55,candidate,has description; high-value type,,,Curug Dago,asia/indonesia/java/bandung/curug_dago,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bandung,candidate score 0.55 is below the 6.0 POI threshold
africa/zambia/livingstone,Livingstone,Livingstone,4,18,do,Livingsone Performing Arts Foundation (LiPAF),0.55,candidate,has description; high-value type,,,Livingstone Museum,africa/zambia/livingstone/livingstone_museum,0.473,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Livingstone,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/villadeleyva,Villa de Leyva,Villa de Leyva,14,26,do,Raquira,0.55,candidate,has description; high-value type,,,La Terraza,southamerica/colombia/villadeleyva/la_terraza,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Villa_de_Leyva,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/andalucia/seville,Seville,Seville,18,48,do,Semana Santa,0.55,candidate,has description; high-value type,,,Santa Cruz,europe/spain/andalucia/seville/santa_cruz,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Seville,candidate score 0.55 is below the 6.0 POI threshold
northamerica/saintlucia/castries,Castries,Castries,14,5,see,Fond Bay Suites,0.55,candidate,has description; high-value type,,,La Toc Battery,northamerica/saintlucia/castries/la_toc_battery,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Castries,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/hotan,Hotan,Khotan,9,15,see,"Desert Vista ""Platform""",0.55,candidate,has description; high-value type,,,Jade Bazaar,asia/china/xinjiangprovince/hotan/jade_bazaar,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khotan,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/nagahama,Nagahama,Nagahama,9,20,see,Hachiman-gū Shrine,0.55,candidate,has description; high-value type,,,Nagahama Hachiman-gu,asia/japan/honshu/nagahama/nagahama_hachimangu,0.541,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nagahama,candidate score 0.55 is below the 6.0 POI threshold
asia/india/andhrapradesh/kurnool,Kurnool,Kurnool,6,9,see,Tungabhadra River Banks,0.55,candidate,has description; high-value type,,,Konda Reddy Fort,asia/india/andhrapradesh/kurnool/konda_reddy_fort,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kurnool,candidate score 0.55 is below the 6.0 POI threshold
europe/netherlands/amsterdam,Amsterdam,Amsterdam,153,66,see,The Lady of All Nations,0.55,candidate,has description; high-value type,,,Six Collection,europe/netherlands/amsterdam/six_collection,0.485,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Amsterdam,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/fortaleza,Fortaleza,Fortaleza,10,87,see,tourist police,0.55,candidate,has description; high-value type,,,Ponte Metálica (Ponte dos Ingleses),southamerica/brazil/fortaleza/ponte_metalica,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fortaleza,candidate score 0.55 is below the 6.0 POI threshold
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,Fazil Village Labyrinth,0.55,candidate,has description; high-value type,,,Eating Out,europe/azerbaijan/saki/eating_out,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,do,Teatro Armazém 14,0.55,candidate,has description; high-value type,,,Santo Antônio,southamerica/brazil/recife/santo_antonio,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/chetumal,Chetumal,Chetumal,7,36,see,Emergency,0.55,candidate,has description; high-value type,,,Mercado Lázaro Cárdenas,northamerica/mexico/chetumal/mercado_lazaro_cardenas,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chetumal,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/mariana,Mariana,Mariana,3,33,see,Mdo Lan House,0.55,candidate,has description; high-value type,,,Mina da Passagem,southamerica/brazil/mariana/mina_da_passagem,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mariana,candidate score 0.55 is below the 6.0 POI threshold
asia/india/tamilnadu/chennai,Chennai,Chennai,19,26,see,Russia,0.55,candidate,has description; high-value type,,,San Thome Basilica,asia/india/tamilnadu/chennai/san_thome_basilica,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chennai,candidate score 0.55 is below the 6.0 POI threshold
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,R-9,0.55,candidate,has description; high-value type,,,Ruta de las Flores,northamerica/elsalvador/santaana/ruta_de_las_flores,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29,candidate score 0.55 is below the 6.0 POI threshold
