world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,M. Fuzuli Adina Pk,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.59 is below the 6.0 POI threshold
africa/malawi/capemaclear,Cape Maclear,Cape Maclear,6,7,do,Mgoza Lodge,0.59,candidate,has description; high-value type; strong travel term,,,Chembe Village,africa/malawi/capemaclear/chembe_village,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cape_Maclear,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/lowersaxony/wolfenbuettel,Wolfenbüttel,Wolfenbüttel,7,11,do,The Elm-Lappwald Nature Park,0.59,candidate,has description; high-value type; strong travel term,,,Stadtmarkt,europe/germany/lowersaxony/wolfenbuettel/stadtmarkt,0.235,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wolfenb%C3%BCttel,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/maine/bar_harbor,Bar Harbor,Bar Harbor,17,78,do,North Ridge Trail,0.59,candidate,has description; high-value type; strong travel term,,,Side Street Cafe,northamerica/unitedstates/maine/bar_harbor/sides_pier,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bar_Harbor,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/larissa,Larissa,Larissa,11,21,do,Alkazar Park,0.59,candidate,has description; high-value type; strong travel term,,,Old Bazaar Tavernas,europe/greece/larissa/old_bazaar_tavernas,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Larissa,candidate score 0.59 is below the 6.0 POI threshold
europe/russia/ulan_ude,Ulan Ude,Ulan Ude,13,18,do,Puppet Theatre Ulger,0.59,candidate,has description; high-value type; strong travel term,,,Buryat Opera and Ballet Theatre,europe/russia/ulan_ude/buryat_opera_house,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ulan_Ude,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/andalucia/nerja,Nerja,Nerja,13,35,see,Carabeo Beach,0.59,candidate,has description; high-value type; strong travel term,,,Caves of Nerja,europe/spain/andalucia/nerja/caves_of_nerja,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nerja,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,do,Rexius Trail,0.59,candidate,has description; high-value type; strong travel term,,,Pre's Rock,northamerica/unitedstates/oregon/eugene/pres_rock,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Eugene,candidate score 0.59 is below the 6.0 POI threshold
europe/romania/piatraneamt,Piatra Neamț,Piatra Neamț,6,38,see,Biserica Buna Vestire,0.59,candidate,has description; high-value type; strong travel term,,,Neamț Monastery,europe/romania/piatraneamt/neamt_monastery,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Piatra_Neam%C8%9B,candidate score 0.59 is below the 6.0 POI threshold
northamerica/canada/ontario/niagara_on_the_lake,Niagara-on-the-Lake,Niagara-on-the-Lake,6,58,do,Studio Theatre,0.59,candidate,has description; high-value type; strong travel term,,,Niagara Apothecary,northamerica/canada/ontario/niagara_on_the_lake/niagara_apothecary,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Niagara-on-the-Lake,candidate score 0.59 is below the 6.0 POI threshold
asia/india/karnataka/shimoga,Shimoga,Shimoga,9,19,see,Tyavarekoppa Lion and Tiger Safari,0.59,candidate,has description; high-value type; strong travel term,,,Mandagadde Bird Sanctuary,asia/india/karnataka/shimoga/mandagadde_bird_sanctuary,0.373,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shimoga,candidate score 0.59 is below the 6.0 POI threshold
africa/burkinafaso/ouagadougou,Ouagadougou,Ouagadougou,20,21,see,Garden of Ouaga-Loudun Friendship,0.59,candidate,has description; high-value type; strong travel term,,,Jardin de l'Amitié,africa/burkinafaso/ouagadougou/jardin_amitie,0.383,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ouagadougou,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/abruzzo/chieti,Chieti,Chieti,7,22,see,Sant'Agostino church,0.59,candidate,has description; high-value type; strong travel term,,,Roman Theatre,europe/italy/abruzzo/chieti/roman_theatre,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chieti,candidate score 0.59 is below the 6.0 POI threshold
northamerica/canada/princeedwardisland/charlottetown,Charlottetown,Charlottetown,14,43,do,Peake's Wharf Harbour and Seal Watching Cruise,0.59,candidate,has description; high-value type; strong travel term,,,Peake's Wharf,northamerica/canada/princeedwardisland/charlottetown/peakes_wharf,0.441,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Charlottetown,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/northernspain/aviles,Avilés,Avilés,4,13,see,Old St Thomas,0.59,candidate,has description; high-value type; strong travel term,,,Palacio Valdés Theatre,europe/spain/northernspain/aviles/palacio_valdes_theatre,0.514,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Avil%C3%A9s,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,do,Pinnacle Mountain Rendezvous,0.59,candidate,has description; high-value type; strong travel term,,,River Market District,northamerica/unitedstates/arkansas/littlerock/river_market_district,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Little_Rock,candidate score 0.59 is below the 6.0 POI threshold
asia/afghanistan/mazarisharif,Mazar-i-Sharif,Mazar-e Sharif,4,9,see,Takht-e Rustam,0.59,candidate,has description; high-value type; strong travel term,,,Balkh – Mother of Cities,asia/afghanistan/mazarisharif/balkh_old_city,0.278,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mazar-e_Sharif,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/maine/bar_harbor,Bar Harbor,Bar Harbor,17,78,do,The Precipice Trail,0.59,candidate,has description; high-value type; strong travel term,,,Side Street Cafe,northamerica/unitedstates/maine/bar_harbor/sides_pier,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bar_Harbor,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/newjersey/longbeachisland,Long Beach Island,Long Beach Island,0,68,do,The Beach,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Long_Beach_Island,candidate score 0.59 is below the 6.0 POI threshold
asia/iraq/samarra,Samarra,Samarra,5,6,see,Qasr al-'Ashiq,0.59,candidate,has description; high-value type; strong travel term,,,Abu Dulaf Mosque,asia/iraq/samarra/abu_dulaf_mosque,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Samarra,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/oklahoma/enid,Enid,Enid,4,9,see,Government Springs Park,0.59,candidate,has description; high-value type; strong travel term,,,Enid Symphony Center,northamerica/unitedstates/oklahoma/enid/enid_symphony_center,0.326,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Enid,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,do,Fisherman's Memorial State Park,0.59,candidate,has description; high-value type; strong travel term,,,Scarborough State Beach,northamerica/unitedstates/rhodeisland/narragansett/scarborough_state_beach,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Narragansett,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,Mt. Zion Baptist Church,0.59,candidate,has description; high-value type; strong travel term,,,River Arts District,northamerica/unitedstates/northcarolina/asheville/river_arts_district,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Asheville,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/bavaria/passau,Passau,Passau,7,37,see,Regensburg,0.59,candidate,has description; high-value type; strong travel term,,,Neue Residenz (Episcopal Palace),europe/germany/bavaria/passau/neue_residenz,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Passau,candidate score 0.59 is below the 6.0 POI threshold
europe/bosniaandherzegovina/trebinje,Trebinje,Trebinje,10,8,do,River Beach,0.59,candidate,has description; high-value type; strong travel term,,,Arslanagić (Perović) Bridge,europe/bosniaandherzegovina/trebinje/arslanagic_bridge,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Trebinje,candidate score 0.59 is below the 6.0 POI threshold
europe/slovenia/ptuj,Ptuj,Ptuj,7,12,see,Mithras Shrine III,0.59,candidate,has description; high-value type; strong travel term,,,Ptuj Wine Cellars,europe/slovenia/ptuj/ptuj_wine_cellars,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ptuj,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/tennessee/chattanooga,Chattanooga,Chattanooga,20,86,see,River Gallery Sculpture Garden,0.59,candidate,has description; high-value type; strong travel term,,,Sculpture Fields at Montague Park,northamerica/unitedstates/tennessee/chattanooga/sculpture_fields,0.413,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chattanooga,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/galicia/vigo,Vigo,Vigo,15,32,see,Castillo de San Sebastián,0.59,candidate,has description; high-value type; strong travel term,,,Concatedral de Santa María,europe/spain/galicia/vigo/concatedral_santa_maria,0.465,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vigo,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/maryland/cumberland,Cumberland,Cumberland (Maryland),12,22,do,Friday after Five,0.59,candidate,has description; high-value type; strong travel term,,,Rocky Gap State Park,northamerica/unitedstates/maryland/cumberland/rocky_gap,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cumberland_%28Maryland%29,candidate score 0.59 is below the 6.0 POI threshold
asia/india/karnataka/shimoga,Shimoga,Shimoga,9,19,see,Nagara,0.59,candidate,has description; high-value type; strong travel term,,,Tunga Anicut,asia/india/karnataka/shimoga/tunga_anicut,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shimoga,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Temple of the Warriors,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.59 is below the 6.0 POI threshold
northamerica/thecaribbean/cuba/santaclara,Santa Clara,Santa Clara (Cuba),7,5,see,Mausoleum for the fallen of the Revolution,0.59,candidate,has description; high-value type; strong travel term,,,Che Guevara Mausoleum,northamerica/thecaribbean/cuba/santaclara/che_guevara_mausoleum,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Clara_%28Cuba%29,candidate score 0.59 is below the 6.0 POI threshold
southamerica/brazil/guaruja,Guarujá,Guarujá,4,22,see,Acqua Mundo Theme Park,0.59,candidate,has description; high-value type; strong travel term,,,Forte dos Andradas,southamerica/brazil/guaruja/forte_dos_andradas,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guaruj%C3%A1,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/newjersey/atlanticcity,Atlantic City,Atlantic City,5,36,do,Beach,0.59,candidate,has description; high-value type; strong travel term,,,The Boardwalk,northamerica/unitedstates/newjersey/atlanticcity/the_boardwalk,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atlantic_City,candidate score 0.59 is below the 6.0 POI threshold
europe/norway/molde,Molde,Molde,5,48,see,The green corridor,0.59,candidate,has description; high-value type; strong travel term,,,Varden Viewpoint,europe/norway/molde/varden_viewpoint,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Molde,candidate score 0.59 is below the 6.0 POI threshold
