world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,The Mini Golf Pub,0.55,candidate,has description; high-value type,,,Mini Siam,asia/thailand/pattaya/mini_siam,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/kratie,Kratie,Kratie,4,22,see,Concrete Animals,0.55,candidate,has description; high-value type,,,Wat Roka Kandal,asia/cambodia/kratie/wat_roka_kandal,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kratie,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/kamianetstpodilskyi,Kamianets-Podilskyi,Kamianets-Podilskyi,6,32,see,Monastery of Vyzytok,0.55,candidate,has description; high-value type,,,Smotrych Canyon,europe/ukraine/kamianetstpodilskyi/smotrych_canyon,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kamianets-Podilskyi,candidate score 0.55 is below the 6.0 POI threshold
asia/turkmenistan/turkmenbashi,Turkmenbashi,Turkmenbashi,3,9,do,swimming at Awaza,0.55,candidate,has description; high-value type,,,Caspian Coastline,asia/turkmenistan/turkmenbashi/caspian_coast,0.235,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Turkmenbashi,candidate score 0.55 is below the 6.0 POI threshold
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,do,Journée de la femme,0.55,candidate,has description; high-value type,,,La Fourchette,africa/cameroon/yaound/la_fourchette,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yaound%C3%A9,candidate score 0.55 is below the 6.0 POI threshold
europe/azerbaijan/saki,Sheki,Sheki,1,30,do,Abduxaliq Hamam,0.55,candidate,has description; high-value type,,,Eating Out,europe/azerbaijan/saki/eating_out,0.24,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.55 is below the 6.0 POI threshold
southamerica/bolivia/santacruz,Santa Cruz,"Santa Cruz (city, Bolivia)",18,27,do,Bowling,0.55,candidate,has description; high-value type,,,Biocentro Güembé,southamerica/bolivia/santacruz/biocentro_guembe,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Cruz_%28city%2C_Bolivia%29,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Ostasiatika-Collection Ehrich,0.55,candidate,has description; high-value type,,,Stadtpark Bochum,europe/germany/northrhinewestphalia/bochum/stadtpark_bochum,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bochum,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/washingtondc,Washington D.C.,"Washington, D.C.",48,211,see,Consular Wing,0.55,candidate,has description; high-value type,,,National Archives,northamerica/unitedstates/washingtondc/national_archives,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Washington%2C_D.C.,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/alappuzha,Alappuzha,Alappuzha,7,24,do,Village visits by ferry,0.55,candidate,has description; high-value type,,,Nehru Trophy Boat Race,asia/india/kerala/alappuzha/nehru_trophy_boat_race,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Alappuzha,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/kaga,Kaga,Kaga,8,27,do,Guzuyaki Festival,0.55,candidate,has description; high-value type,,,Shioya Beach,asia/japan/honshu/kaga/shioya_beach,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaga,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/chantaburi/chanta_buri,Chantaburi,Chanthaburi,14,20,see,"Hat Khung Wiman, Hat Khung Kraben, Hat Laem Sadet, and Hat Chao Lao",0.55,candidate,has description; high-value type,,,Baan Luang Rajamaitri Cafe,asia/thailand/chantaburi/chanta_buri/baan_luang_rajamaitri,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi,candidate score 0.55 is below the 6.0 POI threshold
asia/india/uttaranchal/mussoorie,Mussoorie,Mussoorie,13,47,see,Airtel,0.55,candidate,has description; high-value type,,,Savoy Hotel,asia/india/uttaranchal/mussoorie/savoy_hotel,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mussoorie,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Bundespolizei Hauptbahnhof,0.55,candidate,has description; high-value type,,,Altes Rathaus,europe/germany/saxony/leipzig/altesrathaus,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig,candidate score 0.55 is below the 6.0 POI threshold
africa/southafrica/capetown,Cape Town,Cape Town,95,187,see,Mugg&Bean,0.55,candidate,has description; high-value type,,,The Gin Bar,africa/southafrica/capetown/gin_bar,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cape_Town,candidate score 0.55 is below the 6.0 POI threshold
europe/lithuania/nemunas_river_regi/nida_curonian_spit,Nida,Nida,7,18,see,Old cemetery of the Nida,0.55,candidate,has description; high-value type,,,Nida Ethnographic Cemetery,europe/lithuania/nemunas_river_regi/nida_curonian_spit/nida_ethnographic_cemetery,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nida,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hebei/chengde,Chengde,Chengde,9,11,do,Ice Skating,0.55,candidate,has description; high-value type,,,Shuxiang Temple,asia/china/hebei/chengde/shuxiang_temple,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chengde,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/udonthani,Udon Thani,Udon Thani,10,41,see,Ban Nakha,0.55,candidate,has description; high-value type,,,Wat Matchimawat (Wat Klang),asia/thailand/udonthani/wat_matchimawat,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Udon_Thani,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/salento,Salento,Salento,5,6,do,CicloSalento,0.55,candidate,has description; high-value type,,,Salento Viewpoint (Alto de la Cruz),southamerica/colombia/salento/salento_viewpoint,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salento,candidate score 0.55 is below the 6.0 POI threshold
europe/serbia/nis,Niš,Niš,12,37,see,"Bosnia and Herzegovina, Montenegro or Croatia",0.55,candidate,has description; high-value type,,,Nišava Promenade,europe/serbia/nis/nishava_promenade,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ni%C5%A1,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/vladimir,Vladimir,Vladimir,4,75,see,House of the Temperance Association,0.55,candidate,has description; high-value type,,,Cathedral of Saint Demetrius,europe/russia/vladimir/cathedral_saint_demetrius,0.407,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladimir,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/elche,Elche,Elche,8,42,do,Mostra de Teatro de Enseñanzas Medias,0.55,candidate,has description; high-value type,,,Misteri d'Elx,europe/spain/spanishcostas/elche/misteri_delx,0.318,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Elche,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/hotan,Hotan,Khotan,9,15,do,Desert Camp and Camel Trek,0.55,candidate,has description; high-value type,,,Hotan Cultural Museum,asia/china/xinjiangprovince/hotan/hotan_cultural_museum,0.383,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khotan,candidate score 0.55 is below the 6.0 POI threshold
europe/czechrepublic/karlovyvary,Karlovy Vary,Karlovy Vary,13,32,see,Karlovy Vary Folklore Festival,0.55,candidate,has description; high-value type,,,Karl Marx Monument,europe/czechrepublic/karlovyvary/karl_marx_monument,0.458,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karlovy_Vary,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Ao Ton Sai,0.55,candidate,has description; high-value type,,,Tonsai Village,asia/thailand/kohphiphi/tonsai_village,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi,candidate score 0.55 is below the 6.0 POI threshold
asia/india/uttaranchal/mussoorie,Mussoorie,Mussoorie,13,47,see,Banaras Cyber Cafe,0.55,candidate,has description; high-value type,,,Chaar Dukan,asia/india/uttaranchal/mussoorie/chaar_dukan,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mussoorie,candidate score 0.55 is below the 6.0 POI threshold
