world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
australiaandpacific/australia/victoria/ballarat,Ballarat,Ballarat,17,43,see,Blood on the Southern Cross,0.55,candidate,has description; high-value type,,,L'Espresso,australiaandpacific/australia/victoria/ballarat/lattilatti,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ballarat,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/corumb,Corumbá,Corumbá,4,27,see,St. Philip Lookout,0.55,candidate,has description; high-value type,,,Museu de História do Pantanal,southamerica/brazil/corumb/museu_historia_pantanal,0.326,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Corumb%C3%A1,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Meilamu Paya,0.55,candidate,has description; high-value type,,,Sule Pagoda,asia/myanmar/yangon/sule_pagoda,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,candidate score 0.55 is below the 6.0 POI threshold
africa/niger/niamey,Niamey,Niamey,9,52,do,Stade de la Lutte Traditionelle,0.55,candidate,has description; high-value type,,,Musée National Boubou Hama,africa/niger/niamey/national_museum,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Niamey,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,The Great Balloon Race,0.55,candidate,has description; high-value type,,,Cave Hill Cemetery,northamerica/unitedstates/kentucky/louisville/cave_hill_cemetery,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Louisville,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/orangecounty/huntingtonbeach,Huntington Beach,Huntington Beach,19,33,do,Relaxing,0.55,candidate,has description; high-value type,,,Main Street (Downtown),northamerica/unitedstates/california/orangecounty/huntingtonbeach/main_street,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huntington_Beach,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/idaho/sunvalley,Sun Valley,Sun Valley (Idaho),13,34,do,Fishing,0.55,candidate,has description; high-value type,,,Ernest Hemingway's Grave,northamerica/unitedstates/idaho/sunvalley/hemingway_grave,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sun_Valley_%28Idaho%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/southdakota/madison,Madison,Madison (South Dakota),3,14,do,Cherry Lanes,0.55,candidate,has description; high-value type,,,Prairie Village,northamerica/unitedstates/southdakota/madison/prairie_village,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Madison_%28South_Dakota%29,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangdong/qingyuan,Qingyuan,Qingyuan,5,20,see,Three Gorges of Huangchuan,0.55,candidate,has description; high-value type,,,Qingyuan Chicken Restaurants,asia/china/guangdong/qingyuan/qingyuan_chicken,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingyuan,candidate score 0.55 is below the 6.0 POI threshold
europe/switzerland/stmoritz,St. Moritz,St. Moritz,13,26,do,Skiing and snowboarding,0.55,candidate,has description; high-value type,,,Lake St. Moritz,europe/switzerland/stmoritz/lake_st_moritz,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/St._Moritz,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/phnompenh,Phnom Penh,Phnom Penh,50,79,see,Cybercity 8,0.55,candidate,has description; high-value type,,,Central Market (Phsar Thmei),asia/cambodia/phnompenh/central_market,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phnom_Penh,candidate score 0.55 is below the 6.0 POI threshold
africa/libya/tripoli,Tripoli,Tripoli,12,22,do,Darghouth Turkish Bath,0.55,candidate,has description; high-value type,,,Sidi Darghut Mosque,africa/libya/tripoli/sidi_darghut_mosque,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tripoli,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/ceuta,Ceuta,Ceuta,11,29,see,House of the Dragons,0.55,candidate,has description; high-value type,,,Museo de Ceuta,europe/spain/ceuta/museo_ceuta,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ceuta,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/frenchpolynesia/borabora,Bora Bora,Bora Bora,15,13,do,Shark & Ray Snorkel Safari,0.55,candidate,has description; high-value type,,,Lagoon Snorkelling and Diving,australiaandpacific/frenchpolynesia/borabora/lagoon_snorkeling,0.386,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bora_Bora,candidate score 0.55 is below the 6.0 POI threshold
africa/tunisia/tozeur,Tozeur,Tozeur,5,13,see,Mides,0.55,candidate,has description; high-value type,,,Tamerza and Chebika Oases,africa/tunisia/tozeur/tamerza_chebika,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tozeur,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/sihanoukville,Sihanoukville,Sihanoukville,15,27,do,Scuba Diving,0.55,candidate,has description; high-value type,,,Koh Rong,asia/cambodia/sihanoukville/koh_rong,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sihanoukville,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/denia,Dénia,Dénia,3,33,do,Falles,0.55,candidate,has description; high-value type,,,Dénia Castle,europe/spain/spanishcostas/denia/denia_castle,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/D%C3%A9nia,candidate score 0.55 is below the 6.0 POI threshold
asia/indonesia/java/yogyakarta,Yogyakarta,Yogyakarta,16,99,see,Indraloka Home Stay,0.55,candidate,has description; high-value type,,,Village Life Tours,asia/indonesia/java/yogyakarta/village_life_tour,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yogyakarta,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,do,The Blessing of the Fleet,0.55,candidate,has description; high-value type,,,George's of Galilee,northamerica/unitedstates/rhodeisland/narragansett/georges_of_galilee,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Narragansett,candidate score 0.55 is below the 6.0 POI threshold
northamerica/honduras/tegucigalpa,Tegucigalpa,Tegucigalpa,6,30,do,Karaoke,0.55,candidate,has description; high-value type,,,Parque La Leona,northamerica/honduras/tegucigalpa/parque_la_leona,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tegucigalpa,candidate score 0.55 is below the 6.0 POI threshold
asia/china/jiangxi/wuyuan,Wuyuan,Wuyuan,7,11,see,Jiangwan,0.55,candidate,has description; high-value type,,,Likeng Village,asia/china/jiangxi/wuyuan/likeng_village,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wuyuan,candidate score 0.55 is below the 6.0 POI threshold
asia/china/liaoning/fushun,Fushun,Fushun,6,29,see,Xiahu Scenic Area,0.55,candidate,has description; high-value type,,,Dahuofang Reservoir,asia/china/liaoning/fushun/dahuofang_reservoir,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fushun,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,Kentucky Oaks,0.55,candidate,has description; high-value type,,,Whiskey Row,northamerica/unitedstates/kentucky/louisville/whiskey_row,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Louisville,candidate score 0.55 is below the 6.0 POI threshold
europe/albania/tirana,Tirana,Tirana,52,117,see,ABC Family Health Centre,0.55,candidate,has description; high-value type,,,Toptani Shopping Centre,europe/albania/tirana/toptani_shopping,0.383,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tirana,candidate score 0.55 is below the 6.0 POI threshold
europe/netherlands/gouda,Gouda,Gouda,6,83,do,Gouda Bij Kaarslicht,0.55,candidate,has description; high-value type,,,Gouda Town Hall (Stadhuis),europe/netherlands/gouda/stadhuis,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gouda,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/taxco,Taxco,Taxco,6,8,see,The Parroquia de Santa Prisca y San Sebastían,0.55,candidate,has description; high-value type,,,Church of Santa Prisca,northamerica/mexico/taxco/santa_prisca,0.491,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taxco,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/garmischpartenkirchen,Garmisch-Partenkirchen,Garmisch-Partenkirchen,1,19,do,Hollental-hutte,0.55,candidate,has description; high-value type,,,Eating Out,europe/germany/bavaria/garmischpartenkirchen/eating_out,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Garmisch-Partenkirchen,candidate score 0.55 is below the 6.0 POI threshold
asia/india/bihar/bhagalpur,Bhagalpur,Bhagalpur,5,11,see,The Tomb of Suja,0.55,candidate,has description; high-value type,,,Vikramshila Gangetic Dolphin Sanctuary,asia/india/bihar/bhagalpur/vikramshila_dolphin_sanctuary,0.24,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bhagalpur,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/yucatan/chichen_itza,Chichen Itza,Chichen Itza,0,27,see,High Priest's Grave,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/villadeleyva,Villa de Leyva,Villa de Leyva,14,26,do,Luis Alberto Acuña,0.55,candidate,has description; high-value type,,,Pastelería Francesa,southamerica/colombia/villadeleyva/pasteleria_francesa,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Villa_de_Leyva,candidate score 0.55 is below the 6.0 POI threshold
europe/slovenia/bled,Bled,Bled,10,30,do,Summer tobogganing,0.55,candidate,has description; high-value type,,,Straža Hill,europe/slovenia/bled/straza_hill,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bled,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/natal,Natal,Natal,15,42,see,Ponte Newton Navarro,0.55,candidate,has description; high-value type,,,Catedral Metropolitana de Natal,southamerica/brazil/natal/catedral_de_natal,0.458,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Natal,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/scotland/dundee,Dundee,Dundee,15,50,do,The Law,0.55,candidate,has coordinates; high-value type,56.47,2.9879,Dundee Law,europe/unitedkingdom/scotland/dundee/dundee_law,0.462,366.86,365.886,needs_external_source; far_from_parent,,https://en.wikivoyage.org/wiki/Dundee,candidate score 0.55 is below the 6.0 POI threshold
