world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/italy/campania/pompeii,Pompeii,Pompeii,10,17,see,Basilica,0.55,candidate,has description; high-value type,,,Amphitheatre,europe/italy/campania/pompeii/amphitheatre,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pompeii,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/kaga,Kaga,Kaga,8,27,do,Jumangoku Festival,0.55,candidate,has description; high-value type,,,Katayamazu Onsen,asia/japan/honshu/kaga/katayamazu_onsen,0.294,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaga,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangxi/xingping,Xingping,Xingping,4,11,do,Li River Boat Trip,0.55,candidate,has description; high-value type,,,Yangdi to Xingping River Walk,asia/china/guangxi/xingping/yangdi_xingping_hike,0.383,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xingping,candidate score 0.55 is below the 6.0 POI threshold
europe/sweden/vnersborg,Vänersborg,Vänersborg,10,8,do,Brinkebergskulle slussar,0.55,candidate,has description; high-value type,,,Hunneberg,europe/sweden/vnersborg/hunneberg,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/V%C3%A4nersborg,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Horse and Carriage,0.55,candidate,has description; high-value type,,,Shwesandaw Pagoda,asia/myanmar/bagan/shwesandaw_pagoda,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bagan,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/negrosisland/silay,Silay,Silay,10,17,see,Silay Public Plaza,0.55,candidate,has description; high-value type,,,Silay Native Sweets and Delicacies,asia/philippines/negrosisland/silay/silay_native_sweets,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Silay,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/yucatan/campeche_campeche,Campeche,Campeche,10,22,see,Puerta del Mar,0.55,candidate,has description; high-value type,,,Fuerte de San Miguel,northamerica/mexico/yucatan/campeche_campeche/fuerte_de_san_miguel,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campeche,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/paderborn,Paderborn,Paderborn,7,20,do,Kulturwerkstatt,0.55,candidate,has description; high-value type,,,Libori Festival,europe/germany/northrhinewestphalia/paderborn/libori_festival,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Paderborn,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/wales/llangollen,Llangollen,Llangollen,5,16,do,Canoeing,0.55,candidate,has description; high-value type,,,Castell Dinas Brân,europe/unitedkingdom/wales/llangollen/castell_dinas_bran,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Llangollen,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/kanchanaburi,Kanchanaburi,Kanchanaburi,7,41,do,Rest & Relax Massage,0.55,candidate,has description; high-value type,,,JEATH War Museum,asia/thailand/kanchanaburi/jeathwarmuseum,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kanchanaburi,candidate score 0.55 is below the 6.0 POI threshold
europe/belgium/diksmuide,Diksmuide,Diksmuide,6,6,see,The Town Hall,0.55,candidate,has description; high-value type,,,Trench of Death (Dodengang),europe/belgium/diksmuide/trench_of_death,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Diksmuide,candidate score 0.55 is below the 6.0 POI threshold
asia/india/uttarpradesh/rishikesh,Rishikesh,Rishikesh,7,26,see,Patna Waterfalls,0.55,candidate,has description; high-value type,,,White-Water Rafting,asia/india/uttarpradesh/rishikesh/white_water_rafting,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rishikesh,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/birmingham_and_west_midlands/warwick,Warwick,Warwick (England),11,13,see,The Great Hall,0.55,candidate,has description; high-value type,,,Lord Leycester Hospital,europe/unitedkingdom/england/birmingham_and_west_midlands/warwick/lord_leycester_hospital,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Warwick_%28England%29,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/szeged,Szeged,Szeged,7,61,see,Monuments of Lechner square,0.55,candidate,has description; high-value type,,,Dóm Square,europe/hungary/szeged/dom_square,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Szeged,candidate score 0.55 is below the 6.0 POI threshold
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,see,Bhimeswar Dham,0.55,candidate,has description; high-value type,,,Sukreswar Temple,asia/india/assam/guwahati/sukreswar_temple,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati,candidate score 0.55 is below the 6.0 POI threshold
asia/china/heilongjiang/heihe,Heihe,Heihe,3,11,do,Swimming,0.55,candidate,has description; high-value type,,,Amur River and the Russian Shore,asia/china/heilongjiang/heihe/amur_river_crossing,0.167,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Heihe,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,do,Karaoke Box,0.55,candidate,has description; high-value type,,,Sankeien Garden,asia/japan/honshu/yokohama/sankeien_garden,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yokohama,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/bonito,Bonito,Bonito (Mato Grosso do Sul),7,7,see,Sucuri River,0.55,candidate,has description; high-value type,,,Churrascarias,southamerica/brazil/bonito/churrascarias,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bonito_%28Mato_Grosso_do_Sul%29,candidate score 0.55 is below the 6.0 POI threshold
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,do,Paintball,0.55,candidate,has description; high-value type,,,Xichan Temple,asia/china/fujianprovince/fuzhou/xichan_temple,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fuzhou,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/blumenal,Blumenau,Blumenau,6,16,see,Lauro Müller Bridge,0.55,candidate,has description; high-value type,,,Fritz Müller Museum,southamerica/brazil/blumenal/fritz_muller_museum,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Blumenau,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/pattaya,Pattaya,Pattaya,9,124,see,PAWS Post Service,0.55,candidate,has description; high-value type,,,Wong Amat Beach,asia/thailand/pattaya/wong_amat_beach,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/shikoku/kotohira,Kotohira,Kotohira,4,12,see,Asahi Shrine,0.55,candidate,has description; high-value type,,,Saya-bashi,asia/japan/shikoku/kotohira/saya_bashi,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kotohira,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Starlight Cinemas,0.55,candidate,has description; high-value type,,,Trine's Cafe #3,northamerica/unitedstates/california/sanjose/trines_cafe_3,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Jose_%28California%29,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/niigata,Niigata,Niigata,7,24,do,Shinano River Cruise,0.55,candidate,has description; high-value type,,,Niigata Rice Cracker Museum (Senbei Okoku),asia/japan/honshu/niigata/niigata_rice_cracker_museum,0.511,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Niigata,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guizhou/libo,Libo County,Libo County,4,27,see,"Lake Biyori in Turquoise Hill, Xinjiang",0.55,candidate,has description; high-value type,,,Maolan National Nature Reserve,asia/china/guizhou/libo/maolan_nature_reserve,0.265,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Libo_County,candidate score 0.55 is below the 6.0 POI threshold
europe/macedonia/strumica,Strumica,Strumica,6,34,do,Pandev Sports Center,0.55,candidate,has description; high-value type,,,Vodoča Monastery,europe/macedonia/strumica/vodoca_monastery,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Strumica,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Klinger Raubritter gate,0.55,candidate,has description; high-value type,,,Branitz Palace,europe/germany/brandenburg/cottbus/branitz_palace,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cottbus,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/sopron,Sopron,Sopron,9,234,do,All Star Bowling,0.55,candidate,has description; high-value type,,,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sopron,candidate score 0.55 is below the 6.0 POI threshold
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,do,20 mai,0.55,candidate,has description; high-value type,,,Musée de la Blackitude,africa/cameroon/yaound/blackitude_museum,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yaound%C3%A9,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guizhou/anshun,Anshun,Anshun,4,23,see,Huangguoshu Galaxy Holiday Inn,0.55,candidate,has description; high-value type,,,Anshun Old Town Market,asia/china/guizhou/anshun/anshun_old_town,0.423,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anshun,candidate score 0.55 is below the 6.0 POI threshold
africa/egypt/aswan,Aswan,Aswan,15,35,do,Tea with the local shopkeepers,0.55,candidate,has description; high-value type,,,Kitchener's Island (El Nabatat),africa/egypt/aswan/kitcheners_island,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aswan,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Ludwig Press Shop,0.55,candidate,has description; high-value type,,,Zeitgeschichtliches Forum,europe/germany/saxony/leipzig/zeitgeschichtliches_forum,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/phuket/patong,Patong,Patong,14,44,do,Cocktails and Dreams,0.55,candidate,has description; high-value type,,,Tri Trang Beach,asia/thailand/phuket/patong/tri_trang_beach,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Patong,candidate score 0.55 is below the 6.0 POI threshold
southamerica/bolivia/salar_of_uyuni,Salar de Uyuni,Salar de Uyuni,0,24,see,Viscacha Area,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salar_de_Uyuni,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/veracruz,Veracruz,Veracruz,11,44,do,Carnival,0.55,candidate,has description; high-value type,,,Acuario de Veracruz,northamerica/mexico/veracruz/acuario_veracruz,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Veracruz,candidate score 0.55 is below the 6.0 POI threshold
asia/unitedarabemirates/abudhabi,Abu Dhabi,Abu Dhabi,53,106,see,UAE Pavilion,0.55,candidate,has description; high-value type,,,Qasr Al Hosn,asia/unitedarabemirates/abudhabi/qasr_al_hosn,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Abu_Dhabi,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Day Shrines,0.55,candidate,has description; high-value type,,,Kandawgyi Lake,asia/myanmar/yangon/kandawgyi_lake,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,candidate score 0.55 is below the 6.0 POI threshold
asia/china/jiangxi/nanchang,Nanchang,Nanchang,56,25,see,Wanfangyuan,0.55,candidate,has description; high-value type,,,Qingyunpu,asia/china/jiangxi/nanchang/qingyunpu,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nanchang,candidate score 0.55 is below the 6.0 POI threshold
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,do,Walk in traditional architecture street,0.55,candidate,has description; high-value type,,,Fujian Science and Technology Museum,asia/china/fujianprovince/fuzhou/fujian_science_and_technology_museum,0.347,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fuzhou,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester,Chester,Chester,5,39,see,Roman Gardens,0.55,candidate,has description; high-value type,,,Roman Amphitheatre,europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester/roman_amphitheatre,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chester,candidate score 0.55 is below the 6.0 POI threshold
