world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,do,Bullfighting,0.55,candidate,has description; high-value type,,,Plaza de la Virgen,europe/spain/spanishcostas/valencia/plaza_de_la_virgen,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Valencia,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/songkhla,Songkhla,Songkhla,4,25,see,Khao Tang Kuan,0.55,candidate,has description; high-value type,,,Khao Noi,asia/thailand/songkhla/khaonoi,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Songkhla,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/baguio,Baguio,Baguio,14,55,see,Elegant Washers Laundry Shop,0.55,candidate,has description; high-value type,,,Tam-awan Village,asia/philippines/baguio/tam_awan_village,0.318,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baguio,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/cornwall/bude,Bude,Bude,8,10,see,The cliffs,0.55,candidate,has description; high-value type,,,Crooklets Beach,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/cornwall/bude/crooklets_beach,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bude,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/munnar,Munnar,Munnar,5,54,do,Elephant Arrival Spot,0.55,candidate,has description; high-value type,,,Anamudi Peak,asia/india/kerala/munnar/anamudi_peak,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Munnar,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Colégio Culto a Ciência,0.55,candidate,has description; high-value type,,,Mercadão de Campinas,southamerica/brazil/campinas/mercadao_campinas,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campinas,candidate score 0.55 is below the 6.0 POI threshold
europe/luxembourg/echternach,Echternach,Echternach,10,20,do,Cycling,0.55,candidate,has description; high-value type,,,Wolf Gorge (Wollefsschlucht),europe/luxembourg/echternach/wolf_gorge,0.235,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Echternach,candidate score 0.55 is below the 6.0 POI threshold
europe/croatia/karlovac,Karlovac,Karlovac,13,14,do,Swimming / Rafting / Kayaking,0.55,candidate,has description; high-value type,,,Restoran Korana,europe/croatia/karlovac/restoran_korana_srakovcic,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karlovac,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,National Cycle Route 47,0.55,candidate,has description; high-value type,,,National Waterfront Museum,europe/unitedkingdom/wales/swansea/national_waterfront_museum,0.49,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Swansea,candidate score 0.55 is below the 6.0 POI threshold
asia/china/anhui/huainan,Huainan,Huainan,3,17,see,Huainan Japanese Army Atrocities Site,0.55,candidate,has description; high-value type,,,Shou County City Walls,asia/china/anhui/huainan/shou_county_walls,0.305,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huainan,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/olinda,“Olinda”,Olinda,12,21,see,Olind@.com,0.55,candidate,has description; high-value type,,,Olinda Historic Centre,southamerica/brazil/olinda/olinda_historic_centre,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Olinda,candidate score 0.55 is below the 6.0 POI threshold
asia/malaysia/tamannegara,Taman Negara,Taman Negara,7,19,do,Fishing,0.55,candidate,has description; high-value type,,,Wildlife Hides (Bumbun),asia/malaysia/tamannegara/bumbun_hides,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taman_Negara,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/indiana/evansville,Evansville,Evansville,12,34,do,Fall Festival,0.55,candidate,has description; high-value type,,,Bosse Field,northamerica/unitedstates/indiana/evansville/bosse_field,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Evansville,candidate score 0.55 is below the 6.0 POI threshold
asia/laos/luangprabang,Luang Prabang,Luang Prabang,15,64,do,Lao Red Cross Sauna,0.55,candidate,has description; high-value type,,,Mekong Riverfront at Sunset,asia/laos/luangprabang/mekong_sunset,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Luang_Prabang,candidate score 0.55 is below the 6.0 POI threshold
asia/laos/vientiane,Vientiane,Vientiane,28,135,do,Lao Massage,0.55,candidate,has description; high-value type,,,Wat Si Saket,asia/laos/vientiane/wat_si_saket,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vientiane,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,see,Golden Gateway to Manteca,0.55,candidate,has description; high-value type,,,Shopping in Manteca,northamerica/unitedstates/california/centralvalley/manteca/shopping,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manteca,candidate score 0.55 is below the 6.0 POI threshold
asia/china/liaoning/shenyang,Shenyang,Shenyang,6,59,do,Happy Family,0.55,candidate,has description; high-value type,,,Shenyang Imperial Palace (Mukden Palace),asia/china/liaoning/shenyang/shenyang_imperial_palace,0.278,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shenyang,candidate score 0.55 is below the 6.0 POI threshold
southamerica/chile/concepcion,Concepción,Concepción,13,33,do,Marina del Sol Casino,0.55,candidate,has description; high-value type,,,Cerro Caracol,southamerica/chile/concepcion/cerro_caracol,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/wales/snowdonia/betwsycoed,Betws-y-Coed,Betws-y-Coed,11,14,see,Forest boardwalk,0.55,candidate,has description; high-value type,,,Moel Siabod,europe/unitedkingdom/wales/snowdonia/betwsycoed/moel_siabod,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Betws-y-Coed,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/mae_sariang,Mae Sariang,Mae Sariang,11,9,do,Trekking,0.55,candidate,has description; high-value type,,,Morning Market,asia/thailand/mae_sariang/morning_market,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mae_Sariang,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Thailand,0.55,candidate,has description; high-value type,,,Tsar Cannon,europe/russia/moscow/tsarcannon,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.55 is below the 6.0 POI threshold
africa/morocco/fez,Fez,Fez,57,41,see,Berber Pharmacies,0.55,candidate,has description; high-value type,,,Royal Palace (Dar el-Makhzen),africa/morocco/fez/dar_el_makhzen,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fez,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/battambang,Battambang,Battambang,6,34,do,Ch'Ngainh Ch'Ngainh,0.55,candidate,has description; high-value type,,,French Colonial Riverfront,asia/cambodia/battambang/colonial_architecture,0.311,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Battambang,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/castellon/peniscola,Peñíscola,Peñiscola,5,19,do,Festes Patronals en honor a la Mare de Déu de l'Ermitana,0.55,candidate,has description; high-value type,,,Game of Thrones Filming Location,europe/spain/castellon/peniscola/game_of_thrones,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pe%C3%B1iscola,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/cadaqus,Cadaqués,Cadaqués,5,36,do,Platja des Pianc,0.55,candidate,has description; high-value type,,,Cap de Creus Natural Park,europe/spain/catalonia/cadaqus/cap_de_creus,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cadaqu%C3%A9s,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/puertoescondido,Puerto Escondido,Puerto Escondido,11,40,do,Fishing,0.55,candidate,has description; high-value type,,,Ceviche Stands,northamerica/mexico/puertoescondido/ceviche_stands,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Escondido,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,do,Skate,0.55,candidate,has description; high-value type,,,Skinner Butte,northamerica/unitedstates/oregon/eugene/skinner_butte,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Eugene,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/hotan,Hotan,Khotan,9,15,see,Imam Asim Tomb,0.55,candidate,has description; high-value type,,,Jama Mosque,asia/china/xinjiangprovince/hotan/jama_mosque,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khotan,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/vladimir,Vladimir,Vladimir,4,75,see,Trading Rows,0.55,candidate,has description; high-value type,,,Cathedral of Saint Demetrius,europe/russia/vladimir/cathedral_saint_demetrius,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladimir,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/maine/boothbay_harbor,Boothbay Harbor,Boothbay Harbor,5,14,see,Hendricks Head Light,0.55,candidate,has description; high-value type,,,Burnt Island Light,northamerica/unitedstates/maine/boothbay_harbor/burnt_island_light,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boothbay_Harbor,candidate score 0.55 is below the 6.0 POI threshold
africa/ethiopia/lalibela,Lalibela,Lalibela,20,14,do,Walk to Ashetan Maryam and Hudad Lodge and back to Lalibela,0.55,candidate,has description; high-value type,,,Asheten Mariam Monastery,africa/ethiopia/lalibela/asheten_mariam,0.434,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lalibela,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/aachen,Aachen,Aachen,14,74,do,Spring: Carnival,0.55,candidate,has description; high-value type,,,Lousberg Park,europe/germany/northrhinewestphalia/aachen/lousbergspark,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aachen,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/chiang_dao,Chiang Dao,Chiang Dao,11,17,do,San Phakia,0.55,candidate,has description; high-value type,,,Tuesday Market,asia/thailand/chiang_dao/tuesday_market,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Dao,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/ingolstadt,Ingolstadt,Ingolstadt,8,44,see,Nuremberg,0.55,candidate,has description; high-value type,,,Danube Waterfront,europe/germany/bavaria/ingolstadt/danube_waterfront,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ingolstadt,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,see,Staircase Ranger Station,0.55,candidate,has description; high-value type,,,Hurricane Ridge,northamerica/unitedstates/washington/olympicnationalpark/hurricane_ridge,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Olympic_National_Park,candidate score 0.55 is below the 6.0 POI threshold
asia/india/maharashtra/mahabaleshwar,Mahabaleshwar,Mahabaleshwar,7,30,do,Watch Sunrise and Sunsets,0.55,candidate,has description; high-value type,,,Arthur's Seat,asia/india/maharashtra/mahabaleshwar/arthurs_seat,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mahabaleshwar,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/virginia/charlottesville,Charlottesville,Charlottesville,11,94,see,Horse and Wine Country,0.55,candidate,has description; high-value type,,,Barboursville Vineyards,northamerica/unitedstates/virginia/charlottesville/barboursville_vineyards,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Charlottesville,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/larissa,Larissa,Larissa,11,21,do,Ippokratios Agonas Dromou,0.55,candidate,has description; high-value type,,,Plateia Laou,europe/greece/larissa/plateia_laou,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Larissa,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/suzdal,Suzdal,Suzdal,7,42,do,Carriage/Sleigh Ride,0.55,candidate,has description; high-value type,,,"Church of Boris and Gleb, Kideksha",europe/russia/suzdal/church_of_boris_and_gleb,0.302,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/schleswigholstein/neumuenster,Neumünster,Neumünster,3,11,do,Einfelder See,0.55,candidate,has description; high-value type,,,Tierpark Neumünster,europe/germany/schleswigholstein/neumuenster/tierpark_neumuenster,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Neum%C3%BCnster,candidate score 0.55 is below the 6.0 POI threshold
