world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,do,Bird Watching,0.55,candidate,has description; high-value type,,,Viking Cave,asia/thailand/kohphiphi/viking_cave,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi,candidate score 0.55 is below the 6.0 POI threshold
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,do,Public pools,0.55,candidate,has description; high-value type,,,Bajrakli Mosque,europe/serbia/kosovoprovince/peja/bajrakli_mosque,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Peja,candidate score 0.55 is below the 6.0 POI threshold
europe/france/midi/pyrenees/lourdes,Lourdes,Lourdes,6,29,do,Water gesture,0.55,candidate,has description; high-value type,,,Château Fort de Lourdes,europe/france/midi/pyrenees/lourdes/chateau_fort_de_lourdes,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lourdes,candidate score 0.55 is below the 6.0 POI threshold
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,do,Muchkund Caves,0.55,candidate,has description; high-value type,,,Mount Girnar,asia/india/gujarat/junagadh/mount_girnar,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/ontario/embrun,Embrun,Embrun (Ontario),2,7,do,Fraisière Cosmos,0.55,candidate,has description; high-value type,,,Things to do,northamerica/canada/ontario/embrun/things_to_do,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Embrun_%28Ontario%29,candidate score 0.55 is below the 6.0 POI threshold
asia/taiwan/sunmoonlake,Sun Moon Lake,Sun Moon Lake,6,8,do,Antique Assam tea farm,0.55,candidate,has description; high-value type,,,Xuanzang Temple,asia/taiwan/sunmoonlake/xuanzang_temple,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sun_Moon_Lake,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/corumb,Corumbá,Corumbá,4,27,see,Luis de Albuquerque Building,0.55,candidate,has description; high-value type,,,Forte Junqueira,southamerica/brazil/corumb/forte_junqueira,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Corumb%C3%A1,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/newzealand/north_island/northland/paihia,Paihia,Paihia,6,14,see,Bay of Islands Visitor Information Centre,0.55,candidate,has description; high-value type,,,Hole in the Rock Cruise,australiaandpacific/newzealand/north_island/northland/paihia/hole_in_the_rock,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Paihia,candidate score 0.55 is below the 6.0 POI threshold
europe/macedonia/ohrid,Ohrid,Ohrid,13,52,see,Mesokastro Settlement,0.55,candidate,has description; high-value type,,,Boat to Sveti Naum,europe/macedonia/ohrid/sveti_naum_boat_trip,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ohrid,candidate score 0.55 is below the 6.0 POI threshold
europe/croatia/kornati_national_park,Kornati National Park,Kornati National Park,0,8,see,Ilirske gradine,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kornati_National_Park,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/manitoba/thompson,Thompson,Thompson,5,12,do,Bailey Bridge,0.55,candidate,has description; high-value type,,,Heritage North Museum,northamerica/canada/manitoba/thompson/heritage_north_museum,0.294,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thompson,candidate score 0.55 is below the 6.0 POI threshold
europe/netherlands/zoetermeer,Zoetermeer,Zoetermeer,3,9,see,"Windmill ""de Hoop"" (hope)",0.55,candidate,has description; high-value type,,,Snowworld,europe/netherlands/zoetermeer/snowworld,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zoetermeer,candidate score 0.55 is below the 6.0 POI threshold
europe/ukraine/chernihiv,Chernihiv,Chernihiv,6,39,see,Old Russian Necropolis,0.55,candidate,has description; high-value type,,,Trinity-Elias Monastery,europe/ukraine/chernihiv/trinity_monastery,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chernihiv,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/cadaqus,Cadaqués,Cadaqués,5,36,do,Platja de Sant Antoni,0.55,candidate,has description; high-value type,,,Cadaqués Waterfront and Old Town,europe/spain/catalonia/cadaqus/cadaques_waterfront,0.52,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cadaqu%C3%A9s,candidate score 0.55 is below the 6.0 POI threshold
africa/namibia/outjo,Outjo,Outjo,5,6,see,Vingerklip,0.55,candidate,has description; high-value type,,,Töpfers Konditorei,africa/namibia/outjo/topfers_konditorei,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Outjo,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/cadaqus,Cadaqués,Cadaqués,5,36,do,Platja de sa Confitera,0.55,candidate,has description; high-value type,,,Sant Pere de Rodes Monastery,europe/spain/catalonia/cadaqus/sant_pere_de_rodes,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cadaqu%C3%A9s,candidate score 0.55 is below the 6.0 POI threshold
asia/pakistan/jhelum,Jhelum,Jhelum,6,17,see,Hazrat Baba Salman Paras Shrine,0.55,candidate,has description; high-value type,,,Gurdwara Chowa Sahib,asia/pakistan/jhelum/gurdwara_chowa_sahib,0.392,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jhelum,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/sanagustin,San Agustín,San Agustin,4,14,see,Waterfalls,0.55,candidate,has description; high-value type,,,Alto de los Ídolos,southamerica/colombia/sanagustin/alto_de_los_idolos,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Agustin,candidate score 0.55 is below the 6.0 POI threshold
asia/oman/ibri,Ibri,Ibri,3,14,do,Visit the Bedouin,0.55,candidate,has description; high-value type,,,Ibri Souq,asia/oman/ibri/ibri_souq,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ibri,candidate score 0.55 is below the 6.0 POI threshold
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Iraq Royal Cemetery,0.55,candidate,has description; high-value type,,,Iraq Museum,asia/iraq/baghdad/iraq_museum,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad,candidate score 0.55 is below the 6.0 POI threshold
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Apoteket C W Scheele,0.55,candidate,has description; high-value type,,,Rosendal Castle,europe/sweden/stockholm/rosendalcastle,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Stockholm,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,Piney Lake,0.55,candidate,has description; high-value type,,,Betty Ford Alpine Gardens,northamerica/unitedstates/colorado/vail/betty_ford_alpine_gardens,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vail,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangxi/xingping,Xingping,Xingping,4,11,do,Hike to Fisher village,0.55,candidate,has description; high-value type,,,Yangdi to Xingping River Walk,asia/china/guangxi/xingping/yangdi_xingping_hike,0.392,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xingping,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/northernmarianaislands/saipan,Saipan,Saipan,10,35,do,G.O.D.I.,0.55,candidate,has description; high-value type,,,Managaha Island,australiaandpacific/northernmarianaislands/saipan/managaha_island,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saipan,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,do,Wintermezzo,0.55,candidate,has description; high-value type,,,Museion,europe/italy/trentinoaltoadige/bolzano/museion,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bolzano,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/mindanaoisland/cagayandeoro,Cagayan de Oro,Cagayan de Oro,7,63,see,Bachelor Express,0.55,candidate,has description; high-value type,,,The Site Bar and Restaurant,asia/philippines/mindanaoisland/cagayandeoro/the_site_bar_and_r,0.359,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cagayan_de_Oro,candidate score 0.55 is below the 6.0 POI threshold
europe/lithuania/nemunas_river_regi/nida_curonian_spit,Nida,Nida,7,18,see,Vecekrugas Dune,0.55,candidate,has description; high-value type,,,Parnidis Dune,europe/lithuania/nemunas_river_regi/nida_curonian_spit/parnidis_dune,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nida,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/vladivostok,Vladivostok,Vladivostok,14,56,do,SK Olimpiets,0.55,candidate,has description; high-value type,,,Russky Island,europe/russia/vladivostok/russky_island,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vladivostok,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/szekesfehervar,Székesfehérvár,Székesfehérvár,15,93,see,Dancer,0.55,candidate,has description; high-value type,,,Zichy Palace,europe/hungary/szekesfehervar/zichy_palace,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sz%C3%A9kesfeh%C3%A9rv%C3%A1r,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,see,Nossa Senhora do Rosário dos Homens Pretos,0.55,candidate,has description; high-value type,,,Basilica Nossa Senhora de Penha,southamerica/brazil/recife/basilica_nossa_senhora_de_penha,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/petoskey,Petoskey,Petoskey,7,27,see,Bay Harbor,0.55,candidate,has description; high-value type,,,Magnus City Park,northamerica/unitedstates/michigan/petoskey/magnus_park,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Petoskey,candidate score 0.55 is below the 6.0 POI threshold
europe/portugal/algarve/carvoeiro,Carvoeiro,Carvoeiro,5,9,see,Alfazina Lighthouse,0.55,candidate,has description; high-value type,,,Algar Seco,europe/portugal/algarve/carvoeiro/algar_seco,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Carvoeiro,candidate score 0.55 is below the 6.0 POI threshold
northamerica/britishvirginislands/tortola,Tortola,Tortola,11,16,see,Aristocat,0.55,candidate,has description; high-value type,,,Road Town Fort,northamerica/britishvirginislands/tortola/road_town_fort,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tortola,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,do,Statue of famous Russian writer A. Vampilov,0.55,candidate,has description; high-value type,,,Church of Our Lady of the Assumption (Polish Church),europe/russia/irkutsk/polish_church,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Irkutsk,candidate score 0.55 is below the 6.0 POI threshold
northamerica/belize/sanignacio,San Ignacio,San Ignacio (Belize),12,44,see,Tipú,0.55,candidate,has description; high-value type,,,Xunantunich,northamerica/belize/sanignacio/xunantunich,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Ignacio_%28Belize%29,candidate score 0.55 is below the 6.0 POI threshold
europe/norway/molde,Molde,Molde,5,48,see,The Rose Maiden,0.55,candidate,has description; high-value type,,,Romsdal Museum,europe/norway/molde/romsdal_museum,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Molde,candidate score 0.55 is below the 6.0 POI threshold
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Bus station,0.55,candidate,has description; high-value type,,,Víziváros,europe/hungary/esztergom/vizivaros,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Lithuania,0.55,candidate,has description; high-value type,,,Stanislavsky,europe/russia/moscow/stanislavsky,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/kottayam,Kottayam,Kottayam,4,23,do,Boat Races,0.55,candidate,has description; high-value type,,,Pathiramanal Island,asia/india/kerala/kottayam/pathiramanal,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kottayam,candidate score 0.55 is below the 6.0 POI threshold
europe/netherlands/friesland/leeuwarden,Leeuwarden,Leeuwarden,18,19,see,Waag,0.55,candidate,has description; high-value type,,,Canal Tour,europe/netherlands/friesland/leeuwarden/canal_tour,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leeuwarden,candidate score 0.55 is below the 6.0 POI threshold
