world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Stalin era architecture,0.59,candidate,has description; high-value type; strong travel term,,,Auerbachs Keller,europe/germany/saxony/leipzig/auerbachs_keller,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig,candidate score 0.59 is below the 6.0 POI threshold
asia/lebanon/tripoli,Tripoli,Tripoli (Lebanon),9,15,see,Lion Tower,0.59,candidate,has description; high-value type; strong travel term,,,Old City Souks,asia/lebanon/tripoli/old_city_souks,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tripoli_%28Lebanon%29,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/brandenburg/spreewald,Spreewald,Spreewald,7,19,see,Burglehn,0.59,candidate,has description; high-value type; strong travel term,,,Gurkenmuseum (Cucumber Museum),europe/germany/brandenburg/spreewald/gurkenmuseum,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Spreewald,candidate score 0.59 is below the 6.0 POI threshold
africa/tunisia/dougga,Dougga,Dougga,9,14,see,Mosque.,0.59,candidate,has description; high-value type; strong travel term,,,Forum and Square of the Winds,africa/tunisia/dougga/forum,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dougga,candidate score 0.59 is below the 6.0 POI threshold
asia/iraq/basra,Basra,Basra,6,29,see,Basrah Adventist church,0.59,candidate,has description; high-value type; strong travel term,,,Basra War Cemetery,asia/iraq/basra/basra_war_cemetery,0.488,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Basra,candidate score 0.59 is below the 6.0 POI threshold
asia/china/liaoning/liaoyang,Liaoyang,Liaoyang,4,20,see,Hehuogou Provincial Level Forest Park,0.59,candidate,has description; high-value type; strong travel term,,,Dongjing City Site,asia/china/liaoning/liaoyang/dongjing_city_site,0.291,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Liaoyang,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/kalambaka,Kalambaka,Kalambaka,12,14,see,Theopetra Cave,0.59,candidate,has description; high-value type; strong travel term,,,Kastraki Village,europe/greece/kalambaka/kastraki_village,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kalambaka,candidate score 0.59 is below the 6.0 POI threshold
africa/capeverde/fogo,Fogo,Fogo,5,7,do,La Salina,0.59,candidate,has description; high-value type; strong travel term,,,Chã das Caldeiras,africa/capeverde/fogo/cha_das_caldeiras,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fogo,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/kirovograd,Kropyvnytskyi,Kropyvnytskyi,5,42,see,Sacred Virgin (Rizdva Presviatoi Bohorodytsi) Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Fortress of Saint Elizabeth Earthworks,europe/ukraine/kirovograd/fortress_of_saint_elizabeth,0.361,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kropyvnytskyi,candidate score 0.59 is below the 6.0 POI threshold
australiaandpacific/frenchpolynesia/moorea,Moorea,Moorea,13,21,see,Waterfalls,0.59,candidate,has description; high-value type; strong travel term,,,Pao Pao Village,australiaandpacific/frenchpolynesia/moorea/pao_pao,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moorea,candidate score 0.59 is below the 6.0 POI threshold
asia/india/madhyapradesh/indore,Indore,Indore,7,60,see,Sapna- Sangeeta Road,0.59,candidate,has description; high-value type; strong travel term,,,Sarafa Bazaar,asia/india/madhyapradesh/indore/sarafa_bazaar,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Indore,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Salem United Church of Christ,0.59,candidate,has description; high-value type; strong travel term,,,State Museum of Pennsylvania,northamerica/unitedstates/pennsylvania/harrisburg/state_museum,0.386,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harrisburg,candidate score 0.59 is below the 6.0 POI threshold
asia/india/punjab/chandigarh,Chandigarh,Chandigarh,21,37,see,National Gallery of Portraits,0.59,candidate,has description; high-value type; strong travel term,,,Chandigarh College of Architecture,asia/india/punjab/chandigarh/chandigarh_college_architecture,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chandigarh,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,see,Anna Hazzard Museum,0.59,candidate,has description; high-value type; strong travel term,,,Tanger Outlets,northamerica/unitedstates/delaware/rehobothbeach/tanger_outlets,0.242,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rehoboth_Beach,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/villahermosa,Villahermosa,Villahermosa,6,17,see,Galería de Arte El Jaguar Despertado,0.59,candidate,has description; high-value type; strong travel term,,,Parque-Museo La Venta,northamerica/mexico/villahermosa/parque_museo_la_venta,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Villahermosa,candidate score 0.59 is below the 6.0 POI threshold
europe/slovenia/piran,Piran,Piran,14,26,do,Swim,0.59,candidate,has description; high-value type; strong travel term,,,Fiesa,europe/slovenia/piran/fiesa,0.222,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Piran,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/idaho/twinfalls,Twin Falls,Twin Falls,9,22,do,Viki Le Fevre Mountain Bike Skills Park,0.59,candidate,has description; high-value type; strong travel term,,,The Anchor Bistro and Bar,northamerica/unitedstates/idaho/twinfalls/the_anchor_bistro,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Twin_Falls,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/indiana/south_bend,South Bend,South Bend,9,77,do,St. Patrick's County Park,0.59,candidate,has description; high-value type; strong travel term,,,Studebaker National Museum,northamerica/unitedstates/indiana/south_bend/studebaker_national_museum,0.36,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/South_Bend,candidate score 0.59 is below the 6.0 POI threshold
asia/taiwan/tainan,Tainan,Tainan,18,56,see,Museum of Archaeology,0.59,candidate,has description; high-value type; strong travel term,,,National Museum of Taiwan Literature,asia/taiwan/tainan/national_museum_of_taiwan_literature,0.456,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tainan,candidate score 0.59 is below the 6.0 POI threshold
europe/denmark/ribe,Ribe,Ribe,21,34,see,The old town hall,0.59,candidate,has description; high-value type; strong travel term,,,The Long Ships,europe/denmark/ribe/the_long_ships,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ribe,candidate score 0.59 is below the 6.0 POI threshold
europe/romania/deva,Deva,Deva,8,33,see,Synagogue,0.59,candidate,has description; high-value type; strong travel term,,,Piața Victoriei,europe/romania/deva/piata_victoriei,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deva,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/andalucia/sanlcar,Sanlúcar de Barrameda,Sanlúcar de Barrameda,7,15,do,Parque Nacional de Doñana,0.59,candidate,has description; high-value type; strong travel term,,,Palacio Ducal de Medina Sidonia,europe/spain/andalucia/sanlcar/palacio_ducal_medina_sidonia,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sanl%C3%BAcar_de_Barrameda,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Cathedral of Saint Patrick,0.59,candidate,has description; high-value type; strong travel term,,,Riverfront Park,northamerica/unitedstates/pennsylvania/harrisburg/riverfront_park,0.439,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harrisburg,candidate score 0.59 is below the 6.0 POI threshold
asia/china/gansu/tianshui,Tianshui,Tianshui,4,27,see,Maijishan National Park,0.59,candidate,has description; high-value type; strong travel term,,,Wushan Water Curtain Caves,asia/china/gansu/tianshui/wushan_water_curtain_caves,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tianshui,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/southcarolina/beaufort,Beaufort,Beaufort (South Carolina),15,16,do,Taste of Beaufort,0.59,candidate,has description; high-value type; strong travel term,,,Haint Blue Porches,northamerica/unitedstates/southcarolina/beaufort/haint_blue_porches,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Beaufort_%28South_Carolina%29,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/skyros,Skyros,Skyros,8,39,do,Boat trips,0.59,candidate,has description; high-value type; strong travel term,,,Grave of Rupert Brooke,europe/greece/skyros/rupert_brooke_grave,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skyros,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/puigcerd,Puigcerdà,Puigcerdà,10,6,see,Church of Sant Tomàs de Ventajola,0.59,candidate,has description; high-value type; strong travel term,,,Església de Sant Domènec,europe/spain/puigcerd/esglesia_de_sant_domenec,0.431,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puigcerd%C3%A0,candidate score 0.59 is below the 6.0 POI threshold
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Maple Syrup,0.59,candidate,has description; high-value type; strong travel term,,,Major's Hill Park,northamerica/canada/ontario/ottawa/majors_hill_park,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/chichenitza,Chichen Itza,Chichen Itza,0,27,see,Temple of the Jaguars,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.59 is below the 6.0 POI threshold
northamerica/canada/manitoba/thompson,Thompson,Thompson,5,12,do,Tribute to Commerce,0.59,candidate,has description; high-value type; strong travel term,,,Spirit Way Wolf Murals,northamerica/canada/manitoba/thompson/spirit_way,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thompson,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/grandrapids,Grand Rapids,Grand Rapids,0,52,do,Fulton Street Artisan's Market,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Grand_Rapids,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/california/sanfrancisco,San Francisco,San Francisco,93,62,do,Critical Mass,0.59,candidate,has description; high-value type; strong travel term,,,Twin Peaks,northamerica/unitedstates/california/sanfrancisco/twin_peaks,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Francisco,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/dnepropetrovsk,Dnipro,Dnipro,8,48,see,Saint Panteleimon church,0.59,candidate,has description; high-value type; strong travel term,,,Preobrazhensky Cathedral,europe/ukraine/dnepropetrovsk/preobrazhensky_cathedral,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dnipro,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/nebraska/northplatte,North Platte,North Platte,5,42,do,Fiesta Patrias,0.59,candidate,has description; high-value type; strong travel term,,,North Platte Canteen Memorial,northamerica/unitedstates/nebraska/northplatte/north_platte_canteen,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/North_Platte,candidate score 0.59 is below the 6.0 POI threshold
europe/bosniaandherzegovina/trebinje,Trebinje,Trebinje,10,8,do,Hiking,0.59,candidate,has description; high-value type; strong travel term,,,Duži Monastery,europe/bosniaandherzegovina/trebinje/duzi_monastery,0.235,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Trebinje,candidate score 0.59 is below the 6.0 POI threshold
southamerica/ecuador/loja,Loja,Loja,7,8,see,Museum of the Central Bank of Ecuador,0.59,candidate,has description; high-value type; strong travel term,,,Museo del Banco Central,southamerica/ecuador/loja/museo_del_banco_central,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Loja,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/kihei,Kihei,Kihei,5,34,do,Swimming,0.59,candidate,has description; high-value type; strong travel term,,,Molokini Crater,northamerica/unitedstates/hawaii/kihei/molokini_crater,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kihei,candidate score 0.59 is below the 6.0 POI threshold
europe/france/midi/cotedazur/cannes,Cannes,Cannes,10,19,do,Musée d'Art et d'Histoire de Provence,0.59,candidate,has description; high-value type; strong travel term,,,Musée de la Castre,europe/france/midi/cotedazur/cannes/musee_de_la_castre,0.478,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cannes,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/lowersaxony/goettingen,Göttingen,Göttingen,16,37,see,Synagogue Memorial,0.59,candidate,has description; high-value type; strong travel term,,,Studentenkarzer,europe/germany/lowersaxony/goettingen/studentenkarzer,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6ttingen,candidate score 0.59 is below the 6.0 POI threshold
southamerica/brazil/mariana,Mariana,Mariana,3,33,see,Igreja de São Pedro dos Clérigos,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral da Sé (Nossa Senhora da Assunção),southamerica/brazil/mariana/cathedral_da_se,0.326,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mariana,candidate score 0.59 is below the 6.0 POI threshold
