world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/maine/kennebunkport,Kennebunkport,Kennebunkport,13,28,do,Hillcrest Pitch & Putt,0.55,candidate,has description; high-value type,,,Goat Island Light,northamerica/unitedstates/maine/kennebunkport/goat_island_light,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kennebunkport,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/terrassa,Terrassa,Terrassa,9,9,see,Convent of Sant Francesc,0.55,candidate,has description; high-value type,,,Esglésies de Sant Pere,europe/spain/catalonia/terrassa/esglesies_sant_pere,0.419,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Terrassa,candidate score 0.55 is below the 6.0 POI threshold
northamerica/nicaragua/bluefields,Bluefields,Bluefields,3,7,see,Pelican,0.55,candidate,has description; high-value type,,,Bluefields Bay,northamerica/nicaragua/bluefields/bluefields_bay,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bluefields,candidate score 0.55 is below the 6.0 POI threshold
asia/china/hubei/huanggang,Huanggang,Huanggang,4,29,see,Luotian County,0.55,candidate,has description; high-value type,,,Tiantangzhai Mountain,asia/china/hubei/huanggang/tiantangzhai,0.514,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Huanggang,candidate score 0.55 is below the 6.0 POI threshold
europe/bulgaria/vratza,Vratsa,Vratsa,2,20,see,Tower of Kurt Pasha,0.55,candidate,has description; high-value type,,,Eating Out,europe/bulgaria/vratza/eating_out,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vratsa,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/udonthani,Udon Thani,Udon Thani,10,41,see,Udon-Bangkok,0.55,candidate,has description; high-value type,,,Udon Thani Museum,asia/thailand/udonthani/udon_thani_museum,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Udon_Thani,candidate score 0.55 is below the 6.0 POI threshold
asia/china/innermongolia/erlian,Erlian,Erlian,4,6,see,Konlongmudi,0.55,candidate,has description; high-value type,,,Erlian-Zamiin-Uud Border Crossing,asia/china/innermongolia/erlian/erlian_border_crossing,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Erlian,candidate score 0.55 is below the 6.0 POI threshold
europe/france/centre/auvergne/vichy,Vichy,Vichy,14,77,see,Maison du Missionionnaire,0.55,candidate,has description; high-value type,,,Grand Casino,europe/france/centre/auvergne/vichy/grand_casino,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vichy,candidate score 0.55 is below the 6.0 POI threshold
europe/malta/stjulian,St Julian's,St. Julian's,9,15,see,Chapel of the Immaculate Conception,0.55,candidate,has description; high-value type,,,"Carmelite Parish Church, Balluta",europe/malta/stjulian/carmelite_church,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/St._Julian%27s,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guangdong/kaiping,Kaiping,Kaiping,4,17,see,Peacock Lake,0.55,candidate,has description; high-value type,,,Majianglong Village,asia/china/guangdong/kaiping/majianglong_village,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaiping,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/canaryislands/lanzarote/arrecife,Arrecife,Arrecife,12,35,do,Parque Temático,0.55,candidate,has description; high-value type,,,Parque José Ramírez Cerdá,europe/spain/canaryislands/lanzarote/arrecife/parque_jose_ramirez_cerda,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arrecife,candidate score 0.55 is below the 6.0 POI threshold
europe/finland/turku,Turku,Turku,5,262,do,Airisto Classic Regatta,0.55,candidate,has description; high-value type,,,Aura River,europe/finland/turku/aura_river,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Turku,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/kollam,Kollam,Kollam,7,40,see,Alumkadavu,0.55,candidate,has description; high-value type,,,Chinnakada Clock Tower,asia/india/kerala/kollam/chinnakada_clock_tower,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kollam,candidate score 0.55 is below the 6.0 POI threshold
europe/denmark/skagen,Skagen,Skagen,9,17,see,Råbjerg Mile,0.55,candidate,has description; high-value type,,,Skagen Bunker Museum,europe/denmark/skagen/skagen_bunker_museum,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skagen,candidate score 0.55 is below the 6.0 POI threshold
europe/switzerland/leysin,Leysin,Leysin,5,6,do,Kids' Sledding,0.55,candidate,has description; high-value type,,,Leysin Ski Area,europe/switzerland/leysin/leysin_ski_area,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Leysin,candidate score 0.55 is below the 6.0 POI threshold
asia/turkey/amasya,Amasya,Amasya,9,29,do,Mustafa Bey Hamami,0.55,candidate,has description; high-value type,,,Büyük Ağa Medresesi,asia/turkey/amasya/buyuk_aga_medrese,0.303,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Amasya,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/guratuba,Guaratuba,Guaratuba,7,14,see,Guaratuba Bay,0.55,candidate,has description; high-value type,,,Praia Central,southamerica/brazil/guratuba/central_beach,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guaratuba,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/alberta/coldlake,Cold Lake,Cold Lake,6,17,do,Silver Buckle Stampede,0.55,candidate,has description; high-value type,,,Cold Lake Air Force Museum,northamerica/canada/alberta/coldlake/cold_lake_air_force_museum,0.292,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cold_Lake,candidate score 0.55 is below the 6.0 POI threshold
africa/zambia/lusaka,Lusaka,Lusaka,9,35,see,Wakmaf Bus Services,0.55,candidate,has description; high-value type,,,Kabwata Cultural Village,africa/zambia/lusaka/kabwata_cultural_village,0.419,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lusaka,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/florida/palatka,Palatka,Palatka,4,20,see,Angel's Diner,0.55,candidate,has description; high-value type,,,Ocala National Forest Springs,northamerica/unitedstates/florida/palatka/ocala_springs,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Palatka,candidate score 0.55 is below the 6.0 POI threshold
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,do,Roški slap - Krka monastery - Trošenj - Nečven,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Krka_National_Park,candidate score 0.55 is below the 6.0 POI threshold
asia/china/guizhou/xingyi,Xingyi,Xingyi,3,16,see,Lubuge deep valley lake,0.55,candidate,has description; high-value type,,,Buyi Villages around Wanfenglin,asia/china/guizhou/xingyi/buyi_villages,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xingyi,candidate score 0.55 is below the 6.0 POI threshold
northamerica/thecaribbean/cuba/santiagodecuba,Santiago de Cuba,Santiago de Cuba,8,15,see,ETECSA,0.55,candidate,has description; high-value type,,,Cuartel Moncada,northamerica/thecaribbean/cuba/santiagodecuba/moncada_barracks,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santiago_de_Cuba,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/mandalay,Mandalay,Mandalay,15,38,do,Amaravati Thai Massage,0.55,candidate,has description; high-value type,,,Thai Yai,asia/myanmar/mandalay/thai_yai,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mandalay,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/pai,Pai,Pai,11,33,do,Elephant Trek,0.55,candidate,has description; high-value type,,,Pai Walking Street,asia/thailand/pai/walking_street,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pai,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/wales/llangollen,Llangollen,Llangollen,5,16,do,Horse-drawn canal boats,0.55,candidate,has description; high-value type,,,Horseshoe Falls,europe/unitedkingdom/wales/llangollen/horseshoe_falls,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Llangollen,candidate score 0.55 is below the 6.0 POI threshold
africa/kenya/centralhighlands/nanyuki,Nanyuki,Nanyuki,3,16,see,Airtel shop,0.55,candidate,has description; high-value type,,,Ol Pejeta Conservancy,africa/kenya/centralhighlands/nanyuki/ol_pejeta,0.188,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nanyuki,candidate score 0.55 is below the 6.0 POI threshold
asia/malaysia/ipoh,Ipoh,Ipoh,20,78,do,White Water Rafting,0.55,candidate,has description; high-value type,,,Perak Tong,asia/malaysia/ipoh/perak_tong,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ipoh,candidate score 0.55 is below the 6.0 POI threshold
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,51-E,0.55,candidate,has description; high-value type,,,Ruta de las Flores,northamerica/elsalvador/santaana/ruta_de_las_flores,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29,candidate score 0.55 is below the 6.0 POI threshold
northamerica/elsalvador/sanmiguel,San Miguel,San Miguel (El Salvador),5,13,see,San Miguel Volcano,0.55,candidate,has description; high-value type,,,Carnaval de San Miguel,northamerica/elsalvador/sanmiguel/carnaval_de_san_miguel,0.541,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Miguel_%28El_Salvador%29,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/joinville,Joinville,Joinville,11,27,see,Timber-Frame House,0.55,candidate,has description; high-value type,,,Mirante de Joinville,southamerica/brazil/joinville/mirante_de_joinville,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joinville,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/shikoku/uwajima,Uwajima,Uwajima,4,15,do,Warei Festival,0.55,candidate,has description; high-value type,,,Uwajima Castle,asia/japan/shikoku/uwajima/uwajima_castle,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Uwajima,candidate score 0.55 is below the 6.0 POI threshold
asia/india/kerala/kozhikode,Kozhikode,Kozhikode,12,107,see,Internet Cafes,0.55,candidate,has description; high-value type,,,SM Street (Mittai Theruvu),asia/india/kerala/kozhikode/sm_street,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kozhikode,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/ekaterinoburg,Yekaterinburg,Yekaterinburg,26,72,do,Ledovyj Gorodok,0.55,candidate,has description; high-value type,,,Ploshchad 1905 Goda,europe/russia/ekaterinoburg/ploshchad_1905,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/victoria/shepparton,Shepparton,Shepparton,8,8,do,Shepparton Communication Tower,0.55,candidate,has description; high-value type,,,Shepparton Art Museum,australiaandpacific/australia/victoria/shepparton/shepparton_art_museum,0.549,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shepparton,candidate score 0.55 is below the 6.0 POI threshold
northamerica/belize/cayecaulker,Caye Caulker,Caye Caulker,4,25,see,The Blue Hole,0.55,candidate,has description; high-value type,,,Barrier Reef Diving,northamerica/belize/cayecaulker/barrier_reef_diving,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Caye_Caulker,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/modesto,Modesto,Modesto,10,20,see,Lucas Plaza Statue,0.55,candidate,has description; high-value type,,,State Theatre,northamerica/unitedstates/california/centralvalley/modesto/state_theatre,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Modesto,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/maine/boothbay_harbor,Boothbay Harbor,Boothbay Harbor,5,14,see,Oven's Mouth,0.55,candidate,has description; high-value type,,,Opera House at Boothbay Harbor,northamerica/unitedstates/maine/boothbay_harbor/opera_house,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boothbay_Harbor,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/alicante,Alicante,Alicante,8,74,do,Romiatge de Santa Faç,0.55,candidate,has description; high-value type,,,Basilica of Santa Maria,europe/spain/spanishcostas/alicante/basilica_santa_maria,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Alicante,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/michigan/flint,Flint,Flint,14,27,do,Tunes at Noon,0.55,candidate,has description; high-value type,,,Durant-Dort Factory One,northamerica/unitedstates/michigan/flint/factory_one,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Flint,candidate score 0.55 is below the 6.0 POI threshold
